Artist,Country,Streams
J Balvin         ,ar,32053400
Ozuna            ,ar,27910600
Luis Fonsi       ,ar,23870246
Maluma           ,ar,19677984
CNCO             ,ar,17703200
Daddy Yankee     ,ar,17030691
Nicky Jam        ,ar,16241714
Wisin            ,ar,16049186
Danny Ocean      ,ar,14591663
Piso 21          ,ar,14243752
Shakira          ,ar,14113024
Sebastian Yatra  ,ar,13003404
Ed Sheeran       ,ar,12884650
Rombai           ,ar,10769002
Chris Jeday      ,ar,10571850
Nacho            ,ar,10070016
Zion & Lennox    ,ar,8963065
Carlos Vives     ,ar,8002844
Natti Natasha    ,ar,7700946
Anuel Aa         ,ar,7618295
Manuel Turizo    ,ar,7213162
Bad Bunny        ,ar,7011191
Becky G          ,ar,6980187
Enrique Iglesias ,ar,6862681
MC Kevinho       ,ar,6339080
Farruko          ,ar,6206485
Yandel           ,ar,6102648
The Chainsmokers ,ar,5610819
Ricky Martin     ,ar,5093729
Don Omar         ,ar,5005805
Dame 5           ,ar,4929871
Charly Black     ,ar,4795903
IAmChino         ,ar,4762951
Alex Sensation   ,ar,4646615
Duki             ,ar,4604486
Romeo Santos     ,ar,4165690
Pitbull          ,ar,4023567
The Weeknd       ,ar,3999006
Mano Arriba      ,ar,3997692
Joey Montana     ,ar,3843718
Chino & Nacho    ,ar,3798309
Abraham Mateo    ,ar,3688227
Olvidate!        ,ar,3619984
Bruno Mars       ,ar,3565662
Karol G          ,ar,3503172
Jason Derulo     ,ar,3184744
Clean Bandit     ,ar,3166472
Cosculluela      ,ar,2472431
Jesse & Joy      ,ar,2391826
Dua Lipa         ,ar,2327671
De La Ghetto     ,ar,2318052
CHANO            ,ar,2207845
David Guetta     ,ar,2065251
DJ Snake         ,ar,2063149
Camila Cabello   ,ar,1975045
LOAN             ,ar,1863398
Thalía          ,ar,1607123
Kygo             ,ar,1577479
Maite Perroni    ,ar,1533952
Brytiago         ,ar,1517696
ZAYN             ,ar,1440169
Martin Garrix    ,ar,1351546
Cazzu            ,ar,1345737
Gigolo Y La Exce ,ar,1328243
Maroon 5         ,ar,1224439
Charlie Puth     ,ar,1182933
Calvin Harris    ,ar,1076648
Anitta           ,ar,1016936
Major Lazer      ,ar,939570
Marama           ,ar,914988
Mau y Ricky      ,ar,794718
Ariana Grande    ,ar,752333
Harry Styles     ,ar,720415
Taylor Swift     ,ar,718888
Paulo Londra     ,ar,609178
Los Bonnitos     ,ar,588391
Katy Perry       ,ar,544857
Wolfine          ,ar,471190
Jimena Baron     ,ar,398708
DJ Jonathan      ,ar,365848
Gente De Zona    ,ar,300765
Mike Posner      ,ar,294117
Justin Timberlake,ar,290921
Juanes           ,ar,251453
Shawn Mendes     ,ar,228845
TINI             ,ar,199320
Reik             ,ar,164603
Drake            ,ar,160799
Rihanna          ,ar,94116
Selena Gomez     ,ar,93169
MC Fioti         ,ar,67236
Miley Cyrus      ,ar,48848
Jennifer Lopez   ,ar,45790
Agapornis        ,ar,45251
DJ Khaled        ,ar,42141
Steve Aoki       ,ar,37135
DNCE             ,ar,36268
Ed Sheeran       ,at,4745722
Imagine Dragons  ,at,2709863
The Chainsmokers ,at,2208035
Luis Fonsi       ,at,2087867
Kygo             ,at,1773185
Robin Schulz     ,at,1522969
Axwell /\ Ingross,at,1382439
ZAYN             ,at,1337678
RAF Camora       ,at,1310875
DJ Khaled        ,at,1248490
Martin Garrix    ,at,1170919
Post Malone      ,at,1133990
Camila Cabello   ,at,1128231
Clean Bandit     ,at,1083530
Shawn Mendes     ,at,982374
Bausa            ,at,982250
French Montana   ,at,971985
Charlie Puth     ,at,912995
Lauv             ,at,903680
Jonas Blue       ,at,881095
Calvin Harris    ,at,839863
Maroon 5         ,at,834210
Avicii           ,at,819468
Jason Derulo     ,at,812688
Alle Farben      ,at,797645
Burak Yeter      ,at,785833
Kollegah         ,at,765360
Martin Jensen    ,at,757798
Selena Gomez     ,at,748520
Marshmello       ,at,740414
David Guetta     ,at,738082
Alan Walker      ,at,731374
Dua Lipa         ,at,728525
Macklemore       ,at,725549
J Balvin         ,at,718997
Kay One          ,at,700389
Zedd             ,at,684465
Rita Ora         ,at,682015
Liam Payne       ,at,653112
Mark Forster     ,at,650460
Maggie Lindemann ,at,649076
Major Lazer      ,at,578774
Enrique Iglesias ,at,574687
Felix Jaehn      ,at,552016
Sam Smith        ,at,551732
Starley          ,at,540934
Kendrick Lamar   ,at,535062
Portugal. The Man,at,528847
Ofenbach         ,at,515411
NF               ,at,507457
Cro              ,at,496135
Jax Jones        ,at,489309
ItaloBrothers    ,at,442754
P!nk             ,at,424238
Justin Bieber    ,at,422745
Jon Bellion      ,at,389739
Luke Christopher ,at,387687
Alice Merton     ,at,376526
Rag'n'Bone Man   ,at,372250
G-Eazy           ,at,365755
Taylor Swift     ,at,363898
AJR              ,at,360642
Julia Michaels   ,at,353072
Future           ,at,346298
Linkin Park      ,at,336229
Micar            ,at,333270
Drake            ,at,329208
Cheat Codes      ,at,325008
Nimo             ,at,319401
Mariah Carey     ,at,316687
Lorde            ,at,307617
Wanda            ,at,300875
The Weeknd       ,at,300604
Galantis         ,at,295776
Eminem           ,at,294244
Harry Styles     ,at,289624
Miami Yacine     ,at,289168
Pizzera & Jaus   ,at,285154
Logic            ,at,279630
Veysel           ,at,273248
Wham!            ,at,273067
ALMA             ,at,271413
Alessia Cara     ,at,266644
James Arthur     ,at,259927
Kaleo            ,at,259576
Katy Perry       ,at,258592
Bonez MC         ,at,254819
Miley Cyrus      ,at,253397
Lil Pump         ,at,245292
Steve Aoki       ,at,241350
Martin Solveig   ,at,229478
JP Cooper        ,at,219801
187 Strassenbande,at,215021
Demi Lovato      ,at,213709
Shakin' Stevens  ,at,210833
The Vamps        ,at,197051
Hailee Steinfeld ,at,196374
Niall Horan      ,at,192625
Chris Rea        ,at,191355
Michael Bublé   ,at,187837
Gestört aber Gei,at,187753
Big Shaq         ,at,176919
Louis Tomlinson  ,at,176506
Bilderbuch       ,at,170299
Sigala           ,at,166284
Sage The Gemini  ,at,165304
John Lennon      ,at,164699
Sia              ,at,158051
Bruno Mars       ,at,157371
Fake Pictures    ,at,153073
Paul McCartney   ,at,150558
Sean Paul        ,at,144072
Pentatonix       ,at,142288
Vice             ,at,141822
Ariana Grande    ,at,141568
Alok             ,at,138253
Lil Uzi Vert     ,at,133595
DJ Snake         ,at,133077
Dimitri Vegas & L,at,130714
Nico Santos      ,at,130380
Kamaliya         ,at,128227
Zuna             ,at,123431
Queen            ,at,122112
Capo             ,at,119334
Machine Gun Kelly,at,118929
Petit Biscuit    ,at,106456
Halsey           ,at,98533
Dardan           ,at,92456
John Legend      ,at,90831
Daryl Hall & John,at,89703
Bryan Adams      ,at,88656
Azet             ,at,83915
Welshly Arms     ,at,79235
Bushido          ,at,77804
Melanie Thornton ,at,76448
José Feliciano  ,at,76000
Band Aid 30      ,at,70362
Band Aid         ,at,69914
Khalid           ,at,69675
Shakira          ,at,69527
Twenty One Pilots,at,68175
Britney Spears   ,at,65394
Azzi Memo        ,at,64809
Rae Sremmurd     ,at,64375
Coldplay         ,at,63724
Bag Raiders      ,at,61349
                 ,at,60127
*NSYNC           ,at,59113
KC Rebell        ,at,58309
Snakehips        ,at,54748
Ufo361           ,at,51833
Olivia Holt      ,at,51530
Kelly Clarkson   ,at,43993
RIN              ,at,43758
Lost Frequencies ,at,41473
Katja Krasavice  ,at,41418
Gwen Stefani     ,at,40596
Sarah Connor     ,at,39550
Eagles           ,at,39333
OneRepublic      ,at,36118
Meghan Trainor   ,at,35575
Jona Lewie       ,at,34927
Andy Williams    ,at,34150
Elton John       ,at,33804
Sa4              ,at,33577
Frankie Goes To H,at,32268
Cliff Richard    ,at,32139
Bobby Helms      ,at,32021
Frank Sinatra    ,at,31292
Bruce Springsteen,at,30912
Nevada           ,at,30086
Jala Brat        ,at,24573
Tom Petty and the,at,21028
Eartha Kitt      ,at,20462
Bebe Rexha       ,at,20257
Slade            ,at,20055
Kylie Minogue    ,at,19706
Natasha Bedingfie,at,19586
Dean Martin      ,at,19392
The Ronettes     ,at,19027
Hurts            ,at,18775
Rod Stewart      ,at,18261
Yung Hurn        ,at,18055
Boney M.         ,at,17660
Wizzard          ,at,17594
Backstreet Boys  ,at,17142
Mike Perry       ,at,15185
Adel Tawil       ,at,11347
Nathan Trent     ,at,11312
Macklemore & Ryan,at,10919
MØ              ,at,10055
Anne-Marie       ,at,9995
JAY Z            ,at,8549
Michael Jackson  ,at,8255
Alex Christensen ,at,8242
Salvador Sobral  ,at,5663
Cornerstone      ,at,5285
Justin Timberlake,at,4494
Mike Posner      ,at,4442
Ed Sheeran       ,au,52770918
Post Malone      ,au,17561745
The Chainsmokers ,au,15593835
Drake            ,au,10806183
Kygo             ,au,10106204
ZAYN             ,au,9997164
Calvin Harris    ,au,9606127
Kendrick Lamar   ,au,9538814
Clean Bandit     ,au,8549313
Martin Garrix    ,au,7999014
The Weeknd       ,au,7891746
Lorde            ,au,7845339
Khalid           ,au,7810436
Maroon 5         ,au,7576239
Zedd             ,au,7184333
DJ Khaled        ,au,6902465
Bruno Mars       ,au,6777034
Macklemore       ,au,6596030
Julia Michaels   ,au,6514679
Imagine Dragons  ,au,6391637
Major Lazer      ,au,6347332
Starley          ,au,6309105
Charlie Puth     ,au,6272392
Pnau             ,au,5689168
Luis Fonsi       ,au,5472613
Hailee Steinfeld ,au,5393941
Camila Cabello   ,au,5343149
Snakehips        ,au,5298650
Selena Gomez     ,au,5163578
Peking Duk       ,au,5119861
Jon Bellion      ,au,4721789
Alessia Cara     ,au,4612083
Dua Lipa         ,au,4534593
Logic            ,au,4523083
French Montana   ,au,4488830
Future           ,au,4468706
Mura Masa        ,au,4211267
Marshmello       ,au,4163853
Sam Smith        ,au,4110781
Shawn Mendes     ,au,4040097
Niall Horan      ,au,3977125
Liam Payne       ,au,3970466
Jonas Blue       ,au,3950023
Halsey           ,au,3934175
Jax Jones        ,au,3902654
Lil Uzi Vert     ,au,3774038
Amy Shark        ,au,3696685
Little Mix       ,au,3563239
Rita Ora         ,au,3539025
Lauv             ,au,3537205
Cheat Codes      ,au,3504846
NF               ,au,3463150
The Vamps        ,au,3462767
Demi Lovato      ,au,3411336
Martin Jensen    ,au,3296333
Katy Perry       ,au,3269633
Portugal. The Man,au,3265040
Jason Derulo     ,au,3175215
Adele            ,au,3109050
Robin Schulz     ,au,3079766
Maggie Lindemann ,au,3069243
Childish Gambino ,au,2993271
FRENSHIP         ,au,2981738
James Arthur     ,au,2936922
David Guetta     ,au,2728217
Sage The Gemini  ,au,2687859
Justin Bieber    ,au,2636000
Avicii           ,au,2570798
NEIKED           ,au,2525958
Sam Hunt         ,au,2486609
Milky Chance     ,au,2483387
Miley Cyrus      ,au,2298713
Dean Lewis       ,au,2263789
Harry Styles     ,au,2207616
Bliss n Eso      ,au,2142908
G-Eazy           ,au,2094947
Lil Pump         ,au,2092152
KYLE             ,au,1979312
Vance Joy        ,au,1915446
Steve Aoki       ,au,1763506
Eminem           ,au,1730974
Andy Grammer     ,au,1724482
Lady Gaga        ,au,1716706
J Balvin         ,au,1687286
Kita Alexander   ,au,1678325
P!nk             ,au,1628753
Angus & Julia Sto,au,1605900
Flume            ,au,1588863
Louis Tomlinson  ,au,1568739
Machine Gun Kelly,au,1493549
XXXTENTACION     ,au,1478445
Kesha            ,au,1427527
Nevada           ,au,1402282
Zara Larsson     ,au,1326892
Cardi B          ,au,1300153
Bebe Rexha       ,au,1274872
Taylor Swift     ,au,1179288
Big Shaq         ,au,1155339
Migos            ,au,1011808
Mariah Carey     ,au,948999
Galantis         ,au,860306
Isaiah           ,au,838951
DJ Snake         ,au,823239
Illy             ,au,797868
Big Sean         ,au,685086
21 Savage        ,au,513285
Rae Sremmurd     ,au,467846
Cashmere Cat     ,au,460352
Axwell /\ Ingross,au,419774
Mike Perry       ,au,348368
Michael Bublé   ,au,347413
Ariana Grande    ,au,341207
Justin Timberlake,au,318796
Wham!            ,au,271258
Jessica Mauboy   ,au,154962
Sia              ,au,154113
Miguel           ,au,132914
Hayden James     ,au,127766
Calum Scott      ,au,45423
Zay Hilfigerrr   ,au,41170
Ed Sheeran       ,be,13179035
Lil' Kleine      ,be,5535984
The Chainsmokers ,be,5227022
Luis Fonsi       ,be,4647240
Dimitri Vegas & L,be,4215136
Clean Bandit     ,be,4037126
Lost Frequencies ,be,3947574
Imagine Dragons  ,be,3849677
Post Malone      ,be,3488869
Kygo             ,be,3432471
Martin Garrix    ,be,3382700
DJ Khaled        ,be,3369795
Calvin Harris    ,be,3250640
ZAYN             ,be,3248842
Boef             ,be,3118832
Camila Cabello   ,be,3024619
Dua Lipa         ,be,2921239
Maroon 5         ,be,2723297
Jonas Blue       ,be,2618307
Charlie Puth     ,be,2616433
Axwell /\ Ingross,be,2541631
French Montana   ,be,2419271
J Balvin         ,be,2382640
Avicii           ,be,2355738
Van Echelpoel    ,be,2325418
Selena Gomez     ,be,2319044
Shawn Mendes     ,be,2285345
Marshmello       ,be,2274244
Kendrick Lamar   ,be,2186683
Regi             ,be,2099082
Sam Smith        ,be,2094898
Niska            ,be,2083645
Drake            ,be,2020737
Jax Jones        ,be,1904953
Jason Derulo     ,be,1751830
The Weeknd       ,be,1750358
David Guetta     ,be,1718823
Major Lazer      ,be,1657580
Macklemore       ,be,1650555
Damso            ,be,1567846
AJR              ,be,1516037
Lauv             ,be,1479765
Starley          ,be,1473749
Orelsan          ,be,1448938
Rita Ora         ,be,1431229
Lil Uzi Vert     ,be,1413939
Julia Michaels   ,be,1387657
Zedd             ,be,1377557
Bruno Mars       ,be,1355917
Future           ,be,1332662
Lil Pump         ,be,1296366
Demi Lovato      ,be,1292144
NF               ,be,1289858
P!nk             ,be,1280483
Kalash           ,be,1231214
Liam Payne       ,be,1204366
Logic            ,be,1201070
Sevn Alias       ,be,1178682
Justin Bieber    ,be,1150629
Niall Horan      ,be,1121431
Maggie Lindemann ,be,1109454
Portugal. The Man,be,1028643
Taylor Swift     ,be,1013420
Big Shaq         ,be,979258
Hailee Steinfeld ,be,930642
Jebroer          ,be,920675
Robin Schulz     ,be,892743
Martin Jensen    ,be,870299
James Arthur     ,be,859860
Mariah Carey     ,be,848626
Eminem           ,be,847300
Enrique Iglesias ,be,801267
Cheat Codes      ,be,783409
Louis Tomlinson  ,be,765369
Alessia Cara     ,be,711563
Booba            ,be,682396
Kraantje Pappie  ,be,680869
Petit Biscuit    ,be,657742
G-Eazy           ,be,630681
Steve Aoki       ,be,581525
Henri PFR        ,be,578314
ItaloBrothers    ,be,546766
The Vamps        ,be,536551
Katy Perry       ,be,526063
Machine Gun Kelly,be,508067
Bebe Rexha       ,be,499790
Wham!            ,be,491789
DJ Snake         ,be,490125
NEIKED           ,be,481373
Harry Styles     ,be,474354
Shakira          ,be,467368
CNCO             ,be,436617
Hans Zimmer      ,be,431629
Rag'n'Bone Man   ,be,393196
MATTN            ,be,380833
John Legend      ,be,340843
Blanche          ,be,325700
Zara Larsson     ,be,311821
Sage The Gemini  ,be,311417
JP Cooper        ,be,303349
Little Mix       ,be,292505
Jon Bellion      ,be,287419
Martin Solveig   ,be,282026
Rae Sremmurd     ,be,281555
Khalid           ,be,275050
Lady Gaga        ,be,273599
Band Aid         ,be,272661
Frank Sinatra    ,be,268141
Miley Cyrus      ,be,263609
Lorde            ,be,260888
Migos            ,be,254393
Oscar and the Wol,be,243663
Bing Crosby      ,be,239040
XXXTENTACION     ,be,237675
OneRepublic      ,be,236244
The xx           ,be,225392
Snakehips        ,be,221978
Ariana Grande    ,be,210103
Twenty One Pilots,be,180532
Brenda Lee       ,be,173783
Andy Williams    ,be,172020
Olivia Holt      ,be,162400
Armin van Buuren ,be,146030
Halsey           ,be,142574
Justin Timberlake,be,134189
Nat King Cole    ,be,123788
Michael Bublé   ,be,122873
Lord Huron       ,be,121478
Linkin Park      ,be,119609
Burl Ives        ,be,113526
Bazart           ,be,108372
Lacrim           ,be,105098
Sia              ,be,100265
Luke Christopher ,be,98782
Bobby Helms      ,be,92633
Perry Como       ,be,85560
John Lennon      ,be,85005
Cardi B          ,be,80926
Mykola Dmytrovych,be,75932
José Feliciano  ,be,72358
Vince Guaraldi Tr,be,71131
KYLE             ,be,70692
                 ,be,67599
Chris Rea        ,be,66862
Curtis Alto      ,be,65269
Dean Martin      ,be,63971
Elvis Presley    ,be,63182
Nevada           ,be,47972
Burak Yeter      ,be,46718
Paul McCartney   ,be,46124
Alok             ,be,44900
Anita Kerr Singer,be,44470
Soufiane Eddyani ,be,41463
Eartha Kitt      ,be,40831
Judy Garland     ,be,40583
The Pogues       ,be,38556
Carpenters       ,be,37061
Mike Posner      ,be,36852
Chuck Berry      ,be,34593
Coldplay         ,be,33968
Michael Jackson  ,be,33251
Fifth Harmony    ,be,32528
Johnny Hallyday  ,be,32110
Salvador Sobral  ,be,30938
Sunstroke Project,be,28543
Aaron Carter     ,be,24385
D5R              ,be,23083
Angemi           ,be,23036
Thurl Ravenscroft,be,20436
Ronnie Flex      ,be,19970
Don Omar         ,be,18962
Macklemore & Ryan,be,18447
21 Savage        ,be,18228
Marvin Gaye      ,be,15756
The Jackson 5    ,be,14211
Frenna           ,be,10685
Thomas Gold      ,be,8919
Offset           ,be,8596
Luis Fonsi       ,bo,643901
J Balvin         ,bo,579633
Piso 21          ,bo,550306
Maluma           ,bo,511847
Danny Ocean      ,bo,488107
CNCO             ,bo,444328
Sebastian Yatra  ,bo,410999
Ed Sheeran       ,bo,410967
Ozuna            ,bo,382504
Shakira          ,bo,342824
Nicky Jam        ,bo,320991
Wisin            ,bo,315651
Zion & Lennox    ,bo,295572
Daddy Yankee     ,bo,284837
The Chainsmokers ,bo,282466
Carlos Vives     ,bo,248105
Maroon 5         ,bo,216738
Natti Natasha    ,bo,203398
Bad Bunny        ,bo,199872
Yandel           ,bo,194781
Becky G          ,bo,193962
Manuel Turizo    ,bo,189516
Joey Montana     ,bo,188718
Alex Sensation   ,bo,184756
Nacho            ,bo,184411
The Weeknd       ,bo,182645
Anuel Aa         ,bo,177367
IAmChino         ,bo,149056
Farruko          ,bo,146152
Martin Garrix    ,bo,139778
Ricky Martin     ,bo,137229
DJ Snake         ,bo,133051
Abraham Mateo    ,bo,124696
Camila Cabello   ,bo,118612
ZAYN             ,bo,118139
Chris Jeday      ,bo,113121
Carlos Baute     ,bo,111137
Valentino        ,bo,110710
Enrique Iglesias ,bo,105106
Don Omar         ,bo,104011
Clean Bandit     ,bo,102039
Romeo Santos     ,bo,99467
Charly Black     ,bo,97185
Jesse & Joy      ,bo,95896
Bruno Mars       ,bo,95623
Dua Lipa         ,bo,94216
Felipe Peláez   ,bo,93727
Chino & Nacho    ,bo,93726
Xantos           ,bo,88092
Reik             ,bo,86859
Anitta           ,bo,85575
Calvin Harris    ,bo,85501
