Position,TrackName,Artist,Date,Country,Indicators
1,Hukutaan                                                                    ,Arttu Lindeman   ,01/01/2017,fi,0 1 0 0 0 0
2,Alone                                                                       ,Alan Walker      ,01/01/2017,fi,0 1 0 0 0 0
3,Loistat Pimeäs                                                             ,Mikael Gabriel   ,01/01/2017,fi,0 1 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,fi,0 1 0 0 0 0
5,Sinuhe                                                                      ,Profeetat        ,01/01/2017,fi,0 1 0 0 0 0
6,Starboy                                                                     ,The Weeknd       ,01/01/2017,fi,0 1 0 0 0 0
7,Just Hold On                                                                ,Steve Aoki       ,01/01/2017,fi,0 1 0 0 0 0
8,Tuesday                                                                     ,Burak Yeter      ,01/01/2017,fi,0 1 0 0 0 0
9,Pisamat                                                                     ,Nikke Ankara     ,01/01/2017,fi,0 1 0 0 0 0
10,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,fi,0 1 0 0 0 0
1,Hukutaan                                                                    ,Arttu Lindeman   ,02/01/2017,fi,0 1 1 0 0 0
2,Alone                                                                       ,Alan Walker      ,02/01/2017,fi,0 1 1 0 0 0
3,Loistat Pimeäs                                                             ,Mikael Gabriel   ,02/01/2017,fi,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,fi,0 1 1 0 0 0
5,Sinuhe                                                                      ,Profeetat        ,02/01/2017,fi,0 1 1 0 0 0
6,Just Hold On                                                                ,Steve Aoki       ,02/01/2017,fi,0 1 1 0 0 0
7,Starboy                                                                     ,The Weeknd       ,02/01/2017,fi,0 1 1 0 0 0
8,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,02/01/2017,fi,0 1 1 0 0 0
9,Tuesday                                                                     ,Burak Yeter      ,02/01/2017,fi,0 1 1 0 0 0
10,Pisamat                                                                     ,Nikke Ankara     ,02/01/2017,fi,0 1 1 0 0 0
1,Hukutaan                                                                    ,Arttu Lindeman   ,03/01/2017,fi,0 1 1 0 0 0
2,Alone                                                                       ,Alan Walker      ,03/01/2017,fi,0 1 1 0 0 0
3,Loistat Pimeäs                                                             ,Mikael Gabriel   ,03/01/2017,fi,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,fi,0 1 1 0 0 0
5,Just Hold On                                                                ,Steve Aoki       ,03/01/2017,fi,0 1 1 0 0 0
6,Sinuhe                                                                      ,Profeetat        ,03/01/2017,fi,0 1 1 0 0 0
7,Starboy                                                                     ,The Weeknd       ,03/01/2017,fi,0 1 1 0 0 0
8,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,03/01/2017,fi,0 1 1 0 0 0
9,Now and Later                                                               ,Sage The Gemini  ,03/01/2017,fi,0 1 1 0 0 0
10,Pisamat                                                                     ,Nikke Ankara     ,03/01/2017,fi,0 1 1 0 0 0
1,Mä hiihdän                                                                ,Antti Tuisku     ,04/01/2017,fi,0 0 1 0 0 0
2,Hukutaan                                                                    ,Arttu Lindeman   ,04/01/2017,fi,0 0 1 0 0 0
3,Alone                                                                       ,Alan Walker      ,04/01/2017,fi,0 0 1 0 0 0
4,Loistat Pimeäs                                                             ,Mikael Gabriel   ,04/01/2017,fi,0 0 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,fi,0 0 1 0 0 0
6,Sinuhe                                                                      ,Profeetat        ,04/01/2017,fi,0 0 1 0 0 0
7,Just Hold On                                                                ,Steve Aoki       ,04/01/2017,fi,0 0 1 0 0 0
8,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,04/01/2017,fi,0 0 1 0 0 0
9,Starboy                                                                     ,The Weeknd       ,04/01/2017,fi,0 0 1 0 0 0
10,Now and Later                                                               ,Sage The Gemini  ,04/01/2017,fi,0 0 1 0 0 0
1,Mä hiihdän                                                                ,Antti Tuisku     ,05/01/2017,fi,0 0 1 0 0 0
2,Alone                                                                       ,Alan Walker      ,05/01/2017,fi,0 0 1 0 0 0
3,Hukutaan                                                                    ,Arttu Lindeman   ,05/01/2017,fi,0 0 1 0 0 0
4,Loistat Pimeäs                                                             ,Mikael Gabriel   ,05/01/2017,fi,0 0 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,fi,0 0 1 0 0 0
6,Sinuhe                                                                      ,Profeetat        ,05/01/2017,fi,0 0 1 0 0 0
7,Just Hold On                                                                ,Steve Aoki       ,05/01/2017,fi,0 0 1 0 0 0
8,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,05/01/2017,fi,0 0 1 0 0 0
9,Starboy                                                                     ,The Weeknd       ,05/01/2017,fi,0 0 1 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,fi,0 0 1 0 0 0
1,Mä hiihdän                                                                ,Antti Tuisku     ,06/01/2017,fi,0 0 1 0 0 0
