Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01/01/2017,is,0 1 0 0 0 0
2,Silfurskotta                                                                ,Emmsjé Gauti    ,01/01/2017,is,0 1 0 0 0 0
3,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,is,0 1 0 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,is,0 1 0 0 0 0
5,Reykjavík                                                                  ,Emmsjé Gauti    ,01/01/2017,is,0 1 0 0 0 0
6,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,is,0 1 0 0 0 0
7,One Dance                                                                   ,Drake            ,01/01/2017,is,0 1 0 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,is,0 1 0 0 0 0
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,is,0 1 0 0 0 0
10,Fröken Reykjavík                                                          ,Friðrik Dór    ,01/01/2017,is,0 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,is,0 1 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,is,0 1 0 0 0 0
3,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,is,0 1 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,is,0 1 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,is,0 1 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,is,0 1 0 0 0 0
7,Fake Love                                                                   ,Drake            ,02/01/2017,is,0 1 0 0 0 0
8,Silfurskotta                                                                ,Emmsjé Gauti    ,02/01/2017,is,0 1 0 0 0 0
9,Lítur vel út                                                              ,Aron Can         ,02/01/2017,is,0 1 0 0 0 0
10,Black Beatles                                                               ,Rae Sremmurd     ,02/01/2017,is,0 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03/01/2017,is,0 0 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,is,0 0 0 0 0 0
3,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,is,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,is,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,is,0 0 0 0 0 0
6,Fake Love                                                                   ,Drake            ,03/01/2017,is,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,is,0 0 0 0 0 0
8,Lítur vel út                                                              ,Aron Can         ,03/01/2017,is,0 0 0 0 0 0
