Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01/01/2017,lu,1 1 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,lu,1 0 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,lu,1 0 1 0 0 0
3,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,lu,1 0 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03/01/2017,lu,1 1 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,lu,1 1 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03/01/2017,lu,1 1 1 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,lu,1 1 1 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,lu,1 1 1 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,lu,1 1 1 0 0 0
7,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,lu,1 1 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,04/01/2017,lu,1 1 1 0 1 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,lu,1 1 1 0 1 0
3,Closer                                                                      ,The Chainsmokers ,04/01/2017,lu,1 1 1 0 1 0
4,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,lu,1 1 1 0 1 0
5,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,lu,1 1 1 0 1 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/01/2017,lu,1 1 1 0 1 0
1,Starboy                                                                     ,The Weeknd       ,05/01/2017,lu,0 1 1 0 1 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,lu,0 1 1 0 1 0
3,Closer                                                                      ,The Chainsmokers ,05/01/2017,lu,0 1 1 0 1 0
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,lu,0 1 1 0 1 0
5,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,lu,0 1 1 0 1 0
6,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,lu,0 1 1 0 1 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05/01/2017,lu,0 1 1 0 1 0
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,lu,0 0 0 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,lu,0 0 0 0 0 0
3,Starboy                                                                     ,The Weeknd       ,06/01/2017,lu,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,lu,0 0 0 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,lu,0 0 0 0 0 0
6,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,06/01/2017,lu,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,06/01/2017,lu,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,06/01/2017,lu,0 0 0 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,06/01/2017,lu,0 0 0 0 0 0
10,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,lu,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,lu,0 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,lu,0 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07/01/2017,lu,0 1 1 0 0 0
4,Starboy                                                                     ,The Weeknd       ,07/01/2017,lu,0 1 1 0 0 0
5,Closer                                                                      ,The Chainsmokers ,07/01/2017,lu,0 1 1 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07/01/2017,lu,0 1 1 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,07/01/2017,lu,0 1 1 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07/01/2017,lu,0 1 1 0 0 0
9,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,lu,0 1 1 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,07/01/2017,lu,0 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,lu,1 1 1 0 0 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,lu,1 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,lu,1 1 1 0 0 0
4,Starboy                                                                     ,The Weeknd       ,08/01/2017,lu,1 1 1 0 0 0
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08/01/2017,lu,1 1 1 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,08/01/2017,lu,1 1 1 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08/01/2017,lu,1 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,lu,1 1 1 0 1 0
2,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,lu,1 1 1 0 1 0
3,Starboy                                                                     ,The Weeknd       ,09/01/2017,lu,1 1 1 0 1 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,lu,1 1 1 0 1 0
5,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,lu,1 1 1 0 1 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,lu,1 1 1 0 1 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09/01/2017,lu,1 1 1 0 1 0
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,lu,1 1 1 0 0 0
