Position,TrackName,Artist,Date,Country,Indicators
1,Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,01/01/2017,tr,0 1 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,01/01/2017,tr,0 1 1 0 0 0
3,Affet                                                                       ,Müslüm Gürses ,01/01/2017,tr,0 1 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,tr,0 1 1 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,tr,0 1 1 0 0 0
6,Closer                                                                      ,The Chainsmokers ,01/01/2017,tr,0 1 1 0 0 0
7,Haydi Söyle                                                                ,Kalben           ,01/01/2017,tr,0 1 1 0 0 0
8,Heathens                                                                    ,Twenty One Pilots,01/01/2017,tr,0 1 1 0 0 0
9,One Dance                                                                   ,Drake            ,01/01/2017,tr,0 1 1 0 0 0
10,Lost on You                                                                 ,LP               ,01/01/2017,tr,0 1 1 0 0 0
1,Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,02/01/2017,tr,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,02/01/2017,tr,0 0 0 0 0 0
3,Affet                                                                       ,Müslüm Gürses ,02/01/2017,tr,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,tr,0 0 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,tr,0 0 0 0 0 0
6,Closer                                                                      ,The Chainsmokers ,02/01/2017,tr,0 0 0 0 0 0
7,366.Gün                                                                    ,Sagopa Kajmer    ,02/01/2017,tr,0 0 0 0 0 0
8,Haydi Söyle                                                                ,Kalben           ,02/01/2017,tr,0 0 0 0 0 0
9,Lost on You                                                                 ,LP               ,02/01/2017,tr,0 0 0 0 0 0
10,Heathens                                                                    ,Twenty One Pilots,02/01/2017,tr,0 0 0 0 0 0
1,Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,03/01/2017,tr,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,03/01/2017,tr,0 0 0 0 0 0
3,Affet                                                                       ,Müslüm Gürses ,03/01/2017,tr,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,tr,0 0 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,tr,0 0 0 0 0 0
6,366.Gün                                                                    ,Sagopa Kajmer    ,03/01/2017,tr,0 0 0 0 0 0
7,Haydi Söyle                                                                ,Kalben           ,03/01/2017,tr,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,03/01/2017,tr,0 0 0 0 0 0
9,Lost on You                                                                 ,LP               ,03/01/2017,tr,0 0 0 0 0 0
10,Heathens                                                                    ,Twenty One Pilots,03/01/2017,tr,0 0 0 0 0 0
1,Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,04/01/2017,tr,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,04/01/2017,tr,0 0 0 0 0 0
3,Affet                                                                       ,Müslüm Gürses ,04/01/2017,tr,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,tr,0 0 0 0 0 0
5,366.Gün                                                                    ,Sagopa Kajmer    ,04/01/2017,tr,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,tr,0 0 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,04/01/2017,tr,0 0 0 0 0 0
