Date,TEMP, VISIB,  WDSP,PRCP  , FRSHTT,Country
20170101,31,6.1,4.1, 0.00G,10000,ar
20170102,26,6.2,5.8, 0.00I,0,ar
20170103,26,6.2,5.6, 0.39A,10000,ar
20170104,26,6.2,2.2, 0.00A,0,ar
20170105,23,6.2,2.4, 0.00I,0,ar
20170106,23,6.2,5.5, 0.00I,0,ar
20170107,29,6.2,5, 0.00I,0,ar
20170108,25,5.8,3.4, 1.50G,10010,ar
20170109,26,6.1,2.5, 0.00G,0,ar
20170110,21,6.2,2.6, 1.18G,0,ar
20170111,25,6.2,5.2, 0.00G,0,ar
20170112,27,6.2,4.9, 0.00I,0,ar
20170113,28,6.2,6.1,99.99,10000,ar
20170114,23,6.2,5.5, 0.00G,0,ar
20170115,23,6.2,4, 0.00B,10000,ar
20170116,24,5.3,3.9, 0.47G,10000,ar
20170117,26,6.2,5.1, 0.08G,10000,ar
20170118,27,6.2,3.9, 0.00G,0,ar
20170119,27,6.2,5.3, 0.00I,0,ar
20170120,28,6.2,6.8, 0.00I,0,ar
20170121,29,6.2,5.4, 0.00I,0,ar
20170122,28,6.2,4.4, 0.00I,0,ar
20170123,27,6.2,5, 0.00I,0,ar
20170124,28,6.2,4.6, 0.00I,0,ar
20170125,21,6.2,5.5, 0.35G,0,ar
20170126,19,6.2,7.2, 0.00G,0,ar
20170127,21,6.2,4.3, 0.00I,0,ar
20170128,24,6.2,4.6, 0.00I,0,ar
20170129,27,6.2,7.1, 0.00I,0,ar
20170130,29,6.2,5.6, 0.00I,0,ar
20170131,27,6.2,3.9, 0.08G,10010,ar
20170201,25,6.2,5.5, 0.20G,10000,ar
20170202,24,6.2,4.2, 0.00G,0,ar
20170203,25,6.2,4.2, 0.00I,0,ar
20170204,26,6.2,5.1, 0.00I,0,ar
20170205,20,5.8,5, 0.63G,10000,ar
20170206,19,6.2,5.9, 0.08G,0,ar
20170207,20,6.2,1.5, 0.00G,0,ar
20170208,23,6.2,6, 0.00I,0,ar
20170209,24,6.2,3.8, 0.00I,0,ar
20170210,24,5.8,4.2,99.99,10010,ar
20170211,23,6.2,4.7, 0.16G,0,ar
20170212,22,5,4, 0.20G,10000,ar
20170213,21,5.8,7.1, 1.38G,10000,ar
20170214,22,5.9,3.6, 1.02G,10000,ar
20170215,25,6.2,1.8, 0.12G,0,ar
20170216,27,6.1,2.8, 0.00G,10010,ar
20170217,26,6.2,5.6, 0.02G,0,ar
20170218,26,6.1,4.1, 0.16G,10000,ar
20170219,26,6.2,2.5, 0.00G,0,ar
20170220,28,6.2,4.2, 0.00I,0,ar
20170221,29,6.1,3.6,99.99,10010,ar
20170222,26,6.1,3.8, 1.30G,10010,ar
20170223,28,6.2,1.9, 0.67G,10,ar
20170224,28,6.2,2, 0.00G,0,ar
20170225,28,6.2,2.2, 0.00I,0,ar
20170226,29,6.2,3.3, 0.00I,0,ar
20170227,29,6.2,4.3, 0.00I,0,ar
20170228,28,6.2,2.2, 0.00G,0,ar
20170301,29,6.2,3, 0.00I,0,ar
20170302,29,6.2,4, 0.00I,0,ar
20170303,23,6.2,7, 0.02G,10010,ar
20170304,22,5.8,3.5, 0.00G,10000,ar
20170305,21,6.2,2.5, 0.00G,0,ar
20170306,25,6.2,4.1, 0.00I,0,ar
20170307,22,6.2,3.1, 0.00I,0,ar
20170308,24,6.1,7, 0.00B,10000,ar
20170309,24,5.6,6.5, 1.65G,10010,ar
20170310,21,6.2,5.3, 0.00G,0,ar
20170311,19,6.1,3.1, 0.00B,10000,ar
20170312,20,6.2,5.8, 0.00G,0,ar
20170313,20,6.2,3.4, 0.00I,0,ar
20170314,22,6.2,3.4, 0.00I,0,ar
20170315,21,5.9,3.9, 0.08A,10000,ar
20170316,17,6,5.3, 1.18G,10000,ar
20170317,16,6.2,1.8, 0.00G,0,ar
20170318,18,6.2,3, 0.00I,0,ar
20170319,20,6.2,3, 0.00I,0,ar
20170320,21,6.2,5, 0.00I,0,ar
20170321,22,6.2,3.6, 0.00I,0,ar
20170322,22,6.2,4.5, 0.00I,0,ar
20170323,23,6.2,2.4, 0.00I,10,ar
20170324,23,6.2,2.1, 0.51A,0,ar
20170325,24,6.2,2.6, 0.00I,0,ar
20170326,23,6.2,6.5,99.99,10000,ar
20170327,24,6.2,5.1, 0.00G,0,ar
20170328,24,6.2,5.5, 0.00I,0,ar
20170329,23,6.2,8, 0.00I,0,ar
20170330,23,6.2,7.5, 0.00I,0,ar
20170331,23,6.2,4.7, 0.01G,0,ar
20170401,24,6.2,7.6, 0.00G,0,ar
20170402,21,6,7.1, 0.01A,10000,ar
20170403,20,6.1,1.5, 0.35G,10000,ar
20170404,20,6.1,1.1, 0.00G,0,ar
20170405,22,6.2,2.6, 0.00I,0,ar
20170406,20,6.2,2.7, 0.00I,0,ar
20170407,22,6.2,5.6, 0.00I,0,ar
20170408,22,6.1,4.6,99.99,10000,ar
20170409,22,5.6,3.9, 1.50G,10000,ar
20170410,20,5.5,6.5, 0.75G,10000,ar
20170411,17,6.2,3.7, 0.47G,10000,ar
20170412,15,6.2,2.8, 0.00G,0,ar
20170413,15,6.2,1.6, 0.00I,0,ar
20170414,17,6.2,2.5, 0.00I,0,ar
20170415,19,6.2,2.9, 0.00I,0,ar
20170416,18,6.2,6.3, 0.00I,0,ar
20170417,16,6.1,2.6, 0.00G,10000,ar
20170418,17,6.2,3.3, 0.00G,0,ar
20170419,18,5.7,3.5, 0.00G,10000,ar
20170420,20,6.1,3.4, 0.04G,10000,ar
20170421,20,6.2,3.7, 0.00G,0,ar
20170422,15,6.2,2, 0.00I,0,ar
20170423,16,6.2,3.4, 0.00I,0,ar
20170424,20,6.2,4.9, 0.00I,0,ar
20170425,15,5.6,2.5, 0.75A,10000,ar
20170426,13,6.1,9, 1.54G,10000,ar
20170427,15,6.2,4.8, 0.00G,0,ar
20170428,18,6.2,7, 0.00I,0,ar
20170429,19,6.2,3.6, 0.00I,0,ar
20170430,19,6.2,4.1, 0.00I,0,ar
20170501,20,6.2,3.1, 0.00I,0,ar
20170502,19,6.2,4, 0.00I,0,ar
20170503,19,6.2,1.7, 0.01G,10,ar
20170504,20,6.2,2.8, 0.00G,0,ar
20170505,20,6.2,1.7, 0.00I,0,ar
20170506,20,6.2,4.6, 0.00I,0,ar
20170507,20,6.1,5.6, 0.24A,10000,ar
20170508,19,5.7,3.4, 4.13G,10010,ar
20170509,15,6.2,4.1, 0.24G,0,ar
20170510,13,6.2,2.7, 0.00G,0,ar
20170511,14,6.2,5.4, 0.00I,0,ar
20170512,15,5.5,4.6, 0.43G,10000,ar
20170513,16,5.7,2.8, 0.20G,0,ar
20170514,15,6.2,1.2, 0.00G,0,ar
20170515,16,6.2,2.4, 0.00I,0,ar
20170516,14,6.1,1.8, 0.00I,0,ar
20170517,15,6.2,4, 0.00I,0,ar
20170518,16,6.1,5.1, 0.00G,10000,ar
20170519,17,5.6,4.8, 0.20G,10000,ar
20170520,11,6.1,5.2, 0.00G,10000,ar
20170521,13,6.1,5.5, 0.16G,10000,ar
20170522,15,6.2,2.4, 0.01G,0,ar
20170523,17,6.2,3.6, 0.00G,0,ar
20170524,17,6.1,1.5, 0.00A,10000,ar
20170525,16,6.1,1.8, 0.08G,10000,ar
20170526,14,6.2,4, 0.08G,0,ar
20170527,11,6.2,3.7, 0.00G,0,ar
20170528,12,6.1,4.2, 0.00A,10000,ar
20170529,12,6,2.7, 0.02G,0,ar
20170530,11,6.2,2.6, 0.00G,0,ar
20170531,11,6.2,2.5, 0.00I,0,ar
20170601,10,5,1.1, 0.00I,100000,ar
20170602,11,5.8,1.9, 0.00I,0,ar
20170603,14,6.2,3.8, 0.00I,0,ar
20170604,12,5,2, 0.00I,0,ar
20170605,9,6.2,2.1, 0.00I,0,ar
20170606,9,6.1,1.4, 0.00I,0,ar
20170607,11,6.2,3.1, 0.00I,0,ar
20170608,12,6.1,3.1, 0.00B,10000,ar
20170609,10,6.2,3, 0.00G,0,ar
20170610,14,6.2,3.5, 0.00I,0,ar
20170611,13,6.2,2.5, 0.00I,0,ar
20170612,8,6.2,2.1, 0.00I,0,ar
20170613,12,6.2,2.2, 0.00I,0,ar
20170614,14,5.6,3.1, 0.00I,0,ar
20170615,15,6.2,7.4, 0.00I,0,ar
20170616,20,6.2,5.5, 0.00G,10000,ar
20170617,21,6.2,5.2, 0.00G,10000,ar
20170618,10,6.2,7.9, 0.00G,0,ar
20170619,7,6.2,5, 0.00G,0,ar
20170620,7,6.2,1.7, 0.00I,0,ar
20170621,11,6.2,4.6, 0.00I,0,ar
20170622,15,6.2,5.1, 0.00I,0,ar
20170623,19,6.2,4.4, 0.00I,0,ar
20170624,19,6.2,2.7, 0.00I,0,ar
20170625,21,6.2,5.1, 0.00I,0,ar
20170626,20,6.2,4.2, 0.00I,0,ar
20170627,18,6.1,4.9, 0.00G,10000,ar
20170628,13,6.1,3, 0.01G,10000,ar
20170629,11,6.2,2.2, 0.00G,0,ar
20170630,13,6.2,2.6, 0.00I,0,ar
20170701,12,6.2,2.1, 0.00I,0,ar
20170702,14,6.2,4.7, 0.00I,0,ar
20170703,14,6.2,8.8, 0.00I,0,ar
20170704,15,6.2,8.8, 0.00I,0,ar
20170705,15,6.1,8.6, 0.20A,10000,ar
20170706,10,6.1,3.2, 0.28B,10000,ar
20170707,12,5.7,4.9, 0.20D,10000,ar
20170708,14,5.8,3.7, 1.54G,10000,ar
20170709,11,5.7,1.8, 0.00G,10010,ar
20170710,11,6,2.8, 1.22G,10000,ar
20170711,9,6.2,4.4, 0.08G,0,ar
20170712,14,6,5.5, 0.00G,10000,ar
20170713,19,6.2,4.5, 0.00I,0,ar
20170714,15,6,5.4, 0.01G,10000,ar
20170715,14,4.5,5.7, 0.12G,110000,ar
20170716,7,6.2,8.3, 0.39G,0,ar
20170717,5,6.2,5.9, 0.00G,0,ar
20170718,8,6.2,4.3, 0.00I,0,ar
20170719,10,6.2,6.4, 0.00I,0,ar
20170720,12,6.2,5.6, 0.00I,0,ar
20170721,12,6.2,3, 0.00I,0,ar
20170722,13,6.2,4.4, 0.00I,0,ar
20170723,14,6.2,4.2, 0.00I,0,ar
20170724,13,6.1,5, 0.47G,10000,ar
20170725,12,6.2,4.9, 0.00G,0,ar
20170726,15,6.1,3.5, 0.20G,10000,ar
20170727,18,4.9,3, 0.00G,0,ar
20170728,20,6.2,6.6, 0.00I,0,ar
20170729,20,6.2,4.8, 0.00I,0,ar
20170730,12,6.1,8.6, 0.02A,10000,ar
20170731,11,6.1,6.4, 0.12G,10000,ar
20170801,13,5.7,4.2, 0.04G,10000,ar
20170802,12,6.1,2.8, 0.02G,0,ar
20170803,12,5.9,2.7, 0.00G,0,ar
20170804,12,6.1,2.7, 0.00I,0,ar
20170805,15,6.2,5.3, 0.00I,0,ar
20170806,17,6.2,5.6, 0.00I,0,ar
20170807,17,6.2,3.1, 0.00I,0,ar
20170808,14,6.2,5.8, 0.24G,10000,ar
20170809,13,6.2,5.5, 0.00G,0,ar
20170810,15,6.2,7.9, 0.00I,0,ar
20170811,16,5.8,7.8, 0.87G,10010,ar
20170812,15,5.7,3.2, 0.24G,10000,ar
20170813,12,6.2,3.2, 0.04G,0,ar
20170814,14,6.2,3.8, 0.00G,0,ar
20170815,15,6.2,3.1, 0.00I,0,ar
20170816,13,6.2,2.1, 0.00I,0,ar
20170817,15,6.2,5, 0.00I,0,ar
20170818,18,6.2,6.4, 0.00I,0,ar
20170819,16,5.9,3.7, 0.39G,10000,ar
20170820,12,6.2,4.2, 0.02G,0,ar
20170821,11,6.2,4.1, 0.00G,0,ar
20170822,13,6.2,11.6, 0.00I,0,ar
20170823,17,6.2,7.5, 0.00I,0,ar
20170824,20,6,3.1, 0.04G,10000,ar
20170825,19,5.8,2.5, 0.12G,10010,ar
20170826,14,5.7,4.8, 0.79G,10000,ar
20170827,15,5.3,3.9, 0.02G,10000,ar
20170828,18,6.1,4.6, 0.00G,0,ar
20170829,19,6.1,4.3, 0.12G,10010,ar
20170830,12,6.1,6.7, 0.01G,10000,ar
