STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
869100,99999,20170101,77.7,24,62.9,24,1012,24,924.9,24,999.9,0,4.2,24,9.3,35,89.2,65.7, 0.00I,999.9,0,br
869100,99999,20170102,77.4,23,62.7,23,1011.1,23,924.1,23,999.9,0,4.4,23,9.1,19,88.9,70.9, 0.00I,999.9,0,br
869100,99999,20170103,75,23,63.8,23,1012,23,924.5,23,999.9,0,4.3,23,9.3,22.9,88.7,  67.5*, 0.00I,999.9,0,br
869100,99999,20170104,75.1,24,62.2,24,1012.2,24,924.7,24,999.9,0,3.9,24,9.5,22.7,86.2,67.5, 0.00I,999.9,0,br
869100,99999,20170105,78.4,22,62.9,22,1012.6,22,925.6,22,999.9,0,4.7,22,9.9,23.3,88.3,73.6, 0.00I,999.9,0,br
869100,99999,20170106,76.8,24,62.8,24,1013.6,24,926.3,24,999.9,0,3.9,24,7.4,16.5,87.4,71.8, 0.00I,999.9,0,br
869100,99999,20170107,74.2,23,65.5,23,1014.2,23,926.4,23,999.9,0,2.8,23,17.7,42.5,87.3,66, 0.00I,999.9,0,br
869100,99999,20170108,74.8,24,66.6,24,1011.8,24,924.3,24,999.9,0,2.7,24,6.2,25.4,87.8,68.7, 0.00I,999.9,0,br
869100,99999,20170109,76.7,24,65.1,24,1009.6,24,922.6,24,999.9,0,3.5,24,11.8,30.5,87.4,70, 0.00I,999.9,0,br
869100,99999,20170110,76.1,24,64.2,24,1009.1,24,922.1,24,999.9,0,6,24,11.5,20,86.9,69.3, 0.00I,999.9,0,br
869100,99999,20170111,75.5,24,65.9,24,1010.5,24,923.2,24,999.9,0,3.1,24,5.4,22.1,86.5,70.3, 0.00I,999.9,0,br
869100,99999,20170112,72.7,24,65,24,1012.6,24,924.7,24,999.9,0,4,24,7,17.7,78.6,69.4, 0.00I,999.9,0,br
869100,99999,20170113,72.3,23,63.2,23,1012.5,23,924.6,23,999.9,0,3.4,23,6.2,15.2,83.3,66.6, 0.00I,999.9,0,br
869100,99999,20170114,75.7,24,62.9,24,1009.6,24,922.5,24,999.9,0,3.2,24,11.1,21.2,90.3,69.3, 0.00I,999.9,0,br
869100,99999,20170115,75.6,23,64.5,23,1009.2,23,922,23,999.9,0,3.1,23,5.8,17.3,87.4,  69.3*, 0.00I,999.9,0,br
869100,99999,20170116,74.1,22,65.6,22,1010,22,922.5,22,999.9,0,3,22,7.4,22,84.7,65.8, 0.00I,999.9,0,br
869100,99999,20170117,70.8,21,64.2,21,1009.9,21,922,21,999.9,0,5.1,21,9.9,24.5,75.2,66.6, 0.00I,999.9,0,br
869100,99999,20170118,70.1,21,65,21,1011,21,922.9,21,999.9,0,2.9,21,5.1,15.3,74.1,67.8, 0.00I,999.9,0,br
869100,99999,20170119,70.2,24,64.1,24,1014.5,24,926,24,999.9,0,2.8,24,6.4,14.8,78.8,67.1, 0.00I,999.9,0,br
869100,99999,20170120,68.3,24,63,24,1017.2,24,928.2,24,999.9,0,1.7,24,3.9,12.4,76.5,65.5, 0.00I,999.9,0,br
869100,99999,20170121,67.5,24,63.8,24,1016.9,24,927.8,24,999.9,0,2.8,24,6,13,71.8,64.4, 0.00I,999.9,0,br
869100,99999,20170122,66,24,61.4,24,1015.4,24,926.2,24,999.9,0,1.9,24,5.2,11.7,72.7,62.8, 0.00I,999.9,0,br
869100,99999,20170123,70.3,23,63,23,1013.9,23,925.5,23,999.9,0,2,23,4.5,24.9,78.6,65.3, 0.00I,999.9,0,br
869100,99999,20170124,74.3,23,63.5,23,1013,23,925.3,23,999.9,0,3.5,23,9.3,29.9,85.3,67.3, 0.00I,999.9,0,br
869100,99999,20170125,74.9,24,63.8,24,1012.3,24,924.8,24,999.9,0,5.4,24,10.1,24.7,83.1,69.8, 0.00I,999.9,0,br
869100,99999,20170126,71.9,23,63.9,23,1013.2,23,925.1,23,999.9,0,3.7,23,7.6,33.6,77.5,66.6, 0.00I,999.9,0,br
869100,99999,20170127,72.1,18,64.9,18,1016.1,18,927.8,18,999.9,0,2.1,18,5.1,13.2,78.8,68.2, 0.00I,999.9,0,br
869100,99999,20170128,76.4,16,65.5,16,1017.1,16,929.4,16,999.9,0,5.1,16,8.7,17.3,86.2,69.4, 0.00I,999.9,0,br
869100,99999,20170129,76.6,23,63.5,23,1017.1,23,929.4,23,999.9,0,4.4,23,10.1,19,90.7,69.6, 0.00I,999.9,0,br
869100,99999,20170130,74.6,24,63.8,24,1016.8,24,928.8,24,999.9,0,4.9,24,8.9,26.6,84.7,66.2, 0.00I,999.9,0,br
869100,99999,20170131,73.8,24,63.2,24,1015.6,24,927.6,24,999.9,0,4.3,24,7,16.3,84.9,68.2, 0.00I,999.9,0,br
869100,99999,20170201,70.7,24,62.4,24,1013.5,24,925.2,24,999.9,0,2.8,24,8,14.2,81.9,66.4, 0.00I,999.9,0,br
869100,99999,20170202,72.7,23,62.8,23,1011,23,923.3,23,999.9,0,3.7,23,7.6,18.8,81.3,66.7, 0.00I,999.9,0,br
869100,99999,20170203,73.8,24,62.5,24,1011.1,24,923.5,24,999.9,0,4.5,24,9.3,29.9,84.4,68.9, 0.00I,999.9,0,br
869100,99999,20170204,72.6,24,64.8,24,1011.7,24,923.8,24,999.9,0,3.5,24,8.9,34.8,82.9,67.6, 0.00I,999.9,0,br
869100,99999,20170205,76.3,24,64.7,24,1010.1,24,923,24,999.9,0,3.2,24,7.2,17.7,88.9,67.3, 0.00I,999.9,0,br
869100,99999,20170206,75.8,24,63.8,24,1008.9,24,921.8,24,999.9,0,3.5,24,9.7,26.8,87.8,67.5, 0.00I,999.9,0,br
869100,99999,20170207,73.6,24,64.3,24,1010.3,24,922.8,24,999.9,0,3.2,24,8.4,22.1,84.7,66.6, 0.00I,999.9,0,br
869100,99999,20170208,74.5,24,62.7,24,1012.8,24,925.1,24,999.9,0,5.8,24,9.3,18.1,83.7,69.1, 0.00I,999.9,0,br
869100,99999,20170209,72.7,24,58.5,24,1014.3,24,926.3,24,999.9,0,5.8,24,8.9,18.1,82.2,66.2, 0.00I,999.9,0,br
869100,99999,20170210,73,24,61,24,1013.4,24,925.5,24,999.9,0,5.6,24,8,18.5,84.9,67.5, 0.00I,999.9,0,br
869100,99999,20170211,77.4,24,62.4,24,1011.1,24,924.1,24,999.9,0,4.6,24,7.8,15.7,88.2,69.8, 0.00I,999.9,0,br
869100,99999,20170212,78.2,24,62.6,24,1009.5,24,922.8,24,999.9,0,3.8,24,6.2,18.6,88.9,70.7, 0.00I,999.9,0,br
869100,99999,20170213,79.9,24,59.4,24,1010.2,24,923.6,24,999.9,0,4,24,6.2,17.7,88.9,72.3, 0.00I,999.9,0,br
869100,99999,20170214,79.5,24,60,24,1014.4,24,927.4,24,999.9,0,3.7,24,5.8,14.2,90.3,  70.2*, 0.00I,999.9,0,br
869100,99999,20170215,79.6,24,61.4,24,1017.6,24,930.3,24,999.9,0,3.8,24,6.2,16.1,90.1,71.6, 0.00I,999.9,0,br
869100,99999,20170216,77.9,24,62.5,24,1016.3,24,928.9,24,999.9,0,3.5,24,6.8,16.5,90,70, 0.00I,999.9,0,br
869100,99999,20170217,79.3,24,60.3,24,1013,24,926.1,24,999.9,0,3.5,24,6.4,16.9,92.3,69.6, 0.00I,999.9,0,br
869100,99999,20170218,80.2,24,55.2,24,1012.7,24,926,24,999.9,0,2.8,24,6,16.5,93,69.6, 0.00I,999.9,0,br
869100,99999,20170219,80.7,24,59.6,24,1014.1,24,927.3,24,999.9,0,2.8,24,7.8,14.8,93.7,72, 0.00I,999.9,0,br
869100,99999,20170220,77.8,24,61.2,24,1016.1,24,928.7,24,999.9,0,4.4,24,9.1,19.2,93,70.2, 0.00I,999.9,0,br
869100,99999,20170221,76.1,24,61.4,24,1016.4,24,928.7,24,999.9,0,5,24,8.4,18.5,90,67.6, 0.00I,999.9,0,br
869100,99999,20170222,76,23,60.6,23,1014.8,23,927.3,23,999.9,0,3.2,23,5.6,19.8,91.6,68.9, 0.00I,999.9,0,br
869100,99999,20170223,79.6,24,59.5,24,1012.9,24,926,24,999.9,0,3.1,24,6.2,15.7,91,70.3, 0.00I,999.9,0,br
869100,99999,20170224,75.8,24,62.6,24,1012.4,24,925,24,999.9,0,4,24,8.9,34.2,85.6,64.6, 0.00I,999.9,0,br
869100,99999,20170225,69.9,24,60.9,24,1013,24,924.6,24,999.9,0,3.6,24,6.4,15.7,75.6,65.8, 0.00I,999.9,0,br
869100,99999,20170226,72.6,23,62.8,23,1012.7,23,924.8,23,999.9,0,2.5,23,6.2,22.3,82.4,67.3, 0.00I,999.9,0,br
869100,99999,20170227,72.9,24,63,24,1012.1,24,924.3,24,999.9,0,3.4,24,8.2,21,84.7,67.8, 0.00I,999.9,0,br
869100,99999,20170228,75.1,24,62.4,24,1009.5,24,922.2,24,999.9,0,4.4,24,8.5,20.8,86.2,66.2, 0.00I,999.9,0,br
869100,99999,20170301,78.2,24,63,24,1008.1,24,921.4,24,999.9,0,4,24,10.5,21.2,87.6,70.2, 0.00I,999.9,0,br
869100,99999,20170302,77.4,24,63.3,24,1011,24,924,24,999.9,0,4.8,24,9.1,19.2,83.8,73, 0.00I,999.9,0,br
869100,99999,20170303,72.8,24,65.1,24,1014.1,24,926.1,24,999.9,0,3.4,24,7.6,17.9,83.3,  68.4*, 0.00I,999.9,0,br
869100,99999,20170304,74.4,24,64.7,24,1011.2,24,923.7,24,999.9,0,5.2,24,10.9,20.6,83.8,69.6, 0.00I,999.9,0,br
869100,99999,20170305,74,24,65.4,24,1009.2,24,921.8,24,999.9,0,5.4,24,10.7,21.2,84.4,68.2, 0.00I,999.9,0,br
869100,99999,20170306,72.1,24,67,24,1011.7,24,923.8,24,999.9,0,2,24,4.7,14.4,82.2,68, 0.00I,999.9,0,br
869100,99999,20170307,73.6,22,65.3,22,1013.8,22,926,22,999.9,0,3.1,22,7,27.4,85.5,62.4, 0.00I,999.9,0,br
869100,99999,20170308,73,24,66.1,24,1014.4,24,926.4,24,999.9,0,4.6,24,6.4,15.7,83.3,66, 0.00I,999.9,0,br
869100,99999,20170309,76.2,24,64.7,24,1012.3,24,924.9,24,999.9,0,5,24,6.6,17.3,88,69.1, 0.00I,999.9,0,br
869100,99999,20170310,77.9,23,65.4,23,1012.3,23,925.2,23,999.9,0,2.7,23,11.1,24.5,88,70.2, 0.00I,999.9,0,br
869100,99999,20170311,76.9,24,65.6,24,1013.6,24,926.3,24,999.9,0,3,24,7,17.3,87.1,71.8, 0.00I,999.9,0,br
869100,99999,20170312,78.5,24,62.8,24,1012.2,24,925.2,24,999.9,0,4.6,24,8.5,19.2,88.7,69.6, 0.00I,999.9,0,br
869100,99999,20170313,74,24,64,24,1013.1,24,925.4,24,999.9,0,3.9,24,7.2,21.6,81.5,  70.2*, 0.00I,999.9,0,br
869100,99999,20170314,71,24,63.1,24,1015.6,24,927.2,24,999.9,0,5.3,24,6.8,15.3,78.6,67.1, 0.00I,999.9,0,br
869100,99999,20170315,73.2,24,63.6,24,1015.3,24,927.3,24,999.9,0,4.6,24,6.6,16.1,82.9,67.8, 0.00I,999.9,0,br
869100,99999,20170316,76,24,61.9,24,1013.4,24,925.9,24,999.9,0,4.1,24,8,17.7,86.4,67.3, 0.00I,999.9,0,br
869100,99999,20170317,74.7,24,64,24,1013.1,24,925.5,24,999.9,0,3,24,8,23.3,85.3,66.9, 0.00I,999.9,0,br
869100,99999,20170318,67.4,24,61.3,24,1017.3,24,928.2,24,999.9,0,5.1,24,9.7,19,71.6,65.3, 0.00I,999.9,0,br
869100,99999,20170319,64,24,59.1,24,1018.5,24,928.7,24,999.9,0,4.3,24,7.2,14.6,67.1,61.7, 0.00I,999.9,0,br
869100,99999,20170320,67.1,24,57,24,1018.8,24,929.5,24,999.9,0,5.4,24,10.3,20,76.8,63.7, 0.00I,999.9,0,br
869100,99999,20170321,66.8,23,56.4,23,1020.4,23,930.8,23,999.9,0,4.3,23,7.6,16.9,77.9,59.9, 0.00I,999.9,0,br
869100,99999,20170322,69.2,24,57.2,24,1019.8,24,930.7,24,999.9,0,4.8,24,8,16.9,80.8,61.7, 0.00I,999.9,0,br
869100,99999,20170323,69.5,23,57.5,23,1017.3,23,928.5,23,999.9,0,5,23,7.6,18.3,81.3,61.9, 0.00I,999.9,0,br
869100,99999,20170324,71.4,24,59.2,24,1014.2,24,925.9,24,999.9,0,3.4,24,5.1,13.8,84.6,63.5, 0.00I,999.9,0,br
869100,99999,20170325,71.8,23,61.2,23,1013.4,23,925.3,23,999.9,0,2.5,23,7.4,15.5,81.7,67.1, 0.00I,999.9,0,br
869100,99999,20170326,69.5,24,57.9,24,1014.8,24,926.2,24,999.9,0,3.6,24,8.5,16.7,79.5,62.8, 0.00I,999.9,0,br
869100,99999,20170327,68.5,24,58.3,24,1015.5,24,926.7,24,999.9,0,3.6,24,5.8,14.2,76.5,  63.9*, 0.00I,999.9,0,br
869100,99999,20170328,69.4,24,57.8,24,1016.2,24,927.5,24,999.9,0,5.4,24,8.2,19.2,79.2,65.1, 0.00I,999.9,0,br
869100,99999,20170329,67.8,24,55.5,24,1017.3,24,928.2,24,999.9,0,5.3,24,8,19.6,77,62.4, 0.00I,999.9,0,br
869100,99999,20170330,67.1,24,55.3,24,1016.6,24,927.4,24,999.9,0,4.6,24,8.2,18.8,77.7,61.9, 0.00I,999.9,0,br
