STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
784790,99999,20170101,79.1,24,71.4,24,1018.7,8,9999.9,0,7,24,11.5,24,15.5,999.9,84.6,69.1, 0.18G,999.9,10000,do
784790,99999,20170102,79.6,24,70.7,24,1019.4,7,9999.9,0,7.2,24,12.2,24,15.9,999.9,83.3,73.4, 0.00I,999.9,0,do
784790,99999,20170103,78.7,23,70.6,22,1016.7,7,9999.9,0,7.5,23,9.6,23,14,999.9,84.2,73.8, 0.00I,999.9,0,do
784790,99999,20170104,78.2,24,71,24,1014.8,6,9999.9,0,7.1,24,7.3,23,38.9,999.9,87.1,67.1, 0.35G,999.9,10000,do
784790,99999,20170105,73.4,24,67.7,24,1015.1,8,9999.9,0,7.5,24,4.3,19,14,999.9,84.2,64.4, 0.00G,999.9,0,do
784790,99999,20170106,75.8,24,69.6,24,1016.8,8,9999.9,0,7.5,24,4.5,22,9.9,999.9,84.2,64.4, 0.00I,999.9,0,do
784790,99999,20170107,79.4,24,71.2,24,1018.4,8,9999.9,0,7.5,24,9.4,24,15.9,999.9,84.2,66.6, 0.05G,999.9,0,do
784790,99999,20170108,76,24,70.5,24,1018.3,8,9999.9,0,7.1,24,4.3,21,9.9,999.9,84.2,70.5, 0.00G,999.9,10000,do
784790,99999,20170109,75.7,24,69.9,24,1018.3,6,9999.9,0,7.3,24,7,22,15.9,999.9,83.5,70.5, 0.00I,999.9,0,do
784790,99999,20170110,74,23,70.4,23,1017,7,9999.9,0,6,23,10.7,23,19,24.1,82.4,70.9, 0.36G,999.9,10000,do
784790,99999,20170111,76.7,23,66.9,22,1017.8,6,9999.9,0,7.1,23,9.8,23,15.5,999.9,82.6,71.6, 0.46G,999.9,10000,do
784790,99999,20170112,75.4,24,64.2,23,1019,8,9999.9,0,7.2,24,10.7,24,15,999.9,82.6,73.4, 0.00G,999.9,10000,do
784790,99999,20170113,74.7,24,66.5,24,1018.9,7,9999.9,0,6.8,24,10.1,24,14,999.9,83.1,69.8, 0.12G,999.9,10000,do
784790,99999,20170114,76.6,24,68.4,24,1018,7,9999.9,0,6.8,24,11.6,24,29.1,48.6,83.1,68, 0.08G,999.9,10000,do
784790,99999,20170115,75.7,24,69,24,1017.6,7,9999.9,0,6.9,24,10.2,24,18.1,999.9,   80.6*,  60.8*, 0.57G,999.9,10000,do
784790,99999,20170116,77.2,24,68.1,24,1018,7,9999.9,0,7.3,24,12.4,24,19,28,83.1,70.5, 0.00G,999.9,0,do
784790,99999,20170117,77.9,23,67.5,23,1018.7,8,9999.9,0,7.3,23,14.4,23,20,999.9,82.4,70.5, 0.01G,999.9,10000,do
784790,99999,20170118,76,22,66.9,22,1018.7,7,9999.9,0,7.3,22,12.9,22,19,999.9,82.4,61.7, 0.14G,999.9,10000,do
784790,99999,20170119,69.5,24,61.6,24,1016.1,6,9999.9,0,7.3,24,4,22,8,999.9,82.4,58.1, 0.00G,999.9,0,do
784790,99999,20170120,70.9,24,64.7,24,1016,7,9999.9,0,7.3,24,4.4,22,9.9,999.9,80.6,58.1, 0.00I,999.9,0,do
784790,99999,20170121,69.9,24,64.8,24,1016.4,7,9999.9,0,7.2,24,4,23,12,999.9,80.6,59, 0.04G,999.9,10000,do
784790,99999,20170122,71.2,24,64.6,24,1015.8,7,9999.9,0,7.3,24,3.7,19,9.9,999.9,81.5,59, 0.00G,999.9,0,do
784790,99999,20170123,70.2,23,65.1,23,1014,7,9999.9,0,7.1,23,4.2,18,14,999.9,82.4,60.1, 0.00I,999.9,0,do
784790,99999,20170124,78.3,22,69.6,22,1012.8,7,9999.9,0,7.4,22,9.9,22,15.9,999.9,84.6,60.1, 0.00I,999.9,0,do
784790,99999,20170125,73.6,24,70.1,24,1016.7,8,9999.9,0,7.2,24,5.5,21,12,999.9,84.6,68,99.99,999.9,10000,do
784790,99999,20170126,75.4,24,64.1,24,1018.8,8,9999.9,0,7.5,23,7.7,24,11.1,999.9,81,68, 0.02G,999.9,0,do
784790,99999,20170127,74.4,24,65.8,24,1018.9,6,9999.9,0,7.1,24,5.1,22,9.9,999.9,   80.6*,  62.6*, 0.00G,999.9,0,do
784790,99999,20170128,74.6,23,69.5,22,1017.9,6,9999.9,0,7.3,23,4.1,20,11.7,999.9,81.5,65.3, 0.00I,999.9,0,do
784790,99999,20170129,77.6,24,71.3,24,1017.9,7,9999.9,0,7.3,24,6.6,24,14,999.9,84,65.3, 0.00I,999.9,0,do
784790,99999,20170130,75.1,24,70.3,23,1018.5,7,9999.9,0,7.5,24,5.3,20,12,999.9,84,65.3, 0.01G,999.9,0,do
784790,99999,20170131,77.3,23,71.2,23,1019,8,9999.9,0,7.5,23,7.5,23,14,999.9,82.8,65.3, 0.00G,999.9,10000,do
784790,99999,20170201,77.1,24,72.1,24,1018,5,9999.9,0,6.5,24,9.8,23,15.5,999.9,   82.4*,  71.6*,99.99,999.9,10000,do
784790,99999,20170202,75.5,24,71,24,1018.2,7,9999.9,0,6.9,24,6.8,23,13.6,999.9,83.1,67.3, 0.24G,999.9,10000,do
784790,99999,20170203,77.2,24,71.9,24,1017.9,8,9999.9,0,7.5,24,7.7,23,14,999.9,83.1,67.3, 0.00G,999.9,0,do
784790,99999,20170204,78.2,24,72,24,1018.1,8,9999.9,0,7.5,24,9,24,12,999.9,83.3,71.6, 0.00I,999.9,0,do
784790,99999,20170205,77.5,24,70.2,24,1017.3,7,9999.9,0,7.3,24,10,24,15.9,999.9,83.3,74.5, 0.00I,999.9,0,do
784790,99999,20170206,77.7,24,71.9,24,1017.3,7,9999.9,0,7.2,24,7.9,24,13,999.9,82.8,73.4, 0.47G,999.9,10000,do
784790,99999,20170207,78.9,24,72.5,24,1016.9,8,9999.9,0,7.5,24,8.4,24,12,999.9,82.4,73.4, 0.00G,999.9,0,do
