STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
875850,99999,20170101,87.1,8,73.2,8,1007.1,8,1004.2,8,6.1,8,4.1,8,8,999.9,   93.9*,80.6, 0.00G,999.9,10000,ar
875850,99999,20170102,78.7,8,64.4,8,1012.6,8,1009.7,8,6.2,8,5.8,8,8.9,999.9,96.1,69.1, 0.00I,999.9,0,ar
875850,99999,20170103,79.3,8,70.6,8,1005.3,8,1002.4,8,6.2,8,5.6,8,9.9,999.9,85.3,  74.7*, 0.39A,999.9,10000,ar
875850,99999,20170104,78.4,8,68.9,8,1004.2,8,1001.3,8,6.2,8,2.2,8,5.1,999.9,   88.2*,72.3, 0.00A,999.9,0,ar
875850,99999,20170105,73.1,7,54.7,7,1009.9,7,1007,7,6.2,7,2.4,7,7,999.9,88.9,61.2, 0.00I,999.9,0,ar
875850,99999,20170106,73.9,8,56.8,8,1016,8,1013.1,8,6.2,8,5.5,8,9.9,999.9,   84.6*,65.7, 0.00I,999.9,0,ar
875850,99999,20170107,83.3,8,67.4,8,1010.6,8,1007.6,8,6.2,8,5,8,8.9,999.9,   92.8*,69.4, 0.00I,999.9,0,ar
875850,99999,20170108,77.4,8,70.1,8,1008.5,8,1005.6,8,5.8,8,3.4,8,5.1,999.9,94.1,70.2, 1.50G,999.9,10010,ar
875850,99999,20170109,78.8,8,71.1,8,1003.5,8,1000.6,8,6.1,8,2.5,8,5.1,999.9,   87.4*,70, 0.00G,999.9,0,ar
875850,99999,20170110,70,8,58,8,1010.4,8,1007.4,8,6.2,8,2.6,8,5.1,999.9,90.1,61.3, 1.18G,999.9,0,ar
875850,99999,20170111,76.9,8,57.7,8,1013.9,8,1010.9,8,6.2,8,5.2,8,8,999.9,   85.6*,68, 0.00G,999.9,0,ar
875850,99999,20170112,80.8,8,64.6,8,1012.4,8,1009.4,8,6.2,8,4.9,8,7,999.9,   88.5*,71.6, 0.00I,999.9,0,ar
875850,99999,20170113,81.9,8,68.8,8,1007,8,1004.2,8,6.2,8,6.1,8,8,999.9,90.1,78.4,99.99,999.9,10000,ar
875850,99999,20170114,73.9,8,54.2,8,1011.4,8,1008.5,8,6.2,8,5.5,8,8,999.9,85.3,64.4, 0.00G,999.9,0,ar
875850,99999,20170115,73.9,8,65.1,8,1008.7,8,1005.8,8,6.2,8,4,8,8,999.9,82.4,  70.9*, 0.00B,999.9,10000,ar
875850,99999,20170116,74.4,8,69.8,8,1006.7,8,1003.8,8,5.3,8,3.9,8,6,999.9,   82.0*,66.9, 0.47G,999.9,10000,ar
875850,99999,20170117,79.2,8,70.5,8,1005.3,8,1002.4,8,6.2,8,5.1,8,12,999.9,   92.1*,72, 0.08G,999.9,10000,ar
875850,99999,20170118,80.3,7,60.1,7,1009.3,7,1006.4,7,6.2,7,3.9,7,8,999.9,93.6,68.7, 0.00G,999.9,0,ar
875850,99999,20170119,81,8,67.5,8,1014.2,8,1011.3,8,6.2,8,5.3,8,8,999.9,   89.1*,74.3, 0.00I,999.9,0,ar
875850,99999,20170120,82.7,8,66.6,8,1016.6,8,1013.8,8,6.2,8,6.8,8,9.9,999.9,90.5,76.8, 0.00I,999.9,0,ar
875850,99999,20170121,83.8,8,67.9,8,1016.2,8,1013.3,8,6.2,8,5.4,8,8,999.9,   90.9*,76.3, 0.00I,999.9,0,ar
875850,99999,20170122,82.9,8,67.9,8,1014.4,8,1011.5,8,6.2,8,4.4,8,8,999.9,92.5,76.3, 0.00I,999.9,0,ar
875850,99999,20170123,80.9,8,67.5,8,1014.1,8,1011.2,8,6.2,8,5,8,13,999.9,87.8,76.5, 0.00I,999.9,0,ar
875850,99999,20170124,82.4,8,68.8,8,1008.5,8,1005.6,8,6.2,8,4.6,8,7,999.9,88.5,76.3, 0.00I,999.9,0,ar
875850,99999,20170125,69.8,8,59.1,8,1013.3,8,1010.4,8,6.2,8,5.5,8,9.9,999.9,90.9,63.3, 0.35G,999.9,0,ar
875850,99999,20170126,65.6,8,48.8,8,1020.2,8,1017.2,8,6.2,8,7.2,8,12,999.9,77.7,55.4, 0.00G,999.9,0,ar
875850,99999,20170127,70.4,6,54.9,6,1020.7,6,1017.7,6,6.2,6,4.3,6,8.9,999.9,   77.4*,56.7, 0.00I,999.9,0,ar
875850,99999,20170128,75.9,8,59.9,8,1017.8,8,1014.9,8,6.2,8,4.6,8,8,999.9,   84.2*,65.8, 0.00I,999.9,0,ar
875850,99999,20170129,80.5,8,63.1,8,1015.9,8,1013,8,6.2,8,7.1,8,12,999.9,   87.1*,73.4, 0.00I,999.9,0,ar
875850,99999,20170130,84,8,70.1,8,1013.1,8,1010.1,8,6.2,8,5.6,8,8,999.9,   93.0*,75.9, 0.00I,999.9,0,ar
875850,99999,20170131,81,8,71.6,8,1011.2,8,1008.3,8,6.2,8,3.9,8,7,999.9,95,  74.7*, 0.08G,999.9,10010,ar
875850,99999,20170201,77.4,8,68.3,8,1008.2,8,1005.3,8,6.2,8,5.5,8,9.9,999.9,   86.0*,66.9, 0.20G,999.9,10000,ar
875850,99999,20170202,75.1,8,65.8,8,1008.3,8,1005.4,8,6.2,8,4.2,8,6,999.9,86,67.6, 0.00G,999.9,0,ar
875850,99999,20170203,76.1,8,64.1,8,1009.1,8,1006.1,8,6.2,8,4.2,8,8,999.9,   83.3*,66.9, 0.00I,999.9,0,ar
875850,99999,20170204,78.1,8,68.6,8,1007.5,8,1004.6,8,6.2,8,5.1,8,7,999.9,85.8,72.9, 0.00I,999.9,0,ar
875850,99999,20170205,67.4,8,64.1,8,1002.1,8,999.2,8,5.8,8,5,8,11.1,999.9,85.3,  64.0*, 0.63G,999.9,10000,ar
875850,99999,20170206,65.3,8,54.2,8,1013.6,8,1010.6,8,6.2,8,5.9,8,12,999.9,   76.3*,56.3, 0.08G,999.9,0,ar
875850,99999,20170207,67.6,8,52.9,8,1014.8,8,1011.8,8,6.2,8,1.5,8,4.1,999.9,77.2,56.3, 0.00G,999.9,0,ar
875850,99999,20170208,73.1,8,60.5,8,1014.1,8,1011.2,8,6.2,8,6,8,9.9,999.9,   81.0*,67.1, 0.00I,999.9,0,ar
875850,99999,20170209,75.5,8,63.2,8,1013.3,8,1010.4,8,6.2,8,3.8,8,6,999.9,   83.5*,70, 0.00I,999.9,0,ar
875850,99999,20170210,75.7,8,68.9,8,1012.6,8,1009.6,8,5.8,8,4.2,8,7,999.9,84.2,70.9,99.99,999.9,10010,ar
875850,99999,20170211,74.2,8,66.7,8,1012.9,8,1009.9,8,6.2,8,4.7,8,8.9,999.9,85.3,68, 0.16G,999.9,0,ar
875850,99999,20170212,71.1,8,67.3,8,1011.4,8,1008.5,8,5,8,4,8,7,999.9,82.2,  69.3*, 0.20G,999.9,10000,ar
875850,99999,20170213,69.8,8,67.2,8,1010.1,8,1007.2,8,5.8,8,7.1,8,9.9,999.9,   77.0*,66, 1.38G,999.9,10000,ar
875850,99999,20170214,72.4,8,69.1,8,1009.1,8,1006.2,8,5.9,8,3.6,8,6,999.9,78.6,66, 1.02G,999.9,10000,ar
875850,99999,20170215,77.3,8,68.5,8,1012.3,8,1009.3,8,6.2,8,1.8,8,5.1,999.9,   88.2*,68.2, 0.12G,999.9,0,ar
875850,99999,20170216,79.7,8,69.3,8,1011.8,8,1008.9,8,6.1,8,2.8,8,9.9,999.9,90.5,72.3, 0.00G,999.9,10010,ar
875850,99999,20170217,79.5,8,70.7,8,1007.2,8,1004.3,8,6.2,8,5.6,8,8,999.9,88.9,71.1, 0.02G,999.9,0,ar
875850,99999,20170218,78.9,8,67.7,8,1008,8,1005.1,8,6.1,8,4.1,8,7,999.9,89.8,69.4, 0.16G,999.9,10000,ar
875850,99999,20170219,78.6,8,69.4,8,1014,8,1011.1,8,6.2,8,2.5,8,6,999.9,   88.5*,67.3, 0.00G,999.9,0,ar
875850,99999,20170220,82.5,8,70.7,8,1015,8,1012.1,8,6.2,8,4.2,8,7,999.9,90,73.4, 0.00I,999.9,0,ar
875850,99999,20170221,83.3,8,73.7,8,1014.1,8,1011.2,8,6.1,8,3.6,8,9.9,999.9,   92.8*,75.7,99.99,999.9,10010,ar
875850,99999,20170222,79,8,71.4,8,1011.7,8,1008.8,8,6.1,8,3.8,8,8,999.9,94.3,70.9, 1.30G,999.9,10010,ar
875850,99999,20170223,81.8,8,74.1,8,1010.5,8,1007.6,8,6.2,8,1.9,8,4.1,999.9,   92.3*,71.6, 0.67G,999.9,10,ar
875850,99999,20170224,82.6,8,73.4,8,1010.9,8,1008,8,6.2,8,2,8,4.1,999.9,95.2,73.2, 0.00G,999.9,0,ar
875850,99999,20170225,83.1,8,72.9,8,1011.5,8,1008.6,8,6.2,8,2.2,8,2.9,999.9,   91.2*,73, 0.00I,999.9,0,ar
875850,99999,20170226,84.2,8,74,8,1011.6,8,1008.7,8,6.2,8,3.3,8,6,999.9,94.3,77.5, 0.00I,999.9,0,ar
875850,99999,20170227,84,8,71.7,8,1010,8,1007.1,8,6.2,8,4.3,8,6,999.9,   92.5*,75, 0.00I,999.9,0,ar
875850,99999,20170228,81.5,8,70,8,1006.1,8,1003.2,8,6.2,8,2.2,8,8,999.9,92.5,72.7, 0.00G,999.9,0,ar
875850,99999,20170301,84.1,10,68.9,10,1002.7,10,999.9,10,6.2,10,3,10,6,999.9,93.4,76.3, 0.00I,999.9,0,ar
875850,99999,20170302,84.1,22,69.7,22,1004.8,22,1001.9,22,6.2,22,4,22,8,999.9,95.4,75.6, 0.00I,999.9,0,ar
875850,99999,20170303,73.3,8,59.3,8,1011.5,8,1008.6,8,6.2,8,7,8,9.9,999.9,95.4,68, 0.02G,999.9,10010,ar
875850,99999,20170304,70.8,8,57,8,1013.5,8,1010.6,8,5.8,8,3.5,8,8,999.9,76.3,66.6, 0.00G,999.9,10000,ar
875850,99999,20170305,70.5,8,55.9,8,1013.8,8,1010.9,8,6.2,8,2.5,8,5.1,999.9,   78.8*,57.9, 0.00G,999.9,0,ar
875850,99999,20170306,76.3,8,61.9,8,1014.2,8,1011.3,8,6.2,8,4.1,8,7,999.9,   86.4*,67.8, 0.00I,999.9,0,ar
875850,99999,20170307,71.8,8,60.4,8,1017.3,8,1014.5,8,6.2,8,3.1,8,6,999.9,86.4,62.6, 0.00I,999.9,0,ar
875850,99999,20170308,74.7,8,66.8,8,1011.6,8,1008.7,8,6.1,8,7,8,9.9,999.9,   81.3*,68.7, 0.00B,999.9,10000,ar
875850,99999,20170309,74.9,8,67.7,8,1001.1,8,998.2,8,5.6,8,6.5,8,13,999.9,84,68, 1.65G,999.9,10010,ar
875850,99999,20170310,69.4,8,48.7,8,1012.1,8,1009.2,8,6.2,8,5.3,8,8,999.9,85.1,58.8, 0.00G,999.9,0,ar
875850,99999,20170311,66.3,8,53,8,1014.1,8,1011.1,8,6.1,8,3.1,8,7,999.9,79.2,57.7, 0.00B,999.9,10000,ar
875850,99999,20170312,67.7,8,49.7,8,1014.4,8,1011.5,8,6.2,8,5.8,8,9.9,999.9,75.9,57.6, 0.00G,999.9,0,ar
