STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
970480,99999,20170101,82,8,75.3,8,1006.8,8,1004.7,8,5.4,8,2.4,7,5.1,999.9,   93.0*,75.2, 0.00C,999.9,10000,id
970480,99999,20170102,81.7,8,74.9,8,1007,8,1004.5,8,6.5,8,2.4,8,7,999.9,91,  75.4*, 0.00I,999.9,0,id
970480,99999,20170103,82.6,8,75.5,8,1005.9,8,1003.5,8,5.3,8,3.2,8,7,999.9,   90.0*,75.9, 0.00I,999.9,0,id
970480,99999,20170104,80.3,8,73.9,8,1006.5,8,1004.1,8,5.9,8,3,8,7,999.9,87.4,75.9, 0.00I,999.9,0,id
970480,99999,20170105,80,8,74.7,8,1006.3,8,1004.2,8,4.7,8,2.8,8,5.1,999.9,   90.5*,75.2, 0.00H,999.9,10000,id
970480,99999,20170106,79.3,7,74.9,7,1006,7,1003.6,7,4.9,7,1.3,7,999.9,999.9,88.2,74.8, 0.79A,999.9,10010,id
970480,99999,20170107,81.3,8,75.6,8,1005,8,1002.6,8,5.1,8,1.5,8,4.1,999.9,91.9,73.8, 0.04A,999.9,10000,id
970480,99999,20170108,79.5,8,76.3,8,1005.6,8,1003.2,8,3.9,8,2.2,8,6,999.9,90,74.8, 0.79B,999.9,110010,id
970480,99999,20170109,82.3,8,75.6,8,1005.7,8,1003.2,8,5.7,8,2.1,8,5.1,999.9,91.8,75.2, 0.16A,999.9,100000,id
970480,99999,20170110,83,8,76.5,8,1006.5,8,1004.1,8,6.2,8,2.4,8,5.1,999.9,91.8,76.6, 0.00I,999.9,0,id
970480,99999,20170111,82.8,8,76.4,8,1005.9,7,1003.5,7,5.6,8,2.5,8,5.1,999.9,92.8,76.6, 0.00I,999.9,0,id
970480,99999,20170112,79.3,8,75,8,1006.5,8,1004.1,8,5,8,2.7,8,6,999.9,93,  75.6*, 0.79C,999.9,10010,id
970480,99999,20170113,81.7,8,75.4,8,1006.3,8,1003.9,8,5.4,8,2.5,8,6,999.9,   91.0*,74.5, 0.00I,999.9,0,id
970480,99999,20170114,78.7,8,75.2,8,1007.9,8,1005.5,8,4.3,8,3.4,8,7,999.9,   84.0*,  74.8*, 0.67B,999.9,10000,id
970480,99999,20170115,78.8,8,73.8,8,1008,8,1005.6,8,3.9,8,3.2,8,11.1,999.9,   90.3*,73.8, 0.51C,999.9,110000,id
970480,99999,20170116,80.8,8,73.8,8,1007.4,8,1005,8,5.2,8,2.6,8,6,999.9,87.8,72.5, 0.00I,999.9,100000,id
970480,99999,20170117,80.9,8,74.3,8,1008.8,8,1006.4,8,5.6,8,2.1,8,2.9,999.9,91.8,73.4, 0.39A,999.9,10000,id
970480,99999,20170118,80,7,75.1,7,1010.2,7,1007.8,7,4.4,7,2.6,7,7,999.9,   89.6*,74.8, 0.01A,999.9,0,id
970480,99999,20170119,80.6,8,75.3,8,1009.2,8,1006.8,8,5.1,8,1.5,8,5.1,999.9,89.6,74.5, 0.00A,999.9,110000,id
970480,99999,20170120,80.7,7,74.6,7,1009.1,7,1006.7,7,5.7,7,2.3,7,13,999.9,   86.7*,74.1, 0.00I,999.9,0,id
970480,99999,20170121,80.6,8,75,8,1009.8,8,1007.4,8,4.5,8,2.6,8,7,999.9,   90.0*,74.8, 0.24B,999.9,10010,id
970480,99999,20170122,80.5,8,75.3,8,1010,8,1007.6,8,4.5,8,2.5,8,6,999.9,89.8,74.1, 0.00I,999.9,100010,id
970480,99999,20170123,81.4,8,75,8,1009.5,8,1007.1,8,5,8,4.2,8,11.1,999.9,   90.3*,74.8, 0.16A,999.9,110000,id
970480,99999,20170124,81.2,8,74.9,7,1009.5,7,1007.1,7,5.3,8,2.9,8,7,999.9,88.7,  74.5*,99.99,999.9,110000,id
970480,99999,20170125,79.7,8,74.6,8,1009,8,1006.6,8,4.3,8,3.8,8,5.1,999.9,   86.7*,74.1, 0.91A,999.9,110000,id
970480,99999,20170126,78.1,8,74.4,8,1008.7,8,1006.2,8,4,8,3.5,8,6,999.9,83.5,  74.8*, 0.04C,999.9,10000,id
970480,99999,20170127,79,8,74.7,8,1008.3,8,1005.9,8,5.4,8,2,8,7,999.9,84.2,74.1, 0.00I,999.9,0,id
970480,99999,20170128,81,8,74.9,8,1007.2,8,1004.8,8,5,8,3.4,8,8.9,999.9,88.5,74.7, 0.00C,999.9,10000,id
970480,99999,20170129,80.4,8,74.9,8,1008.2,8,1005.8,8,5.5,8,3.6,8,11.1,999.9,90.3,74.8, 0.31B,999.9,10000,id
970480,99999,20170130,80.4,8,75.5,8,1008.1,8,1005.7,8,4.9,8,1.7,8,4.1,999.9,90.7,74.8, 0.00C,999.9,10000,id
970480,99999,20170131,82.3,8,76.2,8,1007.2,8,1004.8,8,5.4,8,3.2,8,7,999.9,92.1,75.9, 0.00I,999.9,0,id
970480,99999,20170201,82.7,8,75.7,8,1007.3,8,1004.9,8,6,8,3,8,7,999.9,91.2,75.6, 0.00I,999.9,0,id
970480,99999,20170202,80.2,8,75.3,8,1007.2,8,1004.8,8,4.8,8,2.5,8,7,999.9,90.3,75.2, 0.43A,999.9,10000,id
970480,99999,20170203,77,8,74.9,8,1007,8,1004.7,8,3.5,8,1.7,8,6,999.9,87.1,75.2, 0.55B,999.9,110010,id
970480,99999,20170204,80.2,8,75.5,8,1005.6,8,1003.2,8,4,8,2.1,8,8,999.9,90.7,74.5, 0.47A,999.9,10000,id
970480,99999,20170205,80.6,8,75.9,8,1004.5,8,1002.1,8,4,8,1.9,8,7,999.9,   89.6*,74.8, 2.13A,999.9,0,id
970480,99999,20170206,82,8,75.2,8,1005.4,8,1002.9,8,6.1,8,4.5,8,8.9,999.9,   87.1*,75.6, 0.00I,999.9,0,id
970480,99999,20170207,81.5,8,75.1,8,1006,8,1003.7,8,4.9,8,4.6,8,18.1,999.9,89.6,74.5, 0.35A,999.9,0,id
970480,99999,20170208,81.7,8,75,8,1006.8,8,1004.4,8,5.7,8,3.9,8,12,999.9,89.6,75.9, 0.00I,999.9,0,id
970480,99999,20170209,81.8,8,74.7,8,1006.7,8,1004.3,8,5,8,2.7,8,8.9,999.9,   90.7*,75.6, 0.00I,999.9,0,id
