STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
14920,99999,20170101,34.1,24,23.4,24,1007.3,24,995.3,24,29.2,24,4.9,22,9.7,999.9,41.2,  28.2*,99.99,999.9,11000,no
14920,99999,20170102,26.9,24,17.3,24,1012.1,24,999.9,24,32.5,22,2.4,22,3.9,999.9,34.2,  22.5*, 0.00I,999.9,0,no
14920,99999,20170103,27.5,24,21.8,24,995.2,24,983.2,24,31.3,23,2.9,20,7.8,999.9,36.1,21.9, 0.00I,999.9,0,no
14920,99999,20170104,26.4,24,16.4,24,1007.6,24,995.4,24,27.3,23,10.6,23,17.5,999.9,31.1,  18.1*,99.99,999.9,1000,no
14920,99999,20170105,13.7,24,8.4,24,1035.7,24,1022.8,24,29.3,23,3.4,22,5.8,999.9,18.9,  10.2*, 0.00I,0.8,0,no
14920,99999,20170106,22.3,24,20,24,1029.9,24,1017.4,24,17.5,22,5.2,24,9.7,999.9,   36.9*,9.3,99.99,0.8,111000,no
14920,99999,20170107,31.3,24,28.9,24,1021.7,24,1009.5,24,27.1,23,3.5,23,7.8,999.9,   37.2*,  23.7*,99.99,1.2,10000,no
14920,99999,20170108,26,24,25.2,24,1022.8,24,1010.4,24,9.5,23,2.2,22,3.9,999.9,29.1,19.8,99.99,1.2,101000,no
14920,99999,20170109,33,24,32.4,24,1012,24,999.9,24,4.4,24,4,23,9.7,999.9,   40.1*,26.6,99.99,1.2,110000,no
14920,99999,20170110,36.6,24,35.4,24,1001.3,24,989.4,24,7.3,24,7.7,24,11.7,999.9,   40.5*,  34.3*,99.99,999.9,11000,no
14920,99999,20170111,37.3,24,34.7,24,976.3,24,964.8,24,16.2,24,8.4,24,17.5,999.9,   41.5*,  33.6*,99.99,999.9,10000,no
14920,99999,20170112,33.8,24,27.4,24,976.7,24,965,24,31.6,24,4.4,24,7.8,999.9,36.7,31.6, 0.33G,999.9,0,no
14920,99999,20170113,26.6,24,22.9,24,987.1,24,975.2,24,30.7,23,2.8,20,5.8,999.9,32.4,  21.7*, 0.00G,999.9,0,no
14920,99999,20170114,26.5,24,19.8,24,1000.1,24,988.1,24,33.1,24,5.9,20,11.7,999.9,32.7,19.9, 0.00G,999.9,0,no
14920,99999,20170115,23.2,24,14.8,24,1017.5,24,1005.1,24,30.6,23,2.6,24,5.8,999.9,30.9,  18.5*, 0.00G,999.9,0,no
