STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
931190,99999,20170101,68.8,24,58.9,24,9999.9,0,9999.9,0,6.2,24,9.5,24,15,999.9,   75.2*,  62.6*, 0.00I,999.9,0,nz
931190,99999,20170102,69.3,24,65.9,24,9999.9,0,9999.9,0,5.8,24,8.8,24,15,999.9,   73.4*,  66.2*,99.99,999.9,10000,nz
931190,99999,20170103,67.2,24,61.6,24,9999.9,0,9999.9,0,6,24,15,24,20,26,   77.0*,  60.8*,99.99,999.9,10000,nz
931190,99999,20170104,62.1,24,48.5,24,9999.9,0,9999.9,0,6.1,24,17.4,24,22.9,29.9,   68.0*,  57.2*,99.99,999.9,10000,nz
931190,99999,20170105,60.5,24,47.5,24,9999.9,0,9999.9,0,6.2,24,7.7,24,15,999.9,   68.0*,  50.0*, 0.00I,999.9,0,nz
931190,99999,20170106,63.7,24,49.1,24,9999.9,0,9999.9,0,6.2,24,12.2,24,15,999.9,   69.8*,  59.0*, 0.00I,999.9,0,nz
931190,99999,20170107,64,24,50.1,24,9999.9,0,9999.9,0,6.2,24,14.8,24,17.1,999.9,   69.8*,  60.8*,99.99,999.9,10000,nz
931190,99999,20170108,64.6,24,52.2,24,9999.9,0,9999.9,0,6.2,24,15.9,24,19,999.9,   71.6*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170109,66.4,24,58.3,24,9999.9,0,9999.9,0,6.2,24,13.7,24,21,999.9,   73.4*,  60.8*,99.99,999.9,10000,nz
931190,99999,20170110,67.9,24,64.3,24,9999.9,0,9999.9,0,6.2,24,11.3,24,20,999.9,   73.4*,  64.4*,99.99,999.9,10000,nz
931190,99999,20170111,67.6,24,60.7,24,9999.9,0,9999.9,0,6.2,24,8.8,24,17.1,999.9,   75.2*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170112,69.7,24,60,24,9999.9,0,9999.9,0,6.1,24,11.9,24,17.1,999.9,   77.0*,  60.8*,99.99,999.9,10000,nz
931190,99999,20170113,65.7,24,55.3,24,9999.9,0,9999.9,0,6.2,24,10.9,24,15.9,999.9,   73.4*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170114,70.5,24,60.6,24,9999.9,0,9999.9,0,6.2,24,8.3,24,22,999.9,   75.2*,  68.0*, 0.00I,999.9,0,nz
931190,99999,20170115,67.6,24,60.7,24,9999.9,0,9999.9,0,6.2,24,14.4,24,21,31.1,   77.0*,  62.6*,99.99,999.9,10000,nz
931190,99999,20170116,66,24,52.7,24,9999.9,0,9999.9,0,6.2,24,14.2,24,18.1,999.9,   71.6*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170117,67.2,24,58,24,9999.9,0,9999.9,0,6.2,24,12.4,24,18.1,999.9,   71.6*,  62.6*, 0.00I,999.9,0,nz
931190,99999,20170118,66.7,24,58.4,24,9999.9,0,9999.9,0,6.1,24,11,24,17.1,999.9,   73.4*,  60.8*,99.99,999.9,10000,nz
931190,99999,20170119,63.3,24,51.3,24,9999.9,0,9999.9,0,6,24,16.9,24,21,999.9,   69.8*,  57.2*,99.99,999.9,10000,nz
931190,99999,20170120,61.2,24,50.8,24,9999.9,0,9999.9,0,6.2,24,8.8,24,20,25.1,   69.8*,  51.8*,99.99,999.9,10000,nz
931190,99999,20170121,66.6,24,59.1,24,9999.9,0,9999.9,0,5.3,24,21.3,24,41,54,   71.6*,  60.8*,99.99,999.9,10110,nz
931190,99999,20170122,64.2,24,54.3,24,9999.9,0,9999.9,0,6,24,20.9,24,26,36.9,   73.4*,  59.0*,99.99,999.9,10000,nz
931190,99999,20170123,64.6,24,52.8,24,9999.9,0,9999.9,0,6.2,24,14.7,24,22.9,999.9,   69.8*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170124,64.6,24,55.5,24,9999.9,0,9999.9,0,6.2,24,8,24,13,999.9,   71.6*,  59.0*, 0.00I,999.9,0,nz
931190,99999,20170125,64.1,24,53.8,24,9999.9,0,9999.9,0,6,24,15,24,22,999.9,   71.6*,  59.0*,99.99,999.9,10000,nz
931190,99999,20170126,64.4,24,52.8,24,9999.9,0,9999.9,0,6.2,24,11.4,24,15.9,999.9,   69.8*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170127,65.7,24,55.5,24,9999.9,0,9999.9,0,6.2,24,11.3,24,15.9,999.9,   69.8*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170128,64.3,24,56.5,24,9999.9,0,9999.9,0,6.2,24,6.6,24,14,999.9,   71.6*,  55.4*, 0.00I,999.9,0,nz
931190,99999,20170129,65.4,24,56.5,24,9999.9,0,9999.9,0,6.2,24,9.6,24,15.9,999.9,   73.4*,  59.0*, 0.00I,999.9,0,nz
931190,99999,20170130,68.6,24,61.2,24,9999.9,0,9999.9,0,6.2,24,7.9,24,15.9,999.9,   73.4*,  64.4*,99.99,999.9,10000,nz
931190,99999,20170131,68.2,24,60.3,24,9999.9,0,9999.9,0,6.2,24,6.8,24,12,999.9,   75.2*,  60.8*, 0.00I,999.9,0,nz
931190,99999,20170201,68.5,24,61.1,24,9999.9,0,9999.9,0,6.2,24,7.4,24,14,999.9,   77.0*,  64.4*, 0.00I,999.9,0,nz
931190,99999,20170202,70.2,24,61.8,24,9999.9,0,9999.9,0,6.2,24,11.5,24,17.1,999.9,   77.0*,  66.2*,99.99,999.9,10000,nz
931190,99999,20170203,67.3,24,58.3,24,9999.9,0,9999.9,0,6.2,24,11.4,24,15,999.9,   75.2*,  62.6*, 0.00I,999.9,0,nz
931190,99999,20170204,67.1,24,57.9,24,9999.9,0,9999.9,0,6.2,24,11.3,24,15,999.9,   73.4*,  62.6*, 0.00I,999.9,0,nz
931190,99999,20170205,66.2,24,58.6,24,9999.9,0,9999.9,0,6.2,24,7.3,24,14,999.9,   75.2*,  57.2*, 0.00I,999.9,0,nz
