STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
984250,99999,20170101,80.1,8,70.3,8,1012.2,8,9999.9,0,7.5,8,5.3,7,7.8,999.9,88.2,75.6, 0.07G,999.9,0,ph
984250,99999,20170102,82.4,8,70.8,8,1011.1,8,9999.9,0,7,8,6.1,7,11.7,999.9,88.7,74.8, 0.00I,999.9,0,ph
984250,99999,20170103,82.9,8,69.8,8,1011.3,8,9999.9,0,7.3,8,4.9,8,5.8,999.9,90.9,76.6, 0.00I,999.9,0,ph
984250,99999,20170104,82.1,8,70.5,8,1010.8,8,9999.9,0,7.5,8,4.6,8,7.8,999.9,89.6,  77.0*,99.99,999.9,10000,ph
984250,99999,20170105,79.8,8,71.8,8,1010.6,8,9999.9,0,7.3,8,3.1,5,3.9,999.9,83.5,75.6, 0.04G,999.9,10000,ph
984250,99999,20170106,81.3,8,70.1,8,1010.2,8,9999.9,0,7,8,5.2,6,7.8,999.9,89.6,75.4, 0.11G,999.9,0,ph
984250,99999,20170107,80.4,8,66.9,8,1009.6,8,9999.9,0,7.3,8,5.3,7,7.8,999.9,88.7,  73.9*, 0.00G,999.9,0,ph
984250,99999,20170108,79.1,8,68.6,8,1009.2,8,9999.9,0,7.5,8,4.5,6,7.8,999.9,85.1,72.5, 0.00I,999.9,0,ph
984250,99999,20170109,81.5,8,68.8,8,1009.2,8,9999.9,0,7.5,8,4.1,8,5.8,999.9,88,72.9, 0.00I,999.9,0,ph
984250,99999,20170110,78.1,8,73.4,8,1010.4,8,9999.9,0,6.7,8,4.4,7,7.8,999.9,82.4,  75.6*, 0.20D,999.9,10000,ph
984250,99999,20170111,78.7,8,71.2,8,1010.7,8,9999.9,0,6.8,8,4.2,7,5.8,999.9,85.3,74.3, 0.53G,999.9,10000,ph
984250,99999,20170112,78.9,8,73,8,1008.9,8,9999.9,0,7,8,3.4,4,3.9,999.9,82.4,73.4, 0.09G,999.9,10000,ph
984250,99999,20170113,81.5,8,72.2,8,1008.9,8,9999.9,0,7,8,3.1,5,3.9,999.9,87.8,74.3, 0.02G,999.9,0,ph
984250,99999,20170114,80.6,8,73.2,8,1009.8,8,9999.9,0,7,8,999.9,0,999.9,999.9,86,76.6, 0.00G,999.9,0,ph
984250,99999,20170115,79.9,8,71.8,8,1010.8,8,9999.9,0,6.8,8,6.3,4,7.8,999.9,87.8,75.2, 0.07D,999.9,10000,ph
984250,99999,20170116,79.1,8,67.1,8,1012,8,9999.9,0,7.5,8,999.9,0,999.9,999.9,84.2,75.2, 0.00I,999.9,0,ph
984250,99999,20170117,80.6,8,66.9,8,1014,8,9999.9,0,7.3,8,7.4,5,9.7,999.9,87.3,73.4, 0.00I,999.9,0,ph
984250,99999,20170118,80.4,8,65.4,8,1015.1,8,9999.9,0,7,8,5.8,5,7.8,999.9,89.2,74.7, 0.00I,999.9,0,ph
984250,99999,20170119,79.8,8,68.9,8,1013.4,8,9999.9,0,7,8,5,7,7.8,999.9,86.4,73, 0.00I,999.9,0,ph
984250,99999,20170120,79.6,8,67.6,8,1014,8,9999.9,0,7.5,8,4.9,4,5.8,999.9,85.1,74.3, 0.00I,999.9,0,ph
984250,99999,20170121,80.9,8,66.7,8,1015.1,8,9999.9,0,7.5,8,3.9,4,5.8,999.9,88.5,74.3, 0.00I,999.9,0,ph
984250,99999,20170122,79.5,8,71.9,8,1015,8,9999.9,0,6.8,8,5.5,7,7.8,999.9,86.9,74.1, 0.43A,999.9,10000,ph
984250,99999,20170123,77.9,8,72.3,8,1015.2,8,9999.9,0,6.5,8,4.6,8,7.8,999.9,84.2,73.4, 0.16C,999.9,10000,ph
984250,99999,20170124,77.4,8,70.4,8,1016.1,8,9999.9,0,6.1,8,6.2,6,11.7,999.9,84.2,72.5, 0.04A,999.9,10000,ph
