STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
121195,99999,20170101,32.1,24,24.4,24,9999.9,0,9999.9,0,5.7,17,9.8,24,14,999.9,   35.6*,  24.8*, 0.00I,999.9,0,pl
121195,99999,20170102,29.7,24,24.4,24,9999.9,0,9999.9,0,4.5,17,11.9,24,17.1,999.9,   33.8*,  24.8*,99.99,999.9,1000,pl
121195,99999,20170103,30.7,24,26.9,24,9999.9,0,9999.9,0,5.2,24,12.6,24,19,999.9,   33.8*,  28.4*,99.99,999.9,1000,pl
121195,99999,20170104,34.1,24,30.2,24,9999.9,0,9999.9,0,4.3,24,19.6,24,22.9,35,   35.6*,  32.0*,99.99,999.9,1000,pl
121195,99999,20170105,19,24,13.1,24,9999.9,0,9999.9,0,4.1,24,13.3,24,22,999.9,   32.0*,   6.8*,99.99,999.9,1000,pl
121195,99999,20170106,3.1,24,-3.9,24,9999.9,0,9999.9,0,6,12,6.7,24,11.1,999.9,    6.8*,  -4.0*,99.99,999.9,1000,pl
121195,99999,20170107,-0.6,24,-6.4,24,9999.9,0,9999.9,0,3.5,8,6.7,24,8.9,999.9,    6.8*,  -4.0*, 0.00I,999.9,0,pl
121195,99999,20170108,10.2,24,3.3,24,9999.9,0,9999.9,0,3.8,24,7,24,12,999.9,   19.4*,  -2.2*,99.99,999.9,1000,pl
121195,99999,20170109,18.5,24,12.2,24,9999.9,0,9999.9,0,5.4,24,5.2,24,9.9,999.9,   21.2*,  14.0*, 0.00I,999.9,0,pl
121195,99999,20170110,17.4,24,11.6,24,9999.9,0,9999.9,0,4.8,24,3.8,24,7,999.9,   21.2*,   3.2*, 0.00I,999.9,0,pl
121195,99999,20170111,10.5,24,5.5,24,9999.9,0,9999.9,0,3.3,19,3.2,24,8,999.9,   21.2*,   1.4*, 0.00I,999.9,0,pl
121195,99999,20170112,27.9,24,23.8,24,9999.9,0,9999.9,0,4.6,23,13.2,24,15.9,999.9,   35.6*,  12.2*,99.99,999.9,11000,pl
121195,99999,20170113,30.5,24,24.4,24,9999.9,0,9999.9,0,4.2,12,10.6,24,19,999.9,   35.6*,  23.0*,99.99,999.9,1000,pl
121195,99999,20170114,31.8,24,29.3,24,9999.9,0,9999.9,0,3.4,24,8,24,11.1,999.9,   33.8*,  26.6*,99.99,999.9,1000,pl
121195,99999,20170115,28.1,24,25.1,24,9999.9,0,9999.9,0,4,21,7.1,24,9.9,999.9,   32.0*,  19.4*,99.99,999.9,1000,pl
121195,99999,20170116,23.6,24,20.7,24,9999.9,0,9999.9,0,3.5,24,4.5,24,12,999.9,   28.4*,  10.4*,99.99,999.9,101000,pl
121195,99999,20170117,13.5,24,10.2,24,9999.9,0,9999.9,0,0.3,24,3.2,24,6,999.9,   17.6*,   8.6*, 0.00I,999.9,100000,pl
121195,99999,20170118,18.9,24,16.9,24,9999.9,0,9999.9,0,3.9,24,3.3,24,5.1,999.9,   21.2*,  17.6*,99.99,999.9,1000,pl
121195,99999,20170119,19.6,24,17.3,24,9999.9,0,9999.9,0,3.4,24,7,24,13,25.1,   21.2*,  17.6*,99.99,999.9,1000,pl
121195,99999,20170120,27.9,24,26.5,24,9999.9,0,9999.9,0,2.2,24,10.8,24,15,999.9,   33.8*,  21.2*,99.99,999.9,10000,pl
121195,99999,20170121,34,24,32.9,24,9999.9,0,9999.9,0,2.2,24,7.6,24,12,999.9,   35.6*,  33.8*,99.99,999.9,10000,pl
121195,99999,20170122,31.9,24,30.8,24,9999.9,0,9999.9,0,3.4,24,5.2,24,8,999.9,   33.8*,  30.2*,99.99,999.9,10000,pl
121195,99999,20170123,28.1,24,24.9,24,9999.9,0,9999.9,0,3.3,24,5.8,24,8,999.9,   32.0*,  24.8*, 0.00I,999.9,0,pl
121195,99999,20170124,24.8,24,21.9,24,9999.9,0,9999.9,0,1.6,24,8.6,24,11.1,999.9,   28.4*,  17.6*,99.99,999.9,11000,pl
121195,99999,20170125,29.3,24,26,24,9999.9,0,9999.9,0,3.1,19,6.2,24,8.9,999.9,   33.8*,  14.0*,99.99,999.9,1000,pl
