STN---;WBAN ; YEARMODA;   TEMP;  ;   DEWP;  ;  SLP  ;  ;  STP  ;  ; VISIB;  ;  WDSP;  ; MXSPD;  GUST;   MAX  ;  MIN  ;PRCP  ;SNDP ; FRSHTT;Country
24840;99999;20170101;38.9;24;35.3;24;1001.0;24;995.7;24;999.9;0;999.9;0;999.9;999.9;48.6;32.5*;0.00I;999.9;0;se
24840;99999;20170102;29.6;24;24.0;24;1005.4;24;999.9;24;999.9;0;999.9;0;999.9;999.9;33.8;24.8*;0.00I;999.9;0;se
24840;99999;20170103;26.8;24;23.5;24;996.7;24;991.2;24;999.9;0;999.9;0;999.9;999.9;32.0*;22.1;0.00I;999.9;0;se
24840;99999;20170104;23.6;24;20.0;24;1001.1;24;995.6;24;999.9;0;999.9;0;999.9;999.9;32.0;12.9*;0.00I;999.9;0;se
24840;99999;20170105;12.9;24;10.3;24;1031.4;24;1025.7;24;999.9;0;999.9;0;999.9;999.9;19.6;7.5*;0.00I;999.9;0;se
24840;99999;20170106;15.3;24;11.2;24;1035.0;24;1029.2;24;999.9;0;999.9;0;999.9;999.9;22.3*;7.3;0.00I;999.9;0;se
24840;99999;20170107;25.0;24;24.3;24;1021.0;24;1015.4;24;999.9;0;999.9;0;999.9;999.9;28.8;20.3;0.00I;999.9;0;se
24840;99999;20170108;25.0;24;24.3;24;1022.5;24;1016.9;24;999.9;0;999.9;0;999.9;999.9;33.1*;20.1;0.00I;999.9;0;se
24840;99999;20170109;34.8;24;34.5;24;1015.0;24;1009.5;24;999.9;0;999.9;0;999.9;999.9;37.9;29.7;0.00I;999.9;0;se
24840;99999;20170110;34.9;24;30.8;24;1009.8;24;1004.3;24;999.9;0;999.9;0;999.9;999.9;37.9;33.3*;0.00I;999.9;0;se
24840;99999;20170111;34.5;24;31.3;24;990.7;24;985.4;24;999.9;0;999.9;0;999.9;999.9;36.1;32.0;0.00I;999.9;0;se
24840;99999;20170112;35.9;24;32.5;24;978.4;24;973.1;24;999.9;0;999.9;0;999.9;999.9;37.0;32.2;0.00I;999.9;0;se
24840;99999;20170113;33.9;24;30.4;24;986.0;24;980.7;24;999.9;0;999.9;0;999.9;999.9;36.3;30.4*;0.00I;999.9;0;se
24840;99999;20170114;29.3;24;25.7;24;995.8;24;990.4;24;999.9;0;999.9;0;999.9;999.9;33.3;25.2;0.00I;999.9;0;se
24840;99999;20170115;26.6;24;21.7;24;1010.7;24;1005.2;24;999.9;0;999.9;0;999.9;999.9;30.0;23.9;0.00I;999.9;0;se
24840;99999;20170116;27.6;24;24.1;24;1023.7;24;1018.1;24;999.9;0;999.9;0;999.9;999.9;30.7;23.5;0.00I;999.9;0;se
24840;99999;20170117;27.6;24;24.5;24;1030.4;24;1024.8;24;999.9;0;999.9;0;999.9;999.9;32.5*;22.8;0.00I;999.9;0;se
24840;99999;20170118;35.5;22;34.9;22;1025.3;22;1019.8;22;999.9;0;999.9;0;999.9;999.9;40.1*;30.4;0.00I;999.9;0;se
24840;99999;20170119;39.5;24;37.0;24;1021.0;24;1015.6;24;999.9;0;999.9;0;999.9;999.9;42.3;37.0;0.00I;999.9;0;se
24840;99999;20170120;38.9;24;35.2;24;1020.5;24;1015.0;24;999.9;0;999.9;0;999.9;999.9;43.2;35.8;0.00I;999.9;0;se
24840;99999;20170121;36.6;24;33.1;24;1025.7;24;1020.2;24;999.9;0;999.9;0;999.9;999.9;41.7;33.4;0.00I;999.9;0;se
24840;99999;20170122;33.9;24;32.9;24;1021.6;24;1016.1;24;999.9;0;999.9;0;999.9;999.9;38.1;31.1;0.00I;999.9;0;se
24840;99999;20170123;36.0;24;31.8;24;1013.4;24;1008.0;24;999.9;0;999.9;0;999.9;999.9;37.9;31.8*;0.00I;999.9;0;se
24840;99999;20170124;32.0;24;28.3;24;1021.1;24;1015.6;24;999.9;0;999.9;0;999.9;999.9;34.0;30.0;0.00I;999.9;0;se
24840;99999;20170125;34.5;24;33.4;24;1024.6;24;1019.0;24;999.9;0;999.9;0;999.9;999.9;39.9*;30.4;0.00I;999.9;0;se
24840;99999;20170126;39.2;24;35.4;24;1022.3;24;1016.8;24;999.9;0;999.9;0;999.9;999.9;40.5;35.8*;0.00I;999.9;0;se
24840;99999;20170127;31.9;24;30.0;24;1023.3;24;1017.7;24;999.9;0;999.9;0;999.9;999.9;38.7;29.8*;0.00I;999.9;0;se
24840;99999;20170128;29.4;24;28.1;24;1021.9;24;1016.3;24;999.9;0;999.9;0;999.9;999.9;32.2;27.1;0.00I;999.9;0;se
24840;99999;20170129;33.0;24;29.0;24;1015.4;24;1009.9;24;999.9;0;999.9;0;999.9;999.9;35.8;27.1;0.00I;999.9;0;se
24840;99999;20170130;36.6;24;32.2;24;1016.0;24;1010.5;24;999.9;0;999.9;0;999.9;999.9;39.7;32.2;0.00I;999.9;0;se
24840;99999;20170131;35.0;24;31.3;24;1022.9;24;1017.4;24;999.9;0;999.9;0;999.9;999.9;38.7;32.2*;0.00I;999.9;0;se
