STN---;WBAN ; YEARMODA;   TEMP;  ;   DEWP;  ;  SLP  ;  ;  STP  ;  ; VISIB;  ;  WDSP;  ; MXSPD;  GUST;   MAX  ;  MIN  ;PRCP  ;SNDP ; FRSHTT;Country
486980;99999;20170101;81.9;24;77.0;24;9999.9;0;9999.9;0;6.1;24;5.3;24;13.0;999.9;87.8*;77.4;0.00G;999.9;10000;sg
486980;99999;20170102;79.1;24;76.1;24;9999.9;0;9999.9;0;6.2;21;3.2;24;12.0;999.9;86.0*;77.0*;0.03G;999.9;10010;sg
486980;99999;20170103;79.3;24;75.7;24;9999.9;0;9999.9;0;6.1;24;4.5;24;8.0;17.1;84.2*;75.2*;0.00G;999.9;10010;sg
486980;99999;20170104;80.6;24;75.7;24;9999.9;0;9999.9;0;6.0;24;3.8;24;7.0;999.9;86.2*;74.3;0.13G;999.9;10000;sg
486980;99999;20170105;82.6;24;74.0;24;9999.9;0;9999.9;0;6.3;24;4.3;24;7.0;999.9;91.4*;75.0;0.02G;999.9;10000;sg
486980;99999;20170106;83.3;24;76.6;24;9999.9;0;9999.9;0;6.3;23;3.8;24;8.0;999.9;89.6*;77.9;0.00G;999.9;10;sg
486980;99999;20170107;84.3;24;76.6;24;9999.9;0;9999.9;0;6.2;24;4.1;24;8.9;999.9;91.4*;78.8*;0.00G;999.9;10000;sg
486980;99999;20170108;84.3;24;75.7;24;9999.9;0;9999.9;0;6.4;24;5.4;24;8.9;999.9;93.2*;78.8;0.02G;999.9;0;sg
486980;99999;20170109;83.5;24;77.4;24;9999.9;0;9999.9;0;6.3;24;6.1;24;12.0;18.1;89.6*;78.8*;0.00G;999.9;0;sg
486980;99999;20170110;82.0;24;77.3;24;9999.9;0;9999.9;0;6.2;24;4.8;24;9.9;999.9;87.8*;78.6*;0.00G;999.9;10010;sg
486980;99999;20170111;80.3;24;76.6;24;9999.9;0;9999.9;0;5.7;24;3.9;24;8.9;999.9;89.6*;71.4*;0.12G;999.9;10010;sg
486980;99999;20170112;82.8;24;75.6;24;9999.9;0;9999.9;0;6.1;24;3.6;24;6.0;999.9;90.0*;71.2;1.04G;999.9;0;sg
486980;99999;20170113;80.4;24;75.7;24;9999.9;0;9999.9;0;6.2;24;3.6;24;8.0;999.9;87.8*;77.0*;0.00G;999.9;10010;sg
486980;99999;20170114;82.0;24;76.6;24;9999.9;0;9999.9;0;5.9;21;3.1;24;7.0;999.9;87.8*;77.0;0.00G;999.9;10000;sg
486980;99999;20170115;80.5;24;75.7;24;9999.9;0;9999.9;0;5.9;24;3.6;24;7.0;999.9;89.6*;77.0*;0.02G;999.9;10010;sg
486980;99999;20170116;80.8;24;75.1;24;9999.9;0;9999.9;0;6.2;24;3.2;24;8.0;999.9;87.8*;76.6;0.43G;999.9;10010;sg
486980;99999;20170117;80.8;24;75.2;24;9999.9;0;9999.9;0;6.2;24;4.0;24;9.9;999.9;87.8*;75.9;0.12G;999.9;0;sg
486980;99999;20170118;79.8;24;74.9;24;9999.9;0;9999.9;0;6.3;21;4.0;24;11.1;999.9;89.6*;75.9;0.00G;999.9;10010;sg
486980;99999;20170119;79.7;24;76.1;24;9999.9;0;9999.9;0;5.6;24;3.9;24;9.9;999.9;87.8*;74.3*;0.24G;999.9;10010;sg
486980;99999;20170120;79.8;24;75.5;24;9999.9;0;9999.9;0;5.6;24;3.4;24;8.0;999.9;84.2*;74.3;0.65G;999.9;10000;sg
486980;99999;20170121;80.0;24;75.4;24;9999.9;0;9999.9;0;6.2;24;4.8;24;9.9;999.9;87.8*;75.2;0.18G;999.9;10000;sg
486980;99999;20170122;79.8;24;76.6;24;9999.9;0;9999.9;0;5.4;24;5.6;24;13.0;999.9;86.0*;75.2*;0.22G;999.9;10010;sg
486980;99999;20170123;76.9;24;75.6;24;9999.9;0;9999.9;0;4.5;24;3.8;24;9.9;999.9;82.4*;74.7*;1.99G;999.9;10010;sg
486980;99999;20170124;75.3;24;73.6;24;9999.9;0;9999.9;0;5.1;24;3.7;24;6.0;999.9;77.0*;73.4*;1.91G;999.9;10000;sg
486980;99999;20170125;79.7;24;74.7;24;9999.9;0;9999.9;0;6.4;24;3.6;24;8.0;999.9;86.0*;73.4;0.41G;999.9;10000;sg
486980;99999;20170126;81.2;24;75.9;24;9999.9;0;9999.9;0;5.7;24;5.5;24;12.0;999.9;86.5*;74.5;0.05G;999.9;10000;sg
486980;99999;20170127;81.5;24;74.4;24;9999.9;0;9999.9;0;6.1;24;7.4;24;15.0;22.0;86.0*;76.3;0.02G;999.9;0;sg
486980;99999;20170128;78.7;24;74.4;24;9999.9;0;9999.9;0;5.6;24;4.5;24;8.0;999.9;84.6*;76.5*;0.00G;999.9;10010;sg
486980;99999;20170129;79.7;24;74.6;24;9999.9;0;9999.9;0;6.1;24;4.0;24;6.0;999.9;84.2*;76.1;0.08G;999.9;0;sg
486980;99999;20170130;78.9;24;75.2;24;9999.9;0;9999.9;0;6.1;24;4.0;24;8.0;999.9;84.2*;76.5;0.00G;999.9;10000;sg
486980;99999;20170131;80.3;24;74.3;24;9999.9;0;9999.9;0;6.3;24;5.2;24;11.1;999.9;86.0*;76.6*;0.10G;999.9;0;sg
486980;99999;20170201;81.0;24;73.7;24;9999.9;0;9999.9;0;6.2;24;4.2;24;9.9;999.9;87.8*;76.3;0.00G;999.9;0;sg
486980;99999;20170202;80.8;24;74.2;24;9999.9;0;9999.9;0;6.1;22;2.9;24;5.1;999.9;86.0*;76.8;0.00G;999.9;10010;sg
486980;99999;20170203;80.7;24;76.2;24;9999.9;0;9999.9;0;6.2;24;4.4;24;11.1;999.9;89.6*;77.0*;0.06G;999.9;10010;sg
486980;99999;20170204;80.3;24;76.3;24;9999.9;0;9999.9;0;6.0;24;4.2;24;9.9;999.9;87.8*;77.0;1.00G;999.9;10010;sg
486980;99999;20170205;80.6;24;76.3;24;9999.9;0;9999.9;0;6.1;24;3.9;24;12.0;999.9;89.6*;75.2*;0.58G;999.9;10010;sg
486980;99999;20170206;81.4;24;76.0;24;9999.9;0;9999.9;0;6.2;23;4.2;24;8.0;999.9;88.3*;75.6;0.92G;999.9;10000;sg
486980;99999;20170207;78.2;24;76.0;24;9999.9;0;9999.9;0;5.4;24;3.6;24;9.9;999.9;84.2*;75.2*;0.21G;999.9;10010;sg
486980;99999;20170208;79.8;24;74.9;24;9999.9;0;9999.9;0;6.1;24;2.8;24;7.0;999.9;86.0*;74.3;0.83G;999.9;10010;sg
486980;99999;20170209;81.1;24;73.1;24;9999.9;0;9999.9;0;6.3;24;4.7;24;8.9;999.9;87.8*;76.8;0.17G;999.9;0;sg
486980;99999;20170210;81.8;24;73.5;24;9999.9;0;9999.9;0;6.3;24;7.7;24;13.0;19.0;87.8*;76.5;0.00G;999.9;0;sg
486980;99999;20170211;81.1;24;73.9;24;9999.9;0;9999.9;0;6.2;24;8.5;24;14.0;999.9;86.0*;77.4;0.00G;999.9;10000;sg
486980;99999;20170212;79.1;24;74.6;24;9999.9;0;9999.9;0;4.4;24;6.0;24;13.0;20.0;84.2*;76.3*;0.00G;999.9;10000;sg
486980;99999;20170213;80.5;24;74.4;24;9999.9;0;9999.9;0;6.0;24;8.8;24;15.0;999.9;84.2*;76.3;0.24G;999.9;10000;sg
486980;99999;20170214;78.7;24;74.1;24;9999.9;0;9999.9;0;5.5;24;7.9;24;14.0;999.9;84.2*;73.4*;0.02G;999.9;10000;sg
486980;99999;20170215;79.2;24;73.9;24;9999.9;0;9999.9;0;5.9;24;6.3;24;13.0;999.9;86.0*;72.7;0.60G;999.9;10000;sg
486980;99999;20170216;80.0;24;73.6;24;9999.9;0;9999.9;0;6.2;24;7.1;24;12.0;999.9;86.0*;73.8;0.06G;999.9;10000;sg
486980;99999;20170217;81.1;24;74.3;24;9999.9;0;9999.9;0;6.2;24;7.4;24;12.0;999.9;86.2*;77.0;0.03G;999.9;0;sg
486980;99999;20170218;81.0;24;75.3;24;9999.9;0;9999.9;0;6.2;24;7.3;24;13.0;999.9;86.0*;77.5;0.00G;999.9;0;sg
486980;99999;20170219;82.0;24;75.8;24;9999.9;0;9999.9;0;6.0;24;7.6;24;13.0;999.9;87.8*;77.0*;0.00G;999.9;0;sg
486980;99999;20170220;81.9;24;75.6;24;9999.9;0;9999.9;0;6.1;24;6.9;24;12.0;999.9;87.8*;77.0*;0.00G;999.9;0;sg
486980;99999;20170221;82.1;24;76.1;24;9999.9;0;9999.9;0;5.8;24;4.9;24;11.1;999.9;87.8*;77.0*;0.00G;999.9;10000;sg
486980;99999;20170222;81.6;24;75.7;24;9999.9;0;9999.9;0;6.2;24;5.3;24;11.1;999.9;87.8*;77.5;0.00G;999.9;0;sg
486980;99999;20170223;80.8;24;75.7;24;9999.9;0;9999.9;0;6.1;24;3.8;24;13.0;999.9;87.8*;76.5*;0.00G;999.9;10000;sg
486980;99999;20170224;76.4;24;74.6;24;9999.9;0;9999.9;0;5.2;24;2.8;24;6.0;999.9;82.8*;74.7*;0.14G;999.9;10010;sg
486980;99999;20170225;81.7;24;76.2;24;9999.9;0;9999.9;0;6.2;24;4.9;24;13.0;999.9;87.8*;74.5;1.22G;999.9;10;sg
486980;99999;20170226;81.2;24;75.8;24;9999.9;0;9999.9;0;6.2;24;5.6;24;11.1;999.9;87.8*;76.3;0.00G;999.9;10000;sg
486980;99999;20170227;81.7;24;75.7;24;9999.9;0;9999.9;0;6.0;24;7.9;24;14.0;999.9;86.0*;76.6;0.00G;999.9;10000;sg
486980;99999;20170228;80.0;24;76.0;24;9999.9;0;9999.9;0;5.6;24;6.2;24;15.0;19.0;86.0*;73.4*;0.00G;999.9;10010;sg
486980;99999;20170301;77.7;24;74.8;24;9999.9;0;9999.9;0;5.9;24;4.6;24;8.9;999.9;81.1*;73.2;0.97G;999.9;10000;sg
486980;99999;20170302;81.4;24;75.4;24;9999.9;0;9999.9;0;6.3;24;8.4;24;15.0;999.9;86.0*;74.5;0.07G;999.9;10000;sg
486980;99999;20170303;79.0;24;75.4;24;9999.9;0;9999.9;0;5.7;24;5.6;24;12.0;999.9;86.0*;75.2*;0.00G;999.9;10000;sg
486980;99999;20170304;78.4;24;75.9;24;9999.9;0;9999.9;0;3.8;24;3.3;24;7.0;999.9;82.4*;74.5;0.60G;999.9;10000;sg
486980;99999;20170305;81.1;24;75.4;24;9999.9;0;9999.9;0;5.7;24;6.0;24;12.0;999.9;87.8*;76.1;0.39G;999.9;0;sg
486980;99999;20170306;81.0;24;75.4;24;9999.9;0;9999.9;0;5.8;24;5.4;24;9.9;999.9;87.8*;76.3;0.00G;999.9;10000;sg
486980;99999;20170307;81.1;24;74.7;24;9999.9;0;9999.9;0;5.9;21;4.8;24;9.9;999.9;87.8*;76.1;0.00G;999.9;0;sg
486980;99999;20170308;81.1;24;74.0;24;9999.9;0;9999.9;0;6.2;24;7.4;24;13.0;999.9;87.8*;76.8*;0.00G;999.9;0;sg
486980;99999;20170309;80.8;24;73.6;24;9999.9;0;9999.9;0;6.3;24;7.7;24;12.0;999.9;87.8*;76.5;0.00G;999.9;0;sg
486980;99999;20170310;80.9;24;74.8;24;9999.9;0;9999.9;0;6.3;22;6.6;24;12.0;999.9;86.0*;76.8;0.00G;999.9;0;sg
486980;99999;20170311;82.3;24;75.2;24;9999.9;0;9999.9;0;6.2;24;5.8;24;9.9;999.9;87.8*;77.4;0.00G;999.9;0;sg
486980;99999;20170312;80.4;24;74.4;24;9999.9;0;9999.9;0;6.2;24;3.2;24;6.0;999.9;87.8*;77.0*;0.00G;999.9;10010;sg
486980;99999;20170313;82.2;24;76.8;24;9999.9;0;9999.9;0;4.7;24;5.3;24;11.1;999.9;87.8*;76.6;0.00G;999.9;10000;sg
486980;99999;20170314;80.4;24;74.9;24;9999.9;0;9999.9;0;5.8;22;3.7;24;8.0;999.9;86.0*;77.0*;0.00G;999.9;10010;sg
486980;99999;20170315;84.0;24;74.8;24;9999.9;0;9999.9;0;5.9;23;5.3;24;12.0;999.9;91.4*;76.1;0.00G;999.9;0;sg
486980;99999;20170316;82.8;24;75.9;24;9999.9;0;9999.9;0;6.3;24;5.6;24;14.0;999.9;89.6*;77.0*;0.00G;999.9;0;sg
486980;99999;20170317;81.5;24;76.3;24;9999.9;0;9999.9;0;5.8;24;3.4;24;9.9;999.9;89.6*;77.7;0.00G;999.9;10010;sg
486980;99999;20170318;83.4;24;76.0;24;9999.9;0;9999.9;0;6.1;24;4.9;24;12.0;999.9;91.4*;78.1;0.00G;999.9;0;sg
486980;99999;20170319;83.6;24;76.5;24;9999.9;0;9999.9;0;5.8;24;4.5;24;12.0;999.9;88.2*;77.0*;0.00G;999.9;10010;sg
486980;99999;20170320;79.9;24;75.4;24;9999.9;0;9999.9;0;5.6;24;2.7;24;6.0;999.9;84.2*;75.2*;0.43G;999.9;10010;sg
486980;99999;20170321;81.9;24;74.6;24;9999.9;0;9999.9;0;6.0;24;4.6;24;9.9;999.9;91.4*;75.7;0.41G;999.9;10;sg
486980;99999;20170322;82.9;24;76.4;24;9999.9;0;9999.9;0;6.3;24;5.4;24;11.1;999.9;89.6*;77.4;0.00G;999.9;10010;sg
486980;99999;20170323;84.0;24;75.8;24;9999.9;0;9999.9;0;6.1;20;5.8;24;11.1;999.9;89.6*;78.8;0.02G;999.9;0;sg
486980;99999;20170324;82.8;24;75.9;24;9999.9;0;9999.9;0;5.9;24;3.6;24;8.0;999.9;87.8*;78.8*;0.00G;999.9;0;sg
486980;99999;20170325;83.1;24;76.4;24;9999.9;0;9999.9;0;6.2;24;4.4;24;11.1;999.9;89.6*;78.4*;0.00G;999.9;10000;sg
486980;99999;20170326;84.7;24;77.1;24;9999.9;0;9999.9;0;5.9;24;5.3;24;11.1;999.9;91.4*;78.3;0.00G;999.9;0;sg
486980;99999;20170327;83.7;24;76.7;24;9999.9;0;9999.9;0;6.0;23;4.7;24;18.1;21.0;89.6*;77.0*;0.00G;999.9;10010;sg
486980;99999;20170328;78.7;24;75.5;24;9999.9;0;9999.9;0;5.9;24;2.5;24;11.1;999.9;82.4*;75.2*;0.19G;999.9;10010;sg
486980;99999;20170329;80.9;24;75.9;24;9999.9;0;9999.9;0;5.8;24;3.0;24;7.0;999.9;89.6*;74.7;1.19G;999.9;10010;sg
486980;99999;20170330;78.2;24;75.5;24;9999.9;0;9999.9;0;5.4;24;2.8;24;8.0;999.9;86.0*;74.7*;0.09G;999.9;10010;sg
486980;99999;20170331;81.0;24;77.0;24;9999.9;0;9999.9;0;5.6;24;3.0;24;11.1;999.9;89.6*;74.5;0.76G;999.9;10010;sg
486980;99999;20170401;79.0;24;75.8;24;9999.9;0;9999.9;0;5.5;24;2.9;24;8.0;15.9;87.8*;76.5*;0.41G;999.9;10010;sg
486980;99999;20170402;81.3;24;76.3;24;9999.9;0;9999.9;0;5.9;24;3.3;24;11.1;999.9;89.6*;75.9;0.30G;999.9;10010;sg
486980;99999;20170403;81.9;24;75.7;24;9999.9;0;9999.9;0;6.0;24;3.3;24;8.9;999.9;87.8*;76.6;0.13G;999.9;10010;sg
486980;99999;20170404;83.5;24;75.4;24;9999.9;0;9999.9;0;6.2;24;3.7;24;8.9;999.9;91.4*;76.5;0.10G;999.9;10010;sg
486980;99999;20170405;84.8;24;74.7;24;9999.9;0;9999.9;0;6.3;24;4.3;24;8.9;999.9;91.4*;77.5;0.00G;999.9;0;sg
486980;99999;20170406;82.0;24;75.8;24;9999.9;0;9999.9;0;5.8;24;3.7;24;9.9;999.9;91.4*;73.4*;0.00G;999.9;10010;sg
486980;99999;20170407;82.4;24;75.9;24;9999.9;0;9999.9;0;5.9;24;3.3;24;8.9;999.9;93.2*;73.2;1.51G;999.9;10010;sg
486980;99999;20170408;79.9;24;76.2;24;9999.9;0;9999.9;0;5.5;24;2.3;24;7.0;999.9;84.2*;76.5;0.00G;999.9;10010;sg
486980;99999;20170409;81.8;24;77.5;24;9999.9;0;9999.9;0;5.1;24;3.1;24;9.9;999.9;89.6*;77.2;0.06G;999.9;10000;sg
486980;99999;20170410;81.6;24;77.4;24;9999.9;0;9999.9;0;5.6;24;3.3;24;8.0;999.9;86.0*;78.3;0.24G;999.9;0;sg
486980;99999;20170411;82.7;24;76.9;24;9999.9;0;9999.9;0;5.8;24;3.8;24;11.1;999.9;89.6*;73.4*;0.00G;999.9;10010;sg
486980;99999;20170412;83.1;24;77.5;24;9999.9;0;9999.9;0;6.2;24;3.9;24;8.9;999.9;87.8*;73.6;1.27G;999.9;10010;sg
486980;99999;20170413;79.3;24;75.6;24;9999.9;0;9999.9;0;5.8;24;3.4;24;8.9;999.9;84.2*;75.2*;0.01G;999.9;10000;sg
486980;99999;20170414;82.8;24;77.0;24;9999.9;0;9999.9;0;6.0;24;4.4;24;9.9;999.9;87.8*;75.2;0.03G;999.9;10;sg
486980;99999;20170415;83.7;24;76.5;24;9999.9;0;9999.9;0;6.3;24;4.6;24;11.1;999.9;89.6*;77.9;0.00G;999.9;10000;sg
486980;99999;20170416;83.9;24;76.9;24;9999.9;0;9999.9;0;5.9;23;4.5;24;11.1;999.9;89.6*;78.8;0.00G;999.9;10;sg
486980;99999;20170417;84.7;24;77.4;24;9999.9;0;9999.9;0;6.4;24;4.1;24;8.9;999.9;89.6*;80.1;0.00G;999.9;0;sg
486980;99999;20170418;80.1;24;76.3;24;9999.9;0;9999.9;0;5.3;24;3.2;24;9.9;999.9;89.6*;75.2*;0.00G;999.9;10010;sg
486980;99999;20170419;83.6;24;76.2;24;9999.9;0;9999.9;0;5.7;24;3.0;24;7.0;999.9;89.6*;74.8;0.46G;999.9;10;sg
486980;99999;20170420;82.9;24;77.0;24;9999.9;0;9999.9;0;4.8;22;3.1;24;7.0;999.9;89.6*;78.8;0.00G;999.9;10;sg
486980;99999;20170421;82.5;24;76.0;24;9999.9;0;9999.9;0;5.6;24;3.3;24;9.9;18.1;90.0*;75.2*;0.00G;999.9;10010;sg
486980;99999;20170422;82.4;24;76.6;24;9999.9;0;9999.9;0;6.1;24;3.3;24;7.0;999.9;87.8*;74.5;0.71G;999.9;10010;sg
486980;99999;20170423;83.2;24;78.2;24;9999.9;0;9999.9;0;5.8;24;2.6;24;6.0;999.9;87.8*;78.1;0.02G;999.9;10010;sg
486980;99999;20170424;80.9;24;78.0;24;9999.9;0;9999.9;0;5.2;24;3.9;24;9.9;999.9;89.6*;75.2*;0.30G;999.9;10010;sg
486980;99999;20170425;80.4;24;77.2;24;9999.9;0;9999.9;0;4.4;24;2.5;24;8.0;999.9;89.6*;75.0;1.20G;999.9;10010;sg
486980;99999;20170426;81.5;24;76.6;24;9999.9;0;9999.9;0;4.8;24;2.8;24;7.0;999.9;86.0*;77.4;0.09G;999.9;10010;sg
486980;99999;20170427;81.1;24;76.3;24;9999.9;0;9999.9;0;5.6;24;3.8;24;7.0;999.9;89.6*;73.2*;0.09G;999.9;10010;sg
486980;99999;20170428;81.5;24;76.6;24;9999.9;0;9999.9;0;5.5;20;2.3;24;8.0;999.9;86.0*;73.0;1.69G;999.9;10000;sg
486980;99999;20170429;81.9;24;77.4;24;9999.9;0;9999.9;0;5.4;24;2.8;24;6.0;999.9;86.0*;76.3;0.01G;999.9;10;sg
486980;99999;20170430;83.9;24;77.5;24;9999.9;0;9999.9;0;6.0;24;5.5;24;12.0;999.9;91.4*;78.4;0.00G;999.9;0;sg
