STN---;WBAN ; YEARMODA;   TEMP;  ;   DEWP;  ;  SLP  ;  ;  STP  ;  ; VISIB;  ;  WDSP;  ; MXSPD;  GUST;   MAX  ;  MIN  ;PRCP  ;SNDP ; FRSHTT;Country
466860;99999;20170101;70.9;24;62.2;24;9999.9;0;9999.9;0;4.3;19;7.9;24;15.0;999.9;80.6*;64.4*;0.00I;999.9;100000;tw
466860;99999;20170102;68.3;24;64.8;24;9999.9;0;9999.9;0;5.4;24;9.4;24;17.1;999.9;71.6*;64.4*;99.99;999.9;10000;tw
466860;99999;20170103;69.3;24;64.8;24;9999.9;0;9999.9;0;6.1;24;15.7;24;21.0;999.9;71.6*;68.0*;0.00I;999.9;0;tw
466860;99999;20170104;72.1;24;65.2;24;9999.9;0;9999.9;0;5.5;24;9.9;24;18.1;999.9;80.6*;64.4*;0.00I;999.9;0;tw
466860;99999;20170105;68.5;24;65.4;24;9999.9;0;9999.9;0;2.4;24;4.7;24;11.1;999.9;75.2*;64.4*;0.00I;999.9;0;tw
466860;99999;20170106;69.4;24;67.0;24;9999.9;0;9999.9;0;3.8;24;9.3;24;18.1;999.9;73.4*;68.0*;99.99;999.9;10000;tw
466860;99999;20170107;69.3;24;66.3;24;9999.9;0;9999.9;0;2.9;24;4.0;24;8.0;999.9;75.2*;66.2*;99.99;999.9;10000;tw
466860;99999;20170108;66.9;24;60.2;24;9999.9;0;9999.9;0;6.0;24;16.2;24;21.0;999.9;71.6*;64.4*;0.00I;999.9;0;tw
466860;99999;20170109;62.4;24;53.1;24;9999.9;0;9999.9;0;6.2;24;17.4;24;22.0;22.9;64.4*;60.8*;0.00I;999.9;0;tw
466860;99999;20170110;66.2;24;56.1;24;9999.9;0;9999.9;0;5.9;23;16.0;24;20.0;26.0;71.6*;64.4*;0.00I;999.9;0;tw
466860;99999;20170111;67.0;24;60.6;24;9999.9;0;9999.9;0;5.3;24;19.2;24;26.0;33.0;71.6*;64.4*;0.00I;999.9;0;tw
466860;99999;20170112;65.3;24;61.8;24;9999.9;0;9999.9;0;5.5;24;16.0;24;21.0;28.9;69.8*;59.0*;99.99;999.9;10000;tw
466860;99999;20170113;57.1;24;55.2;24;9999.9;0;9999.9;0;1.9;24;19.7;24;25.1;39.0;59.0*;53.6*;99.99;999.9;10000;tw
466860;99999;20170114;58.1;24;51.0;24;9999.9;0;9999.9;0;5.4;24;18.9;24;25.1;35.0;60.8*;55.4*;99.99;999.9;10000;tw
466860;99999;20170115;57.9;24;51.8;24;9999.9;0;9999.9;0;6.2;24;18.6;24;24.1;26.0;60.8*;57.2*;99.99;999.9;10000;tw
466860;99999;20170116;61.4;24;52.3;24;9999.9;0;9999.9;0;6.2;24;16.6;24;24.1;27.0;62.6*;59.0*;0.00I;999.9;0;tw
466860;99999;20170117;67.0;24;60.0;24;9999.9;0;9999.9;0;5.7;24;9.2;24;21.0;999.9;73.4*;62.6*;99.99;999.9;10000;tw
466860;99999;20170118;65.4;24;63.1;24;9999.9;0;9999.9;0;5.9;24;7.9;24;12.0;999.9;69.8*;62.6*;99.99;999.9;10000;tw
466860;99999;20170119;62.2;24;59.4;24;9999.9;0;9999.9;0;4.6;24;13.3;24;21.0;31.1;66.2*;55.4*;99.99;999.9;10000;tw
466860;99999;20170120;55.0;24;45.9;24;9999.9;0;9999.9;0;5.4;24;22.1;24;28.0;35.9;57.2*;53.6*;99.99;999.9;10000;tw
466860;99999;20170121;57.8;24;49.2;24;9999.9;0;9999.9;0;6.2;24;14.5;24;18.1;999.9;59.0*;57.2*;0.00I;999.9;0;tw
466860;99999;20170122;58.1;24;44.0;24;9999.9;0;9999.9;0;6.2;22;20.1;24;27.0;999.9;62.6*;55.4*;0.00I;999.9;0;tw
466860;99999;20170123;59.1;24;46.2;24;9999.9;0;9999.9;0;6.2;24;18.4;24;24.1;33.0;64.4*;57.2*;99.99;999.9;10000;tw
466860;99999;20170124;59.7;24;51.0;24;9999.9;0;9999.9;0;6.2;24;18.3;24;24.1;999.9;62.6*;57.2*;0.00I;999.9;0;tw
466860;99999;20170125;60.0;24;52.0;24;9999.9;0;9999.9;0;6.2;24;18.3;24;21.0;28.9;62.6*;59.0*;0.00I;999.9;0;tw
466860;99999;20170126;62.6;24;51.2;24;9999.9;0;9999.9;0;6.2;20;15.9;24;25.1;33.0;68.0*;59.0*;0.00I;999.9;0;tw
466860;99999;20170127;64.5;24;58.9;24;9999.9;0;9999.9;0;6.1;24;14.7;24;21.0;999.9;69.8*;60.8*;99.99;999.9;10000;tw
466860;99999;20170128;64.7;24;62.4;24;9999.9;0;9999.9;0;4.1;24;8.1;24;15.0;999.9;68.0*;60.8*;0.00I;999.9;100000;tw
466860;99999;20170129;67.8;24;63.6;24;9999.9;0;9999.9;0;3.5;24;4.0;24;15.9;999.9;73.4*;64.4*;0.00I;999.9;0;tw
466860;99999;20170130;59.4;24;55.6;24;9999.9;0;9999.9;0;4.8;24;25.5;24;29.9;40.0;66.2*;57.2*;0.00I;999.9;0;tw
