Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01/01/2017,ee,1 1 1 0 0 0
2,Tuesday                                                                     ,Burak Yeter      ,01/01/2017,ee,1 1 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01/01/2017,ee,1 1 1 0 0 0
4,Alone                                                                       ,Alan Walker      ,01/01/2017,ee,1 1 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,ee,1 1 1 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,ee,1 1 1 0 0 0
7,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,ee,1 1 1 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,ee,1 1 1 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,ee,1 1 1 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,ee,1 1 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,ee,0 0 1 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,ee,0 0 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,ee,0 0 1 0 0 0
4,Closer                                                                      ,The Chainsmokers ,02/01/2017,ee,0 0 1 0 0 0
5,Tuesday                                                                     ,Burak Yeter      ,02/01/2017,ee,0 0 1 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,ee,0 0 1 0 0 0
7,Alone                                                                       ,Alan Walker      ,02/01/2017,ee,0 0 1 0 0 0
8,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,ee,0 0 1 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/01/2017,ee,0 0 1 0 0 0
10,Black Beatles                                                               ,Rae Sremmurd     ,02/01/2017,ee,0 0 1 0 0 0
1,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,ee,0 0 1 0 0 0
2,Starboy                                                                     ,The Weeknd       ,03/01/2017,ee,0 0 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03/01/2017,ee,0 0 1 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,ee,0 0 1 0 0 0
5,Tuesday                                                                     ,Burak Yeter      ,03/01/2017,ee,0 0 1 0 0 0
6,Alone                                                                       ,Alan Walker      ,03/01/2017,ee,0 0 1 0 0 0
7,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,ee,0 0 1 0 0 0
8,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,ee,0 0 1 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,ee,0 0 1 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,ee,0 0 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,04/01/2017,ee,0 0 1 0 0 0
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,ee,0 0 1 0 0 0
3,Closer                                                                      ,The Chainsmokers ,04/01/2017,ee,0 0 1 0 0 0
4,Tuesday                                                                     ,Burak Yeter      ,04/01/2017,ee,0 0 1 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,ee,0 0 1 0 0 0
