Position,TrackName,Artist,Date,Country,Indicators
1,Energie                                                                     ,Ronnie Flex      ,01/01/2017,nl,1 1 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,nl,1 1 1 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,nl,1 1 1 0 0 0
4,Het Is Een Feit                                                             ,Broederliefde    ,01/01/2017,nl,1 1 1 0 0 0
5,Starboy                                                                     ,The Weeknd       ,01/01/2017,nl,1 1 1 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,nl,1 1 1 0 0 0
7,Closer                                                                      ,The Chainsmokers ,01/01/2017,nl,1 1 1 0 0 0
8,24K Magic                                                                   ,Bruno Mars       ,01/01/2017,nl,1 1 1 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,nl,1 1 1 0 0 0
10,Overal                                                                      ,F1rstman         ,01/01/2017,nl,1 1 1 0 0 0
1,Energie                                                                     ,Ronnie Flex      ,02/01/2017,nl,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,nl,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,nl,0 1 0 0 0 0
4,Het Is Een Feit                                                             ,Broederliefde    ,02/01/2017,nl,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,02/01/2017,nl,0 1 0 0 0 0
6,24K Magic                                                                   ,Bruno Mars       ,02/01/2017,nl,0 1 0 0 0 0
7,Overal                                                                      ,F1rstman         ,02/01/2017,nl,0 1 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,nl,0 1 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,nl,0 1 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,02/01/2017,nl,0 1 0 0 0 0
1,Energie                                                                     ,Ronnie Flex      ,03/01/2017,nl,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,nl,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,nl,0 1 0 0 0 0
4,Het Is Een Feit                                                             ,Broederliefde    ,03/01/2017,nl,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,03/01/2017,nl,0 1 0 0 0 0
6,Overal                                                                      ,F1rstman         ,03/01/2017,nl,0 1 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,nl,0 1 0 0 0 0
8,24K Magic                                                                   ,Bruno Mars       ,03/01/2017,nl,0 1 0 0 0 0
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/01/2017,nl,0 1 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,nl,0 1 0 0 0 0
1,Energie                                                                     ,Ronnie Flex      ,04/01/2017,nl,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,nl,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,nl,0 1 0 0 0 0
4,Het Is Een Feit                                                             ,Broederliefde    ,04/01/2017,nl,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,04/01/2017,nl,0 1 0 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,04/01/2017,nl,0 1 0 0 0 0
7,Overal                                                                      ,F1rstman         ,04/01/2017,nl,0 1 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/01/2017,nl,0 1 0 0 0 0
9,24K Magic                                                                   ,Bruno Mars       ,04/01/2017,nl,0 1 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,nl,0 1 0 0 0 0
1,Energie                                                                     ,Ronnie Flex      ,05/01/2017,nl,0 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,nl,0 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,nl,0 1 0 0 0 0
4,Het Is Een Feit                                                             ,Broederliefde    ,05/01/2017,nl,0 1 0 0 0 0
5,Starboy                                                                     ,The Weeknd       ,05/01/2017,nl,0 1 0 0 0 0
6,Overal                                                                      ,F1rstman         ,05/01/2017,nl,0 1 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05/01/2017,nl,0 1 0 0 0 0
8,I Feel It Coming                                                            ,The Weeknd       ,05/01/2017,nl,0 1 0 0 0 0
9,24K Magic                                                                   ,Bruno Mars       ,05/01/2017,nl,0 1 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,05/01/2017,nl,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,nl,0 0 0 0 0 0
2,Energie                                                                     ,Ronnie Flex      ,06/01/2017,nl,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,nl,0 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,nl,0 0 0 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,nl,0 0 0 0 0 0
6,Het Is Een Feit                                                             ,Broederliefde    ,06/01/2017,nl,0 0 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,06/01/2017,nl,0 0 0 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,06/01/2017,nl,0 0 0 0 0 0
9,Overal                                                                      ,F1rstman         ,06/01/2017,nl,0 0 0 0 0 0
10,I Feel It Coming                                                            ,The Weeknd       ,06/01/2017,nl,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,nl,1 1 1 0 0 0
2,Energie                                                                     ,Ronnie Flex      ,07/01/2017,nl,1 1 1 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07/01/2017,nl,1 1 1 0 0 0
4,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,nl,1 1 1 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,nl,1 1 1 0 0 0
6,Het Is Een Feit                                                             ,Broederliefde    ,07/01/2017,nl,1 1 1 0 0 0
7,Starboy                                                                     ,The Weeknd       ,07/01/2017,nl,1 1 1 0 0 0
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,07/01/2017,nl,1 1 1 0 0 0
9,Overal                                                                      ,F1rstman         ,07/01/2017,nl,1 1 1 0 0 0
10,I Feel It Coming                                                            ,The Weeknd       ,07/01/2017,nl,1 1 1 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,nl,1 0 0 0 0 0
2,Energie                                                                     ,Ronnie Flex      ,08/01/2017,nl,1 0 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,nl,1 0 0 0 0 0
4,Say You Won't Let Go                                                        ,James Arthur     ,08/01/2017,nl,1 0 0 0 0 0
5,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,nl,1 0 0 0 0 0
6,Het Is Een Feit                                                             ,Broederliefde    ,08/01/2017,nl,1 0 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,08/01/2017,nl,1 0 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,08/01/2017,nl,1 0 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,08/01/2017,nl,1 0 0 0 0 0
10,Overal                                                                      ,F1rstman         ,08/01/2017,nl,1 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,09/01/2017,nl,1 1 0 0 0 0
2,Energie                                                                     ,Ronnie Flex      ,09/01/2017,nl,1 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,09/01/2017,nl,1 1 0 0 0 0
4,Castle on the Hill                                                          ,Ed Sheeran       ,09/01/2017,nl,1 1 0 0 0 0
5,Het Is Een Feit                                                             ,Broederliefde    ,09/01/2017,nl,1 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,09/01/2017,nl,1 1 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,09/01/2017,nl,1 1 0 0 0 0
8,Overal                                                                      ,F1rstman         ,09/01/2017,nl,1 1 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,09/01/2017,nl,1 1 0 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,09/01/2017,nl,1 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,10/01/2017,nl,0 1 0 0 0 0
2,Energie                                                                     ,Ronnie Flex      ,10/01/2017,nl,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,10/01/2017,nl,0 1 0 0 0 0
4,Castle on the Hill                                                          ,Ed Sheeran       ,10/01/2017,nl,0 1 0 0 0 0
5,Het Is Een Feit                                                             ,Broederliefde    ,10/01/2017,nl,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,10/01/2017,nl,0 1 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10/01/2017,nl,0 1 0 0 0 0
8,Overal                                                                      ,F1rstman         ,10/01/2017,nl,0 1 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,10/01/2017,nl,0 1 0 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,10/01/2017,nl,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,11/01/2017,nl,0 1 0 0 0 0
2,Energie                                                                     ,Ronnie Flex      ,11/01/2017,nl,0 1 0 0 0 0
3,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11/01/2017,nl,0 1 0 0 0 0
4,Castle on the Hill                                                          ,Ed Sheeran       ,11/01/2017,nl,0 1 0 0 0 0
5,Het Is Een Feit                                                             ,Broederliefde    ,11/01/2017,nl,0 1 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,11/01/2017,nl,0 1 0 0 0 0
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,11/01/2017,nl,0 1 0 0 0 0
8,Overal                                                                      ,F1rstman         ,11/01/2017,nl,0 1 0 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,11/01/2017,nl,0 1 0 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,11/01/2017,nl,0 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,12/01/2017,nl,0 1 1 0 0 0
