STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
103850,99999, 20170101,   34.4,24,   28.5,24, 9999.9, 0, 9999.9, 0,   6.2,24,   7.4,24,   9.9, 999.9,   37.4*,  28.4*, 0.00I,999.9, 000000,
103850,99999, 20170102,   32.2,24,   30.9,24, 9999.9, 0, 9999.9, 0,   4.5,22,   8.4,24,  11.1, 999.9,   35.6*,  26.6*,99.99 ,999.9, 011000,
103850,99999, 20170103,   35.9,24,   34.5,24, 9999.9, 0, 9999.9, 0,   5.8,24,  16.2,24,  25.1,  35.9,   39.2*,  32.0*,99.99 ,999.9, 011000,
103850,99999, 20170104,   36.6,24,   33.0,24, 9999.9, 0, 9999.9, 0,   5.9,24,  18.5,24,  27.0,  38.1,   41.0*,  32.0*,99.99 ,999.9, 011110,
103850,99999, 20170105,   26.4,24,   20.2,24, 9999.9, 0, 9999.9, 0,   5.2,20,  11.8,24,  15.9,  26.0,   32.0*,  19.4*,99.99 ,999.9, 001000,
103850,99999, 20170106,   19.5,24,   13.7,24, 9999.9, 0, 9999.9, 0,   6.2,10,   4.3,24,   8.0, 999.9,   26.6*,  12.2*, 0.00I,999.9, 000000,
103850,99999, 20170107,   20.4,24,   16.7,24, 9999.9, 0, 9999.9, 0,   3.2,13,   7.8,24,  13.0, 999.9,   26.6*,  10.4*,99.99 ,999.9, 001000,
103850,99999, 20170108,   26.7,24,   25.8,24, 9999.9, 0, 9999.9, 0,   3.6,24,   3.2,24,   6.0, 999.9,   28.4*,  26.6*,99.99 ,999.9, 011000,
103850,99999, 20170109,   28.8,24,   27.7,24, 9999.9, 0, 9999.9, 0,   2.9,24,   4.2,24,   8.9, 999.9,   30.2*,  26.6*,99.99 ,999.9, 001000,
103850,99999, 20170110,   27.8,24,   21.8,24, 9999.9, 0, 9999.9, 0,   6.2,10,   8.1,24,   9.9, 999.9,   32.0*,  19.4*, 0.00I,999.9, 000000,
103850,99999, 20170111,   25.5,24,   21.0,24, 9999.9, 0, 9999.9, 0,   5.4,24,  12.9,24,  21.0, 999.9,   37.4*,  15.8*,99.99 ,999.9, 011000,
103850,99999, 20170112,   37.3,24,   31.9,24, 9999.9, 0, 9999.9, 0,   6.2,18,  13.6,24,  20.0, 999.9,   39.2*,  33.8*,99.99 ,999.9, 010000,
103850,99999, 20170113,   35.1,24,   32.5,24, 9999.9, 0, 9999.9, 0,   5.6,23,  11.5,24,  17.1,  25.1,   37.4*,  30.2*,99.99 ,999.9, 011000,
103850,99999, 20170114,   32.0,24,   29.5,24, 9999.9, 0, 9999.9, 0,   6.0,21,   8.0,24,  14.0, 999.9,   35.6*,  28.4*,99.99 ,999.9, 001000,
103850,99999, 20170115,   32.2,24,   30.7,24, 9999.9, 0, 9999.9, 0,   4.8,24,  10.7,24,  15.0, 999.9,   33.8*,  30.2*,99.99 ,999.9, 001000,
103850,99999, 20170116,   29.3,24,   25.5,24, 9999.9, 0, 9999.9, 0,   6.2,22,   6.2,24,   8.9, 999.9,   30.2*,  24.8*,99.99 ,999.9, 001000,
103850,99999, 20170117,   27.1,24,   23.1,24, 9999.9, 0, 9999.9, 0,   6.2,20,   2.9,24,   8.0, 999.9,   35.6*,  17.6*, 0.00I,999.9, 000000,
103850,99999, 20170118,   23.5,23,   22.5,23, 9999.9, 0, 9999.9, 0,   3.6,23,   3.3,23,   5.1, 999.9,   26.6*,  19.4*, 0.00I,999.9, 100000,
103850,99999, 20170119,   25.5,24,   22.4,24, 9999.9, 0, 9999.9, 0,   6.0,19,   5.2,24,   7.0, 999.9,   28.4*,  23.0*,99.99 ,999.9, 001000,
103850,99999, 20170120,   31.3,24,   28.0,24, 9999.9, 0, 9999.9, 0,   4.4,24,   4.5,24,   7.0, 999.9,   33.8*,  26.6*,99.99 ,999.9, 010000,
103850,99999, 20170121,   34.1,24,   32.7,24, 9999.9, 0, 9999.9, 0,   3.8,24,   3.3,24,   6.0, 999.9,   35.6*,  32.0*,99.99 ,999.9, 010000,
103850,99999, 20170122,   31.1,24,   28.0,24, 9999.9, 0, 9999.9, 0,   4.3,19,   5.2,24,   8.0, 999.9,   39.2*,  26.6*, 0.00I,999.9, 000000,
103850,99999, 20170123,   25.6,24,   24.2,24, 9999.9, 0, 9999.9, 0,   2.3,24,   4.0,24,   8.0, 999.9,   28.4*,  17.6*,99.99 ,999.9, 111000,
103850,99999, 20170124,   30.3,24,   28.9,24, 9999.9, 0, 9999.9, 0,   2.2,24,   5.5,24,   7.0, 999.9,   32.0*,  28.4*,99.99 ,999.9, 011000,
103850,99999, 20170125,   32.4,24,   31.2,24, 9999.9, 0, 9999.9, 0,   2.5,24,   3.4,24,   5.1, 999.9,   33.8*,  32.0*,99.99 ,999.9, 101000,
103850,99999, 20170126,   31.9,24,   28.7,24, 9999.9, 0, 9999.9, 0,   3.9,16,   5.5,24,   8.9, 999.9,   37.4*,  26.6*, 0.00I,999.9, 100000,
103850,99999, 20170127,   28.7,24,   20.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.9,24,   8.0, 999.9,   37.4*,  23.0*, 0.00I,999.9, 000000,
103850,99999, 20170128,   24.7,24,   19.0,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.5,24,   8.0, 999.9,   32.0*,  19.4*, 0.00I,999.9, 000000,
103850,99999, 20170129,   32.3,24,   24.0,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.7,24,   8.0, 999.9,   44.6*,  23.0*, 0.00I,999.9, 000000,
103850,99999, 20170130,   32.1,24,   28.4,24, 9999.9, 0, 9999.9, 0,   4.7,24,   7.2,24,  13.0, 999.9,   35.6*,  28.4*,99.99 ,999.9, 011000,
