STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
947680,99999, 20170101,   73.9,16,   65.3,16, 1006.6,16, 1002.0,16, 999.9, 0,   0.0,16, 999.9, 999.9,   78.6*,  70.3*, 0.02G,999.9, 000000,
947680,99999, 20170102,   70.8,16,   59.9,16, 1015.0,16, 1010.3,16, 999.9, 0,   0.0,16, 999.9, 999.9,   76.8*,  65.7*, 0.10G,999.9, 010000,
947680,99999, 20170103,   72.8,16,   59.2,16, 1019.6,16, 1014.9,16, 999.9, 0,   0.0,16, 999.9, 999.9,   77.7*,  65.3 , 0.05G,999.9, 000000,
947680,99999, 20170104,   72.1,16,   59.5,16, 1019.3,16, 1014.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   75.9*,  68.2 , 0.20G,999.9, 010000,
947680,99999, 20170105,   71.5,16,   64.6,16, 1017.1,16, 1012.4,16, 999.9, 0,   0.0,16, 999.9, 999.9,   74.8*,  67.3 , 0.35G,999.9, 010000,
947680,99999, 20170106,   73.5,16,   61.4,16, 1018.1,16, 1013.5,16, 999.9, 0,   0.0,16, 999.9, 999.9,   78.1*,  66.7*, 0.17G,999.9, 000000,
947680,99999, 20170107,   74.1,16,   61.0,16, 1014.1,16, 1009.4,16, 999.9, 0,   0.0,16, 999.9, 999.9,   79.5*,  66.6 , 0.00G,999.9, 000000,
947680,99999, 20170108,   76.1,16,   63.4,16, 1010.2,16, 1005.5,16, 999.9, 0,   0.0,16, 999.9, 999.9,   81.5*,  67.5 , 0.00G,999.9, 000000,
947680,99999, 20170109,   76.6,16,   65.3,16, 1011.3,16, 1006.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   80.2*,  70.3 , 0.02G,999.9, 010000,
947680,99999, 20170110,   81.1,16,   65.5,16, 1008.2,16, 1003.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   90.7*,  72.7 , 0.00G,999.9, 000000,
947680,99999, 20170111,   79.7,16,   65.8,16, 1008.1,16, 1003.4,16, 999.9, 0,   0.0,16, 999.9, 999.9,   98.1*,  72.3*, 0.00G,999.9, 000000,
947680,99999, 20170112,   77.1,16,   63.4,16, 1010.9,16, 1006.2,16, 999.9, 0,   0.0,16, 999.9, 999.9,   81.1*,  72.1 , 0.00G,999.9, 000000,
947680,99999, 20170113,   83.0,16,   66.9,16, 1001.3,16,  996.7,16, 999.9, 0,   0.0,16, 999.9, 999.9,   87.1*,  73.4 , 0.00G,999.9, 000000,
947680,99999, 20170114,   79.2,16,   63.3,16, 1009.3,16, 1004.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   88.5*,  73.8*, 0.00G,999.9, 000000,
947680,99999, 20170115,   75.1,16,   62.1,16, 1016.3,16, 1011.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   79.3*,  71.4*, 0.00G,999.9, 000000,
947680,99999, 20170116,   75.4,16,   64.0,16, 1014.1,16, 1009.4,16, 999.9, 0,   0.0,16, 999.9, 999.9,   81.0*,  69.6*, 0.00G,999.9, 000000,
947680,99999, 20170117,   88.7,16,   62.7,16, 1006.6,16, 1002.0,16, 999.9, 0,   0.0,16, 999.9, 999.9,   97.7*,  69.4 , 0.00G,999.9, 000000,
947680,99999, 20170118,   75.6,15,   58.6,15, 1012.1,15, 1007.4,15, 999.9, 0,   0.0,15, 999.9, 999.9,   90.1*,  66.6*, 0.00G,999.9, 000000,
947680,99999, 20170119,   72.0,16,   58.7,16, 1008.8,16, 1004.1,16, 999.9, 0,   0.0,16, 999.9, 999.9,   76.1*,  66.2 , 0.00G,999.9, 000000,
947680,99999, 20170120,   75.3,16,   61.9,16, 1001.1,16,  996.5,16, 999.9, 0,   0.0,16, 999.9, 999.9,   84.2*,  66.2 , 0.31G,999.9, 010000,
947680,99999, 20170121,   72.9,16,   54.9,16, 1015.3,16, 1010.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   79.9*,  68.9*, 0.00G,999.9, 000000,
947680,99999, 20170122,   75.1,16,   61.2,16, 1015.0,16, 1010.3,16, 999.9, 0,   0.0,16, 999.9, 999.9,   81.9*,  68.7 , 0.00G,999.9, 000000,
947680,99999, 20170123,   81.6,16,   62.5,16, 1008.3,16, 1003.6,16, 999.9, 0,   0.0,16, 999.9, 999.9,   94.8*,  70.7 , 0.00G,999.9, 000000,
