STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
110340,99999, 20170101,   26.1,24,   22.0,24, 1024.7,24, 1001.9,24, 999.9, 0,   3.2,23,   5.8, 999.9,   36.3 ,  21.6*, 0.00F,999.9, 000000,
110340,99999, 20170102,   28.9,24,   22.9,24, 1019.8,24,  997.3,24, 999.9, 0,   6.3,24,  11.7, 999.9,   41.4 ,  20.3 , 0.00F,999.9, 010000,
110340,99999, 20170103,   35.4,24,   23.6,24, 1022.3,24, 1000.0,24, 999.9, 0,  12.5,24,  17.5, 999.9,   37.4 ,  32.9 , 0.00F,999.9, 000000,
110340,99999, 20170104,   38.8,24,   26.8,24, 1008.4,24,  986.6,24, 999.9, 0,  17.2,24,  23.3, 999.9,   41.4 ,  35.6 , 0.00F,999.9, 010000,
110340,99999, 20170105,   31.0,23,   17.2,23, 1019.2,23,  996.8,23, 999.9, 0,  12.0,23,  17.5, 999.9,   38.7 ,  23.7*, 0.00F,999.9, 000000,
110340,99999, 20170106,   22.2,24,    8.4,24, 1035.2,24, 1012.1,24, 999.9, 0,  12.1,24,  15.5, 999.9,   27.5 ,  18.7*, 0.00F,999.9, 000000,
110340,99999, 20170107,   20.1,24,    7.0,24, 1034.8,24, 1011.5,24, 999.9, 0,   8.3,24,  13.6, 999.9,   24.6 ,  16.7 , 0.00F,999.9, 001000,
110340,99999, 20170108,   23.2,24,   17.2,24, 1028.7,24, 1005.7,24, 999.9, 0,   5.7,24,   9.7, 999.9,   25.9 ,  19.6 , 0.04F,999.9, 011000,
110340,99999, 20170109,   25.9,24,   18.2,24, 1027.3,24, 1004.5,24, 999.9, 0,   6.4,24,  11.7, 999.9,   28.8 ,  22.3 , 0.00F,999.9, 011000,
110340,99999, 20170110,   20.9,24,   10.7,24, 1021.9,24,  999.0,24, 999.9, 0,   7.4,24,  11.7, 999.9,   27.5 ,  16.5*, 0.00F,999.9, 000000,
