STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
853640,99999, 20170101,   80.1,14,   60.0,14, 9999.9, 0, 9999.9, 0,   6.2,14,   4.7,14,  18.1, 999.9,   91.4*,  64.4*, 0.00I,999.9, 000000,
853640,99999, 20170102,   75.7,18,   57.4,18, 9999.9, 0, 9999.9, 0,   6.6,18,   5.6,17,   9.9, 999.9,   92.3 ,  62.6*,99.99 ,999.9, 010000,
853640,99999, 20170103,   78.6,18,   56.8,18, 9999.9, 0, 9999.9, 0,   6.6,18,   5.1,18,   9.9, 999.9,   89.6*,  64.4*, 0.00I,999.9, 000000,
853640,99999, 20170104,   80.2,17,   55.7,17, 9999.9, 0, 9999.9, 0,   6.6,16,   3.9,16,   9.9, 999.9,   91.4 ,  62.6*, 0.00I,999.9, 000000,
853640,99999, 20170105,   72.1,20,   60.8,20, 9999.9, 0, 9999.9, 0,   6.5,20,   5.1,20,   9.9, 999.9,   83.5 ,  64.4*, 0.00I,999.9, 000010,
853640,99999, 20170106,   66.4,24,   60.4,24, 9999.9, 0, 9999.9, 0,   6.0,24,   2.4,24,   8.9, 999.9,   83.5 ,  60.8*,99.99 ,999.9, 010000,
853640,99999, 20170107,   71.8,19,   62.0,19, 9999.9, 0, 9999.9, 0,   6.4,19,   3.6,19,  15.0, 999.9,   86.7 ,  64.4*,99.99 ,999.9, 110010,
853640,99999, 20170108,   76.5,14,   63.2,14, 9999.9, 0, 9999.9, 0,   7.1,14,   3.8,14,   8.9, 999.9,   87.8 ,  66.2*, 0.00I,999.9, 000010,
853640,99999, 20170109,   76.4,18,   64.1,18, 9999.9, 0, 9999.9, 0,   7.2,18,   2.5,18,   6.0, 999.9,   87.8 ,  66.2*, 0.00I,999.9, 000010,
853640,99999, 20170110,   68.0,24,   62.3,24, 9999.9, 0, 9999.9, 0,   6.0,24,   1.8,24,  15.0, 999.9,   83.7 ,  60.8*,99.99 ,999.9, 010010,
853640,99999, 20170111,   69.3,18,   59.8,18, 9999.9, 0, 9999.9, 0,   6.7,18,   2.1,18,   7.0, 999.9,   80.1 ,  59.0*, 0.20A,999.9, 100000,
853640,99999, 20170112,   73.2,19,   59.7,19, 9999.9, 0, 9999.9, 0,   7.2,19,   3.6,19,   8.0, 999.9,   83.1 ,  64.4*, 0.00I,999.9, 000000,
853640,99999, 20170113,   77.6,18,   59.0,18, 9999.9, 0, 9999.9, 0,   6.9,18,   4.3,18,   9.9, 999.9,   90.7 ,  64.4*, 0.00I,999.9, 000000,
853640,99999, 20170114,   77.2,18,   59.0,18, 9999.9, 0, 9999.9, 0,   7.2,18,   4.8,18,  12.0, 999.9,   90.7 ,  64.4*, 0.00I,999.9, 000000,
853640,99999, 20170115,   80.1,15,   59.9,15, 9999.9, 0, 9999.9, 0,   7.5,15,   4.8,15,   8.0, 999.9,   90.7 ,  66.2*, 0.00I,999.9, 000000,
853640,99999, 20170116,   72.4,18,   60.0,18, 9999.9, 0, 9999.9, 0,   7.2,18,   5.2,18,  12.0, 999.9,   90.7 ,  59.0*,99.99 ,999.9, 010000,
853640,99999, 20170117,   76.0,18,   59.8,18, 9999.9, 0, 9999.9, 0,   7.2,18,   5.2,18,   8.0, 999.9,   86.0 ,  64.4*, 0.00I,999.9, 000000,
853640,99999, 20170118,   74.2,17,   58.0,17, 9999.9, 0, 9999.9, 0,   7.3,17,   4.4,17,   8.0, 999.9,   86.0 ,  59.0*, 0.00I,999.9, 000000,
853640,99999, 20170119,   76.0,18,   56.7,18, 9999.9, 0, 9999.9, 0,   7.2,18,   4.5,18,   8.0, 999.9,   85.5 ,  62.6*, 0.00I,999.9, 000000,
853640,99999, 20170120,   75.0,18,   52.6,18, 9999.9, 0, 9999.9, 0,   7.2,18,   5.1,18,  12.0, 999.9,   85.5 ,  60.8*, 0.00I,999.9, 000000,
