STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
064510,99999, 20170101,   29.2,24,   27.0,24, 9999.9, 0, 9999.9, 0,   3.3,24,   8.6,24,  13.0, 999.9,   32.0*,  24.8*, 0.00G,999.9, 111000,
064510,99999, 20170102,   34.0,24,   32.1,24, 9999.9, 0, 9999.9, 0,   3.9,24,   5.2,24,   8.0, 999.9,   39.7 ,  31.5 , 0.06G,  0.4, 111000,
064510,99999, 20170103,   34.8,24,   31.8,24, 9999.9, 0, 9999.9, 0,   6.4,19,  10.7,24,  15.5, 999.9,   37.4*,  30.2*, 0.04G,999.9, 000000,
064510,99999, 20170104,   39.0,24,   35.3,24, 9999.9, 0, 9999.9, 0,   5.6,23,  11.1,24,  17.1,  28.0,   44.6 ,  35.6*, 0.00G,999.9, 010000,
064510,99999, 20170105,   34.0,24,   29.0,24, 9999.9, 0, 9999.9, 0,   6.6,17,   4.3,24,   8.0, 999.9,   39.2*,  26.6*, 0.13G,999.9, 010000,
064510,99999, 20170106,   27.3,24,   21.1,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.0,24,   8.9, 999.9,   32.7 ,  23.0*, 0.00G,999.9, 000000,
064510,99999, 20170107,   30.0,24,   26.9,24, 9999.9, 0, 9999.9, 0,   2.5,24,   7.1,24,  11.7, 999.9,   33.8*,  26.6*, 0.00G,  0.4, 111000,
064510,99999, 20170108,   37.2,24,   36.9,24, 9999.9, 0, 9999.9, 0,   1.5,24,   3.1,24,   6.0, 999.9,   41.0*,  32.2 , 0.09G,999.9, 100000,
064510,99999, 20170109,   40.0,24,   38.1,24, 9999.9, 0, 9999.9, 0,   5.2,24,   9.3,24,  15.5, 999.9,   42.8*,  35.6*, 0.00G,999.9, 010000,
064510,99999, 20170110,   40.9,24,   38.8,24, 9999.9, 0, 9999.9, 0,   6.0,24,   7.0,24,  15.5, 999.9,   42.8*,  37.4*, 0.16G,999.9, 010000,
064510,99999, 20170111,   43.6,24,   38.5,24, 9999.9, 0, 9999.9, 0,   5.6,22,  12.7,24,  18.1,  28.9,   49.1 ,  39.2*, 0.04G,999.9, 010000,
064510,99999, 20170112,   40.8,24,   35.9,24, 9999.9, 0, 9999.9, 0,   5.3,13,  11.6,24,  20.0,  24.1,   44.6*,  32.0*, 0.07G,999.9, 011000,
064510,99999, 20170113,   35.5,24,   31.5,24, 9999.9, 0, 9999.9, 0,   4.7,24,  14.5,24,  23.3,  33.0,   39.2*,  31.5 , 0.47G,  0.4, 011100,
064510,99999, 20170114,   34.3,24,   31.6,24, 9999.9, 0, 9999.9, 0,   5.3,23,   9.6,24,  15.5,  25.1,   39.2*,  32.0*, 0.46G,  0.4, 011000,
064510,99999, 20170115,   33.8,24,   32.1,24, 9999.9, 0, 9999.9, 0,   4.8,24,   4.8,24,   8.0, 999.9,   36.3 ,  30.9 , 0.29G,  0.4, 011000,
064510,99999, 20170116,   33.0,24,   30.6,24, 9999.9, 0, 9999.9, 0,   3.6,24,   3.0,24,   6.0, 999.9,   36.3 ,  28.4*, 0.01G,999.9, 000000,
064510,99999, 20170117,   27.7,24,   24.0,24, 9999.9, 0, 9999.9, 0,   3.4,19,   3.3,24,   7.0, 999.9,   32.0 ,  24.8*, 0.00G,999.9, 000000,
064510,99999, 20170118,   26.3,23,   23.5,23, 9999.9, 0, 9999.9, 0,   2.5,22,   4.3,23,   8.0, 999.9,   30.9 ,  23.0*, 0.00G,999.9, 000000,
064510,99999, 20170119,   28.5,24,   21.4,24, 9999.9, 0, 9999.9, 0,   2.5,10,   3.0,24,   7.0, 999.9,   37.4*,  21.2*, 0.00G,999.9, 000000,
064510,99999, 20170120,   30.3,24,   19.2,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.7,24,   7.8, 999.9,   41.0*,  22.5*, 0.00G,999.9, 000000,
064510,99999, 20170121,   29.8,24,   21.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   2.8,24,   5.8, 999.9,   37.9 ,  22.8*, 0.00G,999.9, 000000,
064510,99999, 20170122,   29.5,24,   23.2,24, 9999.9, 0, 9999.9, 0,   4.4,17,   2.3,24,   5.8, 999.9,   39.2 ,  21.2*, 0.00G,999.9, 000000,
064510,99999, 20170123,   33.5,24,   30.9,24, 9999.9, 0, 9999.9, 0,   2.4,24,   2.1,24,   5.8, 999.9,   37.0 ,  26.2 , 0.00G,999.9, 000000,
064510,99999, 20170124,   33.4,24,   32.3,24, 9999.9, 0, 9999.9, 0,   1.2,24,   2.3,24,   6.0, 999.9,   37.4*,  30.2*, 0.00G,  0.4, 101000,
064510,99999, 20170125,   29.4,24,   25.3,24, 9999.9, 0, 9999.9, 0,   4.5,19,   3.6,24,   7.8, 999.9,   32.0*,  24.8*, 0.07G,999.9, 000000,
064510,99999, 20170126,   28.0,24,   22.0,24, 9999.9, 0, 9999.9, 0,   6.1,17,   4.6,24,   8.0, 999.9,   32.5 ,  24.8 , 0.00G,999.9, 000000,
064510,99999, 20170127,   35.2,24,   27.0,24, 9999.9, 0, 9999.9, 0,   4.8, 9,   7.7,24,  13.6, 999.9,   44.6*,  23.7 , 0.00G,999.9, 000000,
064510,99999, 20170128,   44.9,24,   35.2,24, 9999.9, 0, 9999.9, 0,   8.3, 9,   9.6,24,  15.5, 999.9,   50.2 ,  39.2*, 0.00G,999.9, 000000,
064510,99999, 20170129,   40.2,24,   36.9,24, 9999.9, 0, 9999.9, 0,   6.8,17,   9.3,24,  14.0, 999.9,   43.5 ,  37.4*, 0.00G,999.9, 010000,
064510,99999, 20170130,   42.7,24,   40.6,24, 9999.9, 0, 9999.9, 0,   5.2,24,  10.1,24,  17.5, 999.9,   46.4*,  39.2 , 0.22G,999.9, 010000,
064510,99999, 20170131,   36.0,24,   32.6,24, 9999.9, 0, 9999.9, 0,   4.5,24,   4.8,24,   9.9, 999.9,   38.5*,  33.8*, 0.09G,999.9, 000000,
064510,99999, 20170201,   42.1,24,   39.5,24, 9999.9, 0, 9999.9, 0,   4.6,23,   7.4,24,  11.1, 999.9,   48.2*,  33.8*, 0.00G,999.9, 110000,
064510,99999, 20170202,   49.9,24,   43.8,24, 9999.9, 0, 9999.9, 0,   6.8,12,   9.6,24,  13.6, 999.9,   55.4 ,  44.4 , 0.00G,999.9, 010000,
064510,99999, 20170203,   48.3,24,   41.5,24, 9999.9, 0, 9999.9, 0,   6.3,20,   8.8,24,  15.9, 999.9,   51.8*,  44.6*, 0.00G,999.9, 010000,
064510,99999, 20170204,   41.8,24,   38.7,24, 9999.9, 0, 9999.9, 0,   6.2,19,   6.9,24,  15.9, 999.9,   45.0*,  39.2*, 0.01G,999.9, 010000,
064510,99999, 20170205,   41.3,24,   38.2,24, 9999.9, 0, 9999.9, 0,   5.4,23,   4.9,24,   8.0, 999.9,   44.6*,  38.3 , 0.15G,999.9, 010000,
064510,99999, 20170206,   41.8,24,   34.8,24, 9999.9, 0, 9999.9, 0,   5.0,24,   2.6,24,   5.8, 999.9,   46.4*,  37.4*, 0.06G,999.9, 010000,
064510,99999, 20170207,   41.1,24,   39.0,24, 9999.9, 0, 9999.9, 0,   3.1,24,   4.0,24,   7.0, 999.9,   42.8*,  40.3*, 0.00G,999.9, 010000,
064510,99999, 20170208,   37.9,24,   36.8,24, 9999.9, 0, 9999.9, 0,   0.8,24,   4.8,24,   7.0, 999.9,   41.0*,  33.8*, 0.09G,999.9, 110000,
064510,99999, 20170209,   33.2,24,   31.1,24, 9999.9, 0, 9999.9, 0,   1.5,24,   4.8,24,   6.0, 999.9,   35.6 ,  28.4*, 0.06G,999.9, 010000,
064510,99999, 20170210,   29.4,24,   26.6,24, 9999.9, 0, 9999.9, 0,   2.4,24,   4.2,24,   6.0, 999.9,   32.0*,  26.2 , 0.00G,999.9, 001000,
064510,99999, 20170211,   31.2,24,   30.1,24, 9999.9, 0, 9999.9, 0,   1.0,24,   3.7,24,   5.8, 999.9,   32.7 ,  30.0 , 0.00G,  0.4, 111000,
064510,99999, 20170212,   37.0,24,   34.6,24, 9999.9, 0, 9999.9, 0,   2.1,24,   4.3,24,   9.7, 999.9,   42.8*,  32.0*, 0.02G,999.9, 110000,
064510,99999, 20170213,   38.7,24,   31.1,24, 9999.9, 0, 9999.9, 0,   3.7,12,   7.9,24,  12.0,  22.0,   46.4*,  32.0*, 0.00G,999.9, 000000,
064510,99999, 20170214,   42.7,24,   32.3,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.2,24,   8.9, 999.9,   53.6*,  32.0*, 0.00G,999.9, 000000,
064510,99999, 20170215,   49.4,24,   38.9,24, 9999.9, 0, 9999.9, 0,   8.3, 6,   7.8,24,  11.7, 999.9,   57.2*,  41.9 , 0.00G,999.9, 000000,
064510,99999, 20170216,   46.4,24,   41.6,24, 9999.9, 0, 9999.9, 0,   5.8,19,   6.6,24,   9.9, 999.9,   54.3 ,  40.6*, 0.00G,999.9, 000000,
064510,99999, 20170217,   44.6,24,   41.8,24, 9999.9, 0, 9999.9, 0,   4.9,24,   6.8,24,  11.7, 999.9,   48.2*,  41.0*, 0.00G,999.9, 010000,
064510,99999, 20170218,   44.1,24,   38.1,24, 9999.9, 0, 9999.9, 0,   4.2,22,   3.5,24,   7.0, 999.9,   52.0 ,  37.2*, 0.03G,999.9, 000000,
064510,99999, 20170219,   42.7,24,   39.0,24, 9999.9, 0, 9999.9, 0,   5.8,20,   8.4,24,  13.6, 999.9,   48.2*,  35.4 , 0.00G,999.9, 000000,
064510,99999, 20170220,   48.4,24,   46.0,24, 9999.9, 0, 9999.9, 0,   4.6,24,  12.4,24,  15.9, 999.9,   51.8*,  44.6*, 0.00G,999.9, 010000,
064510,99999, 20170221,   50.3,24,   48.1,24, 9999.9, 0, 9999.9, 0,   4.8,24,  10.7,24,  20.0, 999.9,   52.0 ,  49.3*, 0.02G,999.9, 010000,
064510,99999, 20170222,   49.8,24,   46.3,24, 9999.9, 0, 9999.9, 0,   5.3,24,  19.0,24,  22.9,  34.0,   50.7 ,  48.2*, 0.13G,999.9, 010000,
064510,99999, 20170223,   48.0,24,   40.9,24, 9999.9, 0, 9999.9, 0,   5.3,24,  22.1,24,  33.0,  51.1,   52.0 ,  41.0*, 0.30G,999.9, 011100,
064510,99999, 20170224,   40.6,24,   35.5,24, 9999.9, 0, 9999.9, 0,   6.6,21,   7.9,24,  17.1,  26.0,   45.3 ,  35.4*, 0.06G,999.9, 011100,
064510,99999, 20170225,   41.6,24,   33.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.1,24,  15.9, 999.9,   48.2*,  33.8*, 0.09G,999.9, 000000,
064510,99999, 20170226,   47.5,24,   40.9,24, 9999.9, 0, 9999.9, 0,   7.1,21,  12.3,24,  15.9, 999.9,   51.8*,  42.8*, 0.00G,999.9, 010000,
064510,99999, 20170227,   48.7,24,   40.4,24, 9999.9, 0, 9999.9, 0,   7.2,24,  15.9,24,  22.0,  41.0,   52.9 ,  42.8*, 0.00G,999.9, 010010,
064510,99999, 20170228,   41.4,24,   34.0,24, 9999.9, 0, 9999.9, 0,   6.3,24,  15.9,24,  22.9,  35.0,   45.3 ,  35.6*, 0.27G,999.9, 010000,
064510,99999, 20170301,   44.3,24,   39.9,24, 9999.9, 0, 9999.9, 0,   5.4,24,  12.1,24,  18.1, 999.9,   48.2*,  38.1 , 0.14G,999.9, 010000,
064510,99999, 20170302,   44.9,24,   33.5,24, 9999.9, 0, 9999.9, 0,   6.5,19,  16.0,24,  26.0,  39.0,   48.4 ,  37.4*, 0.15G,999.9, 010000,
064510,99999, 20170303,   46.3,24,   37.1,24, 9999.9, 0, 9999.9, 0,   7.2, 6,   8.7,24,  13.6, 999.9,   53.6 ,  36.9 , 0.02G,999.9, 010000,
064510,99999, 20170304,   49.3,24,   43.5,24, 9999.9, 0, 9999.9, 0,   6.9,19,   8.6,24,  15.0, 999.9,   53.6*,  43.9*, 0.00G,999.9, 010000,
064510,99999, 20170305,   43.7,24,   38.5,24, 9999.9, 0, 9999.9, 0,   6.6,24,  13.4,24,  20.0,  28.0,   48.9 ,  41.0*, 0.04G,999.9, 010000,
064510,99999, 20170306,   42.7,24,   39.4,24, 9999.9, 0, 9999.9, 0,   6.0,24,  10.6,24,  13.6,  25.1,   45.1 ,  41.0*, 0.19G,999.9, 010000,
064510,99999, 20170307,   43.3,24,   38.5,24, 9999.9, 0, 9999.9, 0,   6.8,21,   7.3,24,  12.0, 999.9,   49.8 ,  38.8*, 0.08G,999.9, 010000,
064510,99999, 20170308,   45.9,24,   43.4,24, 9999.9, 0, 9999.9, 0,   4.2,19,  11.5,24,  19.4,  29.9,   52.0 ,  37.8 , 0.10G,999.9, 010000,
064510,99999, 20170309,   50.6,24,   45.4,24, 9999.9, 0, 9999.9, 0,   4.3,19,   9.0,24,  15.9,  24.1,   57.6 ,  39.2*, 0.40G,999.9, 010000,
064510,99999, 20170310,   43.6,24,   35.7,24, 9999.9, 0, 9999.9, 0,   7.5, 5,   3.5,24,   6.0, 999.9,   52.0 ,  34.9 , 0.02G,999.9, 000000,
064510,99999, 20170311,   46.1,24,   35.3,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.9,24,   7.8, 999.9,   55.6 ,  34.7 , 0.00G,999.9, 000000,
064510,99999, 20170312,   48.7,24,   36.3,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.1,24,   8.0, 999.9,   61.3 ,  38.5 , 0.00G,999.9, 000000,
064510,99999, 20170313,   46.1,24,   40.4,24, 9999.9, 0, 9999.9, 0,   6.5,12,   6.1,24,  12.0, 999.9,   57.2*,  37.4*, 0.00G,999.9, 000000,
064510,99999, 20170314,   47.7,24,   42.8,24, 9999.9, 0, 9999.9, 0,   6.3,15,   7.2,24,  13.0, 999.9,   56.1 ,  37.9 , 0.00G,999.9, 000000,
064510,99999, 20170315,   52.2,24,   44.5,24, 9999.9, 0, 9999.9, 0,   5.8,20,   3.6,24,   6.0, 999.9,   60.8*,  42.8*, 0.00G,999.9, 000000,
064510,99999, 20170316,   51.4,24,   42.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.8,24,   7.8, 999.9,   63.1 ,  39.0 , 0.00G,999.9, 000000,
064510,99999, 20170317,   48.4,24,   38.1,24, 9999.9, 0, 9999.9, 0,   5.1,19,  10.4,24,  19.4,  31.1,   52.0 ,  44.1*, 0.00G,999.9, 010000,
064510,99999, 20170318,   50.3,24,   47.7,24, 9999.9, 0, 9999.9, 0,   4.6,24,  13.9,24,  21.4,  28.9,   54.1 ,  42.8*, 0.04G,999.9, 010000,
064510,99999, 20170319,   51.7,24,   46.4,24, 9999.9, 0, 9999.9, 0,   6.0,24,  15.5,24,  22.0,  28.9,   54.1 ,  50.0*, 0.36G,999.9, 010000,
064510,99999, 20170320,   51.0,24,   44.3,24, 9999.9, 0, 9999.9, 0,   6.6,24,  15.2,24,  20.0,  28.9,   52.7 ,  49.1 , 0.00G,999.9, 010000,
064510,99999, 20170321,   46.6,24,   35.6,24, 9999.9, 0, 9999.9, 0,   6.1,18,   9.9,24,  15.5, 999.9,   50.5 ,  37.4*, 0.02G,999.9, 010000,
064510,99999, 20170322,   44.0,24,   33.1,24, 9999.9, 0, 9999.9, 0,   7.8, 8,   7.6,24,  13.0, 999.9,   52.2 ,  34.0 , 0.00G,999.9, 000000,
064510,99999, 20170323,   47.5,24,   37.7,24, 9999.9, 0, 9999.9, 0,   7.5, 5,   6.6,24,  12.0, 999.9,   59.0 ,  35.2 , 0.00G,999.9, 000000,
064510,99999, 20170324,   47.3,24,   39.4,24, 9999.9, 0, 9999.9, 0,   4.9,12,   8.0,24,  11.7, 999.9,   57.2*,  41.0*, 0.00G,999.9, 000000,
064510,99999, 20170325,   48.0,24,   32.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.2,24,  17.5,  22.9,   59.0*,  35.6 , 0.00G,999.9, 000000,
064510,99999, 20170326,   48.0,24,   36.7,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.9,24,   9.9, 999.9,   59.5 ,  37.4*, 0.00G,999.9, 000000,
064510,99999, 20170327,   51.8,24,   33.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.2,24,   8.0, 999.9,   63.3 ,  37.4*, 0.00G,999.9, 000000,
064510,99999, 20170328,   54.9,24,   40.2,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.4,24,  14.0, 999.9,   66.2*,  42.1*, 0.00G,999.9, 000000,
064510,99999, 20170329,   54.3,24,   45.5,24, 9999.9, 0, 9999.9, 0,   6.9,14,   9.5,24,  17.1, 999.9,   60.8*,  47.7 , 0.00G,999.9, 000000,
064510,99999, 20170330,   60.8,24,   46.4,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.6,24,  11.1, 999.9,   70.9 ,  50.0*, 0.00G,999.9, 000000,
064510,99999, 20170331,   59.7,24,   46.4,24, 9999.9, 0, 9999.9, 0,   8.0, 7,   9.7,24,  17.1, 999.9,   68.9 ,  50.0*, 0.00G,999.9, 010000,
064510,99999, 20170401,   51.8,24,   48.2,24, 9999.9, 0, 9999.9, 0,   7.0,18,   4.9,24,   9.9, 999.9,   57.9 ,  46.4*, 0.00G,999.9, 010000,
064510,99999, 20170402,   51.3,24,   43.8,24, 9999.9, 0, 9999.9, 0,   6.7,11,   4.8,24,   9.9,  14.0,   61.5 ,  40.3 , 0.11G,999.9, 000000,
064510,99999, 20170403,   47.1,24,   42.6,24, 9999.9, 0, 9999.9, 0,   2.9,19,   2.3,24,   5.1, 999.9,   57.7 ,  39.2*, 0.00G,999.9, 100000,
064510,99999, 20170404,   50.1,24,   41.5,24, 9999.9, 0, 9999.9, 0,   6.1,14,   5.0,24,   9.9, 999.9,   61.0 ,  38.8 , 0.00G,999.9, 000000,
064510,99999, 20170405,   47.5,24,   41.1,24, 9999.9, 0, 9999.9, 0,   4.0,20,   7.4,24,  14.0, 999.9,   55.0 ,  39.2*, 0.00G,999.9, 100000,
064510,99999, 20170406,   45.1,24,   37.4,24, 9999.9, 0, 9999.9, 0,   6.5,17,   4.2,24,   7.0, 999.9,   51.8*,  37.4*, 0.00G,999.9, 000000,
064510,99999, 20170407,   47.3,24,   40.8,24, 9999.9, 0, 9999.9, 0,   6.5,19,   5.0,24,   8.0, 999.9,   57.2*,  35.4 , 0.00G,999.9, 000000,
064510,99999, 20170408,   51.0,24,   42.2,24, 9999.9, 0, 9999.9, 0,   5.1,17,   2.4,24,   4.1, 999.9,   61.5 ,  43.7 , 0.00G,999.9, 000000,
064510,99999, 20170409,   56.8,24,   42.4,24, 9999.9, 0, 9999.9, 0,   3.2,11,   3.3,24,   7.8, 999.9,   74.3 ,  36.5 , 0.00G,999.9, 000000,
064510,99999, 20170410,   50.1,24,   40.2,24, 9999.9, 0, 9999.9, 0,   6.9,18,   8.1,24,  12.0, 999.9,   59.0*,  40.5*, 0.00G,999.9, 000000,
064510,99999, 20170411,   48.3,24,   38.8,24, 9999.9, 0, 9999.9, 0,   7.5,10,   5.0,24,   9.7, 999.9,   58.1 ,  37.8 , 0.00G,999.9, 000000,
064510,99999, 20170412,   49.9,24,   41.3,24, 9999.9, 0, 9999.9, 0,   6.6,18,  11.4,24,  18.1, 999.9,   59.4 ,  42.4 , 0.00G,999.9, 010000,
064510,99999, 20170413,   48.2,24,   38.8,24, 9999.9, 0, 9999.9, 0,   6.4,18,   8.0,24,  11.7, 999.9,   57.0 ,  37.2*, 0.00F,999.9, 010000,
064510,99999, 20170414,   46.7,24,   38.1,24, 9999.9, 0, 9999.9, 0,   7.0,12,   5.7,24,   8.0, 999.9,   54.7 ,  36.9 , 0.00G,999.9, 000000,
064510,99999, 20170415,   47.7,24,   40.3,24, 9999.9, 0, 9999.9, 0,   6.1,16,   9.1,24,  14.0, 999.9,   53.6*,  39.2*, 0.00G,999.9, 010000,
064510,99999, 20170416,   46.9,24,   36.2,24, 9999.9, 0, 9999.9, 0,   7.2,19,   8.2,24,  15.0, 999.9,   52.7 ,  38.8 , 0.09G,999.9, 010000,
064510,99999, 20170417,   45.7,24,   36.6,24, 9999.9, 0, 9999.9, 0,   6.5,19,   9.1,24,  14.0, 999.9,   52.9 ,  37.4*, 0.03G,999.9, 010000,
064510,99999, 20170418,   41.2,24,   33.2,24, 9999.9, 0, 9999.9, 0,   7.0,19,   4.1,24,   8.9, 999.9,   50.7 ,  34.7 , 0.23G,999.9, 010000,
064510,99999, 20170419,   39.2,24,   26.0,24, 9999.9, 0, 9999.9, 0,   9.3, 4,   6.2,24,  12.0, 999.9,   48.2 ,  29.3 , 0.07G,999.9, 000000,
064510,99999, 20170420,   41.2,24,   25.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   2.1,24,   6.0, 999.9,   53.1 ,  26.6 , 0.00G,999.9, 000000,
064510,99999, 20170421,   50.3,24,   39.0,24, 9999.9, 0, 9999.9, 0,   6.3,24,   6.9,24,  12.0, 999.9,   58.8 ,  35.6 , 0.00G,999.9, 010000,
064510,99999, 20170422,   47.9,24,   38.0,24, 9999.9, 0, 9999.9, 0,   6.2,22,   6.8,24,  12.0, 999.9,   53.8 ,  39.2*, 0.00G,999.9, 010000,
064510,99999, 20170423,   44.6,24,   33.4,24, 9999.9, 0, 9999.9, 0,   7.4,16,   3.9,24,   7.0, 999.9,   52.9 ,  36.5*, 0.02G,999.9, 000000,
064510,99999, 20170424,   49.2,24,   35.8,24, 9999.9, 0, 9999.9, 0,   8.4,10,   7.9,24,  12.0, 999.9,   59.0*,  36.1 , 0.00G,999.9, 010000,
064510,99999, 20170425,   43.2,24,   31.8,24, 9999.9, 0, 9999.9, 0,   6.4,21,   9.3,24,  14.0, 999.9,   50.0 ,  33.6*, 0.03G,999.9, 011100,
064510,99999, 20170426,   41.0,24,   33.7,24, 9999.9, 0, 9999.9, 0,   6.6,24,   5.0,24,  12.0,  20.0,   50.0 ,  32.5 , 0.05G,999.9, 011000,
064510,99999, 20170427,   41.5,24,   33.0,24, 9999.9, 0, 9999.9, 0,   7.1,18,   5.4,24,  11.7,  17.1,   50.2 ,  31.5 , 0.15G,999.9, 010000,
064510,99999, 20170428,   45.0,24,   37.0,24, 9999.9, 0, 9999.9, 0,   7.0,21,   6.6,24,  13.6, 999.9,   52.0 ,  36.1 , 0.00G,999.9, 010000,
064510,99999, 20170429,   47.5,24,   35.7,24, 9999.9, 0, 9999.9, 0,   7.8, 8,   4.3,24,   8.0, 999.9,   56.7 ,  35.2 , 0.00G,999.9, 000000,
064510,99999, 20170430,   55.3,24,   34.1,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.5,24,  15.5,  27.0,   68.0*,  39.2 , 0.00G,999.9, 000000,
064510,99999, 20170501,   51.8,24,   41.1,24, 9999.9, 0, 9999.9, 0,   6.8,20,   7.0,24,  14.0, 999.9,   58.1*,  44.6*, 0.00G,999.9, 010000,
064510,99999, 20170502,   48.0,24,   44.2,24, 9999.9, 0, 9999.9, 0,   5.7,16,   3.4,24,   8.9, 999.9,   53.8 ,  39.2 , 0.00G,999.9, 010000,
064510,99999, 20170503,   49.1,24,   45.5,24, 9999.9, 0, 9999.9, 0,   4.7,24,   3.7,24,   7.0, 999.9,   57.9 ,  44.6 , 0.13G,999.9, 010000,
064510,99999, 20170504,   51.3,24,   47.0,24, 9999.9, 0, 9999.9, 0,   4.6,24,   6.0,24,   9.9, 999.9,   60.8*,  46.4 , 0.39G,999.9, 010000,
064510,99999, 20170505,   48.6,24,   43.8,24, 9999.9, 0, 9999.9, 0,   6.1,23,   5.3,24,   8.9, 999.9,   54.5 ,  42.8*, 0.03G,999.9, 010000,
064510,99999, 20170506,   54.8,24,   47.3,24, 9999.9, 0, 9999.9, 0,   3.2,12,   6.0,24,   9.9, 999.9,   68.0 ,  42.3 , 0.00G,999.9, 110000,
