STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
712650,99999, 20170101,   35.3,24,   25.2,24, 1015.2,24, 1005.7,24,   9.3,24,  14.8,24,  24.1,  28.9,   41.0 ,  28.8 , 0.07G,999.9, 010000,
712650,99999, 20170102,   36.2,24,   30.3,24, 1026.3,24, 1016.7,24,   9.3,24,  10.2,24,  17.1,  21.0,   41.0*,  31.1*, 0.00G,999.9, 000000,
712650,99999, 20170103,   39.4,24,   38.2,24, 1012.3,24, 1002.9,24,   6.1,24,   9.0,24,  12.0,  15.0,   41.2*,  38.3*, 0.17G,999.9, 010000,
712650,99999, 20170104,   34.5,24,   28.5,24,  999.2,24,  989.8,24,   8.1,24,  15.9,24,  29.9,  42.0,   41.0*,  21.2*, 0.31G,999.9, 011000,
712650,99999, 20170105,   20.4,23,   11.0,23, 1009.2,23,  999.5,23,   8.8,23,  21.4,23,  33.0,  39.0,   23.0*,  19.4*, 0.00G,999.9, 001000,
712650,99999, 20170106,   15.9,24,    4.5,24, 1017.4,24, 1007.5,24,   9.3,24,  13.1,24,  15.9,  22.0,   22.8 ,  11.3 , 0.00G,999.9, 000000,
712650,99999, 20170107,   14.8,24,    4.7,24, 1026.8,24, 1016.8,24,   9.2,24,   8.8,24,  18.1,  22.9,   21.9 ,  10.2 , 0.00G,999.9, 001000,
712650,99999, 20170108,   14.9,24,    3.3,24, 1027.7,24, 1017.7,24,   9.1,24,  14.9,24,  20.0,  26.0,   20.7 ,  10.2 , 0.00G,999.9, 001000,
712650,99999, 20170109,   21.1,24,   11.2,24, 1032.7,24, 1022.8,24,   9.1,24,  16.4,24,  27.0,  32.1,   28.4*,  12.2*, 0.00G,999.9, 001000,
712650,99999, 20170110,   31.6,24,   25.0,24, 1021.5,24, 1011.9,24,   7.4,24,  12.5,24,  20.0,  22.9,   39.2*,  26.6*, 0.02G,999.9, 011000,
712650,99999, 20170111,   39.5,24,   33.1,24, 1010.4,24, 1001.0,24,   8.5,24,  15.9,24,  35.0,  49.9,   45.0 ,  29.7 , 0.55G,999.9, 010000,
712650,99999, 20170112,   40.4,24,   37.2,24, 1009.3,24, 1000.0,24,   7.1,24,   6.8,24,  14.0,  21.0,   46.6 ,  35.4 , 0.83G,999.9, 110000,
712650,99999, 20170113,   28.6,23,   16.4,23, 1032.8,23, 1023.0,23,   9.3,23,  12.9,23,  22.0,  29.9,   35.6*,  23.0*, 0.00G,999.9, 001000,
712650,99999, 20170114,   21.9,24,   13.7,24, 1037.3,24, 1027.4,24,   9.3,24,   6.9,24,   9.9,  15.0,   30.9 ,  17.6 , 0.00G,999.9, 001000,
712650,99999, 20170115,   28.1,24,   20.1,24, 1029.3,24, 1019.5,24,   9.3,24,   6.6,24,  11.1, 999.9,   32.5*,  24.6*, 0.00G,999.9, 000000,
712650,99999, 20170116,   30.8,24,   23.4,24, 1027.8,24, 1018.1,24,   9.1,24,   8.2,24,  11.1,  15.0,   37.4*,  25.7*, 0.00G,999.9, 000000,
712650,99999, 20170117,   34.9,24,   30.9,24, 1018.1,24, 1008.5,24,   6.1,24,  13.9,24,  32.1,  36.9,   37.4 ,  25.3 , 0.45G,999.9, 010000,
712650,99999, 20170118,   37.1,22,   34.4,22, 1012.8,22, 1003.4,22,   6.5,22,   6.9,22,  17.1,  20.0,   39.2*,  34.9*, 0.12G,999.9, 010000,
712650,99999, 20170119,   37.4,24,   34.5,24, 1017.0,24, 1007.5,24,   7.7,24,   8.4,24,  13.0,  17.1,   39.6 ,  34.9 , 0.00G,999.9, 000000,
712650,99999, 20170120,   36.9,24,   33.6,24, 1011.7,24, 1002.3,24,   8.8,24,   6.7,24,  14.0,  18.1,   39.2 ,  34.5 , 0.00G,999.9, 010000,
712650,99999, 20170121,   38.6,24,   37.9,24, 1008.2,24,  998.8,24,   2.8,24,   6.9,24,  14.0,  15.9,   41.0*,  37.0*, 0.00G,999.9, 110000,
712650,99999, 20170122,   39.0,24,   38.2,24, 1006.6,24,  997.3,24,   4.7,24,  10.8,24,  18.1,  22.0,   41.0*,  37.4*, 0.00G,999.9, 110000,
712650,99999, 20170123,   37.3,24,   34.0,24, 1008.5,24,  999.1,24,   9.1,24,  20.4,24,  25.1,  31.1,   40.8 ,  35.4 , 0.00G,999.9, 010000,
