STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
846280,99999, 20170101,   72.2,24,   66.2,24, 1012.5, 7, 1010.9, 7,   5.4,17,   7.3,24,  11.1, 999.9,   80.6*,  67.6 , 0.00I,999.9, 000000,
846280,99999, 20170102,   70.3,24,   65.5,24, 1013.1, 7, 1011.5, 7,   6.1,18,   9.3,24,  17.1, 999.9,   81.3 ,  66.2*, 0.00I,999.9, 000000,
846280,99999, 20170103,   70.2,24,   65.8,24, 1011.1, 7, 1009.5, 7,   5.6,21,   8.2,24,  13.0, 999.9,   76.3 ,  66.2*, 0.00I,999.9, 000000,
846280,99999, 20170104,   71.6,24,   65.6,24, 1010.1, 7, 1008.3, 8,   5.7,22,   7.6,24,  14.0, 999.9,   80.6*,  66.6 , 0.00I,999.9, 000000,
846280,99999, 20170105,   73.0,24,   65.2,24, 1011.4, 8, 1009.8, 8,   5.7,19,   6.7,24,  11.1, 999.9,   81.1*,  65.8 , 0.00I,999.9, 000000,
846280,99999, 20170106,   76.4,24,   65.1,24, 1011.5, 7, 1009.9, 7,   6.2,17,   8.2,24,  14.0, 999.9,   84.2*,  69.8*, 0.00I,999.9, 000000,
846280,99999, 20170107,   73.5,24,   66.0,24, 1011.7, 8, 1010.1, 8,   5.8,16,   9.7,24,  17.1, 999.9,   86.0 ,  67.6 , 0.00I,999.9, 000000,
846280,99999, 20170108,   71.7,24,   67.1,24, 1012.7, 7, 1011.1, 7,   5.0,23,   7.8,24,  13.0, 999.9,   80.2 ,  67.5 , 0.00I,999.9, 000000,
846280,99999, 20170109,   73.0,24,   66.6,24, 1013.6, 8, 1012.0, 8,   6.0,20,   7.6,24,  11.1, 999.9,   82.4*,  65.7 , 0.00I,999.9, 000000,
846280,99999, 20170110,   73.0,24,   66.8,24, 1012.2, 8, 1010.7, 8,   5.6,17,   6.5,24,   9.9, 999.9,   82.2 ,  67.3 , 0.00I,999.9, 000000,
