STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
766750,99999, 20170101,   50.8, 4,   36.5, 4, 1020.1, 4,  738.4, 4,  12.4, 4,   3.9, 4,   3.9, 999.9,   66.9 ,  32.7 , 0.00G,999.9, 000000,
766750,99999, 20170102,   51.7, 7,   36.7, 7, 1016.0, 7,  738.6, 7,  12.4, 7,   5.0, 7,   9.7, 999.9,   72.5*,  34.0*, 0.00G,999.9, 000000,
766750,99999, 20170103,   53.5, 7,   32.2, 7, 1015.4, 7,  739.0, 7,  12.4, 7,   4.7, 7,   5.8, 999.9,   74.3 ,  32.2 , 0.00G,999.9, 000000,
766750,99999, 20170104,   54.7, 7,   26.9, 7, 1014.9, 7,  738.6, 7,  13.3, 7,   3.9, 7,   5.8, 999.9,   77.9*,  34.0*, 0.00G,999.9, 000000,
766750,99999, 20170105,   52.6, 8,   27.7, 8, 1012.6, 8,  737.4, 8,  13.2, 8,   4.1, 8,   5.8, 999.9,   80.1 ,  30.7 , 0.00G,999.9, 000000,
766750,99999, 20170106,   55.1, 7,   34.6, 7, 1009.3, 7,  736.5, 7,  11.1, 7,   5.3, 7,  11.7, 999.9,   78.4 ,  30.7 , 0.00G,999.9, 000000,
766750,99999, 20170107,   53.1, 8,   37.5, 8, 1014.2, 8,  739.2, 8,  10.1, 8,   4.4, 8,   7.8, 999.9,   78.1 ,  32.9 , 0.00G,999.9, 000000,
766750,99999, 20170108,   52.1, 7,   36.7, 7, 1017.7, 6,  741.7, 6,  11.5, 7,   3.9, 7,   5.8, 999.9,   76.3 ,  31.1 , 0.00G,999.9, 010000,
766750,99999, 20170109,   47.1, 8,   26.3, 8, 1021.3, 8,  741.6, 8,  11.3, 8,   4.1, 8,   7.8, 999.9,   71.1 ,  26.1 , 0.00G,999.9, 000000,
766750,99999, 20170110,   51.5, 6,   27.1, 6, 1018.9, 6,  740.1, 6,  14.5, 6,   4.9, 6,   5.8, 999.9,   71.4 ,  26.1 , 0.00G,999.9, 000000,
766750,99999, 20170111,   48.1, 8,   30.2, 8, 1016.9, 8,  738.7, 8,  11.3, 8,   5.3, 8,   7.8, 999.9,   71.1 ,  26.4 , 0.00G,999.9, 000000,
766750,99999, 20170112,   49.6, 6,   29.6, 6, 1016.4, 6,  738.7, 6,  11.4, 6,   4.5, 6,  11.7, 999.9,   69.8*,  31.6*, 0.00G,999.9, 000000,
766750,99999, 20170113,   48.2, 8,   28.5, 7, 1016.7, 7,  739.6, 7,  13.6, 8,   5.1, 8,   7.8, 999.9,   73.0 ,  28.6 , 0.00G,999.9, 000000,
766750,99999, 20170114,   49.9, 6,   26.8, 6, 1020.3, 6,  740.0, 6,  13.5, 6,   5.8, 6,   7.8, 999.9,   70.7 ,  27.5 , 0.00G,999.9, 000000,
766750,99999, 20170115,   46.4, 8,   27.7, 8, 1018.6, 8,  739.2, 8,  12.0, 8,   4.6, 8,   5.8, 999.9,   71.2 ,  26.4 , 0.00G,999.9, 000000,
766750,99999, 20170116,   47.7, 8,   31.5, 8, 1015.5, 8,  737.3, 8,  10.9, 8,   4.9, 8,   7.8, 999.9,   70.9 ,  26.4 , 0.00G,999.9, 000000,
766750,99999, 20170117,   48.7, 7,   35.5, 7, 1015.4, 7,  737.3, 7,  12.0, 7,   4.4, 7,   7.8, 999.9,   72.3 ,  27.3 , 0.00G,999.9, 000000,
766750,99999, 20170118,   51.1, 7,   36.2, 7, 1015.8, 7,  738.5, 7,  11.1, 7,   5.0, 7,   7.8, 999.9,   70.5*,  35.8*, 0.00G,999.9, 000000,
766750,99999, 20170119,   48.8, 8,   33.8, 8, 1015.6, 8,  737.9, 8,  12.8, 8,   5.3, 8,  11.7, 999.9,   72.7 ,  30.0 , 0.00G,999.9, 010000,
