STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
170640,99999, 20170101,   38.7,24,   33.4,24, 1024.5,24, 1022.3,24,   6.1,24,   2.5,24,   5.1, 999.9,   43.7 ,  36.0 , 0.52G,999.9, 011000,
170640,99999, 20170102,   40.5,24,   31.2,24, 1021.7,24, 1019.5,24,   6.2,24,   4.1,24,   7.0, 999.9,   46.8 ,  34.7 , 0.01G,999.9, 000000,
170640,99999, 20170103,   44.3,24,   34.5,24, 1020.1,24, 1017.9,24,   6.2,24,   2.8,24,   5.1, 999.9,   50.2 ,  39.4 , 0.00G,999.9, 000000,
170640,99999, 20170104,   45.9,24,   35.8,24, 1015.4,24, 1013.3,24,   6.2,24,   2.8,24,   5.1, 999.9,   53.2 ,  41.4 , 0.00F,999.9, 000000,
170640,99999, 20170105,   48.7,24,   44.4,24, 1007.4,24, 1005.3,24,   6.1,24,   2.7,24,   7.0,  11.1,   52.9*,  44.8 , 0.20G,999.9, 010000,
170640,99999, 20170106,   43.1,24,   38.6,24, 1005.4,24, 1003.3,24,   5.5,24,   4.2,24,   8.9,  15.0,   55.9 ,  29.5*, 0.71G,999.9, 011000,
170640,99999, 20170107,   26.5,24,   25.7,24, 1012.9,24, 1010.7,24,   2.7,24,   3.7,24,   7.0,  15.0,   29.1*,  23.9*, 0.47G,  5.1, 001000,
170640,99999, 20170108,   28.6,24,   24.8,24, 1015.1,24, 1012.9,24,   6.1,24,   1.7,24,   2.9, 999.9,   34.5 ,  23.7 , 0.09G,  5.9, 001000,
170640,99999, 20170109,   30.2,24,   27.9,24, 1016.6,24, 1014.4,24,   3.2,24,   1.2,24,   4.1,   9.9,   34.7 ,  25.0*, 0.06G,  5.5, 001000,
170640,99999, 20170110,   35.9,24,   29.6,24, 1011.0,24, 1008.8,24,   6.0,24,   4.4,24,   7.0,  18.1,   43.9 ,  25.0 , 0.85G, 11.8, 011000,
170640,99999, 20170111,   45.3,24,   33.5,24, 1017.6,24, 1015.4,24,   6.2,24,   3.5,24,  12.0, 999.9,   53.8*,  36.0 , 0.04G,  4.7, 000000,
170640,99999, 20170112,   41.5,24,   34.3,24, 1017.8,24, 1015.6,24,   6.1,24,   4.2,24,   8.0,  15.0,   50.0*,  38.3 , 0.55G,999.9, 010000,
170640,99999, 20170113,   44.4,24,   32.0,24, 1018.1,24, 1015.9,24,   6.2,24,   3.3,24,   6.0,  11.1,   50.7 ,  34.9 , 0.22G,999.9, 000000,
170640,99999, 20170114,   50.1,24,   36.3,24, 1008.7,24, 1006.6,24,   6.2,24,   4.2,24,   7.0,  12.0,   59.2 ,  43.0 , 0.00G,999.9, 010000,
170640,99999, 20170115,   41.3,24,   38.3,24, 1015.9,24, 1013.7,24,   6.2,24,   2.8,24,   4.1,  13.0,   48.2*,  38.5*, 0.30G,999.9, 010000,
170640,99999, 20170116,   41.6,24,   39.2,24, 1015.3,24, 1013.1,24,   5.6,24,   3.2,24,   6.0,  15.0,   47.1 ,  38.5 , 0.23G,999.9, 010000,
170640,99999, 20170117,   46.3,24,   43.6,24, 1017.0,24, 1014.9,24,   6.1,24,   2.0,24,   5.1, 999.9,   51.4 ,  39.2 , 0.37G,999.9, 010000,
170640,99999, 20170118,   45.2,22,   42.4,22, 1022.8,22, 1020.6,22,   6.2,22,   2.8,22,   5.1,   9.9,   48.0 ,  42.8*, 0.11G,999.9, 010000,
170640,99999, 20170119,   44.0,24,   40.4,24, 1026.8,24, 1024.6,24,   6.2,24,   4.0,24,   6.0,  13.0,   47.8 ,  41.4*, 0.11G,999.9, 010000,
170640,99999, 20170120,   39.6,24,   35.2,24, 1031.4,24, 1029.2,24,   6.2,24,   2.8,24,   5.1, 999.9,   43.7 ,  37.8*, 0.19G,999.9, 010000,
170640,99999, 20170121,   38.7,24,   29.2,24, 1031.1,24, 1028.9,24,   6.2,24,   2.4,24,   4.1, 999.9,   46.2 ,  34.0*, 0.03G,999.9, 000000,
170640,99999, 20170122,   37.4,24,   32.1,24, 1032.6,24, 1030.4,24,   6.2,24,   1.8,24,   2.9, 999.9,   41.0 ,  30.2 , 0.00G,999.9, 000000,
170640,99999, 20170123,   41.1,24,   31.7,24, 1028.1,24, 1025.9,24,   6.2,24,   3.1,24,   6.0, 999.9,   51.8 ,  35.4 , 0.00F,999.9, 000000,
170640,99999, 20170124,   41.5,24,   31.6,24, 1020.2,24, 1018.0,24,   6.5,24,   2.6,24,   5.1, 999.9,   46.8 ,  36.1 , 0.00F,999.9, 000000,
170640,99999, 20170125,   39.2,24,   34.6,24, 1019.7,24, 1017.4,24,   6.1,24,   3.4,24,   6.0,  12.0,   41.7*,  36.9*, 0.02G,999.9, 010000,
170640,99999, 20170126,   34.9,24,   27.9,24, 1026.6,24, 1024.4,24,   6.0,24,   3.1,24,   5.1,  13.0,   37.4*,  32.4*, 0.07G,999.9, 001000,
170640,99999, 20170127,   33.2,24,   22.4,24, 1028.6,24, 1026.4,24,   6.1,24,   3.1,24,   5.1,   9.9,   37.9 ,  31.6*, 0.14G,  1.2, 011000,
170640,99999, 20170128,   35.9,24,   30.2,24, 1027.9,24, 1025.7,24,   6.4,24,   1.8,24,   2.9, 999.9,   37.6 ,  32.2 , 0.00G,999.9, 011000,
170640,99999, 20170129,   38.4,24,   32.4,24, 1028.4,24, 1026.2,24,   6.2,24,   2.2,24,   4.1, 999.9,   45.5 ,  35.6*, 0.03G,999.9, 010000,
170640,99999, 20170130,   37.4,24,   29.7,24, 1027.3,24, 1025.1,24,   6.2,24,   2.8,24,   5.1, 999.9,   41.2 ,  34.0*, 0.00G,999.9, 010000,
170640,99999, 20170131,   35.0,24,   19.8,24, 1030.5,24, 1028.2,24,   6.2,24,   3.3,24,   6.0, 999.9,   43.5 ,  29.8 , 0.00F,999.9, 000000,
170640,99999, 20170201,   35.0,24,   22.6,24, 1030.4,24, 1028.2,24,   6.2,24,   2.0,24,   4.1, 999.9,   45.7 ,  26.8 , 0.00F,999.9, 000000,
170640,99999, 20170202,   40.0,24,   28.7,24, 1029.8,24, 1027.6,24,   6.2,24,   2.4,24,   5.1, 999.9,   49.8 ,  30.2 , 0.00F,999.9, 000000,
170640,99999, 20170203,   47.8,24,   37.7,24, 1023.7,24, 1021.5,24,   6.2,24,   2.3,24,   4.1, 999.9,   57.0 ,  37.9 , 0.00F,999.9, 000000,
170640,99999, 20170204,   53.8,24,   44.4,24, 1018.1,24, 1016.0,24,   6.2,24,   3.5,24,   6.0, 999.9,   60.8 ,  48.4 , 0.00F,999.9, 000000,
170640,99999, 20170205,   53.1,24,   46.7,24, 1013.7,24, 1011.6,24,   6.5,24,   3.5,24,   6.0, 999.9,   55.6 ,  48.9*, 0.04G,999.9, 010010,
170640,99999, 20170206,   54.8,24,   48.3,24, 1014.8,24, 1012.7,24,   6.2,24,   1.3,24,   2.9, 999.9,   62.4 ,  48.7 , 0.19G,999.9, 000000,
170640,99999, 20170207,   55.4,24,   42.3,24, 1014.1,24, 1012.0,24,   6.2,24,   1.6,24,   4.1, 999.9,   63.1 ,  48.9 , 0.00G,999.9, 000000,
170640,99999, 20170208,   49.0,24,   43.5,24, 1016.3,24, 1014.2,24,   6.2,24,   2.1,24,   4.1, 999.9,   59.4 ,  45.3*, 0.00F,999.9, 000000,
170640,99999, 20170209,   45.0,24,   41.3,24, 1024.7,24, 1022.5,24,   6.2,24,   2.3,24,   6.0,   9.9,   47.1 ,  41.4*, 0.00G,999.9, 010000,
170640,99999, 20170210,   41.2,24,   33.5,24, 1027.2,24, 1025.0,24,   6.2,24,   4.3,24,   8.0,  12.0,   47.1 ,  38.3*, 0.03G,999.9, 010000,
170640,99999, 20170211,   40.0,24,   28.7,24, 1028.1,24, 1025.9,24,   6.2,24,   3.5,24,   6.0,   9.9,   42.3 ,  38.3 , 0.00G,999.9, 000000,
170640,99999, 20170212,   38.4,24,   28.8,24, 1031.7,24, 1029.5,24,   6.5,24,   3.2,24,   5.1,  11.1,   44.8 ,  35.2*, 0.02F,999.9, 011000,
170640,99999, 20170213,   36.7,24,   29.4,24, 1031.5,24, 1029.3,24,   5.9,24,   2.4,24,   4.1, 999.9,   39.4 ,  34.7 , 0.06G,999.9, 011000,
170640,99999, 20170214,   34.3,24,   25.2,24, 1031.4,24, 1029.2,24,   6.1,24,   2.3,24,   6.0,  15.9,   39.9 ,  29.3*, 0.06G,999.9, 011000,
170640,99999, 20170215,   37.8,24,   29.6,24, 1029.8,24, 1027.6,24,   6.2,24,   3.0,24,   5.1,  15.9,   39.4 ,  29.1 , 0.00G,999.9, 000000,
170640,99999, 20170216,   39.3,24,   29.4,24, 1033.5,24, 1031.3,24,   6.2,24,   2.1,24,   4.1, 999.9,   43.2 ,  33.4*, 0.01G,999.9, 010000,
170640,99999, 20170217,   38.6,24,   28.7,24, 1027.6,24, 1025.4,24,   6.2,24,   2.1,24,   6.0, 999.9,   49.6 ,  31.3 , 0.00G,999.9, 000000,
170640,99999, 20170218,   44.7,24,   34.3,24, 1023.8,24, 1021.6,24,   6.2,24,   2.2,24,   5.1,  11.1,   54.9 ,  32.4 , 0.00F,999.9, 000000,
