STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
66700,99999,20170101,26.2,24,24.1,24,9999.9,0,9999.9,0,2.5,24,4.2,24,7,999.9,   33.8*,  23.0*, 0.00G,999.9,100000,ch
66700,99999,20170102,29.7,24,28.3,24,9999.9,0,9999.9,0,2.9,24,4.4,24,8,999.9,34.2,22.1, 0.00G,999.9,1000,ch
66700,99999,20170103,25.4,24,24.5,24,9999.9,0,9999.9,0,1.7,24,1.9,24,5.1,999.9,   30.2*,22.3, 0.14G,1.2,100000,ch
66700,99999,20170104,30.3,24,26.6,24,9999.9,0,9999.9,0,4.9,24,6.4,24,13,18.1,   33.8*,24.6, 0.00G,1.6,11000,ch
66700,99999,20170105,25.6,24,22.1,24,9999.9,0,9999.9,0,5.9,24,4,24,8.9,999.9,   32.2*,  12.2*, 0.03G,2,111000,ch
66700,99999,20170106,16.1,24,11.3,24,9999.9,0,9999.9,0,6.5,17,4.1,24,8.9,999.9,23.4,   6.8*, 0.04G,2.4,1000,ch
66700,99999,20170107,15.7,24,11,24,9999.9,0,9999.9,0,5.7,24,2.5,24,6,999.9,   24.8*,   5.0*, 0.00G,2.4,1000,ch
66700,99999,20170108,28.1,24,25.3,24,9999.9,0,9999.9,0,3.3,24,2.2,24,5.1,999.9,   32.0*,22.3, 0.06G,2.8,1000,ch
66700,99999,20170109,29.7,24,25.6,24,9999.9,0,9999.9,0,4.1,24,2.6,24,6,999.9,32.5,26.6, 0.02G,2.8,0,ch
66700,99999,20170110,29.6,24,27.1,24,9999.9,0,9999.9,0,3.1,24,4.5,24,7,999.9,   33.3*,  26.6*, 0.00G,999.9,1000,ch
66700,99999,20170111,34.7,24,30.5,24,9999.9,0,9999.9,0,4.7,24,7.2,24,17.1,21,   39.2*,31.6, 0.14G,5.5,10000,ch
66700,99999,20170112,39.5,24,36.4,24,9999.9,0,9999.9,0,6.1,24,6.2,24,17.1,27,   42.8*,36.1, 0.19G,999.9,10000,ch
66700,99999,20170113,33.9,24,28.5,24,9999.9,0,9999.9,0,5.1,24,9.6,24,20,35.9,   43.3*,  28.4*, 0.16G,999.9,11000,ch
66700,99999,20170114,31.2,24,27.4,24,9999.9,0,9999.9,0,4.3,24,6.6,24,11.1,999.9,33.8,  28.4*, 0.04G,2.8,11000,ch
66700,99999,20170115,29,24,25.3,24,9999.9,0,9999.9,0,5.4,24,3.6,24,11.1,999.9,32.9,  26.6*, 0.02G,2,1000,ch
66700,99999,20170116,25.5,24,20.7,24,9999.9,0,9999.9,0,5.5,24,4.8,24,12,999.9,30.2,17.1, 0.00G,1.2,1000,ch
66700,99999,20170117,25,24,17.4,24,9999.9,0,9999.9,0,6,24,10.4,24,20,26,   26.6*,  23.0*, 0.00G,1.2,1000,ch
