STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
855740,99999,20170101,70.9,24,51.4,24,9999.9,0,9999.9,0,3,5,6.8,24,15.9,999.9,   89.6*,  57.2*, 0.00I,999.9,0,cl
855740,99999,20170102,74.8,24,46.3,24,9999.9,0,9999.9,0,4.8,4,7.5,24,19,999.9,   87.8*,  60.8*, 0.00I,999.9,0,cl
855740,99999,20170103,70.8,24,41.8,24,9999.9,0,9999.9,0,4.7,11,7.9,24,15.9,999.9,   86.0*,  55.4*, 0.00I,999.9,0,cl
855740,99999,20170104,69.6,22,44.9,22,9999.9,0,9999.9,0,999.9,0,6.7,22,15,999.9,   86.0*,  55.4*, 0.00I,999.9,0,cl
855740,99999,20170105,73.6,21,42.9,21,9999.9,0,9999.9,0,999.9,0,8.4,21,17.1,999.9,   89.6*,  57.2*, 0.00I,999.9,0,cl
855740,99999,20170106,72.3,24,44.5,24,9999.9,0,9999.9,0,999.9,0,7.1,24,14,999.9,   87.8*,  57.2*, 0.00I,999.9,0,cl
855740,99999,20170107,73.9,23,47.6,23,9999.9,0,9999.9,0,999.9,0,7.5,23,14,999.9,   87.8*,  59.0*, 0.00I,999.9,0,cl
855740,99999,20170108,74.4,24,48,24,9999.9,0,9999.9,0,999.9,0,7.7,24,18.1,999.9,   87.8*,  62.6*, 0.00I,999.9,0,cl
855740,99999,20170109,71.5,24,49.5,24,9999.9,0,9999.9,0,6.2,12,7.4,24,15,999.9,   86.0*,  62.6*, 0.00I,999.9,0,cl
855740,99999,20170110,73.6,24,51.9,24,1011.9,4,958.2,4,6.2,14,7.4,24,15.9,999.9,86.9,61.9, 0.00G,999.9,0,cl
855740,99999,20170111,74.7,24,48.2,24,9999.9,0,9999.9,0,999.9,0,6.8,24,13,999.9,   91.4*,  59.0*, 0.00B,999.9,0,cl
855740,99999,20170112,78.3,24,44.6,24,9999.9,0,9999.9,0,5.1,5,7.3,24,17.1,999.9,   93.2*,  60.8*, 0.00A,999.9,0,cl
855740,99999,20170113,80.3,24,49.6,24,9999.9,0,9999.9,0,5.3,5,6.8,24,15,999.9,   95.0*,62.8, 0.00G,999.9,0,cl
855740,99999,20170114,77.8,24,44.7,24,1008.6,4,955.6,4,6,5,8.2,24,18.1,999.9,95.2,62.2, 0.00G,999.9,0,cl
855740,99999,20170115,71.9,24,39.4,24,1010.5,4,956.8,4,6.2,4,7.2,24,17.1,999.9,90.7,54.7, 0.00G,999.9,0,cl
855740,99999,20170116,72.4,24,44.8,24,1012.4,4,958.7,4,6,5,7.3,24,15.9,999.9,87.8,54.7, 0.00G,999.9,0,cl
855740,99999,20170117,76.4,24,48.1,24,9999.9,0,9999.9,0,5.4,6,6.2,24,12,999.9,   93.2*,58.1, 0.00G,999.9,0,cl
855740,99999,20170118,80.4,22,46.8,22,1009.5,4,956.7,4,6,5,7.4,22,18.1,999.9,   95.0*,61.3, 0.00G,999.9,0,cl
855740,99999,20170119,77.8,24,39.7,24,1011.6,4,958.3,4,4.6,15,6.7,24,14,999.9,96.3,59, 0.00G,999.9,0,cl
855740,99999,20170120,80.2,24,44.9,24,1010.9,5,957.5,5,4.7,24,7,23,18.1,999.9,   98.6*,61.9, 0.00G,999.9,0,cl
855740,99999,20170121,79.2,24,50.9,24,1010,4,957.2,4,4.4,24,6.7,24,18.1,999.9,99.9,61.9, 0.00G,999.9,0,cl
855740,99999,20170122,74.2,24,53.2,24,1013.4,4,959.8,4,4.9,23,7.1,24,18.1,999.9,94.8,60.8, 0.00G,999.9,0,cl
855740,99999,20170123,73.9,24,53.8,24,1014.6,4,960.8,4,5.2,10,7.2,24,15,999.9,   89.6*,61.9, 0.00G,999.9,0,cl
855740,99999,20170124,76,24,48.9,24,1013.6,4,959.9,4,4.5,24,6,24,14,999.9,   91.4*,59.5, 0.00G,999.9,0,cl
855740,99999,20170125,81.5,24,49.7,24,1009.6,4,956.9,4,6.2,4,6.5,24,15,999.9,   98.6*,63, 0.00G,999.9,0,cl
855740,99999,20170126,79.8,24,54.3,24,1009.8,4,956.9,4,4.8,24,7.6,24,15.9,35.9,99.1,65.7, 0.00G,999.9,0,cl
855740,99999,20170127,79.2,20,59.4,20,1013,4,959.7,4,5.2,10,7.3,20,15,999.9,92.1,65.1, 0.00G,999.9,0,cl
855740,99999,20170128,76.4,24,58.7,24,1010.7,4,957.5,4,4.1,11,8.2,24,17.1,999.9,93,65.3, 0.00G,999.9,0,cl
855740,99999,20170129,76.8,24,55.9,24,1009,4,955.7,4,4.5,16,7.3,24,17.1,999.9,   91.4*,64.4, 0.00G,999.9,0,cl
855740,99999,20170130,76.5,24,54.5,24,1011.2,4,957.8,4,4.3,24,8.3,24,18.1,999.9,92.8,  62.6*, 0.00G,999.9,0,cl
855740,99999,20170131,77.3,24,48.8,24,1010.8,4,957.6,4,4.9,15,7.5,24,17.1,999.9,92.3,59, 0.00G,999.9,0,cl
855740,99999,20170201,73.5,24,49.1,24,1011,4,957.4,4,4.7,16,7.4,24,17.1,999.9,92.7,57.9, 0.00G,999.9,0,cl
855740,99999,20170202,69.9,24,48.1,24,1010.4,4,956.7,4,5.2,12,8.2,24,15,999.9,89.8,57.2, 0.00G,999.9,0,cl
855740,99999,20170203,63,24,47.2,24,1012.4,4,957.7,4,6.2,20,7.5,24,13,999.9,85.6,  51.8*, 0.00G,999.9,0,cl
855740,99999,20170204,66.1,24,51.4,24,1015.1,4,960.4,4,6.2,24,7.4,24,13,999.9,   77.0*,  57.2*, 0.00G,999.9,0,cl
855740,99999,20170205,71.4,24,49.1,24,1013.3,4,959.2,4,4.9,9,5.9,24,14,999.9,   89.6*,54.9, 0.00G,999.9,0,cl
855740,99999,20170206,74.7,24,44.4,24,1009.3,4,956,4,5.5,7,7.7,24,15.9,999.9,92.5,57.9, 0.00G,999.9,0,cl
855740,99999,20170207,71.3,24,43.1,24,1009.8,4,956.2,4,5.7,7,6.9,24,15.9,999.9,90,56.5, 0.00G,999.9,0,cl
855740,99999,20170208,64.2,24,50.1,24,1013.4,4,958.6,4,5.6,7,7.8,24,13,999.9,86.5,51.8, 0.00G,999.9,0,cl
855740,99999,20170209,67.5,24,45.8,24,1014,4,959.7,4,6.1,13,8.5,24,15.9,999.9,   84.2*,51.1, 0.00G,999.9,0,cl
855740,99999,20170210,71.6,24,46.3,24,1012,4,958,4,6.2,13,5.5,24,15,999.9,   86.0*,59.9, 0.00G,999.9,0,cl
855740,99999,20170211,71.1,24,43.1,24,1013.5,4,959.4,4,5.8,6,6.6,24,15,999.9,   87.8*,52.5, 0.00G,999.9,0,cl
855740,99999,20170212,73.7,24,46,24,1012.3,4,958.6,4,5.5,6,7.1,24,15,999.9,   91.4*,54.7, 0.00G,999.9,0,cl
855740,99999,20170213,73.2,24,47.9,24,1009.7,4,956.2,4,6.2,4,7.7,24,17.1,999.9,92.1,57, 0.00G,999.9,0,cl
855740,99999,20170214,70.2,24,54.3,24,1011.4,4,957.4,4,5.1,8,7.7,24,13,999.9,88.7,56.7, 0.00G,999.9,0,cl
855740,99999,20170215,71.5,24,53.8,24,1014.7,4,960.6,4,5.9,8,7.2,24,15.9,999.9,   87.8*,58.3, 0.00G,999.9,0,cl
855740,99999,20170216,69.4,24,53.7,24,1015.4,4,961.2,4,6.2,12,8.2,24,17.1,999.9,87.6,57, 0.00G,999.9,0,cl
855740,99999,20170217,67.2,24,53.5,24,1014.8,4,960.1,4,6.2,9,7.1,24,14,999.9,85.8,54.9, 0.00G,999.9,0,cl
855740,99999,20170218,67.6,24,44.4,24,1016.8,4,962.3,4,6.2,5,6.5,24,13,999.9,   84.2*,53.4, 0.00G,999.9,0,cl
855740,99999,20170219,73.1,24,46.9,24,1014.4,4,960.3,4,6,5,6.2,24,15,999.9,   89.6*,54.1, 0.00G,999.9,0,cl
855740,99999,20170220,76.8,24,47.4,24,1012.5,4,959.2,4,3.7,11,5.8,24,14,999.9,   93.2*,59.5, 0.00G,999.9,0,cl
855740,99999,20170221,77.2,24,53.5,24,1012.5,4,959,4,5.3,8,6,24,14,999.9,94.1,60.4, 0.00G,999.9,0,cl
855740,99999,20170222,78.1,24,56.5,24,1009.6,4,956.7,4,5.5,7,6.8,24,15.9,999.9,94.6,63.9, 0.00G,999.9,0,cl
855740,99999,20170223,75,24,57.9,24,1009.5,4,956.1,4,6.2,4,6.5,24,13,999.9,90,62.6, 0.00G,999.9,0,cl
855740,99999,20170224,76.5,24,57.8,24,1010.8,4,957.6,4,6,5,6.8,24,13,999.9,90,63.5, 0.00G,999.9,0,cl
855740,99999,20170225,77.1,24,55.9,24,1010.3,4,957,4,6.2,14,6.9,24,15,999.9,91,66.7, 0.00G,999.9,0,cl
