STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
787640,99999,20170101,73.4,13,58.7,13,1011.8,5,902.8,5,6,13,12.1,13,15.9,26,77.9,65.5, 0.02E,999.9,10000,cr
787640,99999,20170102,72.7,13,60.2,13,1011.3,5,902.5,5,6.2,13,12.8,13,17.1,27,78.8,66.7, 0.04E,999.9,10000,cr
787640,99999,20170103,73,13,56.3,13,1010.2,4,901.5,4,6.2,10,15,13,20,29.9,   77.0*,  66.2*, 0.00I,999.9,0,cr
787640,99999,20170104,75.7,13,53.4,13,1009.6,4,900.8,4,6.2,9,11.4,13,15,999.9,   82.4*,  64.2*, 0.00I,999.9,0,cr
787640,99999,20170105,73.8,13,57.4,13,1009.8,5,901.2,5,6.2,11,12.5,13,17.1,999.9,83.7,63.1, 0.00I,999.9,0,cr
787640,99999,20170106,74.2,13,55.9,13,1010.3,5,901.6,5,6.2,10,10,13,13,999.9,   79.0*,  64.4*, 0.00I,999.9,0,cr
787640,99999,20170107,73.9,13,54.8,13,1012,4,903,4,6.2,8,12.6,13,17.1,25.1,80.4,63.9, 0.00I,999.9,0,cr
787640,99999,20170108,69.9,13,60.8,13,9999.9,0,9999.9,0,5.7,13,15.9,13,21,31.1,80.1,63.9, 0.02A,999.9,10000,cr
787640,99999,20170109,69.5,13,55.6,13,1013.8,4,904.3,4,6.2,13,20.6,13,25.1,39,   75.2*,  65.3*, 0.08A,999.9,10000,cr
787640,99999,20170110,70.8,13,57.5,13,9999.9,0,9999.9,0,6.2,13,16.9,13,22,33,76.1,64.2, 0.00I,999.9,0,cr
787640,99999,20170111,73,13,57.4,13,9999.9,0,9999.9,0,6.2,11,16.9,13,22,29.9,   77.0*,  66.2*, 0.00I,999.9,0,cr
787640,99999,20170112,73.2,13,56.1,13,1011.4,5,902.5,5,6.2,13,15.8,13,19,31.1,78.3,65.8, 0.00I,999.9,0,cr
787640,99999,20170113,71.7,13,58,11,1012,5,902.9,5,6.2,13,16.6,13,31.1,999.9,79,65.1,99.99,999.9,10000,cr
787640,99999,20170114,68.7,13,52.4,13,1013,5,903.3,5,6.2,13,18.3,13,21,35.9,77.5,63,99.99,999.9,10000,cr
787640,99999,20170115,71.6,13,53.1,13,1012,5,902.7,5,6.2,10,14.5,13,18.1,27,78.4,62.1, 0.00I,999.9,0,cr
787640,99999,20170116,72.9,13,52.7,13,1011.3,5,902.2,5,6.2,9,13.5,13,15.9,999.9,78.4,62.1, 0.00I,999.9,0,cr
787640,99999,20170117,73.5,12,54.2,12,1011.8,5,902.6,5,6.2,9,11.8,12,15,27,78.8,62.4, 0.00I,999.9,0,cr
787640,99999,20170118,72.8,12,53.3,12,1012.5,5,903.3,5,6.2,9,14.3,12,18.1,999.9,79.3,62.4, 0.00I,999.9,0,cr
787640,99999,20170119,74.9,14,52.7,14,1011.4,4,902.5,4,6.2,9,8,14,11.1,21,   82.4*,  64.4*, 0.00I,999.9,0,cr
787640,99999,20170120,72.9,9,56.1,9,9999.9,0,9999.9,0,6.2,5,5.7,9,11.1,999.9,   80.6*,  64.4*, 0.00I,999.9,0,cr
787640,99999,20170121,74.8,12,56.3,12,1013.6,4,905,4,6.2,5,7.5,12,12,999.9,82,60.3, 0.00I,999.9,0,cr
787640,99999,20170122,74.1,13,56.8,13,1013.1,5,903.9,5,6.2,9,6.7,13,13,999.9,82.2,60.3, 0.00I,999.9,0,cr
787640,99999,20170123,77.5,9,54.3,9,9999.9,0,9999.9,0,6.2,7,7.9,9,12,999.9,82,55.4, 0.00I,999.9,0,cr
