STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
060700,99999, 20170101,   41.2,24,   37.8,24, 9999.9, 0, 9999.9, 0,   5.5,24,   7.0,24,   9.9, 999.9,   48.4 ,  30.2*, 0.07G,999.9, 010000,
060700,99999, 20170102,   31.5,24,   25.9,24, 9999.9, 0, 9999.9, 0,   6.3,24,   4.7,24,   8.0, 999.9,   37.4*,  26.6*, 0.00G,999.9, 000000,
060700,99999, 20170103,   38.8,24,   34.6,24, 9999.9, 0, 9999.9, 0,   5.8,24,  12.1,24,  25.1,  38.1,   46.4*,  26.1 , 0.01G,999.9, 110000,
060700,99999, 20170104,   34.6,24,   27.9,24, 9999.9, 0, 9999.9, 0,   5.3,24,  13.7,24,  20.0,  32.1,   43.5 ,  23.7*, 0.05G,999.9, 011000,
060700,99999, 20170105,   20.8,24,   12.5,24, 9999.9, 0, 9999.9, 0,   7.0,24,   5.2,24,  12.0, 999.9,   31.5 ,   8.6*, 0.21G,999.9, 001000,
060700,99999, 20170106,   18.5,24,   11.8,24, 9999.9, 0, 9999.9, 0,   5.6,24,   3.4,24,   8.9,  18.1,   28.6*,   6.8 , 0.00G,999.9, 101000,
060700,99999, 20170107,   35.1,24,   33.3,24, 9999.9, 0, 9999.9, 0,   5.0,24,   7.5,24,  11.1,  20.0,   41.0*,  26.8 , 0.06G,999.9, 011000,
060700,99999, 20170108,   34.2,24,   31.5,24, 9999.9, 0, 9999.9, 0,   5.4,24,   4.2,24,   8.0, 999.9,   37.6 ,  32.0*, 0.01G,999.9, 000000,
060700,99999, 20170109,   38.9,24,   37.2,24, 9999.9, 0, 9999.9, 0,   4.5,24,   6.2,24,  12.0,  25.1,   41.0 ,  33.1 , 0.00G,999.9, 010000,
060700,99999, 20170110,   37.2,24,   36.0,24, 9999.9, 0, 9999.9, 0,   3.0,24,   8.3,24,  13.0,  22.9,   39.2*,  35.6*, 0.07G,999.9, 010000,
060700,99999, 20170111,   40.6,24,   36.5,24, 9999.9, 0, 9999.9, 0,   4.4,24,  12.3,24,  21.0,  32.1,   43.3 ,  37.4*, 0.07G,999.9, 010000,
060700,99999, 20170112,   37.0,24,   31.3,24, 9999.9, 0, 9999.9, 0,   6.0,24,  10.8,24,  18.1,  28.9,   42.6 ,  33.1*, 0.37G,999.9, 011000,
060700,99999, 20170113,   31.0,24,   28.1,24, 9999.9, 0, 9999.9, 0,   6.1,24,   2.6,24,   5.1, 999.9,   37.8 ,  26.1 , 0.02G,999.9, 100000,
060700,99999, 20170114,   33.6,24,   30.0,24, 9999.9, 0, 9999.9, 0,   6.3,24,   7.2,24,  11.1, 999.9,   37.4*,  25.5 , 0.00G,999.9, 010000,
060700,99999, 20170115,   29.6,24,   23.5,24, 9999.9, 0, 9999.9, 0,   7.2,24,   5.3,24,  11.1, 999.9,   35.6*,  20.5*, 0.00G,999.9, 011000,
060700,99999, 20170116,   24.8,24,   19.7,24, 9999.9, 0, 9999.9, 0,   6.4,24,   3.8,24,   8.0, 999.9,   35.6 ,  18.5 , 0.00G,999.9, 000000,
060700,99999, 20170117,   29.3,24,   24.8,24, 9999.9, 0, 9999.9, 0,   6.5,24,   3.3,24,   8.0, 999.9,   37.4*,  17.2 , 0.00G,999.9, 011000,
060700,99999, 20170118,   39.4,23,   36.1,23, 9999.9, 0, 9999.9, 0,   5.4,23,   7.8,23,  11.1, 999.9,   43.0*,  35.2 , 0.00G,999.9, 010000,
060700,99999, 20170119,   42.8,24,   39.7,24, 9999.9, 0, 9999.9, 0,   6.0,24,   9.5,24,  14.0, 999.9,   46.6 ,  39.2*, 0.00G,999.9, 000000,
