STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
842030,99999,20170101,83.1,24,69.4,24,9999.9,0,9999.9,0,6.2,24,6.2,24,11.1,999.9,   91.4*,72.3, 0.00H,999.9,10000,ec
842030,99999,20170102,85.2,19,69.5,19,9999.9,0,9999.9,0,6.2,19,6.1,19,13,999.9,90.3,  78.8*, 0.00I,999.9,0,ec
842030,99999,20170103,84.8,24,69.3,24,1007.2,4,1006.5,4,6.3,24,6.4,24,15,999.9,97.2,78.3, 0.00I,999.9,0,ec
842030,99999,20170104,82.5,24,70.1,24,1007.9,5,1007.2,5,6.3,23,7.1,24,15.9,999.9,97.2,  75.2*, 0.00B,999.9,10000,ec
842030,99999,20170105,80.5,23,70.4,23,1009.1,4,1008.4,4,6,23,5.1,23,8,999.9,90.9,  73.4*, 0.00A,999.9,10000,ec
842030,99999,20170106,81.2,24,71.7,24,1009.6,5,1008.9,5,6.3,24,4.4,24,7,999.9,89.2,75.2, 0.12G,999.9,10000,ec
842030,99999,20170107,82.1,24,72.1,24,9999.9,0,9999.9,0,6.2,24,5.2,24,9.9,999.9,   88.0*,78.1, 0.00G,999.9,10000,ec
842030,99999,20170108,77.1,24,73.3,24,9999.9,0,9999.9,0,5.1,23,3.6,23,6,999.9,82.6,73, 0.63G,999.9,10000,ec
842030,99999,20170109,77.9,24,72.5,24,1011.8,5,1011.1,5,5.3,24,4.5,24,8.9,999.9,84.9,72.7, 4.17G,999.9,10000,ec
842030,99999,20170110,76.9,24,72.2,24,1010.9,5,1010.1,5,5.7,23,5.9,22,9.9,999.9,87.8,  73.4*, 0.94G,999.9,10000,ec
842030,99999,20170111,81.1,23,72,23,9999.9,0,9999.9,0,6.2,23,4.5,23,7,999.9,91.4,  77.0*, 0.00G,999.9,0,ec
842030,99999,20170112,81.4,20,70.7,20,1009.3,4,1008.6,4,6.2,18,5.7,20,9.9,999.9,91.4,  77.0*, 0.01G,999.9,0,ec
842030,99999,20170113,80.9,22,72.4,22,9999.9,0,9999.9,0,6.2,22,5.9,21,9.9,999.9,   86.0*,  77.0*, 0.00G,999.9,10000,ec
842030,99999,20170114,78.9,24,73.1,24,9999.9,0,9999.9,0,6.1,24,4.8,24,8.9,999.9,   84.2*,  75.2*,99.99,999.9,10000,ec
842030,99999,20170115,78.7,24,73.5,24,9999.9,0,9999.9,0,6.2,24,3.9,24,8.9,999.9,85.1,  75.2*, 0.16B,999.9,10000,ec
842030,99999,20170116,82.7,24,70.9,24,1009.4,5,1008.7,5,6.2,24,6.9,24,9.9,999.9,91.9,76.5, 0.00G,999.9,0,ec
842030,99999,20170117,82.3,23,71,23,9999.9,0,9999.9,0,7.2,19,6.9,23,9.9,999.9,91.2,  77.0*, 0.00I,999.9,0,ec
842030,99999,20170118,81.4,22,71.9,22,1010.9,4,1010.2,4,6.2,20,5.6,22,9.9,999.9,88.7,  77.0*, 0.00I,999.9,0,ec
842030,99999,20170119,81.9,24,71.9,24,1011.1,4,1010.4,4,6.2,22,7.1,23,11.1,999.9,89.2,  77.0*, 0.00I,999.9,0,ec
842030,99999,20170120,79,24,71.1,24,1012.7,4,1012,4,6.2,24,6.3,24,11.1,999.9,   84.2*,75.2, 0.00G,999.9,10000,ec
842030,99999,20170121,78.2,24,70.9,24,9999.9,0,9999.9,0,5.8,24,7.5,24,11.1,999.9,88.3,72.1, 0.16G,999.9,10000,ec
842030,99999,20170122,83.4,24,71.5,24,9999.9,0,9999.9,0,6.3,24,6.2,24,14,999.9,94.3,  77.0*, 0.00G,999.9,0,ec
842030,99999,20170123,82.2,24,71.1,24,9999.9,0,9999.9,0,6.3,24,6.1,21,11.1,999.9,91.4,  77.0*,99.99,999.9,10000,ec
842030,99999,20170124,84,24,70.3,24,1011.4,4,1010.7,4,6.7,24,6.3,24,9.9,999.9,92.1,76.5,99.99,999.9,10000,ec
842030,99999,20170125,80.8,24,72.3,24,9999.9,0,9999.9,0,6.2,24,6.7,24,14,999.9,86.4,76.6, 0.00B,999.9,10000,ec
842030,99999,20170126,79.4,24,72.6,24,1012.2,4,1011.5,4,6,24,5.6,24,13,999.9,85.3,  73.4*, 0.12G,999.9,10000,ec
842030,99999,20170127,78.7,19,72.8,19,1013.1,5,1011.2,5,5.6,19,4.4,19,7,999.9,85.3,  73.4*, 1.73G,999.9,10000,ec
842030,99999,20170128,80.7,24,73.1,24,9999.9,0,9999.9,0,6.2,24,4.3,24,8,999.9,87.3,  77.0*, 0.00G,999.9,10000,ec
842030,99999,20170129,78.9,24,74,24,9999.9,0,9999.9,0,6.5,24,5,24,8.9,999.9,87.3,  75.2*, 0.00B,999.9,10000,ec
842030,99999,20170130,77.5,24,75.1,24,9999.9,0,9999.9,0,4.8,23,3.4,22,7,999.9,85.3,76.1, 1.46G,999.9,10010,ec
842030,99999,20170131,79.7,24,73.7,24,1010.8,4,1010.2,4,5.9,23,4.4,24,15.9,999.9,88.7,74.8, 1.93G,999.9,10010,ec
842030,99999,20170201,80.4,24,73.9,24,1009.8,5,1009.1,5,6.1,24,4.4,24,9.9,999.9,88.7,  75.2*, 0.04G,999.9,10010,ec
842030,99999,20170202,78.6,24,74.4,24,9999.9,0,9999.9,0,5.6,24,3.7,24,11.1,999.9,88.5,75, 0.16G,999.9,10000,ec
842030,99999,20170203,79.6,24,74,24,1009.7,5,1009,5,6,24,3.9,24,7,999.9,90,74.3, 1.89G,999.9,10000,ec
842030,99999,20170204,79.6,24,75.5,24,1007.8,4,1007.2,4,6,24,4.2,24,12,999.9,90,74.8, 4.37G,999.9,10010,ec
842030,99999,20170205,80.8,24,75.4,24,9999.9,0,9999.9,0,6.3,24,4.9,24,9.9,999.9,   86.0*,  77.0*, 0.00G,999.9,10010,ec
842030,99999,20170206,80.8,24,76.1,24,9999.9,0,9999.9,0,6,24,6.8,24,8.9,999.9,   86.0*,  77.0*,99.99,999.9,10000,ec
842030,99999,20170207,81,22,74.8,22,1008.1,4,1007.6,4,6.5,22,5.3,22,11.1,999.9,91,  75.2*, 0.08G,999.9,10010,ec
842030,99999,20170208,80.9,23,75,23,1008.2,4,1007.5,4,6,23,6.3,23,9.9,999.9,91,77, 0.08G,999.9,10000,ec
842030,99999,20170209,80.9,24,74.9,24,1009.7,5,1009,5,6.2,23,3.9,24,8,999.9,88.9,76.8, 0.02G,999.9,10010,ec
842030,99999,20170210,79.9,24,74.9,24,9999.9,0,9999.9,0,6,24,5.2,23,8,999.9,88.9,  75.2*, 0.67G,999.9,10010,ec
842030,99999,20170211,83.2,24,74.4,24,9999.9,0,9999.9,0,6.5,24,5.4,24,12,999.9,   91.4*,  77.0*, 0.47G,999.9,10010,ec
842030,99999,20170212,81.5,24,74.9,24,9999.9,0,9999.9,0,6.2,24,6.2,23,14,999.9,93.9,  75.2*, 0.00G,999.9,10010,ec
842030,99999,20170213,81.6,24,73.9,24,1009.5,5,1008.8,5,6.4,21,5.5,24,9.9,999.9,90.7,76.6, 0.04A,999.9,0,ec
842030,99999,20170214,81.8,23,73.6,23,1010.4,5,1009.7,5,6.2,23,3.5,23,7,999.9,90.7,  75.2*, 0.20G,999.9,10000,ec
842030,99999,20170215,82.1,24,75.3,24,1011.4,5,1010.7,5,6.1,15,5.7,24,12,999.9,90.3,  76.6*, 0.00G,999.9,10010,ec
842030,99999,20170216,81.1,24,75.3,24,1012.6,5,1011.9,5,6.7,24,4.5,24,8,999.9,90.3,76.8, 0.24G,999.9,10010,ec
842030,99999,20170217,80,24,74.2,24,9999.9,0,9999.9,0,6.2,24,4.7,23,9.9,999.9,89.8,74.8, 1.14G,999.9,10010,ec
842030,99999,20170218,82.2,24,74.1,24,1012.2,4,1011.5,4,6.6,16,5,23,8,999.9,   89.6*,75.9, 0.00G,999.9,0,ec
842030,99999,20170219,82.9,24,74.4,24,9999.9,0,9999.9,0,6.5,22,5.9,23,15,999.9,90.1,  78.8*, 0.00I,999.9,10,ec
842030,99999,20170220,81.4,24,74.6,24,9999.9,0,9999.9,0,5.9,23,5.2,23,15,999.9,90.3,75, 0.63G,999.9,10010,ec
842030,99999,20170221,81.8,24,75.1,24,9999.9,0,9999.9,0,6.1,24,5.6,23,9.9,999.9,90,76.1, 0.35G,999.9,10110,ec
842030,99999,20170222,78.6,24,73.5,24,9999.9,0,9999.9,0,5.9,24,3.9,24,8.9,999.9,85.5,73.2, 0.03G,999.9,10000,ec
842030,99999,20170223,82.7,24,74.2,24,1009.2,4,1008.5,4,6.6,23,3.8,24,9.9,999.9,91.6,76.8, 0.00G,999.9,10000,ec
842030,99999,20170224,82.4,24,74.8,24,1008.8,4,1008.2,4,6.9,23,5.9,23,13,999.9,91.6,  77.0*, 0.01G,999.9,10000,ec
842030,99999,20170225,81,24,74.8,24,9999.9,0,9999.9,0,6.3,24,4.1,23,9.9,999.9,89.2,  77.0*, 0.00G,999.9,10000,ec
842030,99999,20170226,79.7,24,73.4,24,9999.9,0,9999.9,0,6,24,4.8,24,15.9,999.9,88.2,  75.2*, 0.00G,999.9,10010,ec
842030,99999,20170227,79.9,24,74.5,24,9999.9,0,9999.9,0,6.2,24,3.4,24,8.9,999.9,88.2,  75.2*, 1.02G,999.9,10010,ec
842030,99999,20170228,81.7,24,74.3,24,9999.9,0,9999.9,0,6.3,24,3.9,24,8.9,999.9,   89.6*,76.8, 0.35G,999.9,10010,ec
842030,99999,20170301,80.8,23,74.7,23,1010.7,4,1010,4,6.2,23,4.3,23,8,999.9,88.3,  75.2*, 0.04G,999.9,10010,ec
