STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
27950,99999,20170101,35.1,24,32.4,24,998.2,24,997.4,24,22.6,24,9,24,13,15.5,41,  28.4*,99.99,999.9,10000,fi
27950,99999,20170102,26.8,24,24.8,24,1001.5,24,1000.7,24,15.3,24,8.4,24,11.8,15.9,33.1,  24.4*,99.99,999.9,11000,fi
27950,99999,20170103,24.4,24,23.3,24,999.4,24,998.6,24,7.1,23,9.2,24,20,24.9,27.5,22.1,99.99,999.9,11000,fi
27950,99999,20170104,13,24,10.9,24,1004.4,24,1003.5,24,1.7,24,21.9,24,26,35,27.9,3.2,99.99,999.9,1000,fi
27950,99999,20170105,5.6,24,3.1,24,1027.1,24,1026.2,24,0.8,24,17.6,24,21.4,27.6,7.5,2.8,99.99,999.9,1000,fi
27950,99999,20170106,10.7,24,8.5,24,1036.7,24,1035.9,24,8.2,24,8.5,24,23.3,27.4,   19.9*,3.2,99.99,999.9,1000,fi
27950,99999,20170107,27,24,25.6,24,1021.8,24,1021,24,11.3,24,23.9,24,33,40.4,32.4,17.8,99.99,999.9,11000,fi
27950,99999,20170108,32.6,24,31.4,24,1020.6,24,1019.8,24,14.7,24,15,24,27,33,   35.4*,29.1,99.99,999.9,110000,fi
27950,99999,20170109,33.9,24,32.5,24,1015.1,24,1014.2,24,16.9,24,16.9,24,22.1,25.8,35.8,31.1,99.99,999.9,10000,fi
27950,99999,20170110,35.1,24,33.5,24,1012.9,24,1012.1,24,7.5,24,22.7,24,27,33.2,36.7,  33.3*,99.99,999.9,10000,fi
27950,99999,20170111,30,24,25.2,24,1003.8,24,1003,24,7.3,24,25.9,24,28.9,34.2,34,26.8, 0.00I,999.9,0,fi
27950,99999,20170112,28.4,24,23.9,24,989,24,988.2,24,6.1,24,26.6,24,32.8,40.4,   30.2*,26.1,99.99,999.9,11000,fi
27950,99999,20170113,34.7,24,33.1,24,987.9,24,987.1,24,11,24,20.6,24,23.7,29.3,36.3,28.6,99.99,999.9,11000,fi
