STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20170101,   28.1,24,   21.0,24, 1023.7,24, 1013.7,24,   3.2,24,   5.6,24,   8.9, 999.9,   32.4*,  24.3 , 0.00G,999.9, 001000,
071560,99999, 20170102,   35.0,24,   26.6,24, 1026.0,24, 1016.1,24,   3.5,24,   3.7,24,   7.0, 999.9,   37.0 ,  30.9 , 0.01G,999.9, 010000,
071560,99999, 20170103,   34.6,24,   24.9,24, 1030.3,24, 1020.4,24,   4.1,24,   3.6,24,   6.0, 999.9,   36.1 ,  32.7*, 0.06G,999.9, 000000,
071560,99999, 20170104,   39.8,24,   27.0,24, 1025.3,24, 1015.6,24,  11.1,24,   6.5,24,   8.9, 999.9,   43.9 ,  32.2 , 0.00G,999.9, 010000,
071560,99999, 20170105,   38.9,24,   23.6,24, 1032.7,24, 1022.8,24,  12.0,24,   5.4,24,   8.0, 999.9,   44.8 ,  35.4*, 0.03G,999.9, 000000,
071560,99999, 20170106,   31.3,24,   16.2,23, 1039.2,24, 1029.1,24,  12.3,24,   3.7,24,   5.1, 999.9,   41.2 ,  27.3*, 0.00G,999.9, 000000,
071560,99999, 20170107,   30.7,24,   26.0,24, 1035.5,24, 1025.5,24,   6.4,24,   3.6,24,   7.0, 999.9,   37.4*,  25.2 , 0.00G,999.9, 010000,
071560,99999, 20170108,   43.8,24,   42.0,24, 1032.9,24, 1023.1,24,   4.9,24,   2.8,24,   4.1, 999.9,   46.8 ,  33.8 , 0.01G,999.9, 010000,
071560,99999, 20170109,   44.1,24,   42.7,24, 1024.8,24, 1015.1,24,   4.5,24,   5.1,24,   9.9, 999.9,   46.6 ,  41.7 , 0.00G,999.9, 110000,
071560,99999, 20170110,   43.7,24,   39.9,24, 1013.3,24, 1003.7,24,  11.3,24,   5.0,24,  12.0, 999.9,   46.4 ,  40.5 , 0.19G,999.9, 010000,
071560,99999, 20170111,   46.5,24,   41.9,24, 1014.9,24, 1005.4,24,   9.5,24,   6.5,24,  11.1, 999.9,   52.2 ,  41.2 , 0.09G,999.9, 010000,
071560,99999, 20170112,   44.2,24,   38.6,24, 1009.4,24,  999.9,24,   9.6,24,   9.4,24,  22.9, 999.9,   50.0 ,  40.5*, 0.02G,999.9, 010000,
071560,99999, 20170113,   38.7,24,   32.1,24, 1010.3,24, 1000.6,24,  12.3,24,   8.8,24,  11.1, 999.9,   47.5 ,  34.9 , 0.26G,999.9, 010000,
071560,99999, 20170114,   38.0,24,   32.5,24, 1020.2,24, 1010.5,24,  12.4,24,   6.1,24,   8.0, 999.9,   41.2 ,  35.1 , 0.06G,999.9, 010000,
071560,99999, 20170115,   35.9,24,   32.8,24, 1023.7,24, 1013.9,24,   8.7,24,   4.6,24,   8.0, 999.9,   40.8 ,  34.0 , 0.03G,999.9, 010000,
071560,99999, 20170116,   35.8,24,   32.1,24, 1026.9,24, 1017.1,24,   8.0,24,   4.9,24,   7.0, 999.9,   38.7 ,  33.1*, 0.17G,999.9, 010000,
071560,99999, 20170117,   29.9,24,   24.6,24, 1034.6,24, 1024.5,24,   5.7,24,   7.6,24,  13.0, 999.9,   36.9 ,  27.9 , 0.00G,999.9, 000000,
071560,99999, 20170118,   29.1,21,   20.0,21, 1035.0,21, 1025.0,21,  12.1,21,   8.3,21,  11.1, 999.9,   33.4 ,  25.7 , 0.00G,999.9, 000000,
071560,99999, 20170119,   29.4,24,   19.9,24, 1033.7,24, 1023.6,24,   9.6,24,   6.6,24,   9.9, 999.9,   33.1 ,  26.1 , 0.00G,999.9, 000000,
071560,99999, 20170120,   30.1,24,   19.9,24, 1031.0,24, 1021.0,24,   9.5,24,   5.5,24,   8.0, 999.9,   34.5 ,  27.0 , 0.00G,999.9, 000000,
