STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
167160,99999, 20170101,   42.8, 8,   31.6, 8, 1024.5, 8, 1019.3, 8,   6.2, 4,   3.4, 8,   5.1,  15.0,   48.2*,  35.2 , 0.00G,999.9, 010000,
167160,99999, 20170102,   47.1, 8,   37.3, 8, 1021.5, 8, 1016.4, 8, 999.9, 0,   2.2, 8,   6.0,  15.0,   55.4*,  39.2 , 0.00G,999.9, 010000,
167160,99999, 20170103,   52.0, 8,   39.7, 8, 1019.9, 8, 1014.8, 8, 999.9, 0,   2.5, 8,   5.1,  15.9,   58.3*,  46.0 , 0.00G,999.9, 010000,
167160,99999, 20170104,   53.3, 8,   45.0, 8, 1015.3, 8, 1010.3, 8,   6.2, 4,   2.5, 8,   6.0,  15.9,   60.1*,  45.3 , 0.00G,999.9, 000000,
167160,99999, 20170105,   55.8, 8,   47.8, 8, 1006.1, 8, 1001.2, 8,   6.2, 4,   3.1, 8,   8.9,  22.0,   63.7*,  47.8 , 0.00G,999.9, 000000,
167160,99999, 20170106,   51.0, 7,   39.7, 7, 1002.2, 7,  997.2, 7,   6.2, 4,   5.4, 7,  12.0,  23.9,   56.3*,  42.8*, 0.00G,999.9, 010000,
167160,99999, 20170107,   36.1, 8,   25.7, 8, 1010.9, 8, 1005.9, 8,   6.2, 4,   7.5, 8,  11.1,  22.9,   38.7*,  34.2*, 0.13G,999.9, 010000,
167160,99999, 20170108,   32.9, 8,   19.6, 8, 1014.4, 8, 1008.7, 8,   6.2, 4,   5.8, 8,   8.9,  21.0,   35.6*,  30.2 , 0.00G,999.9, 000000,
167160,99999, 20170109,   33.4, 7,   19.0, 7, 1014.0, 7, 1008.8, 7, 999.9, 0,   4.9, 7,   7.0,  15.0,   39.6*,  29.3 , 0.00G,999.9, 001000,
167160,99999, 20170110,   36.5, 8,   27.1, 8, 1009.9, 8, 1004.8, 8,   6.2, 4,   5.5, 8,   8.0,  20.0,   42.1*,  30.0 , 0.01G,999.9, 001000,
167160,99999, 20170111,   48.4, 8,   42.3, 8, 1016.2, 8, 1011.1, 8, 999.9, 0,   6.0, 8,   9.9,  30.9,   54.0*,  37.8 , 0.04G,999.9, 010000,
