STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
786310,99999,20170101,66.8,12,53.8,12,9999.9,0,9999.9,0,5.9,8,2.5,12,6,999.9,   78.8*,  46.4*, 0.00I,999.9,0,gt
786310,99999,20170102,65.5,13,52.9,13,9999.9,0,9999.9,0,6.2,7,1.6,13,8,999.9,   78.8*,  42.8*, 0.00I,999.9,0,gt
786310,99999,20170103,66.5,12,56,12,9999.9,0,9999.9,0,4.4,10,4,12,8,999.9,   75.2*,  50.0*, 0.00I,999.9,100000,gt
786310,99999,20170104,63.2,13,55.5,13,9999.9,0,9999.9,0,6.2,11,3.1,13,8,999.9,   71.6*,  44.6*, 0.00I,999.9,0,gt
786310,99999,20170105,67.3,12,59.3,12,9999.9,0,9999.9,0,4.6,11,4,12,8,999.9,   77.0*,  53.6*, 0.00I,999.9,100000,gt
786310,99999,20170106,70.2,13,59.1,13,9999.9,0,9999.9,0,999.9,0,6.2,13,12,999.9,   82.4*,  51.8*, 0.00I,999.9,0,gt
786310,99999,20170107,65,12,61.1,12,9999.9,0,9999.9,0,5.1,11,6.2,12,9.9,999.9,   69.8*,  53.6*,99.99,999.9,10000,gt
786310,99999,20170108,56.7,10,54.5,10,9999.9,0,9999.9,0,3.5,10,10.2,10,14,999.9,   64.4*,  51.8*,99.99,999.9,10000,gt
786310,99999,20170109,53.3,13,49.7,13,9999.9,0,9999.9,0,5.2,13,5.7,13,9.9,999.9,   57.2*,  50.0*,99.99,999.9,10000,gt
786310,99999,20170110,58.2,11,54.3,11,9999.9,0,9999.9,0,4.7,11,1.5,11,4.1,999.9,   62.6*,  50.0*, 0.00I,999.9,0,gt
786310,99999,20170111,61.9,12,56.6,12,9999.9,0,9999.9,0,5,12,3.4,12,8,999.9,   66.2*,  53.6*, 0.00I,999.9,0,gt
786310,99999,20170112,64.7,12,57.1,12,9999.9,0,9999.9,0,5.4,12,3,12,8,999.9,   71.6*,  57.2*, 0.00I,999.9,0,gt
786310,99999,20170113,63.3,12,56,12,9999.9,0,9999.9,0,6,11,2.4,12,6,999.9,   69.8*,  53.6*, 0.00I,999.9,0,gt
786310,99999,20170114,60.5,13,57.8,13,9999.9,0,9999.9,0,3.6,13,2,13,6,999.9,   64.4*,  55.4*,99.99,999.9,10000,gt
786310,99999,20170115,61.5,13,57.1,13,9999.9,0,9999.9,0,4.1,13,2,13,6,999.9,   68.0*,  55.4*,99.99,999.9,10000,gt
786310,99999,20170116,63.8,13,54.6,13,9999.9,0,9999.9,0,4.9,13,2.8,13,6,999.9,   75.2*,  48.2*, 0.00I,999.9,100000,gt
786310,99999,20170117,66.5,13,58.3,13,9999.9,0,9999.9,0,4.9,9,3.4,13,8,999.9,   73.4*,  51.8*, 0.00I,999.9,100000,gt
786310,99999,20170118,67.9,12,59.6,12,9999.9,0,9999.9,0,5.7,12,4.7,12,12,999.9,   75.2*,  59.0*, 0.00I,999.9,0,gt
786310,99999,20170119,68,11,56.2,11,9999.9,0,9999.9,0,999.9,0,4.9,11,9.9,999.9,   78.8*,  46.4*, 0.00I,999.9,0,gt
786310,99999,20170120,71.6,12,57.4,12,9999.9,0,9999.9,0,6.2,5,6,12,12,999.9,   82.4*,  53.6*, 0.00I,999.9,0,gt
786310,99999,20170121,71.3,13,56.2,13,9999.9,0,9999.9,0,999.9,0,5.7,13,12,999.9,   82.4*,  51.8*, 0.00I,999.9,0,gt
786310,99999,20170122,74.8,12,53.3,12,9999.9,0,9999.9,0,999.9,0,6.5,12,9.9,999.9,   84.2*,  59.0*, 0.00I,999.9,0,gt
786310,99999,20170123,64.8,13,44.1,12,9999.9,0,9999.9,0,999.9,0,4.5,13,8,999.9,   73.4*,  46.4*, 0.00I,999.9,0,gt
786310,99999,20170124,62.9,11,48,11,9999.9,0,9999.9,0,999.9,0,3.2,10,6,999.9,   80.6*,  41.0*, 0.00I,999.9,0,gt
786310,99999,20170125,69,13,50.7,13,9999.9,0,9999.9,0,999.9,0,4.2,13,8,999.9,   84.2*,  42.8*, 0.00I,999.9,0,gt
786310,99999,20170126,66.6,13,49.7,13,9999.9,0,9999.9,0,5,4,2.5,13,6,999.9,   78.8*,  42.8*, 0.00I,999.9,0,gt
786310,99999,20170127,65.6,12,58.4,12,9999.9,0,9999.9,0,4.7,12,3.2,12,6,999.9,   71.6*,  59.0*,99.99,999.9,10000,gt
786310,99999,20170128,67.8,12,56.8,12,9999.9,0,9999.9,0,6,11,3.8,11,8,999.9,   77.0*,  55.4*, 0.00I,999.9,0,gt
786310,99999,20170129,62,13,59,13,9999.9,0,9999.9,0,3.6,11,4.4,12,6,999.9,   66.2*,  59.0*,99.99,999.9,10000,gt
786310,99999,20170130,55.3,12,53.3,12,9999.9,0,9999.9,0,2.4,11,1.1,11,4.1,999.9,   62.6*,  53.6*,99.99,999.9,10000,gt
786310,99999,20170131,60,13,53.2,13,9999.9,0,9999.9,0,5.8,13,3,13,6,999.9,   66.2*,  51.8*, 0.00I,999.9,0,gt
786310,99999,20170201,64.7,13,56.5,13,9999.9,0,9999.9,0,4.4,10,3.9,13,8,999.9,   73.4*,  51.8*, 0.00I,999.9,100000,gt
786310,99999,20170202,66.8,13,58.2,13,9999.9,0,9999.9,0,5.4,13,3.4,13,6,999.9,   73.4*,  57.2*, 0.00I,999.9,0,gt
786310,99999,20170203,65,13,57.3,13,9999.9,0,9999.9,0,6.2,13,3.2,13,12,999.9,   71.6*,  57.2*, 0.00I,999.9,0,gt
786310,99999,20170204,58.2,12,56.3,12,9999.9,0,9999.9,0,4.2,12,0.5,12,6,999.9,   62.6*,  51.8*,99.99,999.9,110000,gt
786310,99999,20170205,62.2,13,58.7,13,9999.9,0,9999.9,0,5.9,13,2.2,13,6,999.9,   66.2*,  57.2*,99.99,999.9,10000,gt
786310,99999,20170206,66.9,13,60,13,9999.9,0,9999.9,0,5,13,4.2,13,9.9,999.9,   73.4*,  59.0*,99.99,999.9,10000,gt
