STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
450070,99999,20170101,69,24,59.2,24,9999.9,0,9999.9,0,6.4,20,7.2,24,15,999.9,   75.2*,66.2, 0.00G,999.9,0,hk
450070,99999,20170102,70.2,24,60.3,24,9999.9,0,9999.9,0,5.2,18,4.6,24,9.9,999.9,   75.2*,65.5, 0.00G,999.9,0,hk
450070,99999,20170103,71,24,61.1,24,9999.9,0,9999.9,0,6,24,11.5,24,17.1,999.9,   75.9*,65.3, 0.00G,999.9,0,hk
450070,99999,20170104,72.2,24,60.2,24,9999.9,0,9999.9,0,6.2,24,7.8,24,15.9,999.9,   78.8*,66.6, 0.00G,999.9,0,hk
450070,99999,20170105,72.9,24,62.3,24,9999.9,0,9999.9,0,5.3,21,5.6,24,9.9,999.9,   77.0*,  68.0*, 0.00G,999.9,0,hk
450070,99999,20170106,72.6,24,63.3,24,9999.9,0,9999.9,0,4.6,24,8.7,24,15,999.9,   77.4*,66.7, 0.00G,999.9,0,hk
450070,99999,20170107,73.2,24,63.4,24,9999.9,0,9999.9,0,5.5,24,5.9,24,14,999.9,   80.6*,68.7, 0.00G,999.9,0,hk
450070,99999,20170108,73.5,24,62.8,24,9999.9,0,9999.9,0,3.8,24,5.6,24,11.1,999.9,   78.8*,  67.5*, 0.00G,999.9,0,hk
450070,99999,20170109,69.8,24,59.4,24,9999.9,0,9999.9,0,5.5,24,8.7,24,14,999.9,   73.4*,67.1, 0.00G,999.9,0,hk
450070,99999,20170110,69.6,24,58.5,24,9999.9,0,9999.9,0,5.6,24,12.4,24,15.9,999.9,   75.2*,  66.2*, 0.00G,999.9,0,hk
450070,99999,20170111,68.6,24,58.9,24,9999.9,0,9999.9,0,4,24,6.8,24,9.9,999.9,   71.6*,66.2, 0.00G,999.9,10000,hk
450070,99999,20170112,63.3,24,55.7,24,9999.9,0,9999.9,0,4.2,24,9.8,24,13,999.9,   69.8*,  57.2*, 0.00G,999.9,10000,hk
450070,99999,20170113,58.4,24,52.5,24,9999.9,0,9999.9,0,5.8,24,6.8,24,14,999.9,   60.8*,  55.4*, 0.00G,999.9,10000,hk
450070,99999,20170114,59.3,24,53.9,24,9999.9,0,9999.9,0,5.6,24,6.7,24,12,999.9,   60.8*,  55.4*, 0.04G,999.9,10000,hk
450070,99999,20170115,58.5,24,53.4,24,9999.9,0,9999.9,0,5.8,24,8.7,24,15,999.9,   60.8*,56.5, 0.08G,999.9,10000,hk
450070,99999,20170116,62.5,24,54.1,24,9999.9,0,9999.9,0,5.8,24,8.7,24,14,999.9,   64.8*,56.3, 0.01G,999.9,10000,hk
450070,99999,20170117,66.8,24,57,24,9999.9,0,9999.9,0,6,24,7.6,24,13,999.9,   69.8*,62.4, 0.01G,999.9,0,hk
450070,99999,20170118,67.4,24,61.8,24,9999.9,0,9999.9,0,3.8,24,4.5,24,11.1,999.9,   69.8*,63.9, 0.00G,999.9,10000,hk
450070,99999,20170119,67.6,24,60.7,24,9999.9,0,9999.9,0,3.9,24,9.2,24,18.1,999.9,   71.6*,  60.8*, 0.00G,999.9,0,hk
450070,99999,20170120,63.1,24,48.1,24,9999.9,0,9999.9,0,6.4,24,11,24,18.1,999.9,   69.8*,  57.2*, 0.00G,999.9,0,hk
450070,99999,20170121,63,24,43.9,24,9999.9,0,9999.9,0,4.7,19,9,24,15,999.9,   66.9*,  57.2*, 0.00G,999.9,0,hk
450070,99999,20170122,62.1,24,42.9,24,9999.9,0,9999.9,0,5.5,10,6.9,24,13.6,999.9,   68.0*,57, 0.00G,999.9,0,hk
450070,99999,20170123,64.3,24,49.4,24,9999.9,0,9999.9,0,5.9,16,9.6,24,17.1,999.9,   69.8*,58.1, 0.00G,999.9,0,hk
450070,99999,20170124,65.3,24,52.3,24,9999.9,0,9999.9,0,5.9,23,9.4,24,17.1,999.9,   70.5*,61, 0.00G,999.9,0,hk
450070,99999,20170125,65.5,24,54.8,24,9999.9,0,9999.9,0,6.1,12,7.5,24,12,999.9,   71.6*,  60.4*, 0.00G,999.9,0,hk
450070,99999,20170126,63.6,24,51.2,24,9999.9,0,9999.9,0,6.2,24,9.4,24,15,999.9,   69.8*,  59.0*, 0.00G,999.9,0,hk
450070,99999,20170127,65.1,24,50.7,24,9999.9,0,9999.9,0,6.4,8,6.5,24,14,999.9,   70.2*,59, 0.00G,999.9,0,hk
450070,99999,20170128,66.6,24,56.3,24,9999.9,0,9999.9,0,6.2,24,11.5,24,18.1,999.9,   69.8*,62.4, 0.00G,999.9,10000,hk
450070,99999,20170129,68.9,24,64.5,24,9999.9,0,9999.9,0,4.1,24,7,24,15,999.9,   71.6*,65.7, 0.00G,999.9,10000,hk
450070,99999,20170130,67.8,24,62.8,24,9999.9,0,9999.9,0,4.3,24,8.9,24,19.4,999.9,   73.4*,  62.6*, 0.06G,999.9,10000,hk
450070,99999,20170131,64.1,24,55.9,24,9999.9,0,9999.9,0,5.5,24,6.4,24,11.7,999.9,   66.7*,  60.8*, 0.00G,999.9,10000,hk
450070,99999,20170201,67.1,24,56.7,24,9999.9,0,9999.9,0,6,23,7.6,24,15,999.9,   73.4*,  62.6*, 0.00G,999.9,10000,hk
450070,99999,20170202,63.7,24,55.1,24,9999.9,0,9999.9,0,6,24,11.1,24,17.1,999.9,   66.2*,  60.8*, 0.00G,999.9,10000,hk
450070,99999,20170203,65.4,24,53.6,24,9999.9,0,9999.9,0,6.3,24,6.1,24,11.1,999.9,   69.8*,60.6, 0.00G,999.9,0,hk
450070,99999,20170204,67.7,24,57.9,24,9999.9,0,9999.9,0,5.7,23,8.7,24,21,25.1,   73.4*,62.8, 0.00G,999.9,10000,hk
