STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
787190,99999,20170101,64,12,52.8,12,1015.4,4,837.3,4,8.8,12,1.3,11,4.1,999.9,   75.2*,  41.0*, 0.00G,999.9,0,hn
787190,99999,20170102,63.9,12,50.3,12,1015.2,4,836.5,4,9,9,1,12,4.1,999.9,   75.2*,  41.0*, 0.00G,999.9,0,hn
787190,99999,20170103,64.9,12,52.7,12,1013.2,5,835.3,5,7.8,12,1.5,12,4.1,999.9,   79.2*,  44.2*, 0.00G,999.9,0,hn
787190,99999,20170104,64.8,12,56.9,12,1012.7,5,835,5,7.8,12,3.4,12,6,999.9,74.8,44.2, 0.00G,999.9,0,hn
787190,99999,20170105,65.1,13,53.8,13,1011.3,5,834.4,5,8.1,13,4.4,12,6,999.9,   73.4*,  51.8*, 0.00G,999.9,0,hn
787190,99999,20170106,65.5,13,53.1,13,1011.6,5,834.2,4,7.3,13,2.3,13,6,999.9,   75.9*,  42.4*, 0.00G,999.9,100000,hn
787190,99999,20170107,62.4,12,54.1,12,1015.1,4,836.5,4,6.8,12,7,12,12,999.9,77.5,41.9, 0.00G,999.9,100000,hn
787190,99999,20170108,58.8,11,55.1,11,1015.3,5,836.8,5,5.9,11,10,11,12,999.9,69.4,44.2, 0.00G,999.9,10000,hn
787190,99999,20170109,54.3,13,50.2,13,1020.9,5,840.4,5,7,13,10.4,13,12,999.9,   57.2*,  50.0*, 0.00G,999.9,0,hn
787190,99999,20170110,57.8,13,48.5,12,1015.3,5,839,5,7.6,13,9.3,13,9.9,999.9,   62.6*,  52.9*, 0.00G,999.9,0,hn
787190,99999,20170111,60.1,12,54.6,11,1015.8,4,837.3,4,8.8,12,4,12,8,999.9,   66.2*,  50.0*, 0.00G,999.9,0,hn
787190,99999,20170112,61.2,13,54.6,13,1015.5,5,837.2,5,7.2,13,4.3,13,6,999.9,   68.0*,  53.6*, 0.00G,999.9,0,hn
787190,99999,20170113,62.3,13,49.9,13,1016.5,4,9999.9,0,6.7,13,5.4,13,8,999.9,   68.0*,  51.8*, 0.00G,999.9,0,hn
787190,99999,20170114,60.9,13,51.4,13,1016,5,837.3,5,6.5,13,11.8,13,15.9,999.9,68.7,51.8, 0.00G,999.9,10000,hn
787190,99999,20170115,60.8,13,54,13,1015,5,836.3,5,6,13,8.4,13,12,999.9,65.8,53.6, 0.00G,999.9,10000,hn
787190,99999,20170116,62.1,13,52.3,13,1013.5,4,835.2,4,7.6,13,3.7,13,6,999.9,   69.8*,  47.8*, 0.00G,999.9,0,hn
787190,99999,20170117,64.7,12,55.4,12,1015.5,5,837.3,5,8.7,12,2.5,12,4.1,999.9,   71.6*,  54.7*, 0.00G,999.9,0,hn
787190,99999,20170118,62.2,10,50.9,10,1016.4,5,837.5,5,9.3,10,3.6,10,6,999.9,72.5,43.7, 0.00G,999.9,0,hn
787190,99999,20170119,68.9,13,53.9,13,1014.2,5,837.1,5,7.9,13,2.4,13,4.1,999.9,   97.9*,  51.8*, 0.00G,999.9,0,hn
787190,99999,20170120,65.7,13,54.4,13,1012.9,5,835.5,4,7.6,13,3.4,13,6,999.9,77,46, 0.00G,999.9,0,hn
787190,99999,20170121,64.3,13,52.5,13,1013.7,4,835.7,4,7.6,13,4.3,13,8,999.9,74.8,46, 0.00G,999.9,0,hn
787190,99999,20170122,65.5,13,54.5,13,9999.9,0,9999.9,0,7.6,13,2.6,13,4.1,999.9,   75.2*,  44.6*, 0.00G,999.9,0,hn
787190,99999,20170123,66.3,12,39.6,12,1012.3,5,835.1,5,8.3,12,9.1,12,15.9,999.9,75.6,45, 0.00G,999.9,0,hn
787190,99999,20170124,64.9,13,41.7,13,1014.6,5,836.2,4,8.6,11,2.8,13,6,999.9,   77.0*,  39.2*, 0.00G,999.9,0,hn
787190,99999,20170125,66.1,13,43.3,13,1014.9,5,835.6,5,7.8,13,2.9,13,6,999.9,   78.8*,9999.9, 0.00G,999.9,100000,hn
787190,99999,20170126,67.3,12,45.6,12,1017,4,9999.9,0,7,12,1.7,12,4.1,999.9,   79.5*,  42.8*, 0.00G,999.9,100000,hn
787190,99999,20170127,65.4,13,52,13,1016.6,5,838.5,5,8.6,13,3.7,13,6,999.9,80.6,39.2, 0.00G,999.9,0,hn
787190,99999,20170128,64.9,13,53,13,1015.8,5,837.5,5,7.6,13,3.3,13,4.1,999.9,73.4,46.4, 0.00G,999.9,0,hn
787190,99999,20170129,63.2,12,55.5,12,1015.1,5,837.4,5,7.8,12,8.3,12,14,999.9,73.4,47.3, 0.00G,999.9,0,hn
787190,99999,20170130,58.8,13,56.7,13,1016.6,4,837.8,5,4.4,13,11.5,13,14,999.9,68.9,54.3, 0.00G,999.9,0,hn
787190,99999,20170131,58.1,12,54.6,12,1017.4,5,837.9,5,4.6,12,7.5,12,12,999.9,62.6,50.4, 0.00G,999.9,0,hn
787190,99999,20170201,65.9,11,54.4,11,1014.3,5,836.4,5,7.1,11,7.5,10,15.5,999.9,   72.0*,  56.5*, 0.00G,999.9,0,hn
787190,99999,20170202,64.5,13,52,12,1013.9,5,836.5,5,7.9,13,6.7,13,9.9,999.9,72.9,50, 0.00G,999.9,0,hn
