STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
787240,99999, 20170101,   88.9,12,   65.4,12, 1011.1, 5, 1005.4, 5,   9.2,12,  12.0,12,  15.9, 999.9,   98.6*,  75.2*, 0.00G,999.9, 000000,
787240,99999, 20170102,   90.1,13,   65.6,13, 1010.7, 5, 1005.0, 5,   8.3,13,  12.0,13,  18.1, 999.9,   98.6 ,  75.2 , 0.00G,999.9, 000000,
787240,99999, 20170103,   88.8,12,   67.6,12, 1010.5, 5, 1004.8, 5,   8.4,12,  17.9,12,  20.0, 999.9,   98.2 ,  78.8 , 0.00G,999.9, 000000,
787240,99999, 20170104,   89.9,12,   67.5,12, 1009.6, 5, 1003.9, 5,   9.3,12,  11.8,12,  15.9, 999.9,   98.2 ,  78.8 , 0.00G,999.9, 000000,
787240,99999, 20170105,   90.3,13,   67.5,13, 1010.1, 5, 1004.4, 5,   8.5,13,  16.9,13,  20.0, 999.9,   98.6*,  80.6*, 0.00G,999.9, 000000,
787240,99999, 20170106,   88.5,13,   67.5,13, 1009.9, 5, 1004.4, 5,   9.8,13,   3.4,13,  14.0, 999.9,   99.3 ,  69.4 , 0.00G,999.9, 000000,
787240,99999, 20170107,   88.6,13,   67.2,13, 1011.4, 5, 1005.7, 5,   9.0,13,  12.4,13,  20.0, 999.9,   98.6 ,  69.4 , 0.00G,999.9, 000000,
787240,99999, 20170108,   89.8,11,   66.6,11, 1012.7, 4, 1007.0, 4,   7.8,11,  15.6,11,  29.9, 999.9,   99.7 ,  69.4 , 0.00G,999.9, 000000,
787240,99999, 20170109,   85.7,13,   63.9,13, 1013.9, 5, 1008.2, 5,   7.9,13,  27.5,13,  35.0, 999.9,   95.4 ,  73.4 , 0.00G,999.9, 000000,
787240,99999, 20170110,   85.3,12,   62.0,12, 1012.7, 5, 1007.0, 5,   9.8,12,  21.7,12,  29.9, 999.9,   91.4*,  75.2*, 0.00G,999.9, 000000,
