STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
128430,99999,20170101,20,24,18.8,24,1026.7,24,1008.5,24,0.4,24,2,24,3.9,999.9,23.4,15.4, 0.00G,999.9,101000,hu
128430,99999,20170102,22.4,24,21.4,24,1020.1,24,1002.2,24,1,24,2.6,23,5.8,999.9,   27.3*,  20.3*, 0.00G,999.9,100000,hu
128430,99999,20170103,32.6,24,24.3,24,1021.8,24,1004.2,24,10.5,24,6.8,24,11.7,999.9,37.6,19.9, 0.00G,999.9,0,hu
128430,99999,20170104,32.1,24,25.4,24,1010.3,24,992.8,24,8.1,24,5.4,24,7.8,999.9,   37.8*,27.3, 0.00G,999.9,1000,hu
128430,99999,20170105,31,24,19,24,1013.7,24,996.2,24,23.8,24,9.8,24,15.5,999.9,   36.5*,  23.0*, 0.00G,0.8,1000,hu
128430,99999,20170106,18.1,24,-0.5,24,1028.7,24,1010.5,24,23.2,24,7.8,24,11.7,999.9,23.5,  10.0*, 0.01G,0.4,0,hu
128430,99999,20170107,10.8,24,-5.1,24,1031.2,24,1012.6,24,17.3,24,5.4,24,7.8,13.6,17.2,6.8, 0.00G,0.4,0,hu
128430,99999,20170108,11.3,24,-5,24,1027.1,24,1008.5,24,11.3,24,4,24,5.8,999.9,22.6,2.1, 0.00G,999.9,0,hu
128430,99999,20170109,17.7,24,7.8,24,1025.1,24,1006.8,24,9.8,24,3.8,24,7.8,999.9,26.8,5.7, 0.00G,999.9,1000,hu
128430,99999,20170110,14.8,24,8.5,24,1024.5,24,1006.2,24,4.2,24,3.6,24,5.8,999.9,20.5,9.7, 0.00H,0.4,1000,hu
128430,99999,20170111,18.3,24,8.6,24,1020.6,24,1002.4,24,5.3,24,3.4,24,5.8,999.9,30.4,11.7, 0.00G,999.9,0,hu
128430,99999,20170112,25.1,24,18.9,24,1014.7,24,997,24,4.6,24,4.4,24,5.8,999.9,36.7,15.3, 0.02G,0.8,11000,hu
128430,99999,20170113,32.4,24,31,24,1002.8,24,985.5,24,2.7,24,4.4,24,8,15.5,34.7,  30.0*, 0.12G,1.2,11000,hu
128430,99999,20170114,35.1,24,27.5,24,1004.2,24,986.9,24,14.8,24,9.1,24,13.6,999.9,38.8,29.8, 0.54G,0.8,1000,hu
128430,99999,20170115,32.1,24,24.3,24,1018.1,24,1000.6,24,15.8,24,5.4,24,9.7,999.9,37.6,  26.2*, 0.00G,0.8,0,hu
128430,99999,20170116,23.2,24,19.4,24,1022.4,24,1004.4,24,4.9,24,4,24,5.8,999.9,28.4,  15.8*, 0.00G,0.8,0,hu
128430,99999,20170117,28.6,24,18.2,24,1026.9,24,1009,24,10.6,24,5.5,24,7.8,999.9,34.9,23.2, 0.00G,0.8,0,hu
128430,99999,20170118,28.1,22,17.3,22,1034.1,22,1016.1,22,7.7,22,4.4,22,5.8,999.9,35.1,  23.7*, 0.00G,0.8,0,hu
128430,99999,20170119,24.9,24,14.7,24,1037.8,24,1019.6,24,6.7,24,3.9,24,5.8,999.9,34.2,  18.3*, 0.00G,0.8,0,hu
128430,99999,20170120,21.3,24,16,24,1038.4,24,1020.1,24,1.8,24,2.5,24,3.9,999.9,33.1,12.2, 0.00G,0.8,0,hu
128430,99999,20170121,21,24,15.8,24,1036.2,24,1017.9,24,1.4,24,2.7,23,3.9,999.9,34,  11.8*, 0.00G,0.8,100000,hu
128430,99999,20170122,23.2,24,17.2,24,1036.2,24,1018,24,1.8,24,3.2,24,5.8,999.9,31.3,14.4, 0.00G,0.8,0,hu
