STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
967450,99999, 20170101,   86.1, 8,   73.4, 8, 1007.7, 8, 1007.2, 8,   4.3, 8,   5.2, 8,   8.0, 999.9,   93.9 ,  79.5 , 0.00I,999.9, 000000,
967450,99999, 20170102,   87.4, 8,   73.2, 8, 1008.3, 8, 1007.8, 8,   4.3, 8,   3.5, 8,   7.0, 999.9,   93.6 ,  81.0 , 0.00I,999.9, 000000,
967450,99999, 20170103,   84.5, 8,   75.2, 8, 1007.4, 8, 1006.9, 8,   4.0, 8,   3.3, 8,  11.1, 999.9,   92.8 ,  78.4*, 1.22A,999.9, 010010,
967450,99999, 20170104,   81.6, 8,   74.4, 8, 1007.8, 8, 1007.3, 8,   3.8, 8,   3.5, 8,   6.0, 999.9,   86.7 ,  77.0 , 0.31A,999.9, 010000,
967450,99999, 20170105,   82.2, 8,   75.4, 8, 1008.0, 8, 1007.5, 8,   4.0, 8,   2.9, 8,   8.0, 999.9,   88.5 ,  76.1*, 1.61A,999.9, 010000,
967450,99999, 20170106,   82.8, 8,   76.3, 8, 1007.1, 8, 1006.6, 8,   3.9, 8,   3.8, 8,   6.0, 999.9,   87.8 ,  77.0 , 0.00I,999.9, 000000,
967450,99999, 20170107,   83.8, 8,   73.8, 8, 1006.8, 8, 1006.3, 8,   4.1, 8,   4.8, 8,   6.0, 999.9,   89.2 ,  79.2 , 0.00I,999.9, 000000,
967450,99999, 20170108,   84.4, 8,   74.4, 8, 1006.8, 8, 1006.3, 8,   4.2, 8,   2.9, 8,   6.0, 999.9,   89.2 ,  79.5 , 0.01A,999.9, 000000,
967450,99999, 20170109,   81.7, 8,   74.1, 8, 1007.5, 8, 1007.0, 8,   3.8, 8,   3.3, 8,   7.0, 999.9,   88.5 ,  77.0 , 0.00B,999.9, 010010,
967450,99999, 20170110,   82.4, 8,   76.1, 8, 1008.3, 8, 1007.9, 8,   4.2, 8,   2.3, 8,   5.1, 999.9,   88.2 ,  76.3 ,99.99 ,999.9, 010000,
967450,99999, 20170111,   81.1, 8,   75.8, 8, 1008.8, 8, 1008.3, 8,   3.9, 8,   2.5, 8,   6.0, 999.9,   88.9 ,  76.3*, 0.67D,999.9, 010000,
967450,99999, 20170112,   82.6, 7,   74.4, 7, 1008.9, 7, 1008.4, 7,   4.0, 7,   4.3, 7,   8.0, 999.9,   91.4 ,  77.0 , 0.00I,999.9, 000000,
967450,99999, 20170113,   83.1, 8,   73.8, 8, 1008.3, 8, 1007.8, 8,   4.0, 8,   5.9, 8,  15.0, 999.9,   87.1*,  77.0 , 0.00I,999.9, 000000,
967450,99999, 20170114,   79.7, 8,   72.1, 8, 1009.9, 8, 1009.3, 8,   3.7, 8,   4.7, 8,   9.9, 999.9,   82.8 ,  78.8*, 0.12A,999.9, 010000,
967450,99999, 20170115,   81.5, 8,   73.8, 8, 1009.3, 8, 1008.8, 8,   4.0, 8,   5.8, 8,   8.0, 999.9,   87.8 ,  77.0 , 0.08A,999.9, 010000,
967450,99999, 20170116,   79.5, 8,   74.3, 8, 1009.4, 8, 1008.9, 8,   4.0, 8,   3.6, 8,   8.0, 999.9,   86.0 ,  77.0*, 1.10A,999.9, 010000,
967450,99999, 20170117,   81.1, 8,   72.7, 8, 1010.4, 8, 1009.9, 8,   4.2, 8,   4.9, 8,   8.0, 999.9,   89.2 ,  75.2 , 0.00B,999.9, 010000,
967450,99999, 20170118,   83.2, 7,   72.6, 7, 1011.3, 7, 1010.8, 7,   4.1, 7,   2.7, 7,   8.0, 999.9,   88.2*,  76.6 , 0.00I,999.9, 000000,
967450,99999, 20170119,   84.0, 8,   72.4, 8, 1010.6, 8, 1010.1, 8,   4.1, 8,   7.0, 8,  11.1, 999.9,   91.4 ,  77.0 , 0.00I,999.9, 000000,
967450,99999, 20170120,   85.1, 8,   71.7, 8, 1009.7, 8, 1009.2, 8,   4.3, 8,   5.0, 8,  15.0, 999.9,   93.9 ,  79.5 , 0.00I,999.9, 000000,
967450,99999, 20170121,   84.3, 8,   75.2, 8, 1011.0, 8, 1010.5, 8,   4.3, 8,   3.5, 8,   8.9, 999.9,   89.2 ,  77.0 , 0.00I,999.9, 000000,
967450,99999, 20170122,   82.3, 8,   74.2, 8, 1011.8, 8, 1011.3, 8,   4.3, 8,   5.2, 8,  12.0, 999.9,   87.4 ,  78.8 , 0.00I,999.9, 000000,
967450,99999, 20170123,   84.8, 8,   74.2, 8, 1010.3, 8, 1009.8, 8,   4.3, 8,   6.0, 8,   8.9, 999.9,   93.2 ,  78.8 , 0.00I,999.9, 000000,
967450,99999, 20170124,   83.1, 8,   74.2, 8, 1011.1, 8, 1010.6, 8,   4.1, 8,   4.5, 8,   8.0, 999.9,   90.0*,  79.9*, 0.00I,999.9, 000010,
967450,99999, 20170125,   83.4, 8,   73.5, 8, 1011.1, 8, 1010.6, 8,   4.3, 8,   4.2, 8,  13.0, 999.9,   89.6 ,  75.6*, 0.00H,999.9, 010000,
967450,99999, 20170126,   82.4, 8,   74.4, 8, 1010.8, 8, 1010.3, 8,   4.0, 8,   3.6, 8,   8.9, 999.9,   85.3*,  75.6 , 0.00B,999.9, 010000,
967450,99999, 20170127,   82.1, 8,   73.8, 8, 1009.7, 8, 1009.2, 8,   4.0, 8,   3.9, 8,   7.0, 999.9,   87.8 ,  77.4 , 0.28A,999.9, 010000,
967450,99999, 20170128,   80.7, 8,   75.0, 8, 1009.8, 8, 1009.3, 8,   4.0, 8,   3.8, 8,   8.9, 999.9,   84.6 ,  77.0*, 0.51C,999.9, 010000,
967450,99999, 20170129,   80.6, 8,   73.4, 8, 1010.4, 8, 1009.9, 8,   4.0, 8,   3.4, 8,   7.0, 999.9,   84.6 ,  76.6 , 0.00B,999.9, 010000,
967450,99999, 20170130,   81.1, 8,   74.4, 8, 1008.8, 8, 1008.3, 8,   4.3, 8,   3.0, 8,   6.0, 999.9,   87.4 ,  77.4 ,99.99 ,999.9, 010000,
967450,99999, 20170131,   79.4, 8,   74.4, 8, 1009.7, 8, 1009.2, 8,   3.9, 8,   2.5, 8,   6.0, 999.9,   84.2 ,  76.3*, 0.36B,999.9, 010000,
967450,99999, 20170201,   78.9, 8,   73.8, 8, 1011.1, 8, 1010.6, 8,   4.0, 8,   1.9, 8,   8.0, 999.9,   85.3 ,  75.9 , 0.20A,999.9, 010000,
967450,99999, 20170202,   79.9, 8,   73.4, 8, 1011.1, 8, 1010.6, 8,   4.0, 8,   1.7, 8,   5.1, 999.9,   86.7 ,  76.6 , 0.02B,999.9, 010000,
967450,99999, 20170203,   79.6, 8,   73.1, 8, 1009.8, 8, 1009.2, 8,   3.9, 8,   3.9, 8,   7.0, 999.9,   84.9*,  75.9*, 1.07B,999.9, 010000,
967450,99999, 20170204,   82.2, 8,   73.1, 8, 1008.6, 8, 1008.1, 8,   3.9, 8,   7.9, 8,  15.0, 999.9,   89.6 ,  75.6 , 0.00D,999.9, 010000,
967450,99999, 20170205,   83.1, 8,   73.6, 8, 1008.1, 8, 1007.6, 8,   4.2, 8,   5.5, 8,   8.0, 999.9,   90.3 ,  77.0 , 0.16A,999.9, 010000,
967450,99999, 20170206,   83.0, 8,   73.6, 8, 1008.2, 8, 1007.7, 8,   4.0, 8,   4.5, 8,   7.0, 999.9,   88.9 ,  78.6 , 0.12A,999.9, 010000,
967450,99999, 20170207,   83.2, 8,   72.6, 8, 1008.7, 8, 1008.2, 8,   4.0, 8,   2.9, 8,   8.0, 999.9,   88.9 ,  78.8*, 0.00I,999.9, 000000,
967450,99999, 20170208,   82.2, 8,   72.9, 7, 1008.9, 8, 1008.4, 8,   4.0, 8,   6.5, 8,  12.0, 999.9,   89.2 ,  71.8*, 0.00I,999.9, 000000,
967450,99999, 20170209,   80.3, 8,   73.8, 8, 1008.6, 8, 1008.1, 8,   4.0, 8,   4.8, 8,   8.0, 999.9,   84.9 ,  78.1*, 0.07C,999.9, 010010,
967450,99999, 20170210,   79.9, 8,   74.3, 8, 1009.1, 8, 1008.6, 8,   3.9, 8,   2.9, 8,   6.0, 999.9,   84.2 ,  76.8*, 0.03A,999.9, 010000,
967450,99999, 20170211,   79.0, 8,   74.7, 8, 1011.1, 8, 1010.6, 8,   3.7, 8,   3.9, 8,  11.1, 999.9,   83.8 ,  75.6 , 0.75B,999.9, 010000,
967450,99999, 20170212,   80.1, 8,   74.9, 8, 1012.4, 8, 1011.9, 8,   3.8, 8,   3.9, 8,   9.9, 999.9,   85.6*,  75.6*, 0.83B,999.9, 010000,
967450,99999, 20170213,   81.9, 8,   75.2, 8, 1012.4, 8, 1011.9, 8,   4.0, 8,   4.3, 8,  12.0, 999.9,   87.1 ,  75.6 , 0.02A,999.9, 010000,
