STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
039690,99999, 20170101,   39.2,24,   34.4,24, 9999.9, 0, 9999.9, 0,   6.6,24,  12.4,24,  18.1,  22.9,   41.5 ,  34.9*, 0.20F,999.9, 010000,
039690,99999, 20170102,   35.4,24,   30.7,24, 9999.9, 0, 9999.9, 0,   6.6,24,   8.8,24,  15.5, 999.9,   41.2*,  29.3*, 0.00F,999.9, 010000,
039690,99999, 20170103,   36.9,24,   33.9,24, 9999.9, 0, 9999.9, 0,   6.9,24,  11.6,24,  15.9, 999.9,   41.2 ,  30.0 , 0.00F,999.9, 010000,
039690,99999, 20170104,   39.4,24,   37.7,24, 9999.9, 0, 9999.9, 0,   6.1,24,   8.3,24,  13.0, 999.9,   43.3 ,  32.0*, 0.00F,999.9, 010000,
039690,99999, 20170105,   40.9,24,   36.3,24, 9999.9, 0, 9999.9, 0,   6.4,24,   5.1,24,  13.0, 999.9,   45.3 ,  32.2 , 0.00F,999.9, 000000,
039690,99999, 20170106,   49.8,24,   47.5,24, 9999.9, 0, 9999.9, 0,   6.0,24,   9.9,24,  14.0, 999.9,   53.6*,  39.6 , 0.17F,999.9, 010000,
039690,99999, 20170107,   48.7,24,   47.0,24, 9999.9, 0, 9999.9, 0,   6.4,24,   5.4,24,   9.7, 999.9,   50.7 ,  46.0*, 0.00F,999.9, 010000,
039690,99999, 20170108,   49.0,24,   46.8,24, 9999.9, 0, 9999.9, 0,   5.7,24,   7.8,24,  18.1, 999.9,   51.8*,  45.3 , 0.00F,999.9, 010000,
039690,99999, 20170109,   44.5,24,   39.7,24, 9999.9, 0, 9999.9, 0,   6.7,24,  17.1,24,  22.0,  32.1,   50.0*,  39.9*, 0.07F,999.9, 010000,
039690,99999, 20170110,   45.6,24,   41.5,24, 9999.9, 0, 9999.9, 0,   6.3,24,  16.5,24,  24.1, 999.9,   51.8*,  39.9 , 0.00F,999.9, 010000,
039690,99999, 20170111,   44.5,24,   36.0,24, 9999.9, 0, 9999.9, 0,   6.3,24,  21.8,24,  28.0,  39.0,   51.8*,  39.2*, 0.00F,999.9, 010000,
039690,99999, 20170112,   36.4,24,   32.7,24, 9999.9, 0, 9999.9, 0,   6.4,24,  15.6,24,  22.0,  35.0,   41.0*,  32.0*, 0.04F,999.9, 011000,
039690,99999, 20170113,   33.8,24,   29.9,24, 9999.9, 0, 9999.9, 0,   6.8,21,  14.9,24,  19.4, 999.9,   38.1 ,  31.8 , 0.03F,999.9, 011000,
039690,99999, 20170114,   38.5,24,   35.9,24, 9999.9, 0, 9999.9, 0,   6.7,24,  13.1,24,  18.1, 999.9,   44.6*,  32.7 , 0.00F,999.9, 010000,
039690,99999, 20170115,   46.6,24,   44.6,24, 9999.9, 0, 9999.9, 0,   6.5,24,  15.7,24,  21.4, 999.9,   50.4 ,  39.6 , 0.00F,999.9, 010000,
039690,99999, 20170116,   48.1,24,   45.6,24, 9999.9, 0, 9999.9, 0,   6.2,24,   8.1,24,  15.9, 999.9,   50.0 ,  46.2 , 0.00F,999.9, 010000,
039690,99999, 20170117,   48.1,24,   46.1,24, 9999.9, 0, 9999.9, 0,   5.3,24,   5.2,24,   9.9, 999.9,   50.0 ,  46.4*, 0.00F,999.9, 010000,
039690,99999, 20170118,   46.7,24,   40.1,24, 9999.9, 0, 9999.9, 0,   8.0,24,   5.0,24,   7.8, 999.9,   49.1 ,  44.6 , 0.00F,999.9, 010000,
039690,99999, 20170119,   44.7,24,   40.0,24, 9999.9, 0, 9999.9, 0,   6.7,24,   3.9,24,   7.0, 999.9,   46.4*,  44.2*, 0.00F,999.9, 010000,
039690,99999, 20170120,   43.1,24,   38.1,24, 9999.9, 0, 9999.9, 0,   6.0,24,   7.0,24,  11.7, 999.9,   47.3 ,  35.1*, 0.00F,999.9, 010000,
039690,99999, 20170121,   32.5,24,   27.0,24, 9999.9, 0, 9999.9, 0,   6.7,24,   3.3,24,   8.9, 999.9,   39.7 ,  23.0*, 0.00F,999.9, 000000,
039690,99999, 20170122,   34.1,24,   29.5,24, 9999.9, 0, 9999.9, 0,   6.4,23,   2.2,24,   5.8, 999.9,   42.1 ,  26.4 , 0.00F,999.9, 000000,
039690,99999, 20170123,   42.2,24,   36.4,24, 9999.9, 0, 9999.9, 0,   6.3,24,   5.7,24,  14.0, 999.9,   51.8*,  27.3 , 0.00F,999.9, 000000,
039690,99999, 20170124,   49.4,24,   44.4,24, 9999.9, 0, 9999.9, 0,   6.5,24,  12.1,24,  17.5,  27.0,   53.6*,  41.4 , 0.00F,999.9, 010000,
