STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
267300,99999, 20170101,   34.7,24,   34.6,24, 9999.9, 0, 9999.9, 0,   2.4,24,  10.2,24,  14.0, 999.9,   36.1*,  32.9 , 0.00F,999.9, 010000,
267300,99999, 20170102,   32.9,24,   31.0,24, 9999.9, 0, 9999.9, 0,   5.1,24,   9.9,24,  15.0,  24.1,   35.6*,  28.4*, 0.20F,  0.4, 011000,
267300,99999, 20170103,   28.2,24,   24.1,24, 9999.9, 0, 9999.9, 0,   5.9,24,   9.3,24,  15.0, 999.9,   30.2*,  26.6*, 0.04F,  0.4, 001000,
267300,99999, 20170104,   29.2,24,   27.9,24, 9999.9, 0, 9999.9, 0,   3.7,24,  10.1,24,  20.0, 999.9,   33.1 ,  15.8*, 0.29F,  2.8, 011000,
267300,99999, 20170105,    5.7,24,   -0.6,24, 9999.9, 0, 9999.9, 0,   5.7,19,  17.1,24,  22.0, 999.9,   15.8*,  -2.2*, 0.00F,  2.4, 001000,
267300,99999, 20170106,   -2.1,24,   -8.0,24, 9999.9, 0, 9999.9, 0,   7.0, 8,  10.6,24,  14.0, 999.9,    1.8 ,  -5.8*, 0.00I,  2.4, 000000,
267300,99999, 20170107,   -5.8,24,  -10.5,24, 9999.9, 0, 9999.9, 0,   2.9,21,   3.7,24,   8.0, 999.9,    5.4 , -10.3 ,99.99 ,  2.4, 101000,
267300,99999, 20170108,   11.0,24,    6.0,24, 9999.9, 0, 9999.9, 0,   4.2,24,   2.0,24,   4.1, 999.9,   18.3*,  -6.7 , 0.00F,  2.4, 001000,
267300,99999, 20170109,   17.5,24,   15.7,24, 9999.9, 0, 9999.9, 0,   2.0,24,   4.9,24,   8.0, 999.9,   22.3 ,  12.2*, 0.00F,  2.4, 101000,
267300,99999, 20170110,   12.4,24,    9.6,24, 9999.9, 0, 9999.9, 0,   5.1,18,   5.9,24,  11.1, 999.9,   17.6*,   5.0*, 0.00I,  2.4, 000000,
267300,99999, 20170111,   17.0,24,   13.8,24, 9999.9, 0, 9999.9, 0,   5.0,15,  11.8,24,  15.9, 999.9,   20.8 ,  14.0*, 0.00I,  2.4, 000000,
267300,99999, 20170112,   22.2,24,   19.2,24, 9999.9, 0, 9999.9, 0,   4.3,24,  12.2,24,  18.1, 999.9,   32.0*,  15.6 , 0.08E,  2.4, 011000,
267300,99999, 20170113,   31.5,24,   29.3,24, 9999.9, 0, 9999.9, 0,   4.7,24,  12.6,24,  15.9,  26.0,   33.1 ,  22.5 , 0.09F,  2.8, 011000,
267300,99999, 20170114,   31.2,24,   29.6,24, 9999.9, 0, 9999.9, 0,   2.8,24,   7.1,24,  12.0, 999.9,   32.4 ,  26.6*, 0.16F,  3.1, 011000,
267300,99999, 20170115,   27.7,24,   26.1,24, 9999.9, 0, 9999.9, 0,   5.2,24,   7.0,24,  11.1, 999.9,   31.1 ,  24.8*, 0.08F,  4.3, 001000,
267300,99999, 20170116,   22.7,24,   21.0,24, 9999.9, 0, 9999.9, 0,   2.5,24,   5.2,24,   8.9, 999.9,   25.0*,  21.0*,99.99 ,  4.3, 101000,
267300,99999, 20170117,   22.9,24,   22.0,24, 9999.9, 0, 9999.9, 0,   3.2,24,   2.3,24,   5.8, 999.9,   27.3 ,  20.5 , 0.00F,  4.3, 100000,
267300,99999, 20170118,   18.5,23,   16.5,23, 9999.9, 0, 9999.9, 0,   2.6,23,   6.7,22,  12.0, 999.9,   25.9 ,  12.2*, 0.00I,  4.3, 100000,
267300,99999, 20170119,   23.6,24,   22.0,24, 9999.9, 0, 9999.9, 0,   2.0,24,  10.8,24,  14.0,  22.0,   28.4*,  17.2 , 0.04F,  4.7, 011000,
267300,99999, 20170120,   32.5,24,   32.3,24, 9999.9, 0, 9999.9, 0,   2.4,24,   7.6,24,  12.0, 999.9,   34.7 ,  24.8 , 0.04F,  4.7, 010000,
267300,99999, 20170121,   32.5,24,   32.1,24, 9999.9, 0, 9999.9, 0,   2.5,24,   7.4,24,  13.0, 999.9,   33.8*,  30.2*, 0.02E,  3.1, 110000,
267300,99999, 20170122,   30.3,24,   30.3,24, 9999.9, 0, 9999.9, 0,   1.1,24,   7.0,24,   9.9, 999.9,   32.0*,  28.4*,99.99 ,  2.0, 110000,
267300,99999, 20170123,   28.5,24,   27.7,24, 9999.9, 0, 9999.9, 0,   2.4,24,   9.1,24,  12.0, 999.9,   30.2*,  28.0*,99.99 ,  2.0, 011000,
267300,99999, 20170124,   31.4,24,   30.0,24, 9999.9, 0, 9999.9, 0,   4.3,24,   8.4,24,  12.0, 999.9,   33.8 ,  27.7 , 0.03E,  2.4, 011000,
267300,99999, 20170125,   21.1,24,   14.9,24, 9999.9, 0, 9999.9, 0,   3.8,14,   5.0,24,  12.0, 999.9,   30.2*,   8.6*, 0.01E,  2.0, 001000,
267300,99999, 20170126,   18.4,24,   15.3,24, 9999.9, 0, 9999.9, 0,   3.1,18,   7.4,24,  14.0, 999.9,   32.0*,   5.0*, 0.04E,  2.0, 011000,
267300,99999, 20170127,   31.5,24,   31.4,24, 9999.9, 0, 9999.9, 0,   1.7,24,   4.9,24,   9.9, 999.9,   32.7 ,  25.2 , 0.06F,  2.4, 110000,
267300,99999, 20170128,   32.1,24,   32.1,24, 9999.9, 0, 9999.9, 0,   2.1,24,   3.2,24,   7.0, 999.9,   34.0 ,  30.2*, 0.00E,  1.6, 110000,
267300,99999, 20170129,   29.9,24,   27.8,24, 9999.9, 0, 9999.9, 0,   5.9,24,  12.3,24,  17.1, 999.9,   31.3 ,  28.4*, 0.00I,  1.6, 000000,
267300,99999, 20170130,   26.3,24,   22.6,24, 9999.9, 0, 9999.9, 0,   6.4,24,  11.7,24,  17.1, 999.9,   28.6*,  24.8*, 0.00I,  1.6, 000000,
267300,99999, 20170131,   22.3,24,   19.5,24, 9999.9, 0, 9999.9, 0,   5.5,24,   5.9,24,   8.9, 999.9,   25.7*,  19.4*, 0.00I,  1.6, 000000,
267300,99999, 20170201,   21.3,24,   19.7,24, 9999.9, 0, 9999.9, 0,   1.8,24,   4.3,24,   7.0, 999.9,   23.7*,  19.4*,99.99 ,  1.6, 101000,
267300,99999, 20170202,   26.0,24,   22.3,24, 9999.9, 0, 9999.9, 0,   5.7,24,   8.6,24,  12.0, 999.9,   29.7 ,  22.8 ,99.99 ,  1.6, 001000,
267300,99999, 20170203,   26.9,24,   23.2,24, 9999.9, 0, 9999.9, 0,   5.4,24,   5.4,24,  11.1, 999.9,   29.5 ,  26.6 , 0.00E,  1.6, 000000,
267300,99999, 20170204,   28.4,24,   23.0,24, 9999.9, 0, 9999.9, 0,   5.2,18,   2.2,24,   5.1, 999.9,   36.0 ,  24.8 , 0.00I,  1.6, 000000,
267300,99999, 20170205,   27.6,24,   21.1,24, 9999.9, 0, 9999.9, 0,   6.1, 9,   5.3,24,   9.9, 999.9,   33.1 ,  23.0*, 0.00I,  1.6, 000000,
267300,99999, 20170206,   18.4,24,   12.3,24, 9999.9, 0, 9999.9, 0,   6.0,21,   9.6,24,  13.0, 999.9,   24.3*,  14.0*, 0.01E,  1.6, 001000,
267300,99999, 20170207,   11.0,24,   -1.7,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.0,24,  13.0, 999.9,   17.6 ,   3.2*, 0.00E,  1.6, 001000,
267300,99999, 20170208,    8.7,24,   -3.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.7,24,   9.9, 999.9,   16.2 ,   1.4*, 0.00I,  1.6, 000000,
267300,99999, 20170209,   14.9,24,   -1.8,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.2,24,   8.9, 999.9,   24.8*,   5.0*, 0.00I,  1.6, 000000,
267300,99999, 20170210,   17.8,24,    9.7,24, 9999.9, 0, 9999.9, 0,   6.1,19,   4.2,24,   7.0, 999.9,   30.0 ,   3.4 , 0.00I,  1.6, 000000,
267300,99999, 20170211,   22.7,24,   18.9,24, 9999.9, 0, 9999.9, 0,   6.2,24,   6.0,24,   9.9, 999.9,   25.0 ,  21.2*, 0.00E,  1.6, 000000,
267300,99999, 20170212,   19.3,24,   17.2,24, 9999.9, 0, 9999.9, 0,   4.7,24,   2.6,24,   6.0, 999.9,   21.9 ,  17.6*,99.99 ,  1.6, 001000,
267300,99999, 20170213,   19.9,24,   17.1,24, 9999.9, 0, 9999.9, 0,   3.4,20,   7.0,24,  15.0, 999.9,   23.9 ,  16.9 , 0.00I,  1.6, 000000,
267300,99999, 20170214,   31.6,24,   28.3,24, 9999.9, 0, 9999.9, 0,   4.7,14,   9.2,24,  12.0, 999.9,   40.3 ,  20.1 , 0.00I,  1.6, 000000,
267300,99999, 20170215,   30.5,24,   28.4,24, 9999.9, 0, 9999.9, 0,   1.5,19,   3.1,24,   7.0, 999.9,   37.9 ,  26.6*,99.99 ,  1.2, 101000,
267300,99999, 20170216,   27.7,24,   27.2,24, 9999.9, 0, 9999.9, 0,   1.3,24,   8.1,24,  11.1, 999.9,   32.5 ,  24.8*,99.99 ,  0.8, 101000,
267300,99999, 20170217,   33.5,24,   32.7,24, 9999.9, 0, 9999.9, 0,   2.0,24,   7.1,24,   9.9, 999.9,   37.4*,  25.3 ,99.99 ,  0.8, 110000,
267300,99999, 20170218,   33.8,24,   33.2,24, 9999.9, 0, 9999.9, 0,   4.1,24,   5.8,24,  12.0, 999.9,   35.6*,  32.0*, 0.01E,  0.4, 110000,
267300,99999, 20170219,   33.2,24,   31.2,24, 9999.9, 0, 9999.9, 0,   4.8,24,  12.5,24,  17.1, 999.9,   34.3 ,  32.0*, 0.02E,  0.4, 011000,
267300,99999, 20170220,   35.1,24,   33.6,24, 9999.9, 0, 9999.9, 0,   3.4,24,  15.4,24,  21.0, 999.9,   37.4*,  32.7 , 0.04F,  0.4, 010000,
267300,99999, 20170221,   38.0,24,   36.9,24, 9999.9, 0, 9999.9, 0,   4.7,24,  13.1,24,  17.1,  27.0,   41.0*,  32.0*, 0.39F,999.9, 010000,
267300,99999, 20170222,   30.8,24,   28.2,24, 9999.9, 0, 9999.9, 0,   4.5,24,  10.8,24,  18.1, 999.9,   35.6*,  26.6*, 0.17F,  0.4, 011000,
267300,99999, 20170223,   35.2,24,   33.5,24, 9999.9, 0, 9999.9, 0,   6.3,24,  11.1,24,  17.1, 999.9,   38.5 ,  32.7 , 0.12F,  0.4, 011000,
267300,99999, 20170224,   31.9,24,   29.5,24, 9999.9, 0, 9999.9, 0,   4.0,20,   9.6,24,  15.9, 999.9,   38.8 ,  24.8*, 0.47F,  0.4, 011000,
267300,99999, 20170225,   29.1,24,   22.1,24, 9999.9, 0, 9999.9, 0,   6.5,20,  10.5,24,  19.0,  27.0,   34.2 ,  23.0*, 0.02F,999.9, 011000,
267300,99999, 20170226,   32.5,24,   31.1,24, 9999.9, 0, 9999.9, 0,   3.7,23,  12.0,24,  15.9, 999.9,   37.4*,  24.8*, 0.07F,  0.4, 011000,
267300,99999, 20170227,   40.3,24,   39.8,24, 9999.9, 0, 9999.9, 0,   3.9,24,   7.9,24,  11.1, 999.9,   43.9 ,  35.8 , 0.04F,999.9, 010000,
267300,99999, 20170228,   42.9,24,   36.6,24, 9999.9, 0, 9999.9, 0,   6.1, 9,  10.9,24,  15.0, 999.9,   51.4 ,  36.0 , 0.00I,999.9, 000000,
267300,99999, 20170301,   40.4,24,   37.6,24, 9999.9, 0, 9999.9, 0,   5.4,21,   7.8,24,  13.0, 999.9,   44.6*,  33.8*, 0.02E,999.9, 010000,
267300,99999, 20170302,   37.2,24,   33.4,24, 9999.9, 0, 9999.9, 0,   6.0,24,   8.9,24,  17.1,  21.0,   47.5 ,  28.4*, 0.08E,999.9, 010000,
267300,99999, 20170303,   35.4,24,   32.9,24, 9999.9, 0, 9999.9, 0,   5.7,24,  10.9,24,  15.9,  25.1,   40.5 ,  32.0*, 0.37F,999.9, 010000,
267300,99999, 20170304,   38.7,24,   31.7,24, 9999.9, 0, 9999.9, 0,   6.2, 5,   8.6,24,  12.0, 999.9,   46.4*,  32.0*, 0.00E,999.9, 000000,
267300,99999, 20170305,   39.2,24,   34.0,24, 9999.9, 0, 9999.9, 0,   4.3,11,   3.8,24,   7.0, 999.9,   46.4*,  33.8 , 0.01E,999.9, 110000,
267300,99999, 20170306,   34.1,24,   33.9,24, 9999.9, 0, 9999.9, 0,   4.2,24,   7.9,24,  15.0, 999.9,   39.2*,  32.0*, 0.35E,999.9, 110000,
267300,99999, 20170307,   36.0,24,   34.6,24, 9999.9, 0, 9999.9, 0,   5.7,24,   5.0,24,   8.9, 999.9,   41.0*,  32.0*, 0.03F,999.9, 010000,
267300,99999, 20170308,   36.9,24,   32.6,24, 9999.9, 0, 9999.9, 0,   5.1,24,   4.3,24,  11.1, 999.9,   46.0 ,  32.0*, 0.00E,999.9, 010000,
267300,99999, 20170309,   38.7,24,   38.7,24, 9999.9, 0, 9999.9, 0,   1.9,24,   3.1,24,   6.0, 999.9,   42.8 ,  32.7 , 0.08F,999.9, 110000,
267300,99999, 20170310,   36.8,24,   34.2,24, 9999.9, 0, 9999.9, 0,   5.3,24,   5.0,24,   8.0, 999.9,   42.8 ,  28.4*, 0.28F,999.9, 010000,
267300,99999, 20170311,   34.7,24,   33.4,24, 9999.9, 0, 9999.9, 0,   3.0,24,   3.9,24,   7.0, 999.9,   39.2*,  30.2*, 0.02E,999.9, 110000,
