STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
486500,99999,20170101,80.6,24,74.4,24,9999.9,0,9999.9,0,6.2,24,3.9,24,12,999.9,90.9,75.2, 1.17G,999.9,10000,my
486500,99999,20170102,79.4,24,75.9,24,9999.9,0,9999.9,0,5.6,24,2.5,24,7,999.9,86.4,75.6, 0.05G,999.9,10010,my
486500,99999,20170103,80.3,24,74.7,24,9999.9,0,9999.9,0,5.6,24,3.8,24,9.9,999.9,89.8,  72.9*, 0.12G,999.9,10010,my
486500,99999,20170104,81.7,24,73.6,24,9999.9,0,9999.9,0,6.2,24,2.2,24,5.1,999.9,   86.2*,72.7, 1.02G,999.9,0,my
486500,99999,20170105,82.3,24,73.4,24,9999.9,0,9999.9,0,6.2,24,2.8,24,6,999.9,88.2,73.9, 0.00G,999.9,10000,my
486500,99999,20170106,84.7,24,74.1,24,9999.9,0,9999.9,0,6.2,24,3.9,24,7,999.9,92.1,77.9, 0.00G,999.9,0,my
486500,99999,20170107,83.8,24,73.5,24,9999.9,0,9999.9,0,6.2,24,3.8,24,9.9,999.9,90.7,78.3, 0.00G,999.9,0,my
486500,99999,20170108,84.3,24,73.2,24,9999.9,0,9999.9,0,6.2,24,2.8,24,8,999.9,92.1,  77.0*, 0.00G,999.9,0,my
486500,99999,20170109,83.7,24,74.8,24,9999.9,0,9999.9,0,6,24,2.3,24,8,18.1,93.9,76.1, 0.00G,999.9,0,my
486500,99999,20170110,84.2,24,75.4,24,9999.9,0,9999.9,0,6.1,24,2.5,24,8,999.9,   93.2*,76.8, 0.00G,999.9,0,my
486500,99999,20170111,83.9,24,72.9,24,9999.9,0,9999.9,0,6.2,24,3.1,24,6,999.9,   91.9*,  75.2*, 0.00G,999.9,0,my
