STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
85360,99999,20170101,45.9,24,42.6,24,9999.9,0,9999.9,0,6.1,22,5.9,24,9.9,17.1,   50.0*,  42.8*, 0.00I,999.9,0,pt
85360,99999,20170102,53.4,24,50.8,24,9999.9,0,9999.9,0,5.7,24,10.9,24,19,28.9,   59.0*,  46.4*,99.99,999.9,10000,pt
85360,99999,20170103,60.1,24,57.9,24,9999.9,0,9999.9,0,5.6,24,8.7,24,14,999.9,   64.4*,  55.4*,99.99,999.9,110000,pt
85360,99999,20170104,55.4,24,55.2,24,9999.9,0,9999.9,0,2,24,4.1,24,6,999.9,   59.0*,  53.6*, 0.00I,999.9,100000,pt
85360,99999,20170105,50.8,24,50.8,24,9999.9,0,9999.9,0,0.2,24,3.6,24,6,999.9,   53.6*,  48.2*,99.99,999.9,110000,pt
85360,99999,20170106,49.9,24,48.1,24,9999.9,0,9999.9,0,2.3,18,6.2,24,8.9,17.1,   55.4*,  46.4*,99.99,999.9,110000,pt
85360,99999,20170107,48.8,24,44.2,24,9999.9,0,9999.9,0,6.2,8,4.3,24,8.9,999.9,   57.2*,  41.0*, 0.00I,999.9,0,pt
85360,99999,20170108,47.3,24,42,24,9999.9,0,9999.9,0,999.9,0,4,24,7,999.9,   55.4*,  39.2*, 0.00I,999.9,0,pt
85360,99999,20170109,50,24,38.9,24,9999.9,0,9999.9,0,999.9,0,5.2,24,12,999.9,   62.6*,  37.4*, 0.00I,999.9,0,pt
85360,99999,20170110,55.6,24,49.4,24,9999.9,0,9999.9,0,6.2,22,13.4,24,19,25.1,   59.0*,  51.8*, 0.00I,999.9,0,pt
85360,99999,20170111,57.4,24,50.5,24,9999.9,0,9999.9,0,6.2,12,10.5,24,20,999.9,   64.4*,  53.6*, 0.00I,999.9,0,pt
85360,99999,20170112,52.1,24,49.9,24,9999.9,0,9999.9,0,3.4,22,3.3,24,9.9,999.9,   59.0*,  46.4*, 0.00I,999.9,100000,pt
85360,99999,20170113,51.9,24,43.5,24,9999.9,0,9999.9,0,6.2,20,10,24,18.1,24.1,   55.4*,  48.2*, 0.00I,999.9,0,pt
85360,99999,20170114,48.3,24,35.5,24,9999.9,0,9999.9,0,999.9,0,8.4,24,12,999.9,   55.4*,  44.6*, 0.00I,999.9,0,pt
85360,99999,20170115,47.1,24,36.3,24,9999.9,0,9999.9,0,999.9,0,5.1,24,12,21,   57.2*,  39.2*, 0.00I,999.9,0,pt
85360,99999,20170116,48.8,24,39.4,24,9999.9,0,9999.9,0,999.9,0,5.3,24,12,999.9,   62.6*,  37.4*, 0.00I,999.9,0,pt
85360,99999,20170117,51,24,42.6,24,9999.9,0,9999.9,0,6.2,5,4.8,24,11.1,999.9,   62.6*,  39.2*, 0.00I,999.9,100000,pt
85360,99999,20170118,43.9,24,22.9,24,9999.9,0,9999.9,0,999.9,0,9.8,24,15.9,25.1,   51.8*,  37.4*, 0.00I,999.9,0,pt
85360,99999,20170119,41.2,24,23.4,24,9999.9,0,9999.9,0,999.9,0,7,24,11.1,999.9,   50.0*,  35.6*, 0.00I,999.9,0,pt
85360,99999,20170120,42.6,24,32.9,24,9999.9,0,9999.9,0,6.2,4,4.3,24,9.9,15.9,   51.8*,  33.8*, 0.00I,999.9,100000,pt
85360,99999,20170121,47.9,24,37.5,24,9999.9,0,9999.9,0,999.9,0,4.5,24,7,21,   57.2*,  37.4*, 0.00I,999.9,0,pt
85360,99999,20170122,49.2,24,41.4,24,9999.9,0,9999.9,0,6.2,15,5.6,24,12,999.9,   57.2*,  41.0*, 0.00I,999.9,0,pt
85360,99999,20170123,50.8,24,37,24,9999.9,0,9999.9,0,6.2,5,8.4,24,13,999.9,   57.2*,  44.6*, 0.00I,999.9,0,pt
85360,99999,20170124,50.5,24,40.9,24,9999.9,0,9999.9,0,6.2,4,5.6,24,9.9,17.1,   57.2*,  42.8*, 0.00I,999.9,0,pt
85360,99999,20170125,45.3,24,41.4,24,9999.9,0,9999.9,0,4.7,20,3.7,24,9.9,999.9,   55.4*,  33.8*, 0.00I,999.9,100000,pt
85360,99999,20170126,54,24,52.1,24,9999.9,0,9999.9,0,5.5,24,8.6,24,17.1,25.1,   55.4*,  51.8*,99.99,999.9,10000,pt
85360,99999,20170127,51.6,24,44.3,24,9999.9,0,9999.9,0,6.2,24,9.3,24,15.9,28,   55.4*,  48.2*,99.99,999.9,10000,pt
85360,99999,20170128,51.8,24,48.5,24,9999.9,0,9999.9,0,5.6,22,5.6,24,11.1,999.9,   59.0*,  44.6*,99.99,999.9,10000,pt
85360,99999,20170129,57.1,24,55.6,24,9999.9,0,9999.9,0,6.1,24,8.9,24,14,999.9,   60.8*,  53.6*,99.99,999.9,10000,pt
85360,99999,20170130,56.5,24,53.5,24,9999.9,0,9999.9,0,6.1,24,8.2,24,15,24.1,   59.0*,  53.6*,99.99,999.9,110000,pt
85360,99999,20170131,53,24,51.8,24,9999.9,0,9999.9,0,3.7,24,5.7,24,9.9,999.9,   55.4*,  50.0*,99.99,999.9,10000,pt
85360,99999,20170201,54.6,24,50.2,24,9999.9,0,9999.9,0,6.1,24,9.1,24,19,20,   59.0*,  48.2*,99.99,999.9,10000,pt
85360,99999,20170202,57.9,24,52.5,24,9999.9,0,9999.9,0,5,24,12.5,24,20,29.9,   60.8*,  55.4*,99.99,999.9,10000,pt
85360,99999,20170203,58.4,24,54.1,24,9999.9,0,9999.9,0,5.5,24,16.7,24,20,32.1,   59.0*,  57.2*,99.99,999.9,10000,pt
85360,99999,20170204,59.3,24,57.1,24,9999.9,0,9999.9,0,4.9,24,15,24,21,32.1,   60.8*,  57.2*,99.99,999.9,10000,pt
85360,99999,20170205,55.9,24,46.3,24,9999.9,0,9999.9,0,6.2,23,9.6,24,17.1,28.9,   59.0*,  48.2*,99.99,999.9,10000,pt
85360,99999,20170206,54.7,24,51,24,9999.9,0,9999.9,0,5.9,24,7.6,24,13,999.9,   62.6*,  46.4*, 0.00I,999.9,100000,pt
85360,99999,20170207,56,24,50.4,24,9999.9,0,9999.9,0,5.9,24,9.8,24,19,999.9,   59.0*,  50.0*,99.99,999.9,10000,pt
85360,99999,20170208,50.8,24,40.7,24,9999.9,0,9999.9,0,6.2,8,5.6,24,13,18.1,   59.0*,  42.8*, 0.00I,999.9,0,pt
85360,99999,20170209,47,24,42.7,24,9999.9,0,9999.9,0,6.1,16,6.2,24,19,34,   57.2*,  39.2*,99.99,999.9,10000,pt
85360,99999,20170210,46,24,42.1,24,9999.9,0,9999.9,0,6.2,24,5.7,24,8.9,20,   50.0*,  41.0*,99.99,999.9,10000,pt
85360,99999,20170211,46.8,24,45.3,24,9999.9,0,9999.9,0,6.1,24,11.1,24,15.9,999.9,   51.8*,  42.8*,99.99,999.9,10000,pt
85360,99999,20170212,51.7,24,49.6,24,9999.9,0,9999.9,0,5.7,24,7.9,24,13,22.9,   59.0*,  48.2*,99.99,999.9,10000,pt
85360,99999,20170213,53.9,24,48.5,24,9999.9,0,9999.9,0,6.2,24,8.2,24,14,999.9,   59.0*,  50.0*,99.99,999.9,10000,pt
85360,99999,20170214,55.9,24,51.7,24,9999.9,0,9999.9,0,6.2,23,8.7,24,17.1,21,   62.6*,  50.0*,99.99,999.9,110010,pt
