STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
862180,99999,20170101,87.3,24,75.6,24,1008,7,998.6,7,7.6,19,6.7,24,13,999.9,   98.6*,  74.1*, 2.60A,999.9,10010,py
862180,99999,20170102,87.4,23,75.4,23,1009,6,999.6,6,8.5,16,4.3,23,7,999.9,   98.6*,78.8, 0.00I,999.9,0,py
862180,99999,20170103,85.1,24,71.8,24,1007.5,6,998.1,6,9.1,13,5.7,24,13,999.9,97.5,  75.2*, 0.00I,999.9,0,py
862180,99999,20170104,87,24,73.7,24,1005.7,6,996.3,6,8.9,14,7,24,14,999.9,   96.8*,  77.0*, 0.00I,999.9,0,py
862180,99999,20170105,83.9,23,73.1,23,1008.2,4,998.8,4,7,23,8.6,23,14,22,95.7,  78.1*, 0.00A,999.9,0,py
862180,99999,20170106,80.1,24,73.5,24,1011.7,7,1002.2,7,8.3,21,3.1,24,7,999.9,89.6,76.3, 0.00G,999.9,10010,py
862180,99999,20170107,84.9,24,73.9,24,1010.6,7,1001.2,7,8.8,17,5.6,24,9.9,999.9,   98.6*,  75.2*, 0.00I,999.9,0,py
862180,99999,20170108,87,24,72.7,24,1007.7,7,998.4,7,9.8,12,7.9,24,12,999.9,  100.4*,76.6, 0.00I,999.9,0,py
862180,99999,20170109,91,24,73,24,1004.3,7,995.1,7,10.2,11,8.8,24,15,28.9,  102.2*,  82.4*, 0.00I,999.9,0,py
862180,99999,20170110,88.7,24,73,24,1005.4,7,996.1,7,9.6,13,7.6,23,12,999.9,100.8,  82.4*, 0.00I,999.9,0,py
862180,99999,20170111,83.5,24,74,24,1009.2,6,999.8,6,7.6,21,5.7,24,8.9,999.9,95.4,76.3, 0.00I,999.9,10,py
862180,99999,20170112,86.6,24,74.5,24,1009.9,7,1000.5,7,8.6,18,3,24,6,999.9,   98.6*,76.6, 0.00I,999.9,10,py
862180,99999,20170113,87.8,24,74,24,1008.5,6,999.2,6,8.1,20,3,24,8,999.9,  100.4*,  78.8*, 0.00I,999.9,10,py
862180,99999,20170114,86.9,24,73,24,1007,7,997.7,7,7.2,17,4.3,24,8.9,999.9,99.3,  78.8*, 0.00I,999.9,10,py
862180,99999,20170115,89.1,23,71.1,23,1004.9,7,995.6,7,9.5,13,5.6,23,12,21,  102.2*,78.8, 0.00I,999.9,0,py
862180,99999,20170116,80.9,24,72.3,24,1006,7,996.6,7,7.7,19,6.5,24,22,34,101.1,  71.6*, 1.98G,999.9,10010,py
862180,99999,20170117,81.8,24,68.9,24,1006.2,7,996.8,7,8.8,17,6.2,24,9.9,999.9,90,72.3, 0.65G,999.9,0,py
862180,99999,20170118,83.2,22,70.7,22,1007.5,6,998.1,6,9.1,13,4.2,22,11.1,999.9,   93.2*,  73.4*, 0.00G,999.9,0,py
862180,99999,20170119,86.6,24,69.8,24,1010,7,1000.6,7,9.6,13,5.8,24,13,999.9,   98.6*,76.6, 0.00I,999.9,0,py
862180,99999,20170120,87.1,24,72.5,24,1011.9,7,1002.5,7,9.5,13,4.7,24,8.9,999.9,96.8,78.4, 0.00I,999.9,0,py
862180,99999,20170121,85.8,24,71.9,24,1012.6,7,1003.1,7,8.2,16,3.6,24,20,35,   98.6*,  75.2*,99.99,999.9,10000,py
862180,99999,20170122,81.4,24,69.7,24,1010.7,7,1001.2,7,9.6,13,4.4,24,11.1,999.9,97.5,  71.6*, 0.20G,999.9,10010,py
862180,99999,20170123,80.9,23,69.9,23,1009.4,7,999.9,7,8.7,15,4.5,23,8.9,999.9,94.3,  75.2*, 0.00G,999.9,10,py
862180,99999,20170124,80.4,23,72.7,23,1009.4,6,999.9,6,6.9,20,3.2,23,11.1,22,   91.8*,  73.4*, 0.00G,999.9,10000,py
862180,99999,20170125,80.4,24,71.6,24,1011,7,1001.5,7,7.4,24,4.8,24,9.9,28,   93.2*,  71.6*, 1.12G,999.9,10010,py
862180,99999,20170126,79.5,24,65.4,24,1014,6,1004.5,6,7.9,22,10.9,24,17.1,26,92.5,  71.6*, 0.02G,999.9,10000,py
862180,99999,20170127,73.7,13,56.1,13,1017.9,5,1008.2,5,10.7,7,6,13,11.1,999.9,   83.1*,59, 0.00G,999.9,0,py
862180,99999,20170128,75.8,17,58.9,17,1016.2,7,1006.6,7,11.7,8,3.2,17,7,999.9,   89.6*,63.3, 0.00G,999.9,0,py
862180,99999,20170129,80.3,20,64.7,20,1013.6,6,1004.1,6,8.1,12,5.2,20,14,999.9,   95.0*,69.8,99.99,999.9,10010,py
862180,99999,20170130,80.3,15,68.7,15,1011.8,7,1002.3,7,11.7,8,5.9,15,11.1,999.9,93.9,73.8, 0.00A,999.9,0,py
862180,99999,20170131,76.1,19,68.9,19,1011.3,6,1001.8,6,8.2,19,7.7,19,15,999.9,93.2,68.7, 0.14G,999.9,10010,py
862180,99999,20170201,79.2,21,71.2,21,1007.7,8,998.2,8,8.8,16,7.2,21,22,32.1,   92.5*,71.6, 0.00G,999.9,10010,py
862180,99999,20170202,78.9,22,70.6,22,1007.5,7,998,7,7.3,22,2.9,22,6,999.9,92.5,  69.8*, 0.22G,999.9,10,py
862180,99999,20170203,83,23,72.1,23,1007.5,7,998.1,7,9.3,14,3.4,23,7,999.9,   96.8*,  72.7*, 0.00G,999.9,10,py
862180,99999,20170204,87.5,24,74,24,1006.1,7,996.7,7,9.1,15,8,24,15,999.9,   98.6*,  78.8*, 0.00I,999.9,0,py
862180,99999,20170205,76.6,23,70.9,23,1008.2,5,998.7,5,6.8,21,7,23,12,24.1,98.2,  69.8*, 1.09G,999.9,10010,py
862180,99999,20170206,75.9,22,64.8,22,9999.9,0,9999.9,0,8.7,5,6.9,21,9.9,999.9,90,69.1, 0.53G,999.9,0,py
862180,99999,20170207,77.9,21,61.2,21,1011,6,1001.5,6,12.4,6,5.4,21,9.9,999.9,   89.6*,66.9, 0.00G,999.9,0,py
862180,99999,20170208,81.4,23,66.1,23,1009.5,7,1000.1,7,9.7,12,2.3,23,7,999.9,   96.8*,69.4, 0.00I,999.9,0,py
862180,99999,20170209,81.9,24,72,24,1008.8,6,999.3,6,6.9,23,6.2,24,15,29.9,   95.0*,  75.2*, 0.35A,999.9,10010,py
862180,99999,20170210,72.6,14,69.8,14,1009.2,8,999.6,8,7.1,14,5.6,14,11.1,999.9,94.6,70.5, 1.80G,999.9,10010,py
862180,99999,20170211,75.5,24,71.7,24,1007.8,7,998.2,7,7.6,24,4.5,24,8.9,999.9,   82.4*,70.5, 1.56G,999.9,10000,py
862180,99999,20170212,78,16,73,16,1008,7,998.5,7,8.2,16,4.4,16,11.1,999.9,   85.3*,73.4, 0.01G,999.9,100000,py
862180,99999,20170213,80.4,14,66.7,14,1008.8,8,999.2,8,9.8,14,5.5,14,9.9,999.9,   87.8*,69.4, 0.00G,999.9,0,py
862180,99999,20170214,78.7,24,69,24,1010.9,7,1001.3,7,9.3,14,1.8,24,5.1,999.9,   89.6*,  68.0*, 0.00I,999.9,0,py
862180,99999,20170215,81.5,24,72.9,24,1013.5,7,1004,7,7.6,19,4.2,24,12,999.9,   93.2*,  73.4*,99.99,999.9,10010,py
862180,99999,20170216,83.7,20,74.2,20,1013,7,1003.5,7,10.3,9,4.1,20,8.9,999.9,   95.0*,77, 0.00G,999.9,0,py
862180,99999,20170217,84,21,72.9,21,1010,7,1000.6,7,9.9,10,4.8,21,11.1,999.9,   95.0*,75.2, 0.00I,999.9,0,py
862180,99999,20170218,86.8,16,72.7,16,1008.9,8,999.5,8,10,13,7.5,16,12,999.9,   95.0*,  77.0*, 0.00I,999.9,0,py
862180,99999,20170219,83.7,18,75.2,18,1011.8,6,1002.3,6,7.5,17,3.1,18,8,999.9,95.4,78.8, 0.00I,999.9,10,py
862180,99999,20170220,84.3,21,74.5,21,1013.9,7,1004.4,7,9.4,12,2.9,21,6,999.9,   95.0*,  77.0*, 0.00I,999.9,0,py
862180,99999,20170221,87.1,20,72.5,20,1013,7,1003.6,7,8.1,13,1.8,20,5.1,999.9,  102.2*,77, 0.00I,999.9,0,py
862180,99999,20170222,85,21,72,21,1010.9,7,1001.4,7,8,15,3.8,21,25.1,35,99.7,  75.2*,99.99,999.9,10010,py
862180,99999,20170223,81.4,24,71.9,24,1011.9,6,1002.4,6,7.8,19,4.5,24,11.1,19,97.2,73.4, 0.24G,999.9,10010,py
862180,99999,20170224,80.7,24,71.8,24,1010.8,7,1001.3,7,9.1,15,3.1,24,7,999.9,93.9,71.2, 0.00G,999.9,10,py
862180,99999,20170225,83.5,24,72.5,24,1010.1,6,1000.3,7,7.7,18,1.8,24,6,999.9,   95.0*,  73.4*, 0.00I,999.9,0,py
862180,99999,20170226,83.4,24,73.1,24,1009.5,7,1000,7,9,15,2.5,24,8,999.9,   95.0*,74.8, 0.00I,999.9,10,py
862180,99999,20170227,84.2,24,73.9,24,1009.2,6,999.8,6,6.5,20,2,24,15,999.9,   96.8*,  73.4*, 0.02A,999.9,10010,py
862180,99999,20170228,80.7,24,74.3,24,1007.4,7,998,7,7.2,18,3.1,24,12,22,94.3,  75.2*, 0.28A,999.9,10000,py
