STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
786660,99999,20170101,77.7,24,65.4,24,9999.9,0,9999.9,0,999.9,0,4.4,24,8,999.9,   91.4*,  66.2*, 0.00I,999.9,0,sv
786660,99999,20170102,78.3,23,67.8,23,9999.9,0,9999.9,0,999.9,0,3.8,22,7,999.9,   93.2*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170103,78.6,24,69,24,9999.9,0,9999.9,0,999.9,0,4.5,24,8.9,999.9,   89.6*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170104,80.1,23,68.5,23,9999.9,0,9999.9,0,999.9,0,4.9,22,9.9,999.9,   93.2*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170105,80.5,24,69.6,24,9999.9,0,9999.9,0,6.2,12,4.9,24,9.9,999.9,   91.4*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170106,79.2,22,69.9,22,9999.9,0,9999.9,0,6.2,7,4.2,22,7,999.9,   89.6*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170107,78.1,24,67.2,24,9999.9,0,9999.9,0,6.2,5,3.9,24,7,999.9,   89.6*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170108,83.7,23,63.7,23,9999.9,0,9999.9,0,6.2,5,10.5,23,21,31.1,   95.0*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170109,80.4,23,56.3,23,9999.9,0,9999.9,0,999.9,0,12,23,20,35,   87.8*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170110,80.2,22,58,22,9999.9,0,9999.9,0,999.9,0,10.1,22,15.9,27,   93.2*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170111,80.6,24,62.5,24,9999.9,0,9999.9,0,999.9,0,7.5,24,11.1,20,   95.0*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170112,82.4,23,64.4,23,9999.9,0,9999.9,0,6.2,9,6.9,23,13,20,   95.0*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170113,78.8,23,64.9,23,9999.9,0,9999.9,0,999.9,0,6.7,23,12,999.9,   89.6*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170114,80.7,23,63.8,23,9999.9,0,9999.9,0,6.2,7,6.1,23,9.9,999.9,   91.4*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170115,81.3,24,61.4,24,9999.9,0,9999.9,0,6.2,6,7.4,24,11.1,19,   91.4*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170116,77.4,24,64,24,9999.9,0,9999.9,0,6.2,6,4.8,24,8.9,999.9,   89.6*,  64.4*, 0.00I,999.9,0,sv
786660,99999,20170117,78.7,23,67.3,23,9999.9,0,9999.9,0,6.2,7,5,23,8,999.9,   91.4*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170118,79.7,20,67.7,20,9999.9,0,9999.9,0,6.2,7,4.4,20,8,999.9,   91.4*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170119,78.3,24,69.4,24,9999.9,0,9999.9,0,6.2,9,5,24,11.1,999.9,   87.8*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170120,79,24,71.9,24,9999.9,0,9999.9,0,6.2,15,4.5,24,11.1,999.9,   86.0*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170121,76.9,23,69.8,23,9999.9,0,9999.9,0,6.2,18,3.8,23,9.9,999.9,   86.0*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170122,75.6,24,69.9,24,9999.9,0,9999.9,0,6.2,23,4.5,24,9.9,999.9,   86.0*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170123,78.7,24,71.9,24,9999.9,0,9999.9,0,6.2,15,4.3,23,11.1,999.9,   87.8*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170124,77,23,60.6,23,9999.9,0,9999.9,0,6.2,5,5.3,23,9.9,999.9,   87.8*,  60.8*, 0.00I,999.9,0,sv
786660,99999,20170125,76,24,66.6,24,9999.9,0,9999.9,0,6,9,4.3,24,11.1,999.9,   87.8*,  64.4*, 0.00I,999.9,0,sv
786660,99999,20170126,78.6,22,69.3,22,9999.9,0,9999.9,0,5,16,3.9,22,8,999.9,   87.8*,  66.2*, 0.00I,999.9,0,sv
786660,99999,20170127,78.2,24,64.8,24,9999.9,0,9999.9,0,999.9,0,4.7,24,9.9,999.9,   91.4*,  64.4*, 0.00I,999.9,0,sv
786660,99999,20170128,78.7,24,66.4,24,9999.9,0,9999.9,0,6.2,10,4.7,24,12,999.9,   93.2*,  66.2*, 0.00I,999.9,0,sv
786660,99999,20170129,83.1,24,67.1,24,9999.9,0,9999.9,0,6.2,7,7,24,13,22.9,   96.8*,  75.2*, 0.00I,999.9,0,sv
786660,99999,20170130,85.1,23,61.4,23,9999.9,0,9999.9,0,6.2,10,10.5,23,17.1,29.9,   93.2*,  75.2*, 0.00I,999.9,0,sv
786660,99999,20170131,81.1,23,58.6,23,9999.9,0,9999.9,0,999.9,0,11.8,23,15.9,28.9,   91.4*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170201,82.4,23,62.5,23,9999.9,0,9999.9,0,6.2,4,8.1,23,14,19,   93.2*,  75.2*, 0.00I,999.9,0,sv
786660,99999,20170202,80.1,23,65.4,23,9999.9,0,9999.9,0,6.2,7,5.3,23,9.9,999.9,   93.2*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170203,82.8,24,63.5,24,9999.9,0,9999.9,0,999.9,0,6.8,24,14,22.9,   96.8*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170204,82.2,24,66.4,24,9999.9,0,9999.9,0,6.2,6,5.4,24,14,999.9,   96.8*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170205,86.4,24,65.4,24,9999.9,0,9999.9,0,6.2,7,8.2,24,14,999.9,   98.6*,  78.8*, 0.00I,999.9,0,sv
786660,99999,20170206,85.1,23,66.3,23,9999.9,0,9999.9,0,6.2,5,7.1,23,13,17.1,   96.8*,  77.0*, 0.00I,999.9,0,sv
786660,99999,20170207,80.1,24,67.5,24,9999.9,0,9999.9,0,6.2,5,4.3,24,7,999.9,   91.4*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170208,79.2,23,68.8,23,9999.9,0,9999.9,0,6.2,5,4.5,23,8.9,999.9,   89.6*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170209,79.4,24,68.2,24,9999.9,0,9999.9,0,6.2,9,4.7,24,9.9,999.9,   91.4*,  66.2*, 0.00I,999.9,0,sv
786660,99999,20170210,82.8,23,67.2,23,9999.9,0,9999.9,0,6.2,4,6.2,23,12,19,   96.8*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170211,85.1,23,67.1,23,9999.9,0,9999.9,0,6.2,5,6.3,23,11.1,19,   95.0*,  77.0*, 0.00I,999.9,0,sv
786660,99999,20170212,84.3,23,62.5,23,9999.9,0,9999.9,0,6.2,5,7.5,23,13,999.9,   95.0*,  75.2*, 0.00I,999.9,0,sv
786660,99999,20170213,81,22,63.7,22,9999.9,0,9999.9,0,999.9,0,5.1,22,9.9,999.9,   93.2*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170214,77.8,24,65,24,9999.9,0,9999.9,0,6.2,10,5.3,24,11.1,999.9,   89.6*,  64.4*, 0.00I,999.9,0,sv
786660,99999,20170215,79.1,21,68.7,21,9999.9,0,9999.9,0,6.2,9,5.1,21,11.1,999.9,   89.6*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170216,78.8,24,70,24,9999.9,0,9999.9,0,6.2,7,4.3,24,8.9,999.9,   89.6*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170217,81.6,19,71.5,19,9999.9,0,9999.9,0,6.2,15,4.7,19,8,999.9,   89.6*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170218,79.3,23,71.9,23,9999.9,0,9999.9,0,6.1,17,3.5,23,9.9,999.9,   87.8*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170219,79.5,23,68.9,23,9999.9,0,9999.9,0,6.2,8,4.4,23,8,999.9,   89.6*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170220,79.7,24,69.7,24,9999.9,0,9999.9,0,6.2,12,4.6,24,12,999.9,   89.6*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170221,78.6,23,68.2,23,9999.9,0,9999.9,0,5.8,11,4.6,23,9.9,999.9,   89.6*,  66.2*, 0.00I,999.9,0,sv
786660,99999,20170222,82,19,70.7,19,9999.9,0,9999.9,0,6,16,5.8,19,12,999.9,   89.6*,  71.6*, 0.00I,999.9,0,sv
786660,99999,20170223,80.9,23,72.5,23,9999.9,0,9999.9,0,6.2,21,5.5,23,14,999.9,   89.6*,  73.4*, 0.00I,999.9,0,sv
786660,99999,20170224,79,24,71.3,24,9999.9,0,9999.9,0,6.1,17,6,24,13,22.9,   87.8*,  69.8*, 0.00I,999.9,0,sv
786660,99999,20170225,80.6,21,69.5,21,9999.9,0,9999.9,0,6.1,7,7,21,14,999.9,   89.6*,  68.0*, 0.00I,999.9,0,sv
786660,99999,20170226,78.7,23,69.9,23,9999.9,0,9999.9,0,6.2,8,4.3,23,8,999.9,   89.6*,  68.0*, 0.00I,999.9,0,sv
