STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
722950,23174,20170101,50.1,24,43.1,24,1012.4,24,1001,24,9.7,24,5.3,24,15,999.9,57.9,43, 0.07G,999.9,10000,us
722950,23174,20170102,53.4,24,45.2,24,1016.9,24,1005.3,24,9.8,24,5.3,24,8,999.9,57.9,43, 0.00G,999.9,0,us
722950,23174,20170103,53,24,46.2,24,1021,24,1009.3,24,10,24,3,24,6,999.9,59,48, 0.00G,999.9,0,us
722950,23174,20170104,55.2,24,46.1,24,1020.6,24,1008.7,24,9.9,24,3.6,24,8.9,999.9,61,48, 0.00G,999.9,0,us
722950,23174,20170105,56.5,24,55.4,24,1016.1,13,1004.6,24,4.1,24,6.3,24,11.1,18.1,62.1,48.9, 0.33G,999.9,110000,us
722950,23174,20170106,56.7,24,52.3,24,1016.3,21,1004.6,24,9.5,24,5.6,24,11.1,999.9,64.9,50, 0.15G,999.9,0,us
722950,23174,20170107,57.5,24,46.8,24,1020.4,24,1008.8,24,10,24,5.3,24,9.9,999.9,70,50, 0.00G,999.9,10000,us
722950,23174,20170108,62.8,24,46.2,24,1021.7,24,1009.8,24,10,24,3.2,24,12,999.9,75.9,52, 0.03G,999.9,0,us
722950,23174,20170109,59.9,24,50.6,24,1020.6,17,1008.8,24,7.4,24,5.3,24,12,999.9,75.9,54, 0.32G,999.9,10010,us
722950,23174,20170110,56.3,24,53.9,24,1020.4,15,1008.7,24,8.3,24,5.2,24,11.1,999.9,64,51.1, 0.55G,999.9,10000,us
722950,23174,20170111,58.8,24,55.9,24,1016.8,19,1004.8,24,8.4,24,11,24,15,26,62.1,51.1, 0.09G,999.9,10000,us
722950,23174,20170112,56.3,24,54,24,1014.9,15,1002.8,24,6.1,24,6,24,13,17.1,62.1,54, 0.25G,999.9,110000,us
722950,23174,20170113,53.7,24,49.5,24,1015.3,22,1003.6,24,8.6,24,3.8,24,8.9,15,59,46.9, 0.64G,999.9,0,us
