Streams,Country
8615899,ar
19685192,be
1909915,bo
77627547,ca
35275862,ch
109270441,cl
106016606,co
52439874,cr
5819532,cz
263314705,de
192523234,dk
2579608,ee
50712055,es
80390538,fi
19043966,fr
253250899,gb
927699,gr
9203178,gt
447780,hk
7383566,hn
6703516,hu
30797313,id
21758970,ie
2748149,is
138219403,it
5139659,lt
657988,lu
3836743,lv
9503388,mx
487381402,nl
170691820,no
29305800,nz
229288,pa
3342077,pe
33671002,pl
19855099,pt
2150173,py
1832313,sk
143850,sv
3198663,tr
3431329,tw
1647580863,us
12576966,uy
0,au
0,at
0,br
0,do
0,ec
0,jp
0,my
0,ph
0,se
0,sg
