Streams,Country
479898818,ar
72761813,at
481123567,au
183749113,be
12473636,bo
740974383,ca
130918153,ch
129190031,cl
257311834,co
104661743,cr
53609783,cz
1856389469,de
528338808,dk
37903930,do
58333224,ec
11427938,ee
388158638,es
426342337,fi
666558532,fr
2569783494,gb
11257520,gr
39317554,gt
63489324,hk
17955481,hn
34221732,hu
362633703,id
300020315,ie
36920105,is
328705500,it
73527697,jp
17243194,lt
2870409,lu
18426893,lv
527947600,mx
222250312,my
1272374653,nl
676595953,no
273303595,nz
41376014,pa
64790978,pe
680798472,ph
220844085,pl
58433547,pt
36119968,py
273176834,sg
5747724,sk
18421537,sv
160427618,tr
110053412,tw
1467772924,us
37813101,uy
0,br
0,se
