Streams,Country
133530611,ar
13461801,be
9428532,bo
139534590,ca
15666672,ch
89809780,co
39836058,cr
4999446,cz
176461541,de
9898341,dk
21801642,do
23629185,ec
317033,ee
92963341,es
20756939,gb
3607974,gr
12919748,gt
16333490,hk
17734984,hn
8323857,hu
95526756,id
4967707,ie
357693,is
85890835,it
3697989,jp
1089076,lt
570124,lu
720813,lv
229665837,mx
215789302,my
116213631,nl
3389179,no
10776162,nz
30279646,pa
159355157,ph
21351880,pl
6781477,pt
28905374,py
184950382,sg
982925,sk
11713352,sv
27155589,tr
7034000,tw
66948503,us
14602340,uy
0,at
0,au
0,br
0,cl
0,fi
0,fr
0,pe
0,se
