Date,Country,Streams,TEMP,Indicators
01/01/2017,au,2983688,23,0 0 0 0 0 0
02/01/2017,au,3576385,22,0 1 0 0 0 0
03/01/2017,au,3741244,23,0 0 0 0 0 0
04/01/2017,au,3836993,22,0 1 0 0 0 0
05/01/2017,au,3836723,22,0 1 0 0 0 0
06/01/2017,au,4116897,23,0 0 0 0 0 0
07/01/2017,au,4061390,23,0 0 0 0 0 0
08/01/2017,au,4113711,25,0 0 0 0 0 0
09/01/2017,au,4356794,25,0 1 0 0 0 0
10/01/2017,au,4393288,27,0 0 0 0 0 0
11/01/2017,au,4443227,27,0 0 0 0 0 0
12/01/2017,au,4428525,25,0 0 0 0 0 0
13/01/2017,au,4440982,28,0 0 0 0 0 0
14/01/2017,au,4261832,26,0 0 0 0 0 0
15/01/2017,au,4181605,24,0 0 0 0 0 0
16/01/2017,au,4506957,24,0 0 0 0 0 0
17/01/2017,au,4407140,32,0 0 0 0 0 0
18/01/2017,au,4462479,24,0 0 0 0 0 0
19/01/2017,au,4502748,22,0 0 0 0 0 0
20/01/2017,au,4481254,24,0 1 0 0 0 0
21/01/2017,au,4332876,23,0 0 0 0 0 0
22/01/2017,au,4265245,24,0 0 0 0 0 0
23/01/2017,au,4399609,28,0 0 0 0 0 0
24/01/2017,au,4453568,25,0 1 0 0 0 0
25/01/2017,au,4534328,22,0 0 0 0 0 0
26/01/2017,au,4116255,22,0 0 0 0 0 0
27/01/2017,au,4491716,24,0 0 0 0 0 0
28/01/2017,au,4412864,26,0 0 0 0 0 0
29/01/2017,au,4378608,26,0 0 0 0 0 0
30/01/2017,au,4477842,29,0 0 0 0 0 0
31/01/2017,au,4556961,24,0 1 0 0 0 0
01/02/2017,au,4578037,22,0 1 0 0 0 0
02/02/2017,au,4629210,24,0 0 0 0 0 0
03/02/2017,au,4662684,25,0 0 0 0 0 0
04/02/2017,au,4700170,28,0 0 0 0 0 0
05/02/2017,au,4505742,30,0 0 0 0 0 0
06/02/2017,au,4460859,26,0 1 0 0 0 0
07/02/2017,au,4581208,23,0 1 0 0 0 0
08/02/2017,au,4665449,24,0 1 0 0 0 0
09/02/2017,au,4693567,27,0 0 0 0 0 0
10/02/2017,au,4692278,29,0 0 0 0 0 0
11/02/2017,au,4657758,29,0 0 0 0 0 0
12/02/2017,au,4499296,23,0 0 0 0 0 0
13/02/2017,au,4518604,24,0 0 0 0 0 0
14/02/2017,au,4512029,20,0 1 0 0 0 0
15/02/2017,au,4706295,23,0 0 0 0 0 0
16/02/2017,au,4791883,26,0 0 0 0 0 0
17/02/2017,au,4727589,24,0 1 0 0 0 0
