Date,Country,Streams,TEMP,Indicators
01/01/2017,be,490891,-2,1 1 1 0 0 0
02/01/2017,be,592210,1,1 1 1 0 0 0
03/01/2017,be,610645,2,0 0 0 0 0 0
04/01/2017,be,623743,4,0 1 0 0 0 0
05/01/2017,be,631336,1,0 1 0 0 0 0
06/01/2017,be,703068,-3,0 0 0 0 0 0
07/01/2017,be,717881,-1,1 1 1 0 0 0
08/01/2017,be,672813,3,1 0 0 0 0 0
09/01/2017,be,611636,4,0 1 0 0 0 0
10/01/2017,be,625800,5,0 1 0 0 0 0
11/01/2017,be,687425,6,0 1 0 0 0 0
12/01/2017,be,637749,5,0 1 1 0 0 0
13/01/2017,be,696289,2,0 1 1 1 0 0
14/01/2017,be,792799,1,0 1 1 0 0 0
15/01/2017,be,727253,1,0 1 1 0 0 0
16/01/2017,be,622143,1,0 0 0 0 0 0
17/01/2017,be,643763,-2,0 0 0 0 0 0
18/01/2017,be,698643,-3,0 0 0 0 0 0
19/01/2017,be,644607,-2,0 0 0 0 0 0
20/01/2017,be,673139,-1,0 0 0 0 0 0
21/01/2017,be,801626,-1,0 0 0 0 0 0
22/01/2017,be,761425,-1,0 0 0 0 0 0
23/01/2017,be,634154,1,0 0 0 0 0 0
24/01/2017,be,659396,1,1 0 1 0 0 0
25/01/2017,be,722397,-1,0 0 0 0 0 0
26/01/2017,be,664743,-2,0 0 0 0 0 0
27/01/2017,be,709048,2,0 0 0 0 0 0
28/01/2017,be,797464,7,0 0 0 0 0 0
29/01/2017,be,717667,5,0 1 0 0 0 0
30/01/2017,be,638225,6,0 1 0 0 0 0
31/01/2017,be,661322,2,0 0 0 0 0 0
01/02/2017,be,722955,6,1 1 0 0 0 0
02/02/2017,be,665541,10,0 1 0 0 0 0
03/02/2017,be,730211,9,0 1 0 0 0 0
04/02/2017,be,800297,5,0 1 0 0 0 0
05/02/2017,be,742300,5,0 1 0 0 0 0
06/02/2017,be,644819,5,0 1 0 0 0 0
07/02/2017,be,647928,5,0 1 0 0 0 0
08/02/2017,be,724314,3,1 1 0 0 0 0
09/02/2017,be,656316,1,0 1 0 0 0 0
10/02/2017,be,686768,-1,0 0 1 0 0 0
11/02/2017,be,816417,0,1 1 1 0 0 0
12/02/2017,be,765866,3,1 1 0 0 0 0
13/02/2017,be,661247,4,0 0 0 0 0 0
14/02/2017,be,674415,6,0 0 0 0 0 0
15/02/2017,be,754336,10,0 0 0 0 0 0
16/02/2017,be,709097,8,0 0 0 0 0 0
17/02/2017,be,719745,7,0 1 0 0 0 0
18/02/2017,be,867271,7,0 0 0 0 0 0
19/02/2017,be,789805,6,0 0 0 0 0 0
20/02/2017,be,671480,9,0 1 0 0 0 0
21/02/2017,be,709594,10,0 1 0 0 0 0
22/02/2017,be,771764,10,0 1 0 0 0 0
23/02/2017,be,761679,9,0 1 1 1 0 0
24/02/2017,be,758810,5,0 1 1 1 0 0
25/02/2017,be,865236,5,0 0 0 0 0 0
26/02/2017,be,783129,9,0 1 0 0 0 0
27/02/2017,be,802598,9,0 1 0 0 1 0
28/02/2017,be,818847,5,0 1 0 0 0 0
01/03/2017,be,840146,7,0 1 0 0 0 0
02/03/2017,be,887637,7,0 1 0 0 0 0
03/03/2017,be,904167,8,0 1 0 0 0 0
04/03/2017,be,911683,10,0 1 0 0 0 0
05/03/2017,be,893305,7,0 1 0 0 0 0
06/03/2017,be,787279,6,0 1 0 0 0 0
07/03/2017,be,804959,6,0 1 0 0 0 0
08/03/2017,be,890992,8,0 1 0 0 0 0
09/03/2017,be,846988,10,0 1 0 0 0 0
10/03/2017,be,822115,6,0 0 0 0 0 0
11/03/2017,be,955364,8,0 0 0 0 0 0
12/03/2017,be,929107,9,0 0 0 0 0 0
13/03/2017,be,772666,8,0 0 0 0 0 0
14/03/2017,be,789784,9,0 0 0 0 0 0
15/03/2017,be,914593,11,0 0 0 0 0 0
16/03/2017,be,883176,11,0 0 0 0 0 0
17/03/2017,be,948357,9,0 1 0 0 0 0
18/03/2017,be,1072343,10,0 1 0 0 0 0
19/03/2017,be,1012961,11,0 1 0 0 0 0
20/03/2017,be,884820,11,0 1 0 0 0 0
21/03/2017,be,903728,8,0 1 0 0 0 0
22/03/2017,be,953015,7,0 0 0 0 0 0
23/03/2017,be,909915,9,0 0 0 0 0 0
24/03/2017,be,890357,9,0 0 0 0 0 0
25/03/2017,be,1001740,9,0 0 0 0 0 0
26/03/2017,be,921244,9,0 0 0 0 0 0
27/03/2017,be,829043,11,0 0 0 0 0 0
28/03/2017,be,820505,13,0 0 0 0 0 0
29/03/2017,be,872536,12,0 0 0 0 0 0
30/03/2017,be,897894,16,0 0 0 0 0 0
31/03/2017,be,862349,15,0 1 0 0 0 0
01/04/2017,be,897577,11,0 1 0 0 0 0
02/04/2017,be,837935,11,0 0 0 0 0 0
03/04/2017,be,855020,8,1 0 0 0 0 0
04/04/2017,be,844471,10,0 0 0 0 0 0
05/04/2017,be,833226,9,1 0 0 0 0 0
06/04/2017,be,865684,7,0 0 0 0 0 0
07/04/2017,be,899024,9,0 0 0 0 0 0
08/04/2017,be,918189,11,0 0 0 0 0 0
09/04/2017,be,900295,14,0 0 0 0 0 0
10/04/2017,be,849791,10,0 0 0 0 0 0
11/04/2017,be,844424,9,0 0 0 0 0 0
12/04/2017,be,838797,10,0 1 0 0 0 0
13/04/2017,be,867112,9,0 1 0 0 0 0
14/04/2017,be,968558,8,0 0 0 0 0 0
15/04/2017,be,872187,9,0 1 0 0 0 0
16/04/2017,be,772684,8,0 1 0 0 0 0
17/04/2017,be,813764,8,0 1 0 0 0 0
18/04/2017,be,738927,5,0 1 0 0 0 0
19/04/2017,be,826874,4,0 0 0 0 0 0
20/04/2017,be,759382,5,0 0 0 0 0 0
21/04/2017,be,790296,10,0 1 0 0 0 0
22/04/2017,be,891228,9,0 1 0 0 0 0
23/04/2017,be,818114,7,0 0 0 0 0 0
24/04/2017,be,754106,10,0 1 0 0 0 0
25/04/2017,be,775218,6,0 1 1 1 0 0
26/04/2017,be,858892,5,0 1 1 0 0 0
27/04/2017,be,787523,5,0 1 0 0 0 0
28/04/2017,be,835567,7,0 1 0 0 0 0
29/04/2017,be,941937,9,0 0 0 0 0 0
30/04/2017,be,901603,13,0 0 0 0 0 0
01/05/2017,be,864656,11,0 1 0 0 0 0
02/05/2017,be,776789,9,0 1 0 0 0 0
03/05/2017,be,863860,10,0 1 0 0 0 0
04/05/2017,be,802258,11,0 1 0 0 0 0
05/05/2017,be,820533,9,0 1 0 0 0 0
06/05/2017,be,957054,13,1 1 0 0 0 0
07/05/2017,be,833800,11,0 0 0 0 0 0
08/05/2017,be,776857,9,0 1 0 0 0 0
09/05/2017,be,821513,8,0 0 0 0 0 0
10/05/2017,be,933755,11,0 0 0 0 0 0
11/05/2017,be,826867,14,0 1 0 0 1 0
12/05/2017,be,852798,16,0 1 0 0 1 0
13/05/2017,be,959735,14,0 0 0 0 0 0
14/05/2017,be,918768,14,0 1 0 0 0 0
15/05/2017,be,844527,15,0 1 0 0 0 0
16/05/2017,be,874323,21,0 0 0 0 0 0
17/05/2017,be,967088,22,0 0 0 0 0 0
18/05/2017,be,831786,17,0 1 0 0 0 0
19/05/2017,be,880406,12,0 1 0 0 0 0
20/05/2017,be,1021505,12,0 1 0 0 0 0
21/05/2017,be,991096,14,0 0 0 0 0 0
22/05/2017,be,883375,18,0 0 0 0 0 0
23/05/2017,be,858585,17,0 0 0 0 0 0
24/05/2017,be,996393,17,0 0 0 0 0 0
25/05/2017,be,1150927,17,0 0 0 0 0 0
26/05/2017,be,1090223,20,0 0 0 0 0 0
27/05/2017,be,1039673,22,0 0 0 0 1 0
28/05/2017,be,961761,21,0 1 0 0 0 0
29/05/2017,be,806379,23,0 0 0 0 1 0
01/06/2017,be,870359,19,0 0 0 0 0 0
03/06/2017,be,999582,19,0 1 0 0 0 0
04/06/2017,be,963996,16,0 0 0 0 0 0
05/06/2017,be,918725,17,0 0 0 0 0 0
06/06/2017,be,785004,14,0 1 0 0 0 0
07/06/2017,be,908816,14,0 1 0 0 0 0
08/06/2017,be,833916,18,0 1 0 0 0 0
09/06/2017,be,844848,17,0 1 0 0 1 0
10/06/2017,be,1085576,18,0 0 0 0 0 0
11/06/2017,be,971140,22,0 0 0 0 0 0
12/06/2017,be,822740,16,0 0 0 0 0 0
13/06/2017,be,878893,17,0 0 0 0 0 0
14/06/2017,be,963380,19,0 0 0 0 0 0
15/06/2017,be,910742,22,0 0 0 0 0 0
16/06/2017,be,920237,16,0 0 0 0 0 0
17/06/2017,be,1050799,19,0 0 0 0 0 0
18/06/2017,be,1019516,21,0 0 0 0 0 0
19/06/2017,be,885154,24,0 0 0 0 0 0
20/06/2017,be,893959,24,0 0 0 0 0 0
21/06/2017,be,922611,24,0 0 0 0 0 0
22/06/2017,be,890281,25,0 1 0 0 0 0
23/06/2017,be,918758,19,0 0 0 0 0 0
24/06/2017,be,923188,18,0 1 0 0 0 0
25/06/2017,be,869717,18,0 1 0 0 0 0
26/06/2017,be,904910,18,0 0 0 0 0 0
27/06/2017,be,896018,16,0 1 0 0 0 0
28/06/2017,be,906363,19,0 1 0 0 0 0
29/06/2017,be,871787,17,0 1 0 0 0 0
30/06/2017,be,896470,17,0 0 0 0 0 0
01/07/2017,be,873897,15,0 1 0 0 0 0
02/07/2017,be,810363,15,0 1 0 0 0 0
03/07/2017,be,838644,17,0 0 0 0 0 0
04/07/2017,be,844986,18,0 1 0 0 0 0
05/07/2017,be,877705,20,0 0 0 0 0 0
06/07/2017,be,827358,21,0 1 0 0 1 0
07/07/2017,be,913482,23,0 0 0 0 0 0
08/07/2017,be,904914,20,0 0 0 0 0 0
09/07/2017,be,879054,19,0 0 0 0 0 0
10/07/2017,be,832693,19,0 1 0 0 0 0
11/07/2017,be,847922,18,0 1 0 0 0 0
12/07/2017,be,836668,16,0 1 0 0 0 0
13/07/2017,be,869387,16,0 0 0 0 0 0
14/07/2017,be,884262,17,0 1 0 0 0 0
15/07/2017,be,884367,18,0 1 0 0 0 0
16/07/2017,be,822798,19,0 1 0 0 0 0
17/07/2017,be,859240,19,0 1 0 0 0 0
18/07/2017,be,898950,21,0 0 0 0 0 0
