Date,Country,Streams,TEMP,Indicators
01/01/2017,bo,124814,27,0 0 0 0 0 0
02/01/2017,bo,104878,24,0 1 0 0 0 0
03/01/2017,bo,133433,26,0 0 0 0 0 0
04/01/2017,bo,134395,27,0 0 0 0 0 0
05/01/2017,bo,132193,22,0 0 0 0 1 0
06/01/2017,bo,135150,19,0 1 0 0 0 0
07/01/2017,bo,127496,22,1 1 0 0 1 0
08/01/2017,bo,115960,25,0 0 0 0 1 0
09/01/2017,bo,138185,25,0 0 0 0 1 0
10/01/2017,bo,138681,20,0 1 0 0 1 0
11/01/2017,bo,140147,21,1 0 0 0 0 0
12/01/2017,bo,142405,23,0 0 0 0 0 0
13/01/2017,bo,143373,25,0 0 0 0 0 0
14/01/2017,bo,141100,25,0 0 0 0 0 0
15/01/2017,bo,124921,27,0 0 0 0 0 0
16/01/2017,bo,143034,22,0 1 0 0 0 0
17/01/2017,bo,149874,24,0 0 0 0 0 0
18/01/2017,bo,152015,23,0 0 0 0 0 0
19/01/2017,bo,152658,24,0 0 0 0 0 0
20/01/2017,bo,159253,24,0 0 0 0 0 0
21/01/2017,bo,149822,24,0 0 0 0 0 0
22/01/2017,bo,141332,24,0 0 0 0 0 0
23/01/2017,bo,135460,18,0 1 0 0 1 0
24/01/2017,bo,154646,19,0 1 0 0 1 0
25/01/2017,bo,164065,22,0 0 0 0 0 0
26/01/2017,bo,166747,20,0 0 0 0 0 0
27/01/2017,bo,176697,20,0 0 0 0 0 0
28/01/2017,bo,171587,22,0 0 0 0 0 0
29/01/2017,bo,137272,24,0 0 0 0 0 0
30/01/2017,bo,171205,23,0 0 0 0 0 0
31/01/2017,bo,179666,24,0 1 0 0 1 0
01/02/2017,bo,177060,20,0 1 0 0 1 0
02/02/2017,bo,180595,21,0 1 0 0 0 0
03/02/2017,bo,193107,22,0 1 0 0 1 0
04/02/2017,bo,180898,25,0 0 0 0 0 0
05/02/2017,bo,158392,21,0 1 0 0 1 0
06/02/2017,bo,172885,17,0 1 0 0 0 0
07/02/2017,bo,178403,18,0 1 0 0 0 0
08/02/2017,bo,188099,21,0 0 0 0 0 0
09/02/2017,bo,186923,24,0 0 0 0 0 0
10/02/2017,bo,193475,24,0 1 0 0 1 0
11/02/2017,bo,183959,19,0 1 0 0 1 0
12/02/2017,bo,169804,19,0 0 0 0 0 0
13/02/2017,bo,177503,20,0 0 0 0 0 0
14/02/2017,bo,180936,21,0 0 0 0 0 0
15/02/2017,bo,178192,22,0 0 0 0 0 0
16/02/2017,bo,181155,23,0 0 0 0 0 0
17/02/2017,bo,183721,24,0 0 0 0 0 0
18/02/2017,bo,182592,24,0 0 0 0 0 0
19/02/2017,bo,158791,20,0 1 0 0 1 0
20/02/2017,bo,171079,21,0 1 0 0 1 0
21/02/2017,bo,178170,22,1 1 0 0 0 0
22/02/2017,bo,178127,22,0 0 0 0 0 0
23/02/2017,bo,189943,21,0 1 0 0 1 0
24/02/2017,bo,190508,22,0 0 0 0 0 0
25/02/2017,bo,171902,23,0 0 0 0 0 0
26/02/2017,bo,142132,23,0 0 0 0 0 0
27/02/2017,bo,138545,22,0 1 0 0 1 0
28/02/2017,bo,135369,19,0 1 0 0 0 0
01/03/2017,bo,156267,22,0 0 0 0 0 0
02/03/2017,bo,163955,23,0 0 0 0 0 0
03/03/2017,bo,163375,21,0 1 0 0 0 0
04/03/2017,bo,163644,22,0 0 0 0 0 0
05/03/2017,bo,144681,23,0 0 0 0 0 0
06/03/2017,bo,159382,22,0 1 0 0 0 0
07/03/2017,bo,162470,23,0 0 0 0 0 0
08/03/2017,bo,165635,25,0 0 0 0 0 0
09/03/2017,bo,174946,27,0 0 0 0 0 0
10/03/2017,bo,174616,21,0 1 0 0 1 0
11/03/2017,bo,175748,24,0 0 0 0 0 0
12/03/2017,bo,158369,20,0 1 0 0 1 0
13/03/2017,bo,157056,20,0 0 0 0 0 0
14/03/2017,bo,167558,23,0 0 0 0 0 0
15/03/2017,bo,164605,21,0 0 0 0 1 0
16/03/2017,bo,160600,15,0 1 0 0 1 0
17/03/2017,bo,165074,16,0 0 0 0 0 0
18/03/2017,bo,164170,18,0 0 0 0 0 0
19/03/2017,bo,146241,20,0 0 0 0 0 0
20/03/2017,bo,158161,19,0 0 0 0 0 0
21/03/2017,bo,157479,21,0 0 0 0 0 0
22/03/2017,bo,160133,19,0 1 0 0 0 0
23/03/2017,bo,157763,18,0 1 0 0 0 0
24/03/2017,bo,163085,19,1 1 0 0 0 0
25/03/2017,bo,164360,20,0 0 0 0 0 0
26/03/2017,bo,146432,21,0 0 0 0 0 0
27/03/2017,bo,151869,21,0 1 0 0 1 0
28/03/2017,bo,149255,22,0 0 0 0 0 0
29/03/2017,bo,154699,23,0 1 0 0 0 0
30/03/2017,bo,162641,22,0 0 0 0 0 0
31/03/2017,bo,164702,22,0 0 0 0 1 0
01/04/2017,bo,160158,21,0 1 0 0 1 0
02/04/2017,bo,146974,23,0 0 0 0 0 0
03/04/2017,bo,150092,20,0 1 0 0 0 0
04/04/2017,bo,154191,21,0 1 0 0 0 0
05/04/2017,bo,157503,20,0 0 0 0 0 0
06/04/2017,bo,161202,19,0 1 0 0 0 0
07/04/2017,bo,165347,22,0 0 0 0 0 0
08/04/2017,bo,157075,20,0 0 0 0 0 0
09/04/2017,bo,137578,23,0 0 0 0 0 0
10/04/2017,bo,147244,16,0 0 0 0 0 0
11/04/2017,bo,146676,16,0 0 0 0 0 0
12/04/2017,bo,153180,16,0 0 0 0 0 0
13/04/2017,bo,162505,17,0 0 0 0 0 0
14/04/2017,bo,138563,19,0 0 0 0 0 0
15/04/2017,bo,144932,21,0 0 0 0 0 0
16/04/2017,bo,134404,17,0 1 0 0 0 0
17/04/2017,bo,150874,16,0 1 0 0 0 0
18/04/2017,bo,158442,14,0 1 0 0 0 0
19/04/2017,bo,161069,14,0 1 0 0 0 0
20/04/2017,bo,163323,15,1 0 0 0 0 0
21/04/2017,bo,173050,17,0 0 0 0 0 0
22/04/2017,bo,168346,17,0 0 0 0 0 0
23/04/2017,bo,144477,19,0 0 0 0 0 0
24/04/2017,bo,161358,20,0 0 0 0 0 0
25/04/2017,bo,168000,20,0 0 0 0 0 0
26/04/2017,bo,167170,15,0 0 0 0 0 0
27/04/2017,bo,166518,13,0 0 0 0 0 0
28/04/2017,bo,176830,15,0 0 0 0 0 0
29/04/2017,bo,171664,15,0 0 0 0 0 0
30/04/2017,bo,155322,17,0 0 0 0 0 0
01/05/2017,bo,161094,19,0 0 0 0 0 0
02/05/2017,bo,173369,18,0 0 0 0 0 0
03/05/2017,bo,179987,17,0 0 0 0 0 0
04/05/2017,bo,179628,18,0 0 0 0 0 0
05/05/2017,bo,193294,19,0 0 0 0 0 0
06/05/2017,bo,191723,20,0 0 0 0 0 0
07/05/2017,bo,166684,23,0 0 0 0 0 0
08/05/2017,bo,178979,20,0 0 0 0 0 0
09/05/2017,bo,184614,18,0 0 0 0 0 0
10/05/2017,bo,179797,17,0 0 0 0 0 0
11/05/2017,bo,183157,19,0 0 0 0 0 0
12/05/2017,bo,193689,24,0 0 0 0 0 0
13/05/2017,bo,189326,20,0 0 0 0 0 0
14/05/2017,bo,159451,20,0 0 0 0 0 0
15/05/2017,bo,176589,14,0 0 0 0 0 0
16/05/2017,bo,178748,15,0 0 0 0 0 0
17/05/2017,bo,181029,17,0 0 0 0 0 0
18/05/2017,bo,182003,23,0 0 0 0 0 0
19/05/2017,bo,189665,18,0 0 0 0 0 0
20/05/2017,bo,180034,15,0 0 0 0 0 0
21/05/2017,bo,153098,16,0 0 0 0 0 0
22/05/2017,bo,170613,15,0 0 0 0 0 0
23/05/2017,bo,169863,20,0 0 0 0 0 0
24/05/2017,bo,173249,25,0 0 0 0 0 0
25/05/2017,bo,179649,25,0 0 0 0 0 0
26/05/2017,bo,193632,17,0 0 0 0 0 0
27/05/2017,bo,168404,13,0 0 0 0 0 0
28/05/2017,bo,152874,14,0 0 0 0 0 0
29/05/2017,bo,168082,12,0 0 0 0 0 0
01/06/2017,bo,183680,13,0 0 0 0 0 0
03/06/2017,bo,180423,16,1 0 0 0 0 0
04/06/2017,bo,167887,18,0 0 0 0 0 0
05/06/2017,bo,177306,15,0 0 0 0 0 0
06/06/2017,bo,184592,15,0 0 0 0 0 0
07/06/2017,bo,177946,16,0 0 0 0 0 0
08/06/2017,bo,187038,22,0 0 0 0 0 0
09/06/2017,bo,189824,12,0 0 0 0 0 0
10/06/2017,bo,187133,14,0 0 0 0 0 0
11/06/2017,bo,163831,16,0 0 0 0 0 0
12/06/2017,bo,175405,13,0 0 0 0 0 0
13/06/2017,bo,182120,15,0 0 0 0 0 0
14/06/2017,bo,183467,14,0 0 0 0 0 0
15/06/2017,bo,177469,17,0 0 0 0 0 0
16/06/2017,bo,192182,18,0 0 0 0 0 0
17/06/2017,bo,186254,17,0 0 0 0 0 0
18/06/2017,bo,161326,15,0 0 0 0 0 0
19/06/2017,bo,165893,8,0 0 0 0 0 0
20/06/2017,bo,168950,11,0 0 0 0 0 0
21/06/2017,bo,170083,15,0 0 0 0 0 0
22/06/2017,bo,174313,14,0 0 0 0 0 0
23/06/2017,bo,187999,16,0 0 0 0 0 0
24/06/2017,bo,184727,17,0 0 0 0 0 0
25/06/2017,bo,152341,19,0 0 0 0 0 0
26/06/2017,bo,165263,20,1 0 0 0 0 0
27/06/2017,bo,173509,18,0 0 0 0 0 0
28/06/2017,bo,166564,17,0 0 0 0 0 0
29/06/2017,bo,169558,17,0 0 0 0 0 0
30/06/2017,bo,185578,15,1 0 0 0 0 0
01/07/2017,bo,184576,14,0 0 0 0 0 0
02/07/2017,bo,169210,16,0 0 0 0 0 0
03/07/2017,bo,196477,16,0 0 0 0 0 0
04/07/2017,bo,194497,17,0 0 0 0 0 0
05/07/2017,bo,188710,17,1 0 0 0 0 0
06/07/2017,bo,191492,16,0 0 0 0 0 0
07/07/2017,bo,200168,17,0 0 0 0 0 0
08/07/2017,bo,188559,18,0 0 0 0 0 0
09/07/2017,bo,167662,18,0 0 0 0 0 0
10/07/2017,bo,182545,16,0 0 0 0 0 0
11/07/2017,bo,182080,18,0 0 0 0 0 0
12/07/2017,bo,184737,20,0 0 0 0 0 0
13/07/2017,bo,172409,20,0 0 0 0 0 0
14/07/2017,bo,193967,21,0 0 0 0 0 0
15/07/2017,bo,188833,21,0 0 0 0 0 0
16/07/2017,bo,155129,11,0 0 0 0 0 0
17/07/2017,bo,149062,4,0 0 0 0 0 0
18/07/2017,bo,167704,9,0 0 0 0 0 0
19/07/2017,bo,170227,12,0 0 0 0 0 0
20/07/2017,bo,175467,14,0 0 0 0 0 0
21/07/2017,bo,193007,14,0 0 0 0 0 0
22/07/2017,bo,186720,15,0 0 0 0 0 0
