Date,Country,Streams,TEMP,Indicators
01/01/2017,br,7544427,25,0 0 0 0 0 0
02/01/2017,br,7143415,25,0 0 0 0 0 0
03/01/2017,br,7280218,24,0 0 0 0 0 0
04/01/2017,br,7463098,24,0 0 0 0 0 0
05/01/2017,br,7439978,26,0 0 0 0 0 0
06/01/2017,br,8024331,25,0 0 0 0 0 0
07/01/2017,br,7922752,23,0 0 0 0 0 0
08/01/2017,br,6804288,24,0 0 0 0 0 0
09/01/2017,br,7092096,25,0 0 0 0 0 0
10/01/2017,br,6952169,25,0 0 0 0 0 0
11/01/2017,br,7332700,24,0 0 0 0 0 0
12/01/2017,br,7273219,23,0 0 0 0 0 0
13/01/2017,br,7753271,22,0 0 0 0 0 0
14/01/2017,br,7821124,24,0 0 0 0 0 0
15/01/2017,br,6561592,24,0 0 0 0 0 0
16/01/2017,br,6930426,23,0 0 0 0 0 0
17/01/2017,br,7064077,22,0 0 0 0 0 0
18/01/2017,br,7175432,21,0 0 0 0 0 0
19/01/2017,br,7063573,21,0 0 0 0 0 0
20/01/2017,br,7427888,20,0 0 0 0 0 0
21/01/2017,br,7290624,20,0 0 0 0 0 0
22/01/2017,br,6028506,19,0 0 0 0 0 0
23/01/2017,br,6749330,21,0 0 0 0 0 0
24/01/2017,br,6894177,24,0 0 0 0 0 0
25/01/2017,br,6838354,24,0 0 0 0 0 0
26/01/2017,br,6997340,22,0 0 0 0 0 0
27/01/2017,br,7620504,22,0 0 0 0 0 0
28/01/2017,br,7625091,25,0 0 0 0 0 0
29/01/2017,br,6367919,25,0 0 0 0 0 0
30/01/2017,br,6776173,24,0 0 0 0 0 0
31/01/2017,br,6915180,23,0 0 0 0 0 0
01/02/2017,br,7008282,22,0 0 0 0 0 0
02/02/2017,br,6993410,23,0 0 0 0 0 0
03/02/2017,br,7504079,23,0 0 0 0 0 0
04/02/2017,br,7673417,23,0 0 0 0 0 0
05/02/2017,br,6465951,25,0 0 0 0 0 0
06/02/2017,br,6553568,24,0 0 0 0 0 0
07/02/2017,br,6783427,23,0 0 0 0 0 0
08/02/2017,br,7026154,24,0 0 0 0 0 0
09/02/2017,br,7117881,23,0 0 0 0 0 0
10/02/2017,br,7844895,23,0 0 0 0 0 0
11/02/2017,br,8065499,25,0 0 0 0 0 0
12/02/2017,br,6562816,26,0 0 0 0 0 0
13/02/2017,br,6871651,27,0 0 0 0 0 0
