Date,Country,Streams,TEMP,Indicators
01/01/2017,ca,3073584,2,0 1 0 0 0 0
02/01/2017,ca,2682519,2,0 0 0 0 0 0
03/01/2017,ca,2968980,4,0 1 0 0 0 0
04/01/2017,ca,3127352,1,0 1 1 0 0 0
05/01/2017,ca,3114299,-6,0 0 1 0 0 0
06/01/2017,ca,3420472,-9,0 0 0 0 0 0
07/01/2017,ca,3373925,-10,0 0 1 0 0 0
08/01/2017,ca,3194013,-10,0 0 1 0 0 0
09/01/2017,ca,3408318,-6,0 0 1 0 0 0
10/01/2017,ca,3515716,0,0 1 1 0 0 0
11/01/2017,ca,3569052,4,0 1 0 0 0 0
12/01/2017,ca,3600396,5,1 1 0 0 0 0
13/01/2017,ca,3842652,-2,0 0 1 0 0 0
14/01/2017,ca,3680168,-6,0 0 1 0 0 0
15/01/2017,ca,3520297,-2,0 0 0 0 0 0
16/01/2017,ca,3656760,-1,0 0 0 0 0 0
17/01/2017,ca,3777945,2,0 1 0 0 0 0
18/01/2017,ca,3775314,3,0 1 0 0 0 0
19/01/2017,ca,3752627,3,0 0 0 0 0 0
20/01/2017,ca,3840841,3,0 1 0 0 0 0
21/01/2017,ca,3612688,4,1 1 0 0 0 0
22/01/2017,ca,3370840,4,1 1 0 0 0 0
23/01/2017,ca,3541800,3,0 1 0 0 0 0
24/01/2017,ca,3684399,1,0 1 1 0 0 0
25/01/2017,ca,3660165,3,0 1 0 0 0 0
26/01/2017,ca,3729447,4,0 1 0 0 0 0
27/01/2017,ca,3885711,2,0 1 1 0 0 0
28/01/2017,ca,3660391,0,0 1 1 0 0 0
29/01/2017,ca,3380921,-2,0 0 1 0 0 0
30/01/2017,ca,3559248,-6,0 0 1 0 0 0
31/01/2017,ca,3681913,-3,0 0 1 0 0 0
01/02/2017,ca,3655294,0,0 1 1 0 0 0
02/02/2017,ca,3660056,-2,0 0 1 0 0 0
03/02/2017,ca,3823385,-5,0 0 1 0 0 0
04/02/2017,ca,3667629,-5,0 0 1 0 0 0
05/02/2017,ca,3386261,-1,0 1 1 0 0 0
06/02/2017,ca,3408218,-1,0 1 1 0 0 0
07/02/2017,ca,3631624,1,0 1 1 0 0 0
08/02/2017,ca,3693867,1,0 1 1 0 0 0
09/02/2017,ca,3671467,-7,0 0 1 0 0 0
10/02/2017,ca,3783309,-5,0 0 1 0 0 0
11/02/2017,ca,3643709,1,0 0 1 0 0 0
12/02/2017,ca,3403718,-1,0 1 1 0 0 0
13/02/2017,ca,3511630,-1,0 1 1 0 0 0
14/02/2017,ca,3631782,1,0 0 0 0 0 0
15/02/2017,ca,3727104,1,0 1 1 0 0 0
16/02/2017,ca,3868706,-5,0 0 1 0 0 0
17/02/2017,ca,4099362,-4,0 0 1 0 0 0
18/02/2017,ca,3913831,4,0 0 0 0 0 0
19/02/2017,ca,3579441,8,0 0 0 0 0 0
20/02/2017,ca,3608309,3,0 0 0 0 0 0
21/02/2017,ca,3808406,3,0 1 0 0 0 0
22/02/2017,ca,3937925,4,1 1 0 0 0 0
23/02/2017,ca,4086475,8,0 0 0 0 0 0
24/02/2017,ca,4225720,5,0 1 0 0 0 0
25/02/2017,ca,4071284,5,1 1 0 0 1 0
26/02/2017,ca,3887940,0,0 1 1 0 0 0
27/02/2017,ca,4107826,5,0 0 0 0 0 0
28/02/2017,ca,4308429,4,0 0 0 0 0 0
01/03/2017,ca,4323922,8,1 1 0 0 0 0
02/03/2017,ca,4336725,-2,0 0 1 0 0 0
03/03/2017,ca,5044737,-5,0 0 1 0 0 0
04/03/2017,ca,4969840,-8,0 0 1 0 0 0
05/03/2017,ca,4593317,-7,0 0 1 0 0 0
06/03/2017,ca,5032039,1,0 0 0 0 0 0
07/03/2017,ca,4986834,6,1 1 0 0 0 0
08/03/2017,ca,4969570,6,0 1 0 0 0 0
09/03/2017,ca,4920530,2,0 0 0 0 0 0
10/03/2017,ca,4885610,-3,0 0 1 0 0 0
11/03/2017,ca,4475885,-9,0 0 1 0 0 0
12/03/2017,ca,4167577,-9,0 0 1 0 0 0
13/03/2017,ca,4389364,-8,0 0 1 0 0 0
14/03/2017,ca,4321896,-9,0 0 1 0 0 0
15/03/2017,ca,4295616,-7,0 0 1 0 0 0
16/03/2017,ca,4316146,-2,0 0 0 0 0 0
17/03/2017,ca,4393657,0,0 0 0 0 0 0
18/03/2017,ca,3990943,2,0 1 1 0 0 0
19/03/2017,ca,7418212,2,0 1 0 0 0 0
20/03/2017,ca,7539594,2,0 0 0 0 0 0
21/03/2017,ca,7080102,6,0 1 0 0 0 0
22/03/2017,ca,6418149,-3,0 1 0 0 0 0
23/03/2017,ca,6046212,-3,0 0 0 0 0 0
24/03/2017,ca,5778136,3,0 1 1 0 0 0
25/03/2017,ca,5197527,4,0 1 0 0 0 0
26/03/2017,ca,4672791,3,0 1 0 0 0 0
27/03/2017,ca,4993658,7,0 1 0 0 0 0
28/03/2017,ca,4991320,8,0 1 0 0 0 0
29/03/2017,ca,4926064,6,0 0 0 0 0 0
30/03/2017,ca,4792761,3,0 1 1 0 0 0
31/03/2017,ca,4898977,3,0 1 1 0 0 0
01/04/2017,ca,4618453,5,0 1 0 0 0 0
02/04/2017,ca,4462675,8,0 0 0 0 0 0
03/04/2017,ca,4667633,8,0 1 0 0 0 0
04/04/2017,ca,4632793,7,0 1 0 0 0 0
05/04/2017,ca,4651535,6,0 0 0 0 0 0
06/04/2017,ca,4507762,6,0 1 0 0 0 0
07/04/2017,ca,4778378,3,0 1 1 0 0 0
08/04/2017,ca,4620958,5,0 0 0 0 0 0
09/04/2017,ca,4304502,7,0 0 0 0 0 0
10/04/2017,ca,4567465,10,0 1 0 0 1 0
11/04/2017,ca,4570437,11,1 1 0 0 0 0
12/04/2017,ca,4480713,9,0 0 0 0 0 0
13/04/2017,ca,4514131,6,0 0 0 0 0 0
