Date,Country,Streams,TEMP,Indicators
01/01/2017,ch,388398,-3,1 0 0 0 0 0
02/01/2017,ch,473435,-1,0 0 1 0 0 0
03/01/2017,ch,509930,-4,1 0 0 0 0 0
04/01/2017,ch,510669,-1,0 1 1 0 0 0
05/01/2017,ch,516594,-4,1 1 1 0 0 0
06/01/2017,ch,591146,-9,0 0 1 0 0 0
07/01/2017,ch,584674,-9,0 0 1 0 0 0
08/01/2017,ch,509051,-2,0 0 1 0 0 0
09/01/2017,ch,550699,-1,0 0 0 0 0 0
10/01/2017,ch,566850,-1,0 0 1 0 0 0
11/01/2017,ch,587394,2,0 1 0 0 0 0
12/01/2017,ch,585880,4,0 1 0 0 0 0
13/01/2017,ch,620830,1,0 1 1 0 0 0
14/01/2017,ch,632695,0,0 1 1 0 0 0
15/01/2017,ch,545185,-2,0 0 1 0 0 0
16/01/2017,ch,574820,-4,0 0 1 0 0 0
17/01/2017,ch,584880,-4,0 0 1 0 0 0
18/01/2017,ch,605361,-4,0 0 1 0 0 0
19/01/2017,ch,591686,-5,0 0 0 0 0 0
20/01/2017,ch,629835,-6,0 0 0 0 0 0
21/01/2017,ch,628595,-6,0 0 0 0 0 0
22/01/2017,ch,564549,-6,0 0 1 0 0 0
23/01/2017,ch,577215,-7,0 0 1 0 0 0
24/01/2017,ch,594265,-6,0 0 0 0 0 0
25/01/2017,ch,610908,-7,0 0 1 0 0 0
26/01/2017,ch,600839,-6,0 0 0 0 0 0
27/01/2017,ch,660061,-3,0 0 1 0 0 0
28/01/2017,ch,662306,-2,0 0 0 0 0 0
29/01/2017,ch,545615,0,0 0 0 0 0 0
30/01/2017,ch,598002,1,0 1 0 0 0 0
31/01/2017,ch,621560,6,0 1 0 0 0 0
01/02/2017,ch,645690,6,1 1 0 0 0 0
02/02/2017,ch,642248,3,1 0 0 0 0 0
03/02/2017,ch,685545,5,1 1 0 0 0 0
04/02/2017,ch,682303,4,1 1 0 0 0 0
05/02/2017,ch,599069,1,0 1 1 0 0 0
06/02/2017,ch,610256,2,0 1 1 0 0 0
07/02/2017,ch,619068,2,1 1 0 0 0 0
08/02/2017,ch,627051,2,0 1 1 0 0 0
09/02/2017,ch,615955,0,0 0 0 0 0 0
10/02/2017,ch,662088,0,0 0 1 0 0 0
11/02/2017,ch,662288,0,0 0 0 0 0 0
12/02/2017,ch,573214,1,0 0 0 0 0 0
13/02/2017,ch,600317,1,0 0 0 0 0 0
14/02/2017,ch,623793,0,0 0 0 0 0 0
15/02/2017,ch,625977,1,1 0 0 0 0 0
16/02/2017,ch,635032,4,1 0 0 0 0 0
17/02/2017,ch,675590,5,1 1 0 0 0 0
18/02/2017,ch,691193,2,1 1 0 0 0 0
19/02/2017,ch,615882,2,1 0 0 0 0 0
20/02/2017,ch,647613,6,0 1 0 0 0 0
21/02/2017,ch,655688,9,0 1 0 0 0 0
22/02/2017,ch,670726,9,0 1 0 0 0 0
23/02/2017,ch,724760,10,0 1 0 0 0 0
24/02/2017,ch,722663,5,0 1 0 0 0 0
25/02/2017,ch,730901,1,1 0 0 0 0 0
26/02/2017,ch,622324,4,0 0 0 0 0 0
27/02/2017,ch,665842,6,0 0 0 0 0 0
28/02/2017,ch,678848,3,0 1 1 0 0 0
01/03/2017,ch,728365,5,0 1 0 0 0 0
02/03/2017,ch,747681,7,0 1 0 0 0 0
03/03/2017,ch,880868,4,0 0 0 0 0 0
04/03/2017,ch,831399,6,0 1 0 0 0 0
05/03/2017,ch,759110,6,0 1 0 0 0 0
06/03/2017,ch,796895,4,0 1 0 0 0 0
07/03/2017,ch,780102,4,0 1 0 0 0 0
08/03/2017,ch,810720,4,1 1 0 0 0 0
09/03/2017,ch,809437,9,0 1 0 0 0 0
10/03/2017,ch,827690,8,1 0 0 0 0 0
11/03/2017,ch,827490,5,0 0 0 0 0 0
12/03/2017,ch,751611,7,0 0 0 0 0 0
13/03/2017,ch,760787,7,0 0 0 0 0 0
14/03/2017,ch,753596,8,0 0 0 0 0 0
15/03/2017,ch,792729,8,0 0 0 0 0 0
16/03/2017,ch,794100,9,0 0 0 0 0 0
17/03/2017,ch,791481,11,0 0 0 0 0 0
18/03/2017,ch,795428,8,0 1 0 0 0 0
19/03/2017,ch,763901,11,0 1 0 0 0 0
20/03/2017,ch,781737,10,0 0 0 0 0 0
21/03/2017,ch,749964,10,0 0 0 0 0 0
22/03/2017,ch,754519,6,0 1 0 0 0 0
23/03/2017,ch,755898,11,0 1 0 0 0 0
24/03/2017,ch,761862,9,0 0 0 0 0 0
25/03/2017,ch,796762,10,0 0 0 0 0 0
26/03/2017,ch,665539,8,0 0 0 0 0 0
27/03/2017,ch,714350,9,0 0 0 0 0 0
28/03/2017,ch,714990,11,0 0 0 0 0 0
29/03/2017,ch,759736,12,0 0 0 0 0 0
30/03/2017,ch,754184,12,0 0 0 0 0 0
31/03/2017,ch,768565,13,0 0 0 0 0 0
01/04/2017,ch,782497,11,0 0 0 0 0 0
02/04/2017,ch,654021,12,0 1 0 0 0 0
03/04/2017,ch,685981,13,0 1 0 0 0 0
04/04/2017,ch,672336,11,0 1 0 0 0 0
05/04/2017,ch,708793,11,0 0 0 0 0 0
06/04/2017,ch,706237,9,0 0 0 0 0 0
07/04/2017,ch,774569,9,0 0 0 0 0 0
08/04/2017,ch,791124,11,0 0 0 0 0 0
09/04/2017,ch,700032,13,0 0 0 0 0 0
10/04/2017,ch,697487,16,0 0 0 0 0 0
11/04/2017,ch,673143,11,0 0 0 0 0 0
12/04/2017,ch,715757,12,0 0 0 0 0 0
13/04/2017,ch,766564,13,0 0 0 0 0 0
14/04/2017,ch,716413,10,0 0 0 0 0 0
15/04/2017,ch,660985,10,0 1 0 0 0 0
16/04/2017,ch,558027,8,0 1 0 0 0 0
17/04/2017,ch,590176,7,0 1 0 0 0 0
18/04/2017,ch,658348,3,0 1 1 0 0 0
19/04/2017,ch,665561,2,0 1 1 0 0 0
20/04/2017,ch,683824,2,0 0 0 0 0 0
21/04/2017,ch,728818,6,0 0 0 0 0 0
22/04/2017,ch,721667,8,0 0 0 0 0 0
23/04/2017,ch,608179,9,0 1 0 0 0 0
24/04/2017,ch,671318,10,0 0 0 0 0 0
25/04/2017,ch,652229,10,0 1 0 0 0 0
26/04/2017,ch,670734,3,0 1 1 0 0 0
27/04/2017,ch,679155,3,0 1 0 0 0 0
28/04/2017,ch,734385,4,0 1 0 0 0 0
