Date,Country,Streams,TEMP,Indicators
01/01/2017,cl,2552905,22,0 0 0 0 0 0
02/01/2017,cl,2115848,24,0 0 0 0 0 0
03/01/2017,cl,2446671,22,0 0 0 0 0 0
04/01/2017,cl,2453537,21,0 0 0 0 0 0
05/01/2017,cl,2484767,23,0 0 0 0 0 0
06/01/2017,cl,2589872,22,0 0 0 0 0 0
07/01/2017,cl,2576528,23,0 0 0 0 0 0
08/01/2017,cl,2310613,24,0 0 0 0 0 0
09/01/2017,cl,2398753,22,0 0 0 0 0 0
10/01/2017,cl,2415572,23,0 0 0 0 0 0
11/01/2017,cl,2447702,24,0 0 0 0 0 0
12/01/2017,cl,2478670,26,0 0 0 0 0 0
13/01/2017,cl,2649042,27,0 0 0 0 0 0
14/01/2017,cl,2662846,25,0 0 0 0 0 0
15/01/2017,cl,2391800,22,0 0 0 0 0 0
16/01/2017,cl,2609275,22,0 0 0 0 0 0
17/01/2017,cl,2656654,25,0 0 0 0 0 0
18/01/2017,cl,2717107,27,0 0 0 0 0 0
19/01/2017,cl,2750789,25,0 0 0 0 0 0
20/01/2017,cl,2891922,27,0 0 0 0 0 0
21/01/2017,cl,2964209,26,0 0 0 0 0 0
22/01/2017,cl,2667248,23,0 0 0 0 0 0
23/01/2017,cl,2910703,23,0 0 0 0 0 0
24/01/2017,cl,2947379,24,0 0 0 0 0 0
25/01/2017,cl,2920700,28,0 0 0 0 0 0
26/01/2017,cl,2813132,27,0 0 0 0 0 0
27/01/2017,cl,3041111,26,0 0 0 0 0 0
28/01/2017,cl,3147782,25,0 0 0 0 0 0
29/01/2017,cl,2890901,25,0 0 0 0 0 0
30/01/2017,cl,3094451,25,0 0 0 0 0 0
31/01/2017,cl,3193142,25,0 0 0 0 0 0
01/02/2017,cl,3299673,23,0 0 0 0 0 0
02/02/2017,cl,3283216,21,0 0 0 0 0 0
03/02/2017,cl,3314977,17,0 0 0 0 0 0
04/02/2017,cl,3272849,19,0 0 0 0 0 0
05/02/2017,cl,3058411,22,0 0 0 0 0 0
06/02/2017,cl,3213553,24,0 0 0 0 0 0
07/02/2017,cl,3254492,22,0 0 0 0 0 0
08/02/2017,cl,3225565,18,0 0 0 0 0 0
09/02/2017,cl,3219909,20,0 0 0 0 0 0
10/02/2017,cl,3328681,22,0 0 0 0 0 0
11/02/2017,cl,3276972,22,0 0 0 0 0 0
12/02/2017,cl,2965358,23,0 0 0 0 0 0
13/02/2017,cl,3092988,23,0 0 0 0 0 0
14/02/2017,cl,3041980,21,0 0 0 0 0 0
15/02/2017,cl,3076141,22,0 0 0 0 0 0
16/02/2017,cl,3100723,21,0 0 0 0 0 0
17/02/2017,cl,3147815,20,0 0 0 0 0 0
18/02/2017,cl,2975351,20,0 0 0 0 0 0
19/02/2017,cl,2904272,23,0 0 0 0 0 0
20/02/2017,cl,3071908,25,0 0 0 0 0 0
21/02/2017,cl,2922084,25,0 0 0 0 0 0
22/02/2017,cl,2946031,26,0 0 0 0 0 0
23/02/2017,cl,3035447,24,0 0 0 0 0 0
24/02/2017,cl,3240079,25,0 0 0 0 0 0
25/02/2017,cl,2945008,25,0 0 0 0 0 0
26/02/2017,cl,2723112,24,0 0 0 0 0 0
27/02/2017,cl,3208636,24,0 0 0 0 0 0
28/02/2017,cl,3309636,23,0 0 0 0 0 0
01/03/2017,cl,3394227,22,0 0 0 0 0 0
02/03/2017,cl,3368290,21,0 0 0 0 0 0
03/03/2017,cl,3501974,22,0 0 0 0 0 0
04/03/2017,cl,3482649,20,0 0 0 0 0 0
05/03/2017,cl,3203056,21,0 0 0 0 0 0
06/03/2017,cl,3230581,22,0 0 0 0 0 0
07/03/2017,cl,3303831,23,0 0 0 0 0 0
08/03/2017,cl,3294645,20,0 0 0 0 0 0
09/03/2017,cl,3355328,19,0 0 0 0 0 0
10/03/2017,cl,3581450,20,0 0 0 0 0 0
11/03/2017,cl,3586647,19,0 0 0 0 0 0
12/03/2017,cl,3250298,21,0 0 0 0 0 0
13/03/2017,cl,3280475,22,0 0 0 0 0 0
14/03/2017,cl,3354204,18,0 0 0 0 0 0
