Date,Country,Streams,TEMP,Indicators
01/01/2017,co,809594,14,0 0 0 0 0 0
02/01/2017,co,926995,15,0 0 0 0 0 0
03/01/2017,co,991153,13,0 0 0 0 0 0
04/01/2017,co,987669,14,0 0 0 0 0 0
05/01/2017,co,1018205,12,0 1 0 0 0 0
06/01/2017,co,1053515,14,0 0 0 0 0 0
07/01/2017,co,1006427,13,0 0 0 0 0 0
08/01/2017,co,868085,14,0 1 0 0 0 0
09/01/2017,co,885903,13,1 1 0 0 0 0
10/01/2017,co,1001643,13,1 1 0 0 0 0
11/01/2017,co,1033780,14,0 1 0 0 1 0
12/01/2017,co,1074644,14,0 0 0 0 0 0
13/01/2017,co,1126699,14,0 0 0 0 0 0
14/01/2017,co,1056397,14,0 1 0 0 0 0
15/01/2017,co,954961,15,1 0 0 0 0 0
16/01/2017,co,1058568,15,0 1 0 0 0 0
17/01/2017,co,1095759,14,0 0 0 0 0 0
18/01/2017,co,1113380,13,1 1 0 0 1 0
19/01/2017,co,1227784,14,1 1 0 0 0 0
20/01/2017,co,1277550,14,1 0 0 0 0 0
21/01/2017,co,1239778,13,0 0 0 0 0 0
22/01/2017,co,1103796,11,0 0 0 0 0 0
23/01/2017,co,1217964,11,0 0 0 0 0 0
24/01/2017,co,1258203,12,1 0 0 0 0 0
25/01/2017,co,1264857,13,1 0 0 0 0 0
26/01/2017,co,1336656,13,0 1 0 0 0 0
27/01/2017,co,1431511,14,0 0 0 0 0 0
28/01/2017,co,1405504,14,0 0 0 0 0 0
29/01/2017,co,1206844,14,0 0 0 0 0 0
30/01/2017,co,1251420,13,0 0 0 0 0 0
31/01/2017,co,1360891,14,0 0 0 0 0 0
01/02/2017,co,1376766,14,0 1 0 0 0 0
02/02/2017,co,1457956,13,0 0 0 0 0 0
03/02/2017,co,1516251,14,1 0 0 0 0 0
04/02/2017,co,1528286,13,1 0 0 0 0 0
05/02/2017,co,1368006,14,0 0 0 0 0 0
06/02/2017,co,1368363,13,0 0 0 0 0 0
07/02/2017,co,1419953,15,0 0 0 0 0 0
08/02/2017,co,1442213,13,0 0 0 0 0 0
09/02/2017,co,1483077,13,1 0 0 0 0 0
10/02/2017,co,1539405,15,0 0 0 0 0 0
11/02/2017,co,1560394,14,0 0 0 0 0 0
12/02/2017,co,1353523,15,0 1 0 0 0 0
13/02/2017,co,1360595,15,0 0 0 0 0 0
14/02/2017,co,1392806,13,0 1 0 0 0 0
15/02/2017,co,1388950,13,0 0 0 0 0 0
16/02/2017,co,1460273,12,1 0 0 0 0 0
17/02/2017,co,1519696,13,0 1 0 0 0 0
18/02/2017,co,1525686,14,0 0 0 0 0 0
19/02/2017,co,1330099,12,1 0 0 0 0 0
20/02/2017,co,1334408,15,0 1 0 0 1 0
21/02/2017,co,1362687,14,0 0 0 0 1 0
22/02/2017,co,1386266,14,0 0 0 0 0 0
23/02/2017,co,1453959,13,0 0 0 0 0 0
24/02/2017,co,1513847,13,0 1 0 0 0 0
25/02/2017,co,1476960,13,1 1 0 0 1 0
26/02/2017,co,1267817,13,1 1 0 0 0 0
27/02/2017,co,1313777,13,0 1 0 0 0 0
28/02/2017,co,1395919,14,1 1 0 0 1 0
01/03/2017,co,1351586,13,1 1 0 0 1 0
02/03/2017,co,1431583,14,0 1 0 0 0 0
03/03/2017,co,1514069,14,0 0 0 0 0 0
04/03/2017,co,1502763,13,1 0 0 0 0 0
05/03/2017,co,1288604,14,0 1 0 0 0 0
06/03/2017,co,1311808,16,0 1 0 0 1 0
07/03/2017,co,1357517,14,0 1 0 0 1 0
08/03/2017,co,1342703,13,0 1 0 0 1 0
09/03/2017,co,1443514,14,0 1 0 0 0 0
10/03/2017,co,1523714,15,0 0 0 0 0 0
11/03/2017,co,1536068,15,1 1 0 0 1 0
12/03/2017,co,1240650,13,0 1 0 0 0 0
13/03/2017,co,1356575,14,0 1 0 0 0 0
14/03/2017,co,1381383,15,0 1 0 0 1 0
15/03/2017,co,1368779,14,0 1 0 0 1 0
16/03/2017,co,1447735,15,0 0 0 0 0 0
17/03/2017,co,1489888,15,0 0 0 0 0 0
18/03/2017,co,1514635,14,0 0 0 0 0 0
19/03/2017,co,1258090,13,0 0 0 0 0 0
20/03/2017,co,1274620,14,1 0 0 0 1 0
21/03/2017,co,1257994,14,0 1 0 0 1 0
22/03/2017,co,1324023,14,0 1 0 0 0 0
23/03/2017,co,1289640,14,0 1 0 0 1 0
24/03/2017,co,1382272,14,0 1 0 0 1 0
25/03/2017,co,1410661,14,0 1 0 0 1 0
26/03/2017,co,1208824,13,0 1 0 0 0 0
27/03/2017,co,1275537,14,0 1 0 0 1 0
28/03/2017,co,1234738,14,1 1 0 0 0 0
29/03/2017,co,1294537,14,0 1 0 0 0 0
30/03/2017,co,1366830,13,1 1 0 0 1 0
31/03/2017,co,1406988,15,0 1 0 0 0 0
01/04/2017,co,1393972,15,0 1 0 0 0 0
02/04/2017,co,1249248,16,0 1 0 0 0 0
03/04/2017,co,1241196,14,0 0 0 0 0 0
04/04/2017,co,1298790,14,0 0 0 0 0 0
05/04/2017,co,1307996,13,0 0 0 0 0 0
06/04/2017,co,1359308,13,0 0 0 0 0 0
07/04/2017,co,1414372,13,0 0 0 0 0 0
08/04/2017,co,1381121,15,0 1 0 1 1 0
09/04/2017,co,1141473,14,1 1 0 0 0 0
10/04/2017,co,1293329,14,1 1 0 0 1 0
11/04/2017,co,1252196,14,0 0 0 0 0 0
12/04/2017,co,1275239,14,1 1 0 0 1 0
13/04/2017,co,1182373,15,0 0 0 0 0 0
14/04/2017,co,901763,15,0 1 0 0 0 0
15/04/2017,co,1061116,15,0 0 0 0 0 0
16/04/2017,co,1062962,14,0 1 0 0 0 0
17/04/2017,co,1232454,14,0 0 0 0 0 0
18/04/2017,co,1268688,14,0 1 0 0 1 0
19/04/2017,co,1258669,15,0 0 0 0 1 0
20/04/2017,co,1328026,14,0 1 0 0 1 0
21/04/2017,co,1392582,14,0 1 0 0 0 0
22/04/2017,co,1476303,14,1 0 0 0 0 0
23/04/2017,co,1261761,16,0 0 0 0 0 0
24/04/2017,co,1286600,15,1 0 0 0 0 0
25/04/2017,co,1327577,15,1 0 0 0 0 0
26/04/2017,co,1332019,15,0 1 0 0 0 0
27/04/2017,co,1398620,15,0 1 0 0 1 0
28/04/2017,co,1470379,15,0 1 0 0 0 0
29/04/2017,co,1471930,14,0 0 0 0 0 0
30/04/2017,co,1263294,15,0 1 0 0 0 0
01/05/2017,co,1277987,15,0 0 0 0 0 0
02/05/2017,co,1242234,13,1 1 0 0 0 0
03/05/2017,co,1330954,14,1 1 0 0 1 0
04/05/2017,co,1426178,15,0 1 0 0 1 0
05/05/2017,co,1501112,14,1 1 0 0 0 0
06/05/2017,co,1473907,14,0 1 0 0 0 0
07/05/2017,co,1288096,14,1 1 0 0 1 0
08/05/2017,co,1315638,14,0 1 0 0 0 0
09/05/2017,co,1341099,14,1 1 0 0 0 0
10/05/2017,co,1384041,14,1 1 0 0 0 0
11/05/2017,co,1393897,14,0 1 0 0 0 0
12/05/2017,co,1452119,14,0 1 0 0 1 0
13/05/2017,co,1468395,15,1 1 0 0 1 0
14/05/2017,co,1237298,15,1 1 0 0 1 0
15/05/2017,co,1255504,14,0 1 0 0 1 0
16/05/2017,co,1328921,16,0 1 0 0 0 0
17/05/2017,co,1341891,14,1 1 0 0 1 0
18/05/2017,co,1393086,16,0 1 0 0 0 0
19/05/2017,co,1469888,15,0 0 0 0 0 0
20/05/2017,co,1428220,14,0 1 0 0 0 0
21/05/2017,co,1245328,16,0 0 0 0 0 0
22/05/2017,co,1232419,13,0 1 0 0 0 0
23/05/2017,co,1303306,14,0 0 0 0 0 0
24/05/2017,co,1314614,15,0 1 0 0 0 0
25/05/2017,co,1376747,15,0 0 0 0 0 0
26/05/2017,co,1444452,15,0 0 0 0 0 0
27/05/2017,co,1435670,14,0 0 0 0 0 0
28/05/2017,co,1269252,14,0 0 0 0 0 0
29/05/2017,co,1243131,15,0 0 0 0 0 0
01/06/2017,co,1316079,15,0 1 0 0 0 0
03/06/2017,co,1331994,15,0 1 0 0 0 0
04/06/2017,co,1147726,15,0 1 0 0 0 0
05/06/2017,co,1195309,15,0 0 0 0 0 0
06/06/2017,co,1251012,14,0 0 0 0 0 0
07/06/2017,co,1179705,14,1 1 0 0 0 0
08/06/2017,co,1269464,13,1 1 0 0 1 0
09/06/2017,co,1353678,14,1 1 0 0 1 0
10/06/2017,co,1388404,15,0 1 0 0 0 0
11/06/2017,co,1165120,14,0 1 0 0 1 0
12/06/2017,co,1178126,14,1 1 0 0 1 0
13/06/2017,co,1216577,14,0 1 0 0 1 0
14/06/2017,co,1292610,15,1 1 0 0 0 0
15/06/2017,co,1274273,14,0 1 0 0 0 0
16/06/2017,co,1399691,14,0 0 0 0 0 0
17/06/2017,co,1319959,13,0 1 0 0 0 0
18/06/2017,co,1087053,14,0 1 0 0 1 0
19/06/2017,co,1026312,14,1 1 0 0 0 0
20/06/2017,co,1189221,14,0 1 0 0 1 0
21/06/2017,co,1200797,14,0 1 0 0 0 0
22/06/2017,co,1246171,14,0 1 0 0 0 0
23/06/2017,co,1310406,15,0 1 0 0 0 0
24/06/2017,co,1299596,13,0 0 0 0 0 0
25/06/2017,co,1106758,15,0 0 0 0 0 0
26/06/2017,co,1049450,13,0 1 0 0 0 0
27/06/2017,co,1147600,14,0 1 0 0 0 0
28/06/2017,co,1179998,15,0 1 0 0 0 0
29/06/2017,co,1207299,14,0 0 0 0 0 0
30/06/2017,co,1371218,16,0 1 0 0 0 0
01/07/2017,co,1372053,15,0 1 0 0 0 0
02/07/2017,co,1152880,15,0 0 0 0 0 0
03/07/2017,co,1120386,15,0 0 0 0 0 0
04/07/2017,co,1273981,15,0 1 0 0 0 0
05/07/2017,co,1345200,13,0 0 0 0 0 0
06/07/2017,co,1402912,14,0 1 0 0 0 0
07/07/2017,co,1480470,14,0 1 0 0 0 0
08/07/2017,co,1463640,13,0 1 0 0 0 0
09/07/2017,co,1245721,14,0 1 0 0 0 0
10/07/2017,co,1313057,14,0 1 0 0 0 0
11/07/2017,co,1356363,14,0 1 0 0 0 0
12/07/2017,co,1344929,14,0 0 0 0 0 0
13/07/2017,co,1414366,14,0 0 0 0 0 0
14/07/2017,co,1428454,13,0 1 0 0 0 0
15/07/2017,co,1428846,13,0 1 0 0 0 0
16/07/2017,co,1215442,13,1 1 0 0 1 0
17/07/2017,co,1239445,14,0 1 0 0 0 0
18/07/2017,co,1303104,14,0 1 0 0 0 0
19/07/2017,co,1322687,14,0 1 0 0 0 0
20/07/2017,co,1290544,14,0 1 0 0 0 0
21/07/2017,co,1330668,15,0 0 0 0 0 0
22/07/2017,co,1356984,14,0 1 0 0 0 0
23/07/2017,co,1156223,15,0 1 0 0 0 0
24/07/2017,co,1209338,15,0 1 0 0 0 0
25/07/2017,co,1247604,15,0 1 0 0 0 0
26/07/2017,co,1242776,14,0 1 0 0 0 0
27/07/2017,co,1300700,14,0 0 0 0 0 0
28/07/2017,co,1384581,14,0 0 0 0 0 0
29/07/2017,co,1425124,14,0 1 0 0 0 0
30/07/2017,co,1211394,14,0 1 0 0 0 0
31/07/2017,co,1222284,13,0 0 0 0 0 0
01/08/2017,co,1298078,13,0 1 0 0 0 0
02/08/2017,co,1368014,14,0 0 0 0 0 0
03/08/2017,co,1385411,13,0 0 0 0 0 0
04/08/2017,co,1444461,14,0 1 0 0 0 0
05/08/2017,co,1499005,15,0 0 0 0 0 0
06/08/2017,co,1301198,14,0 0 0 0 0 0
07/08/2017,co,1241546,14,0 0 0 0 0 0
08/08/2017,co,1252189,14,0 0 0 0 0 0
09/08/2017,co,1299301,14,0 1 0 0 0 0
10/08/2017,co,1341448,13,0 0 0 0 0 0
11/08/2017,co,1404928,15,0 0 0 0 0 0
12/08/2017,co,1454723,14,0 0 0 0 0 0
13/08/2017,co,1270525,15,0 1 0 0 0 0
14/08/2017,co,1258784,13,0 0 0 0 0 0
15/08/2017,co,1286472,13,0 0 0 0 0 0
16/08/2017,co,1292489,15,0 0 0 0 0 0
17/08/2017,co,1337172,15,0 0 0 0 0 0
18/08/2017,co,1435741,15,1 1 0 0 1 0
19/08/2017,co,1475668,14,1 1 0 0 1 0
20/08/2017,co,1264459,14,1 1 0 0 0 0
21/08/2017,co,1186029,14,0 0 0 0 0 0
22/08/2017,co,1241112,15,0 0 0 0 0 0
23/08/2017,co,1273614,13,0 0 0 0 0 0
24/08/2017,co,1288572,12,0 1 0 0 0 0
25/08/2017,co,1364557,13,0 1 0 0 0 0
26/08/2017,co,1483086,14,0 0 0 0 0 0
27/08/2017,co,1180927,14,0 0 0 0 0 0
28/08/2017,co,1193917,15,0 1 0 0 0 0
29/08/2017,co,1252057,13,1 1 0 0 0 0
30/08/2017,co,1276351,14,0 1 0 0 0 0
31/08/2017,co,1232885,15,0 0 0 0 0 0
01/09/2017,co,1364643,13,0 0 0 0 0 0
02/09/2017,co,1417597,14,0 1 0 0 0 0
03/09/2017,co,1212850,14,0 0 0 0 0 0
04/09/2017,co,1180100,14,0 0 0 0 0 0
05/09/2017,co,1140428,13,0 0 0 0 0 0
06/09/2017,co,1197242,14,1 0 0 0 0 0
07/09/2017,co,1179761,14,0 1 0 0 0 0
08/09/2017,co,1228488,13,0 1 0 0 0 0
09/09/2017,co,1245831,14,1 1 0 0 0 0
10/09/2017,co,1108661,14,0 0 0 0 0 0
11/09/2017,co,1153394,15,0 1 0 0 0 0
12/09/2017,co,1195046,13,0 0 0 0 0 0
13/09/2017,co,1203185,15,0 0 0 0 0 0
14/09/2017,co,1254458,15,0 0 0 0 0 0
15/09/2017,co,1319013,14,0 1 0 0 0 0
16/09/2017,co,1356065,14,0 0 0 0 0 0
17/09/2017,co,1139559,15,0 0 0 0 0 0
18/09/2017,co,1161300,14,0 1 0 0 0 0
19/09/2017,co,1202984,15,0 0 0 0 0 0
20/09/2017,co,1188387,16,0 0 0 0 0 0
21/09/2017,co,1269359,15,1 1 0 0 0 0
22/09/2017,co,1344658,14,1 0 0 0 0 0
23/09/2017,co,1346124,14,0 1 0 0 0 0
24/09/2017,co,1166285,14,0 1 0 0 0 0
25/09/2017,co,1161198,15,0 0 0 0 0 0
26/09/2017,co,1230479,12,0 0 0 0 0 0
27/09/2017,co,1243566,13,1 1 0 0 0 0
28/09/2017,co,1247042,14,0 1 0 0 0 0
29/09/2017,co,1328366,15,0 1 0 0 0 0
30/09/2017,co,1291812,15,0 1 0 0 0 0
01/10/2017,co,1135700,14,0 1 0 0 0 0
02/10/2017,co,1104885,15,0 1 0 0 1 0
03/10/2017,co,1150405,14,0 1 0 0 0 0
04/10/2017,co,1156536,15,1 1 0 0 0 0
05/10/2017,co,1153942,15,0 0 0 0 0 0
06/10/2017,co,1183650,14,0 0 0 0 0 0
07/10/2017,co,1310999,14,0 0 0 0 0 0
08/10/2017,co,1135054,12,0 1 0 0 1 0
09/10/2017,co,1143080,12,1 1 0 0 1 0
10/10/2017,co,1160968,12,1 0 0 0 0 0
11/10/2017,co,1083105,14,0 1 0 0 0 0
12/10/2017,co,1243870,13,1 1 0 0 0 0
13/10/2017,co,1322239,14,0 1 0 0 0 0
14/10/2017,co,1325271,15,0 1 0 0 0 0
15/10/2017,co,1146986,15,0 1 0 0 0 0
16/10/2017,co,1114199,16,0 0 0 0 0 0
17/10/2017,co,1144332,14,0 0 0 0 0 0
