Date,Country,Streams,TEMP,Indicators
01/01/2017,cr,425746,23,0 1 0 0 0 0
02/01/2017,cr,402240,23,0 1 0 0 0 0
03/01/2017,cr,428534,23,0 0 0 0 0 0
04/01/2017,cr,427951,24,0 0 0 0 0 0
05/01/2017,cr,425030,23,0 0 0 0 0 0
06/01/2017,cr,452054,23,0 0 0 0 0 0
07/01/2017,cr,436936,23,0 0 0 0 0 0
08/01/2017,cr,357319,21,0 1 0 0 0 0
09/01/2017,cr,416708,21,0 1 0 0 0 0
10/01/2017,cr,433313,22,0 0 0 0 0 0
11/01/2017,cr,444419,23,0 0 0 0 0 0
12/01/2017,cr,446250,23,0 0 0 0 0 0
13/01/2017,cr,448503,22,0 1 0 0 0 0
14/01/2017,cr,425887,20,0 1 0 0 0 0
15/01/2017,cr,374186,22,0 0 0 0 0 0
16/01/2017,cr,439853,23,0 0 0 0 0 0
17/01/2017,cr,456440,23,0 0 0 0 0 0
18/01/2017,cr,453701,23,0 0 0 0 0 0
19/01/2017,cr,464389,24,0 0 0 0 0 0
20/01/2017,cr,479090,23,0 0 0 0 0 0
21/01/2017,cr,470319,24,0 0 0 0 0 0
22/01/2017,cr,406964,23,0 0 0 0 0 0
23/01/2017,cr,469143,25,0 0 0 0 0 0
24/01/2017,cr,495095,23,0 0 0 0 0 0
25/01/2017,cr,497199,22,0 1 0 0 0 0
26/01/2017,cr,529553,24,0 0 0 0 0 0
27/01/2017,cr,547207,24,0 0 0 0 0 0
28/01/2017,cr,528527,23,0 0 0 0 0 0
29/01/2017,cr,445069,23,0 0 0 0 0 0
30/01/2017,cr,495216,22,0 0 0 0 0 0
31/01/2017,cr,524004,22,0 0 0 0 0 0
01/02/2017,cr,531055,23,0 0 0 0 0 0
02/02/2017,cr,531114,22,0 0 0 0 0 0
03/02/2017,cr,548556,23,0 0 0 0 0 0
04/02/2017,cr,536771,23,0 0 0 0 0 0
05/02/2017,cr,448469,23,0 0 0 0 0 0
06/02/2017,cr,494410,23,0 0 0 0 0 0
07/02/2017,cr,517652,23,0 1 0 0 0 0
08/02/2017,cr,531681,24,0 0 0 0 0 0
09/02/2017,cr,534419,24,0 0 0 0 0 0
10/02/2017,cr,551606,23,0 0 0 0 0 0
11/02/2017,cr,553064,23,0 0 0 0 0 0
12/02/2017,cr,472746,22,0 0 0 0 0 0
13/02/2017,cr,515649,23,0 0 0 0 0 0
14/02/2017,cr,532992,24,0 0 0 0 0 0
15/02/2017,cr,534128,24,0 0 0 0 0 0
16/02/2017,cr,554394,25,0 0 0 0 0 0
