Date,Country,Streams,TEMP,Indicators
01/01/2017,cz,168184,-5,1 0 1 0 0 0
02/01/2017,cz,232944,-2,1 0 1 0 0 0
03/01/2017,cz,221409,0,0 0 1 0 0 0
04/01/2017,cz,216032,1,0 1 1 0 0 0
05/01/2017,cz,214061,-3,0 0 1 0 0 0
06/01/2017,cz,242015,-7,0 0 1 0 0 0
07/01/2017,cz,246130,-8,0 0 1 0 0 0
08/01/2017,cz,235211,-4,0 1 1 0 0 0
09/01/2017,cz,242161,-2,0 1 1 0 0 0
10/01/2017,cz,252060,-4,0 0 0 0 0 0
11/01/2017,cz,242832,-7,0 1 1 0 0 0
12/01/2017,cz,250080,3,0 1 0 0 0 0
13/01/2017,cz,262712,3,0 1 1 0 0 0
14/01/2017,cz,252427,1,0 0 1 0 0 0
15/01/2017,cz,249992,0,0 1 1 0 0 0
16/01/2017,cz,250024,-2,0 0 1 0 0 0
17/01/2017,cz,263885,-2,0 0 1 0 0 0
18/01/2017,cz,257782,-4,0 0 0 0 0 0
19/01/2017,cz,254260,-8,1 0 1 0 0 0
20/01/2017,cz,262543,-7,1 0 0 0 0 0
21/01/2017,cz,250141,-5,0 0 0 0 0 0
22/01/2017,cz,267796,-4,0 0 0 0 0 0
23/01/2017,cz,249109,-6,0 0 0 0 0 0
24/01/2017,cz,262861,-5,0 0 1 0 0 0
25/01/2017,cz,258080,-2,0 0 1 0 0 0
26/01/2017,cz,263004,-1,0 0 0 0 0 0
27/01/2017,cz,268480,-4,0 0 0 0 0 0
28/01/2017,cz,248667,-5,0 0 0 0 0 0
29/01/2017,cz,260347,-6,0 0 0 0 0 0
30/01/2017,cz,256601,-5,0 0 1 0 0 0
31/01/2017,cz,267723,-4,0 0 1 0 0 0
01/02/2017,cz,262919,-3,0 0 1 0 0 0
02/02/2017,cz,268988,-2,0 1 0 0 0 0
03/02/2017,cz,290388,0,1 1 0 0 0 0
04/02/2017,cz,253820,2,1 1 1 0 0 0
05/02/2017,cz,270782,4,1 0 0 0 0 0
06/02/2017,cz,259613,2,0 0 0 0 0 0
07/02/2017,cz,267034,0,0 1 1 0 0 0
08/02/2017,cz,259545,-2,0 0 1 0 0 0
09/02/2017,cz,259146,-3,0 0 0 0 0 0
10/02/2017,cz,270994,0,0 0 0 0 0 0
11/02/2017,cz,257823,1,0 0 0 0 0 0
12/02/2017,cz,277774,2,0 0 0 0 0 0
13/02/2017,cz,267772,2,0 0 0 0 0 0
14/02/2017,cz,279195,1,0 0 0 0 0 0
15/02/2017,cz,272788,2,0 0 0 0 0 0
16/02/2017,cz,268711,4,0 0 0 0 0 0
17/02/2017,cz,283093,5,0 1 0 0 0 0
18/02/2017,cz,270549,5,0 1 0 0 0 0
19/02/2017,cz,285830,4,0 0 0 0 0 0
20/02/2017,cz,279985,6,0 1 0 0 0 0
21/02/2017,cz,294795,9,0 1 0 0 0 0
22/02/2017,cz,289441,9,0 1 0 0 0 0
23/02/2017,cz,328285,11,0 1 0 0 0 0
24/02/2017,cz,311351,5,0 1 0 0 0 0
25/02/2017,cz,296495,3,0 0 0 0 0 0
26/02/2017,cz,301045,6,0 0 0 0 0 0
27/02/2017,cz,304400,8,0 0 0 0 0 0
28/02/2017,cz,312088,7,0 1 0 0 0 0
01/03/2017,cz,334283,6,0 0 0 0 0 0
02/03/2017,cz,336838,8,0 1 0 0 0 0
03/03/2017,cz,368356,7,0 0 0 0 0 0
04/03/2017,cz,340800,10,0 0 0 0 0 0
05/03/2017,cz,358177,9,0 0 0 0 0 0
06/03/2017,cz,358078,6,0 1 0 0 0 0
07/03/2017,cz,354915,5,0 1 0 0 0 0
08/03/2017,cz,361241,5,0 1 0 0 0 0
09/03/2017,cz,374364,8,0 1 0 0 0 0
10/03/2017,cz,343401,6,0 1 0 0 0 0
11/03/2017,cz,317708,6,0 0 0 0 0 0
12/03/2017,cz,326105,4,0 0 0 0 0 0
13/03/2017,cz,330077,4,0 0 0 0 0 0
14/03/2017,cz,320860,7,0 0 0 0 0 0
15/03/2017,cz,318887,9,0 0 0 0 0 0
16/03/2017,cz,333216,9,0 0 0 0 0 0
17/03/2017,cz,310792,9,0 1 0 0 0 0
18/03/2017,cz,293041,7,0 1 0 0 0 0
19/03/2017,cz,312073,8,0 1 0 0 0 0
20/03/2017,cz,296092,12,0 0 0 0 0 0
21/03/2017,cz,294284,11,0 0 0 0 0 0
22/03/2017,cz,299174,6,0 1 0 0 0 0
23/03/2017,cz,313775,6,0 0 0 0 0 0
24/03/2017,cz,291032,9,0 0 0 0 0 0
25/03/2017,cz,283447,8,0 0 0 0 0 0
26/03/2017,cz,289722,8,0 0 0 0 0 0
27/03/2017,cz,291347,8,0 0 0 0 0 0
28/03/2017,cz,293082,13,0 0 0 0 0 0
29/03/2017,cz,299278,15,0 0 0 0 0 0
30/03/2017,cz,309569,15,0 0 0 0 0 0
31/03/2017,cz,294504,16,0 0 0 0 0 0
01/04/2017,cz,271656,16,0 0 0 0 0 0
