Date,Country,Streams,TEMP,Indicators
01/01/2017,de,6085760,1,0 0 0 0 0 0
02/01/2017,de,6952825,0,0 1 1 0 0 0
03/01/2017,de,6921241,2,0 1 1 0 0 0
04/01/2017,de,7123472,3,0 1 1 1 1 0
05/01/2017,de,7235095,-3,0 0 1 0 0 0
06/01/2017,de,7893339,-7,0 0 0 0 0 0
07/01/2017,de,8156363,-6,0 0 1 0 0 0
08/01/2017,de,7128121,-3,0 1 1 0 0 0
09/01/2017,de,6884363,-2,0 0 1 0 0 0
10/01/2017,de,6880836,-2,0 0 0 0 0 0
11/01/2017,de,7126923,-4,0 1 1 0 0 0
12/01/2017,de,7286859,3,0 1 0 0 0 0
13/01/2017,de,8176888,2,0 1 1 0 0 0
14/01/2017,de,9054950,0,0 0 1 0 0 0
15/01/2017,de,7399495,0,0 0 1 0 0 0
16/01/2017,de,6983829,-2,0 0 1 0 0 0
17/01/2017,de,6984990,-3,0 0 0 0 0 0
18/01/2017,de,7154303,-5,1 0 0 0 0 0
19/01/2017,de,7377269,-4,0 0 1 0 0 0
20/01/2017,de,8260017,0,0 1 0 0 0 0
21/01/2017,de,8998841,1,0 1 0 0 0 0
22/01/2017,de,7471381,0,0 0 0 0 0 0
23/01/2017,de,7058559,-4,1 1 1 0 0 0
24/01/2017,de,7245762,-1,0 1 1 0 0 0
25/01/2017,de,7464547,0,1 0 1 0 0 0
26/01/2017,de,7692442,0,1 0 0 0 0 0
27/01/2017,de,8788580,-2,0 0 0 0 0 0
28/01/2017,de,9186890,-4,0 0 0 0 0 0
29/01/2017,de,7611798,0,0 0 0 0 0 0
30/01/2017,de,7399050,0,0 1 1 0 0 0
31/01/2017,de,7579530,0,1 0 1 0 0 0
01/02/2017,de,7536065,-1,1 0 1 0 0 0
02/02/2017,de,7783268,-3,1 0 0 0 0 0
03/02/2017,de,8899720,1,1 1 0 0 0 0
04/02/2017,de,9186502,2,1 1 0 0 0 0
05/02/2017,de,7734307,1,1 1 0 0 0 0
06/02/2017,de,7191645,-1,0 0 0 0 0 0
07/02/2017,de,7357283,-1,0 0 0 0 0 0
08/02/2017,de,7516985,-4,0 0 0 0 0 0
09/02/2017,de,7523563,-4,0 0 0 0 0 0
10/02/2017,de,8648080,-3,0 0 0 0 0 0
11/02/2017,de,9128746,-2,0 0 0 0 0 0
12/02/2017,de,7604645,-2,0 0 0 0 0 0
13/02/2017,de,7331812,-4,0 0 0 0 0 0
14/02/2017,de,7355567,-3,0 0 0 0 0 0
15/02/2017,de,7414730,2,0 0 0 0 0 0
16/02/2017,de,7509854,5,0 1 0 0 0 0
17/02/2017,de,8622478,4,0 1 0 0 0 0
18/02/2017,de,9108386,4,0 1 0 0 0 0
19/02/2017,de,7556628,4,0 1 0 0 0 0
20/02/2017,de,7246291,7,0 1 0 0 0 0
21/02/2017,de,7489168,7,0 1 0 0 0 0
22/02/2017,de,7607624,7,0 1 0 0 0 0
23/02/2017,de,7597986,7,0 1 0 0 0 0
24/02/2017,de,8685219,3,0 1 1 0 0 0
25/02/2017,de,8946946,3,0 1 0 0 0 0
26/02/2017,de,7347606,8,0 1 0 0 0 0
27/02/2017,de,7387983,9,0 0 0 0 0 0
28/02/2017,de,7571567,8,0 1 0 0 0 0
01/03/2017,de,7691288,4,0 1 0 0 0 0
02/03/2017,de,8024190,5,0 1 0 0 0 0
03/03/2017,de,9820792,7,0 0 0 0 0 0
04/03/2017,de,10210069,9,0 0 0 0 0 0
05/03/2017,de,8861474,9,0 0 0 0 0 0
06/03/2017,de,8329959,5,0 1 0 0 0 0
07/03/2017,de,8282938,3,0 1 0 0 0 0
08/03/2017,de,8201721,6,0 1 0 0 0 0
09/03/2017,de,8282894,7,0 1 0 0 0 0
10/03/2017,de,9338999,6,0 1 0 0 0 0
11/03/2017,de,9880645,5,0 0 0 0 0 0
12/03/2017,de,8513588,0,0 0 0 0 0 0
13/03/2017,de,8022524,4,0 0 0 0 0 0
14/03/2017,de,7962416,6,0 0 0 0 0 0
15/03/2017,de,8082353,10,0 0 0 0 0 0
16/03/2017,de,8378098,7,0 0 0 0 0 0
17/03/2017,de,9156286,7,0 1 0 0 0 0
18/03/2017,de,9654377,6,0 1 0 0 0 0
19/03/2017,de,8084176,4,0 1 0 0 0 0
20/03/2017,de,7824473,11,0 1 0 0 0 0
21/03/2017,de,7803463,9,0 1 0 0 0 0
22/03/2017,de,7800348,7,0 0 0 0 0 0
23/03/2017,de,7968397,7,0 1 0 0 0 0
24/03/2017,de,9173584,8,0 0 0 0 0 0
25/03/2017,de,9885218,7,0 0 0 0 0 0
26/03/2017,de,7962962,7,0 0 0 0 0 0
27/03/2017,de,8047340,9,0 0 0 0 0 0
28/03/2017,de,8044983,12,0 0 0 0 0 0
29/03/2017,de,8011690,10,0 1 0 0 0 0
30/03/2017,de,8252192,13,0 1 0 0 0 0
31/03/2017,de,9657445,16,0 0 0 0 0 0
01/04/2017,de,9648549,16,0 0 0 0 0 0
02/04/2017,de,8170724,13,0 0 0 0 0 0
03/04/2017,de,7901359,9,0 0 0 0 0 0
04/04/2017,de,7876990,9,0 1 0 0 0 0
05/04/2017,de,8027487,10,0 1 0 0 0 0
06/04/2017,de,8154200,9,0 0 0 0 0 0
07/04/2017,de,9545335,9,0 1 0 0 0 0
08/04/2017,de,9733613,11,0 0 0 0 0 0
09/04/2017,de,8806288,12,0 0 0 0 0 0
10/04/2017,de,8479843,11,0 0 0 0 0 0
11/04/2017,de,8250934,7,0 1 0 0 0 0
12/04/2017,de,8250850,9,0 1 0 0 0 0
13/04/2017,de,9005517,9,0 1 0 0 0 0
14/04/2017,de,9010980,9,0 0 0 0 0 0
15/04/2017,de,8664694,8,0 1 0 0 0 0
16/04/2017,de,7501376,6,0 1 0 0 0 0
17/04/2017,de,7501712,5,0 1 1 0 0 0
18/04/2017,de,7937163,5,0 1 0 0 0 0
19/04/2017,de,8108291,3,0 0 1 0 0 0
20/04/2017,de,8265312,4,0 0 0 0 0 0
21/04/2017,de,9134751,10,0 1 0 0 0 0
22/04/2017,de,9090020,7,0 1 0 0 0 0
23/04/2017,de,7649721,6,0 1 0 0 0 0
24/04/2017,de,7721944,8,0 0 0 0 0 0
25/04/2017,de,7639098,8,0 1 0 0 0 0
26/04/2017,de,7913089,7,0 0 0 0 0 0
27/04/2017,de,8038873,7,0 0 0 0 0 0
28/04/2017,de,9477370,8,0 0 0 0 0 0
29/04/2017,de,9621081,7,0 1 0 0 0 0
30/04/2017,de,9415578,7,0 0 0 0 0 0
01/05/2017,de,7754859,11,0 0 0 0 0 0
02/05/2017,de,7665009,10,0 1 0 0 0 0
03/05/2017,de,8068956,11,0 0 0 0 0 0
04/05/2017,de,8113460,9,0 1 0 0 0 0
05/05/2017,de,9385886,11,1 1 0 0 0 0
06/05/2017,de,9859047,12,0 0 0 0 0 0
07/05/2017,de,7724304,12,0 1 0 0 0 0
08/05/2017,de,7844188,8,0 1 0 0 0 0
09/05/2017,de,8270195,5,0 1 0 0 0 0
10/05/2017,de,8597668,8,0 1 0 0 0 0
11/05/2017,de,8573924,12,0 0 0 0 0 0
12/05/2017,de,9996653,15,0 0 0 0 0 0
13/05/2017,de,10079309,15,1 1 0 0 0 0
14/05/2017,de,8213089,15,1 1 0 0 0 0
15/05/2017,de,8752208,15,1 0 0 0 0 0
16/05/2017,de,8769021,15,0 1 0 0 0 0
17/05/2017,de,9384435,20,0 1 0 0 0 0
18/05/2017,de,8893841,21,0 0 0 0 0 0
19/05/2017,de,9987518,23,0 0 0 0 0 0
20/05/2017,de,10075892,16,0 1 0 0 0 0
21/05/2017,de,8593700,16,0 0 0 0 0 0
22/05/2017,de,8670979,16,0 0 0 0 0 0
23/05/2017,de,8782015,18,0 1 0 0 1 0
24/05/2017,de,9669558,13,0 0 0 0 0 0
25/05/2017,de,9807755,14,0 0 0 0 0 0
26/05/2017,de,10305379,17,0 0 0 0 0 0
27/05/2017,de,10529717,20,0 0 0 0 0 0
28/05/2017,de,8987415,23,0 0 0 0 0 0
29/05/2017,de,8925830,24,0 0 0 0 0 0
01/06/2017,de,9530440,16,0 0 0 0 0 0
03/06/2017,de,10578612,18,0 1 0 0 0 0
04/06/2017,de,9272618,16,0 1 0 0 0 0
05/06/2017,de,9103694,16,0 1 0 0 0 0
06/06/2017,de,8966625,18,0 1 0 0 0 0
07/06/2017,de,8859738,15,0 1 0 0 0 0
08/06/2017,de,9114738,17,0 0 0 0 0 0
09/06/2017,de,11114351,20,0 1 0 0 0 0
10/06/2017,de,11044194,19,0 0 0 0 0 0
11/06/2017,de,9320101,22,0 1 0 0 0 0
12/06/2017,de,9142409,20,0 1 0 0 0 0
13/06/2017,de,9338777,17,0 1 0 0 0 0
14/06/2017,de,10290573,17,0 0 0 0 0 0
15/06/2017,de,10115355,21,0 1 0 0 0 0
16/06/2017,de,10452613,17,0 1 0 0 0 0
17/06/2017,de,10592066,17,0 0 0 0 0 0
18/06/2017,de,9486199,20,0 0 0 0 0 0
19/06/2017,de,9621717,24,0 0 0 0 0 0
20/06/2017,de,9770211,23,0 0 0 0 0 0
21/06/2017,de,9857305,19,0 0 0 0 0 0
22/06/2017,de,9737281,20,0 1 0 0 1 0
23/06/2017,de,10966662,20,0 1 0 0 1 0
24/06/2017,de,11207180,20,0 1 0 0 0 0
25/06/2017,de,8755676,18,0 1 0 0 0 0
26/06/2017,de,9425199,17,0 1 0 0 0 0
27/06/2017,de,9283059,17,0 0 0 0 0 0
28/06/2017,de,9288373,20,1 1 0 0 1 0
29/06/2017,de,9305380,18,1 1 0 0 1 0
30/06/2017,de,10422779,16,0 1 0 0 0 0
01/07/2017,de,10672108,16,0 1 0 0 0 0
02/07/2017,de,8482718,16,0 1 0 0 0 0
03/07/2017,de,8991757,17,0 0 0 0 0 0
04/07/2017,de,9299960,17,0 1 0 0 0 0
05/07/2017,de,9422791,16,0 1 0 0 0 0
06/07/2017,de,9615816,19,0 0 0 0 0 0
07/07/2017,de,10466913,20,0 1 0 0 1 0
08/07/2017,de,10997378,20,0 1 0 0 0 0
09/07/2017,de,8954816,19,0 1 0 0 0 0
10/07/2017,de,8993820,19,0 1 0 0 1 0
11/07/2017,de,9451137,19,0 1 0 0 1 0
12/07/2017,de,9406119,17,0 1 0 0 0 0
13/07/2017,de,9924838,15,0 0 0 0 0 0
14/07/2017,de,10911344,16,0 0 0 0 0 0
15/07/2017,de,10850566,17,0 1 0 0 0 0
16/07/2017,de,8883878,18,0 1 0 0 0 0
17/07/2017,de,9555807,19,0 1 0 0 0 0
18/07/2017,de,12347741,19,0 0 0 0 0 0
19/07/2017,de,11248651,22,0 1 0 0 1 0
20/07/2017,de,10687910,23,0 1 0 0 0 0
21/07/2017,de,11641676,22,0 0 0 0 0 0
22/07/2017,de,10874650,20,0 1 0 0 1 0
23/07/2017,de,8859794,20,1 1 0 0 1 0
24/07/2017,de,9406670,19,0 1 0 0 0 0
25/07/2017,de,9261550,16,0 1 0 0 0 0
26/07/2017,de,9459583,16,0 1 0 0 0 0
27/07/2017,de,9440080,18,0 1 0 0 1 0
28/07/2017,de,10250909,19,0 0 0 0 0 0
29/07/2017,de,10335424,21,0 0 0 0 0 0
30/07/2017,de,8474764,25,0 0 0 0 0 0
31/07/2017,de,8865043,24,0 0 0 0 0 0
01/08/2017,de,8666256,23,0 1 0 0 0 0
02/08/2017,de,8945642,22,0 0 0 0 0 0
03/08/2017,de,8894927,23,0 1 0 0 1 0
04/08/2017,de,9800618,21,0 0 0 0 0 0
05/08/2017,de,9790193,19,0 1 0 0 0 0
06/08/2017,de,8308032,18,0 0 0 0 0 0
07/08/2017,de,8817542,18,0 0 0 0 0 0
08/08/2017,de,8543623,21,0 0 0 0 0 0
09/08/2017,de,8673551,22,0 1 0 0 0 0
10/08/2017,de,8508954,21,0 1 0 0 1 0
11/08/2017,de,9415101,17,0 1 0 0 1 0
12/08/2017,de,9363875,16,0 1 0 0 0 0
13/08/2017,de,7875856,18,0 0 0 0 0 0
14/08/2017,de,8385147,19,0 0 0 0 0 0
15/08/2017,de,8164111,21,0 0 0 0 0 0
16/08/2017,de,8288049,20,0 1 0 0 0 0
17/08/2017,de,8464946,21,1 1 0 0 0 0
18/08/2017,de,9227792,21,0 1 0 0 1 0
19/08/2017,de,9573636,17,0 0 0 0 0 0
20/08/2017,de,7847104,15,0 1 0 0 0 0
21/08/2017,de,8136008,15,0 1 0 0 0 0
22/08/2017,de,8398842,14,0 0 0 0 0 0
23/08/2017,de,8526971,15,0 0 0 0 0 0
24/08/2017,de,8563477,16,0 1 0 0 0 0
25/08/2017,de,9848119,18,0 0 0 0 0 0
26/08/2017,de,9549661,18,0 1 0 0 0 0
27/08/2017,de,7898920,19,0 0 0 0 0 0
28/08/2017,de,8501843,18,0 0 0 0 0 0
29/08/2017,de,8725703,19,0 0 0 0 0 0
30/08/2017,de,8393592,22,0 0 0 0 0 0
31/08/2017,de,8413664,21,0 1 0 0 0 0
01/09/2017,de,9580943,15,0 0 0 0 0 0
02/09/2017,de,9505900,15,0 0 0 0 0 0
03/09/2017,de,7644349,13,0 1 0 0 0 0
04/09/2017,de,7948687,14,0 0 0 0 0 0
05/09/2017,de,7986460,16,0 0 0 0 0 0
06/09/2017,de,8000391,16,0 1 0 0 1 0
07/09/2017,de,8149698,14,0 1 0 0 0 0
08/09/2017,de,9267131,15,0 1 0 0 0 0
09/09/2017,de,9174356,16,0 1 0 0 0 0
10/09/2017,de,7607748,16,0 0 0 0 0 0
11/09/2017,de,7929806,15,0 1 0 0 0 0
12/09/2017,de,7913407,14,0 1 0 0 0 0
13/09/2017,de,8024377,14,0 1 0 0 0 0
14/09/2017,de,8123633,13,0 1 0 0 0 0
15/09/2017,de,9455314,13,0 1 0 0 0 0
16/09/2017,de,9431424,12,0 0 0 0 0 0
17/09/2017,de,7600269,12,0 0 0 0 0 0
18/09/2017,de,7984741,12,0 1 0 0 0 0
19/09/2017,de,7987261,11,0 0 0 0 0 0
20/09/2017,de,8132214,12,0 1 0 0 0 0
21/09/2017,de,8333384,14,0 0 0 0 0 0
22/09/2017,de,9573248,13,0 0 0 0 0 0
23/09/2017,de,9381508,11,0 1 0 0 0 0
24/09/2017,de,7348903,14,1 1 0 0 0 0
25/09/2017,de,7762129,14,0 1 0 0 0 0
26/09/2017,de,7784553,14,0 1 0 0 0 0
27/09/2017,de,7962904,15,0 1 0 0 0 0
28/09/2017,de,8354093,15,0 0 0 0 0 0
29/09/2017,de,10321143,15,0 0 0 0 0 0
30/09/2017,de,9757876,14,0 0 0 0 0 0
01/10/2017,de,8118303,12,0 1 0 0 0 0
02/10/2017,de,9262161,13,0 1 0 0 0 0
03/10/2017,de,7946080,13,0 1 0 0 0 0
04/10/2017,de,8053725,12,0 1 0 0 0 0
05/10/2017,de,8020340,11,0 1 0 0 0 0
06/10/2017,de,9307881,10,0 1 0 0 0 0
07/10/2017,de,9456451,10,0 1 0 0 0 0
08/10/2017,de,7706772,10,0 1 0 0 0 0
09/10/2017,de,8036209,8,0 1 0 0 0 0
10/10/2017,de,8047746,11,0 1 0 0 0 0
11/10/2017,de,8244949,15,0 1 0 0 0 0
12/10/2017,de,8481499,14,0 1 0 0 0 0
13/10/2017,de,10086931,12,0 0 0 0 0 0
14/10/2017,de,9811512,15,0 0 0 0 0 0
15/10/2017,de,8112579,15,1 0 0 0 0 0
16/10/2017,de,8409565,16,0 0 0 0 0 0
17/10/2017,de,8470834,16,0 0 0 0 0 0
18/10/2017,de,8544425,13,1 0 0 0 0 0
19/10/2017,de,8704032,10,1 0 0 0 0 0
20/10/2017,de,10084196,13,0 1 0 0 0 0
21/10/2017,de,9927330,11,0 1 0 0 0 0
22/10/2017,de,8031791,12,0 1 0 0 0 0
23/10/2017,de,8413090,10,0 1 0 0 0 0
24/10/2017,de,8476096,11,1 1 0 0 0 0
25/10/2017,de,8449267,14,0 1 0 0 0 0
26/10/2017,de,8629359,12,0 1 0 0 0 0
27/10/2017,de,9849240,10,0 1 0 0 0 0
28/10/2017,de,9468307,10,0 1 0 0 0 0
29/10/2017,de,8207149,8,0 1 0 0 0 0
30/10/2017,de,9414074,6,0 1 0 0 0 0
31/10/2017,de,9141957,7,0 0 0 0 0 0
01/11/2017,de,7963433,10,0 1 0 0 0 0
02/11/2017,de,8500331,10,0 1 0 0 0 0
03/11/2017,de,9819775,9,0 0 0 0 0 0
04/11/2017,de,9526020,7,0 0 0 0 0 0
05/11/2017,de,7810689,9,0 1 0 0 0 0
06/11/2017,de,8112923,7,1 1 0 0 0 0
07/11/2017,de,8150349,5,1 0 0 0 0 0
08/11/2017,de,8370842,7,0 0 0 0 0 0
09/11/2017,de,8419582,6,0 0 0 0 0 0
10/11/2017,de,9665498,7,0 1 0 0 0 0
11/11/2017,de,9647078,5,0 1 0 0 0 0
12/11/2017,de,7931431,4,0 1 0 0 0 0
13/11/2017,de,7984770,4,0 1 0 0 0 0
14/11/2017,de,7991332,3,1 1 0 0 0 0
15/11/2017,de,8209345,7,1 1 0 0 0 0
16/11/2017,de,8229797,7,1 0 0 0 0 0
17/11/2017,de,9759380,5,0 1 0 0 0 0
18/11/2017,de,9520165,3,0 1 0 0 0 0
19/11/2017,de,7876148,4,0 1 0 0 1 0
20/11/2017,de,7744425,4,0 1 0 0 0 0
21/11/2017,de,7950217,4,0 1 0 0 0 0
22/11/2017,de,8114294,8,0 1 0 0 0 0
23/11/2017,de,8161993,9,0 0 0 0 0 0
24/11/2017,de,9313063,10,0 1 0 0 0 0
25/11/2017,de,9330957,4,0 1 0 0 0 0
26/11/2017,de,7866115,3,0 1 0 0 0 0
27/11/2017,de,7782854,4,0 1 0 0 0 0
28/11/2017,de,8026624,6,0 1 0 0 0 0
29/11/2017,de,8181780,2,0 0 0 0 0 0
30/11/2017,de,8271672,1,0 0 0 0 0 0
01/12/2017,de,14020727,0,0 1 0 0 0 0
02/12/2017,de,11941682,2,1 0 0 0 0 0
03/12/2017,de,10411492,0,1 1 1 0 0 0
04/12/2017,de,9764733,3,0 1 0 0 0 0
05/12/2017,de,9374936,6,0 1 0 0 0 0
06/12/2017,de,8972948,7,0 0 0 0 0 0
07/12/2017,de,8754862,6,0 1 0 0 0 0
08/12/2017,de,10082581,4,0 1 1 0 0 0
09/12/2017,de,9953054,1,0 1 1 0 0 0
10/12/2017,de,8845702,0,0 0 1 0 0 0
11/12/2017,de,7731743,3,0 1 0 0 0 0
12/12/2017,de,7767218,4,0 1 0 0 0 0
13/12/2017,de,7826923,2,0 1 1 0 0 0
14/12/2017,de,8124806,3,0 1 0 0 0 0
15/12/2017,de,9753842,1,0 1 1 0 0 0
16/12/2017,de,9939807,2,0 1 0 0 0 0
17/12/2017,de,8949436,2,0 1 1 0 0 0
18/12/2017,de,7984276,0,0 0 0 0 0 0
19/12/2017,de,8311679,1,0 1 0 0 0 0
20/12/2017,de,8643522,2,1 1 1 0 0 0
21/12/2017,de,9520216,6,0 1 0 0 0 0
22/12/2017,de,11097346,6,0 0 0 0 0 0
23/12/2017,de,12372794,7,0 1 0 0 0 0
24/12/2017,de,25591430,10,0 1 0 0 0 0
25/12/2017,de,8922102,8,0 1 0 0 0 0
26/12/2017,de,7054229,4,0 1 0 0 0 0
27/12/2017,de,7717411,2,0 0 0 0 0 0
28/12/2017,de,8105361,2,0 1 0 0 0 0
29/12/2017,de,8697733,1,0 0 0 0 0 0
30/12/2017,de,8733208,3,0 1 0 0 0 0
31/12/2017,de,13755304,9,0 1 0 0 0 0
