Date,Country,Streams,TEMP,Indicators
01/01/2017,dk,1369761,5,0 1 0 0 0 0
02/01/2017,dk,1832863,0,0 0 0 0 0 0
03/01/2017,dk,1867508,4,1 1 0 0 0 0
04/01/2017,dk,1922463,1,0 1 1 0 0 0
05/01/2017,dk,1933516,-6,0 0 1 0 0 0
06/01/2017,dk,2273880,-8,1 0 1 0 0 0
07/01/2017,dk,2195822,2,0 1 1 0 0 0
08/01/2017,dk,1971477,1,0 0 0 0 0 0
09/01/2017,dk,2214034,4,0 1 0 0 0 0
10/01/2017,dk,2246344,3,0 1 0 0 0 0
11/01/2017,dk,2275409,5,0 1 0 0 0 0
12/01/2017,dk,2344701,3,0 1 1 0 0 0
13/01/2017,dk,2525393,-1,1 0 0 0 0 0
14/01/2017,dk,2371241,1,0 1 0 0 0 0
15/01/2017,dk,2016864,-1,0 1 1 0 0 0
16/01/2017,dk,2193293,-4,0 0 0 0 0 0
17/01/2017,dk,2239826,-2,0 1 1 0 0 0
18/01/2017,dk,2267687,4,0 1 0 0 0 0
19/01/2017,dk,2330286,6,0 0 0 0 0 0
20/01/2017,dk,2558178,6,0 0 0 0 0 0
21/01/2017,dk,2376383,5,1 0 0 0 0 0
22/01/2017,dk,1968107,4,0 0 0 0 0 0
23/01/2017,dk,2226192,2,0 0 0 0 0 0
24/01/2017,dk,2242885,2,1 0 0 0 0 0
25/01/2017,dk,2261222,2,0 0 0 0 0 0
26/01/2017,dk,2365984,0,0 0 0 0 0 0
27/01/2017,dk,2618211,1,0 0 0 0 0 0
28/01/2017,dk,2430082,0,1 0 0 0 0 0
29/01/2017,dk,1985903,2,0 1 0 0 0 0
30/01/2017,dk,2246922,3,1 1 0 0 0 0
31/01/2017,dk,2267785,2,0 0 0 0 0 0
01/02/2017,dk,2309157,2,0 0 0 0 0 0
02/02/2017,dk,2315439,1,0 0 0 0 0 0
03/02/2017,dk,2543759,2,1 1 0 0 0 0
04/02/2017,dk,2307248,3,1 1 1 0 0 0
05/02/2017,dk,1967217,2,1 1 1 0 0 0
06/02/2017,dk,2201728,2,0 1 1 0 0 0
07/02/2017,dk,2227538,-1,0 0 1 0 0 0
08/02/2017,dk,2251013,-2,0 0 1 0 0 0
09/02/2017,dk,2284149,-2,0 1 1 0 0 0
10/02/2017,dk,2553483,0,0 1 1 0 0 0
11/02/2017,dk,2395185,0,0 0 0 0 0 0
12/02/2017,dk,2029323,0,0 0 0 0 0 0
13/02/2017,dk,2199854,-3,0 0 0 0 0 0
14/02/2017,dk,2166770,-2,1 0 0 0 0 0
15/02/2017,dk,2195132,-1,1 0 1 0 0 0
16/02/2017,dk,2175112,4,0 1 0 0 0 0
17/02/2017,dk,2375087,5,1 1 0 0 0 0
18/02/2017,dk,2289771,4,1 1 0 0 0 0
19/02/2017,dk,1939843,6,0 1 0 0 0 0
20/02/2017,dk,2144997,7,0 1 0 0 0 0
21/02/2017,dk,2227123,7,0 0 0 0 0 0
22/02/2017,dk,2236058,6,0 1 0 0 0 0
23/02/2017,dk,2282043,4,0 1 1 0 0 0
24/02/2017,dk,2548872,1,0 0 1 0 0 0
25/02/2017,dk,2355487,1,0 1 0 0 0 0
26/02/2017,dk,2067679,7,0 1 0 0 0 0
27/02/2017,dk,2329475,7,0 1 0 0 0 0
28/02/2017,dk,2439264,5,0 1 0 0 0 0
01/03/2017,dk,2450801,5,0 1 0 0 0 0
